independent continuant;ratoon;a shoot of a perennial plant.
independent continuant;live haul truck;a truck used to haul live animals.
independent continuant;fodder bank;fodder collected to provide cattle farmers with high quality fodder for the dry season.
independent continuant;watering bowl;a bowl from which animals can drink.
independent continuant;previous crop;a crop cultivated on a same location before the current crop.
independent continuant;rotary dibbler;manually operated push device for dibbling of medium and bold size seeds. it consists of a rotating dibbling head with penetrating jaws, covering-cum-transport wheel, seed hopper with cell wooden roller and a handle.
independent continuant;paper mulch;a mulch where shredded or entire piece of paper or newspaper cover the soil surface.
independent continuant;agricultural implement;an object used to perform an agricultural process.
independent continuant;governmental forest;experimental site where the experiment is done in a forest owned by a government.
independent continuant;experimental site;location where the experiment is implemented.
independent continuant;graft;plant resulting from the union of scion and stock.
independent continuant;wheelbarrow sprayer;an agricultural implement consisting of a tank and a spraying system attached to wheels.
independent continuant;alfalfa meal;an agricultural environmental material that contains ground dry alfalfa.
independent continuant;manure spreader;an implement used to distribute manure over a field. it usually consists of a trailer towed behind a tractor with a rotating mechanism driven by the tractor's power take off.
independent continuant;bird guano;an animal manure composoed of the excrement of seabirds and bats.
independent continuant;blood meal;dry, inert powder made from blood. blood usually comes from cattle or hogs as a slaughterhouse by-product.
independent continuant;egyptian plough;an agricultural implement that is a traditional wooden plough.
independent continuant;binder;a harvest implement for grain crops which cuts the stems and binds the stems into bundles or sheaves. the binder is now largely obsolete replaced by the combine harvester.
independent continuant;wood chips mulch;a mulch where wood chips are used to cover soil surface. wood chips are a byproduct of the pruning of trees.
independent continuant;tyne opener planter;a curved metal bar used to open the soil before putting the seed into the soil.
independent continuant;poultry processing waste material;waste material produced when poultry is processed for consumption.
independent continuant;potassium fertilizer;inorganic fertilizer that contains potassium
independent continuant;levelling bucket;bucket dragged by animal or tractor to shape soil surface. bucket dimensions and capacity vary according to the available power source and field conditions.
independent continuant;broadcast spreader;an implement that consists of a hopper, a metering unit, and a distribution device that uses centrifugal force to spread material like seeds, fertilizer granules, liming material, onto the soil surface.
independent continuant;fallow land;an agricultural field that is set aside for a period of time before it is cultivated again. or an agricultral field that is under permanent crops, meadows or pastures and that is not being used for such purposes for a period of at least one year.
independent continuant;single-axle tractor;a tractor with one axle, self-powered and self-propelled. the operator usually walks behind it or rides the implement being towed.
independent continuant;husk;a crop residue which is the cut outter shell or coating of a seed.
independent continuant;two-axle tractor;a tractor with two axles. agricultural implements may be towed behind or mounted on the tractor, and the tractor may also provide a source of power if the implement is mechanized.
independent continuant;mower;an agricultural implement that is used to cut grass or any plant that grows on the ground.
independent continuant;grass strip;a vegetated area which includes strips of grass within a field or farm created for erosion control, typically they are placed along contour lines.
independent continuant;landscape fabric;a mulch where textile material is used to covert the soil surface. the fabric itself can be made from synthetic or organic materials, sometimes from recycled sources.
independent continuant;nitrogen fertilizer;inorganic fertilizer that contains nitrogen
independent continuant;dry crop residue;crop residue that have been dried
independent continuant;levelling board;board used in field with a total water coverage to shape field surface. weight can be added to the board.
independent continuant;hill seedbed;a raised seedbed that is of rounded form and limited extent.
independent continuant;motor pump;an implement that is a mechanical device, used to move the liquids or gases from one place to another by using mechanical action.
independent continuant;block;a block is a relatively large area or several identical units receiving all or most of the treatments. a collection of plots is called a block.
independent continuant;fish hydrolysate;an animal manure made from whole fish or by-products put into water and cold-ground up.
independent continuant;chick pad;the lining of a box or crate used to transport chicks (juvenile chickens).
independent continuant;sulfur coated urea;a fertilizer that is made by coating urea with sulphur and wax to increases nitrogen efficiency.
independent continuant;net plot;an agricultural experimental plot from which unwanted areas have been removed, most often the outside rows.
independent continuant;combine harvester;an harvest implement that reaps, threshes, and cleans a crop in one operation.
independent continuant;ridge seedbed;a raised seedbed which is long and narrow with steep sides.
independent continuant;jab planter;a manual tool used to sow large seeds in rows or in bunches on plastic mulch films or in the earth. this device is used to sow seeds manually, while standing in a natural position.
independent continuant;residue management implement;an implement that is used during a residue management process.
independent continuant;interrow;a site which is located between two rows of crop plants.
independent continuant;agricultural experimental multiplot;multiple sites within which agricultural experimental process is conducted
independent continuant;scattered trees;trees which have ecological functions in landscapes like offering shelter and food sources for animals, enhancing landscape connectivity by acting as stepping stones, and functioning as nuclei for plant regeneration in disturbed landscapes.
independent continuant;water tank;a manufactured container within which water is stored.
independent continuant;cultivator;tillage tool that stirs and pulverizes the soil, either before planting (to aerate the soil and prepare a smooth, loose seedbed) or after the crop has begun growing (to kill weeds controlled disturbance of the topsoil close to the crop plants kills the surrounding weeds by uprooting them, burying their leaves to disrupt their photosynthesis, or a combination of both). cultivator is designed to disturb the soil in careful patterns, sparing the crop plants but disrupting the weeds. cultivator teeth work near the surface.
independent continuant;irrigation equipment;an equipment that is used during an irrigation process.
independent continuant;vermicompost;a compost that is the product of the decomposition process using various species of worms, usually red wigglers, white worms, and other earthworms, to create a mixture of decomposing vegetable or food waste, bedding materials, and vermicast.
independent continuant;liquid manure;an animal manure made of animal urine and sometimes waste water.
independent continuant;animal transportation equipment;an equipment used in the transportation of an animal.
independent continuant;crop;a crop is any cultivated plant, fungus, or alga that is harvested for food, clothing, livestock,fodder, biofuel, medicine, or other uses
independent continuant;animal feeding equipment;an equipment used to feed and water livestock animals.
independent continuant;methylene urea;a fertilizer that is produced by the condensation between urea and formaldehyde consisting of short chains from methylene-diurea to tetramethylenepentaurea. it is a slow release nitrogenous fertilize, sparingly soluble. the total n content of these polymers is 39 to 40 percent, with between 25 and 60 percent of the n present as cwin. the unreacted urea n content generally is in the range of 15 to 30 percent of the total n.
independent continuant;farm slurry;an animal manure made of animal feces and urine with no or very little material used for animal bedding.
independent continuant;agronomic land element;description of the geomorphology of the immediate surroundings of the experimental site.
independent continuant;sprayer;a device that applys the spray liquid through nozzles, which are attached to a horizontal structure (boom) and which are normally directed towards the ground.
independent continuant;hand dibbler;an tool made of mild steel flat or leaf spring by forging operation. the working end is flattened and edge made sharp for easy penetration in the soil.
independent continuant;mulch;layer of material applied to the soil surface to conserve moisture, improve soil fertility, reduce weed growth, or enhance the visual appeal of the area.
independent continuant;manual oilseed drill;a seed drill that consists of a seed box attached to the mainframe of a hand wheel hoe. a fluted roller assembly is provided at the bottom of the seed box. fluted roller is rotated with the help of chain and sprockets from the ground wheel.
independent continuant;liming material;an environmental material containing calcium and/or magnesium compounds and applied to soil in order to neutralize soil acidity.
independent continuant;chemical pest control implement;an implement that is used during a chemical pest control process.
independent continuant;dead haul truck;a truck used to haul dead animal from an abattoir.
independent continuant;subsoiler;an implement that typically has only one thin blade with a sharpened tip, and is used to loosen and break up soil at depths about 30 cm.
independent continuant;tandem disc harrow;a disk harrow with disc blades arranged into four sections.
independent continuant;chain harrow;an implement consisting of a heavy framework having high numbers of steel tines on an harrow mat.
independent continuant;spent mushroom compost;a compost that contains the residual compost waste generated by mushroom production. it generally consists of a combination of wheat straw, dried blood, horse manure and ground chalk, composted together.
independent continuant;below-ground biomass;all living biomass of live roots. fine roots of less than (suggested) 2mm diameter are sometimes excluded because these often cannot be distinguished empirically from soil organic matter or litter.
independent continuant;land levelling implement;an implement that is used during a land levelling process.
independent continuant;boom sprayer;an implement which is a pipe for distributing spray using attached nozzles. it has a list of system components that work together to deliver the spray fluid.
independent continuant;coa;an agricultural implement that consists of a long stick ending in a point or embedded in a metal tip that can have the shape of a shovel or spatula, or a straight part and a curved part. it is used to open holes in the ground in south america.
independent continuant;biofertilizer;a environmental material which contains living microorganisms, which, when applied to seeds, plant surfaces, or soil, colonize the rhizosphere or the interior of the plant and promotes growth by increasing the supply or availability of primary nutrients to the host plant.
independent continuant;row;two or more crop plants planted in a line.
independent continuant;higher-level landform;shape of the land surface surronding an area.
independent continuant;plant cutting;piece of a plant, often piece of the stem or root, that is used for vegetative propagation.
independent continuant;weather station;an observation post where weather conditions and meteorological data are observed and recorded and reported.
independent continuant;single disc opener planter;a flat and circular piece of metal used to open the soil before putting the seed into the soil.
independent continuant;offset disc harrow;a disk harrow with disc blades arranged into two sections.
independent continuant;calcitic limestone;a limestone that is derived from deposits of primarily calcium carbonate.
independent continuant;irrigation tube;object with a tube shape used to carry irrigation water through the field
independent continuant;ridging device mounted on planting implement;a device used to create ridges at the same time than planting.
independent continuant;furrow;a trench that is long, narrow, shallow and made in the ground with an agricultural implement.
independent continuant;buffer planting;fence where one or more rows of trees and/or shrubs are specifically planted to provide a visual screen or intercept light, odour, dust, and noise or a combination thereof.
independent continuant;tedder;an agricultural implement that uses moving forks to aerate or "wuffle" the hay and thus speed up the process of hay-making. it is used after cutting and before windrowing.
independent continuant;pot;a rounded container used to cultivate plant.
independent continuant;seedling;young sporophyte developing out of a plant embryo from a seed.
independent continuant;forage harvester;an agricultural implement that harvests forage plants to make silage.
independent continuant;boundary planting;live fence made of trees. boundary planting are used to delimitate property, agricultural fields, pastures, roads or any other place where fences might be located.
independent continuant;greenhouse;an experimental site in which the experiment is performed in a structure with walls and roof made chiefly of transparent material, such as glass, with the possibility to regulate climatic conditions.
independent continuant;poultry litter;an animal manure that contains poultry excreta, spilled feed, feathers, and material used as bedding in poultry operations.
independent continuant;irrigation source;a water body from which water is taken during an irrigation process and transported to the target of the irrigation process.
independent continuant;laser-controlled bucket;a bucket tracted by a tractor and controlled by a laser to shape soil surface. a laser transmitter transmits a laser beam, which is intercepted by the laser receiver mounted on the leveling bucket. the control panel mounted on the tractor interprets the signal from the receiver and raises or lowers the bucket.
independent continuant;live fence;fence established by planting large cuttings, that easily produce roots and on which several strings of wire are attached with the obvious purpose of keeping livestock in or out.
independent continuant;dibbling stick;manually operated device for creating a conical cavity in the soil for sowing of seeds. it consists of a wooden round stick with one end having a sheet metal cone. the other end is provided with a handgrip.
independent continuant;cottonseed meal;an oil meal that contains crushed cotton seeds from which oil has been removed.
independent continuant;double disck opener planter;double flat and circular piece of metal used to open the soil before putting the seed into the soil.
independent continuant;flat seedbed;a seedbed that is flat. flat beds are used where water availability is adequate and there are no drainage problem.
independent continuant;single superphosphate;a fertilizer that is obtained by acid chemical attack of a phosphate rock with sulfuric acid. it contains 16 to 20% p2o5. it comes in the form of grey granules.
independent continuant;flail;agricultural tool made from two or more large sticks attached by a short chain. one stick is held and swung, causing the other to strike a pile of grain, loosening the husks.
independent continuant;windbreak;windbreaks are linear plantings of trees and shrubs designed to enhance crop production, protect people and livestock, and benefit soil and water conservation.
independent continuant;mouldboard plough;an implement that cut, lift and reverse soil with a cutting depth of approximately 15 cm.
independent continuant;animal drinker;an animal feeding equipment that has a water storage unit which enables livestock to obtain their own water.
independent continuant;animal manure;organic matter mostly derived from animal feces which can be used as organic fertilizer in agriculture.
independent continuant;farmer field;experimental site in which the experiment is implemented on the field of a farmer.
independent continuant;ridging plough;an implement that is used for plants, such as potatoes or scallions, which are grown buried in ridges of soil. a ridging plough has two mouldboards facing away from each other, cutting a deep furrow on each pass, with high ridges either side.
independent continuant;weeding implement;an agricultural implement used during a weeding process
independent continuant;harvested row;a row that has been harvested.
independent continuant;chisel plough;an implement that loosen and aerate soil without inverting or turning it.
