independent continuant;protogynous hermaphroditic organism;sequential hermaphroditic organism that produces\ngametes first of the female sex, and then later of the\nmale sex.
independent continuant;organism substance;material anatomical entity in a gaseous, liquid, semisolid or solid state. produced by anatomical structures or derived from inhaled and ingested substances that have been modified by anatomical structures as they pass through the body and that does not have inherent 3d shape generated by coordinated expression of the organism's own genome.
independent continuant;organism or virus or viroid;material anatomical entity that is a member of an individual species or is a viral or viroid particle.
independent continuant;epidermis;epithelium of the integumentary system.
independent continuant;tissue;multicellular anatomical structure that consists of many cells of one or a few types, arranged in an extracellular matrix such that their long-range organisation is at least partly a repetition of their short-range organisation.
independent continuant;bona-fide anatomical boundary;an anatomical boundary that corresponds to some physical discontinuity.
independent continuant;cell part;anatomical structure that is part of a cell and that has a granularity level equal to that of a protein complex or higher.
independent continuant;asexual multi-cellular organism;multi-cellular organism that does not produce gametes.
independent continuant;solid compound organ;compound organ that does not contain macroscopic anatomical spaces.
independent continuant;anatomical system;an anatomical structure consisting of multiple cells, organs, tissues, distributed throught an organism, that act together to perform some physiological function.
independent continuant;multicellular organism;anatomical structure that is an individual member of a clade and, at some point in its life-cycle, consists of more than one cell.
independent continuant;morphological boundary;a two dimensional anatomical structure that corresponds to some structural discontinuity.
independent continuant;organism subdivision;anatomical structure which is a subdivision of a whole organism, consisting of components of multiple anatomical systems, largely surrounded by a contiguous region of integument.
independent continuant;biological entity;entity that is, is part of, or derived from an organism, virus, or viroid or a collection of them.
independent continuant;aligned anatomical group;an anatomical group whose members are arranged in a line.
independent continuant;simple cuboidal epithelium;unilaminar epithelium that consists of a single layer of cuboidal cells.
independent continuant;cavitated compound organ;compound organ that contains one or more macroscopic anatomical spaces.
independent continuant;integumentary system;connected anatomical system that forms a barrier between an animal and its environment - generally consisting of an epidermis, which may be covered by some acellular structure.
independent continuant;gene expression boundary;a two dimensional anatomical entity that is the boundary of a domain of expression of some gene.
independent continuant;appendage subdivision;a subdivision of an appendage along its proximal-distal axis, consisting consisting of components of multiple anatomical systems, largely surrounded by a contiguous region of integument.
independent continuant;anatomical point;non-material anatomical entity of zero dimension, which forms a boundary of an anatomical line or surface.
independent continuant;portion of cell substance;portion of organism substance located within a cell.
independent continuant;tagma;a subdivision of the organism along the anterior-posterior axis that consists of multiple adjacent segments that are either fused, and/or share more structure with each other than with segments in adjacent tagmata.
independent continuant;simple organ;an organ that consists of a single multi-tissue structure.
independent continuant;cell cluster organ;a small cluster of cells of various types which form a discrete structure, largely delimited by a morphological boundary and whose components work together to make the whole structure capable of a specific function.
independent continuant;epithelium;portion of tissue, that consists of one or more layers of epithelial cells connected to each other by cell junctions and which is underlain by a basal lamina.
independent continuant;atypical epithelium;epithelium that consists of epithelial cells not arranged in one ore more layers.
independent continuant;connected anatomical system;multicellular, connected anatomical structure that has multiple organs as parts and whose parts work together to achieve some shared function.
independent continuant;fiat anatomical boundary;a two dimensional anatomical entity that does not correspond to any physical discontinuity.
independent continuant;compound organ;an organ consisting of multiple, distinct multi-tissue structures.
independent continuant;disconnected anatomical system;an anatomical system consisting of multiple disconnected parts.
