independent continuant;sperm;a mature male germ cell that develops from a spermatid.
independent continuant;dense-core granulated cell of epithelium of trachea;a feyrter cell that is part of the epithelium of trachea.
independent continuant;myotube;a transversely striated, synctial muscle cell, formed by the fusion of myoblasts.
independent continuant;kidney loop of henle medullary thick ascending limb epithelial cell;an epithelial cell that is part of some loop of henle thick ascending limb segment located in the renal medulla.
independent continuant;cd94-positive ly49ci-positive natural killer cell, mouse;a nk1.1-positive t cell that is cd94-positive and ly49cl-positive.
independent continuant;gastrin stimulating hormone secreting cell;a peptide hormone secreting cell that secretes gastrin stimulating hormone.
independent continuant;gastric cardiac gland goblet cell;a goblet cell that is part of the epithelium of gastric cardiac gland.
independent continuant;caudal ganglionic eminence derived gabaergic cortical interneuron;a gabaergic cortical interneuron that develops from the caudal ganglionic eminence and has migrated to the cerebral cortex.
independent continuant;myoepithelial cell of mammary gland;a myoepithelial cell that surrounds milk-secreting luminal epithelial cells. this cell type contracts under the stimulation of oxytocin and is attached to the basement membrane by hemidesmosomes and to the adjacent luminal cells by desmosomes. this cell type expresses high level of keratin-14 and is estrogen receptor alpha negative.
independent continuant;ependymal cell;a neurectoderm derived cell that lines the neural lumen.
independent continuant;pyloric gastric gland goblet cell;a goblet cell that is part of the epithelium of pyloric gland.
independent continuant;luteal cell;a progesterone secreting cell in the corpus luteum. the large luteal cells develop from the granulosa cells. the small luteal cells develop from the theca cells.
independent continuant;sympathetic cholinergic neuron;sympathetic cholinergic neuron.
independent continuant;leydig cell;a leydig cell is a testosterone-secreting cell in the interstitial area, between the seminiferous tubules, in the testis.
independent continuant;l2/3 bipolar vip gabaergic cortical interneuron (mmus);a vip gabaergic cortical interneuron with bipolar morphology, with a soma found in l2/3. l2/3 bipolar vip cells have extending axons across all layers (with preferences for layers ii/iii and va) and a dendritic tree that is vertically more restricted than deeper layer vip cells and extend fewer dendrites into the layers outside their home layer (location of soma). l2/3 bipolar vip cells have great variability in firing patterns, though most are continuous adapting. l2/3 bipolar vip cells are more depolarized in their resting state, had less fast rectification, and had smaller after hyperpolarization than deeper vip cells.
independent continuant;bm2' b cell;a germinal center b cell that founds a germinal center, and has the phenotype igd-positive, cd38-positive, and cd23-negative.
independent continuant;pro-b cell;a progenitor cell of the b cell lineage, with some lineage specific activity such as early stages of recombination of b cell receptor genes, but not yet fully committed to the b cell lineage until the expression of pax5 occurs.
independent continuant;cranial motor neuron;motor neuron that innervate muscles that control eye, jaw, and facial movements of the vertebrate head and parasympathetic neurons that innervate certain glands and organs.
independent continuant;cd8-positive, cd25-positive, alpha-beta regulatory t cell;a cd8-positive alpha beta-positive t cell with the phenotype foxp3-positive and having suppressor function.
independent continuant;enteroendocrine cell of colon;an enteroendocrine cell that is located in the colon.
independent continuant;memory t cell;a long-lived, antigen-experienced t cell that has acquired a memory phenotype including distinct surface markers and the ability to differentiate into an effector t cell upon antigen reexposure.
independent continuant;thymocyte;an immature t cell located in the thymus.
independent continuant;foveolar cell of stomach;an epithelial cell within one of the pits in the embryonic gastric mucosa from which the gastric glands develop .
independent continuant;transitional stage b cell;an immature b cell of an intermediate stage between the pre-b cell stage and the mature naive stage with the phenotype surface igm-positive and cd19-positive, and are subject to the process of b cell selection. a transitional b cell migrates from the bone marrow into the peripheral circulation, and then to the spleen.
independent continuant;narrow field retinal amacrine cell;an amicrine that has a narrow dendritic field.
independent continuant;enterochromaffin-like cell;a enteroendocrine cell part of the glands of the gastric mucosa. they produce histamine and peptides such as chromogranins. this cell type respond to gastrin by releasing histamine which acts as a paracrine stimulator of the release of hydrochloric acid from the gastric parietal cells.
independent continuant;multinucleate conidium;a conidium that has more than one nucleus.
independent continuant;epithelial cell of malassez;an epithelial cell that remains from the disintegration of the epithelial root sheath involved in the development of teeth.
independent continuant;chromaffin cell of paraganglion;a chromaffin cell that is part of the paraganglion.
independent continuant;cd4-positive type i nk t cell secreting interferon-gamma;a mature nk t cell that secretes interferon-gamma and enhances type 1 immune responses.
independent continuant;iga plasma cell;a fully differentiated plasma cell that secretes iga.
independent continuant;fibroblast of mammary gland;a fibroblast that is part of the mammary gland.
independent continuant;wf3-2 amacrine cell;an amacrine cell with a wild dendritic field, dendrites in s3, and post-synaptic terminals in s3. dendrites have spikes, cross over each other, and cover a larger volume than dendrties of w3-1 retinal amacrine cells.
independent continuant;m3-off retinal ganglion cell;a monostratified retinal ganglion cell that has post synaptic terminals in sublaminar layer s2 and is depolarized by decreased illumination of their receptive field center
independent continuant;nucleate erythrocyte;an erythrocyte having a nucleus.
independent continuant;branchiomotor neuron;cranial motor neuron which innervates muscles derived from the branchial (pharyngeal) arches.
independent continuant;tonsil germinal center b cell;any germinal center b cell that is part of a tonsil.
independent continuant;luminal cell of lactiferous duct;a luminal epithelial cell of the lactiferous duct. this cuboidal epithelial cell expresses keratin-18 and is estrogen-receptor alpha positive.
independent continuant;precursor b cell;a precursor b cell is a b cell with the phenotype cd10-positive.
independent continuant;somatic muscle myoblast;a myoblast that is commited to developing into a somatic muscle.
independent continuant;serotonin secreting cell;a cell type that secretes 5-hydroxytryptamine (serotonin).
independent continuant;fc-epsilon rialpha-low mast cell progenitor;a lineage-negative, kit-positive, cd45-positive mast cell progenitor that is fc-epsilon rialpha-low.
independent continuant;basophil progenitor cell;a progenitor cell committed to the basophil lineage. this cell lacks hematopoietic lineage markers (lin-negative) and is cd34-positive, t1/st2-low, cd117-negative, and fceria-high. this cell also expresses gata-1, gata-2 and c/ebpa.
independent continuant;mesenchymal stem cell;a connective tissue cell that normally gives rise to other cells that are organized as three-dimensional masses. in humans, this cell type is cd73-positive, cd90-positive, cd105-positive, cd45-negative, cd34-negative, and mhcii-negative. they may further differentiate into osteoblasts, adipocytes, myocytes, neurons, or chondroblasts in vitro. originally described as residing in the bone marrow, this cell type is now known to reside in many, if not all, adult organs.
independent continuant;myoepithelial cell of quarternary lactiferous duct;a myoepithelial cell that is part of the quarternary lactiferous duct.
independent continuant;mononuclear cytotrophoblast cell;a cell from the inner layer of the trophoblast of the early mammalian embryo that gives rise to the outer surface and villi of the chorion. mononuclear crytoblasts fuse to give rise to a multinuclear cytotrophoblast.
independent continuant;epithelial cell of prostatic urethra;an epithelial cell that is part of the prostatic urethra.
independent continuant;somatic muscle myotube;a myotube that is part of some somatic muscle. examples include arthropod somatic muscle cells.
independent continuant;corneocyte;the dead keratin-filled squamous cell of the stratum corneum. this cell type lacks a nucleus.
independent continuant;ciliated epithelial cell;an epithelial cell that has a cilia.
independent continuant;l2/3-6 intratelencephalic projecting glutamatergic cortical neuron;a intratelencephalic-projecting glutamatergic neuron with a soma found in cortical layers l2/3-6
independent continuant;interrenal chromaffin cell;a chromaffin cell interspersed among the interrenal epithelial layer of the anterior kidney of teloest fish.
independent continuant;thecogen cell;the support cell that makes the thecogen dendritic cap - a cuticle-like matrix around the tip of the eo-dendrite and which encloses the soma of the eo-neuron.
independent continuant;hofbauer cell;oval eosinophilic histiocytes with granules and vacuoles found in placenta, which are of mesenchymal origin, in mesoderm of the chorionic villus, particularly numerous in early pregnancy.
independent continuant;hair germinal matrix cell;an epidermal cell that is part of the germinal matrix.
independent continuant;vgamma1.1-positive, vdelta6.3-negative thymocyte;a gamma-delta receptor that expresses vgamma1.1 but does not express vdelta6.3 chains in the t-cell receptor.
independent continuant;mitral cell;the large glutaminergic nerve cells whose dendrites synapse with axons of the olfactory receptor neurons in the glomerular layer of the olfactory bulb, and whose axons pass centrally in the olfactory tract to the olfactory cortex.
independent continuant;gr1-low non-classical monocyte;a resident monocyte that is gr-1 low, cd43-positive, and cx3cr1-positive.
independent continuant;dentate gyrus of hippocampal formation stellate cell;any stellate cell that is part of a dentate gyrus of hippocampal formation.
independent continuant;m3 retinal ganglion cell;a monostratified retinal ganglion cell that has a medium soma and a small dendrite field.
independent continuant;effector t cell;a differentiated t cell with ability to traffic to peripheral tissues and is capable of mounting a specific immune response.
independent continuant;ecto-epithelial cell of viscerocranial mucosa;an epithelial cell of the mucosa associated with facial skeleton.
independent continuant;fibroblast of cardiac tissue;a fibroblast that is part of the heart.
independent continuant;stellate l6 intratelencephalic projecting glutamatergic neuron of the primary motor cortex (mmus);a l6 intratelencephalic projecting glutamatergic neuron of the primary motor cortex that has stellate pyramidal morphology.
independent continuant;corticotroph;a basophil chromphil cell of the anterior pitiutary gland that produce adrenocorticotropic hormone, melanocyte-stimulating hormone and lipotropin. this cell type is irregular in shape and has short dendritic processes which are inserted among other neighboring cells.
independent continuant;long-range projecting sst gabaergic cortical interneuron (mmus);a sst gabaergic cortical interneuron that is both an interneuron and a projecting neuron. they are found in all layers from upper l2/3 down to the bottom of l6. they have long-range projections, some with axons fading into white matter. these cells have low rebound potential, low hyperpolarization sag, and high variability in membrane time constant.
independent continuant;lens fiber cell;a vetebrate lens cell that is any of the elongated, tightly packed cells that make up the bulk of the mature lens in a camera-type eye.
independent continuant;basal cell of epithelium of lobular bronchiole;a basal cell that is part of the epithelium of bronchiole.
independent continuant;slamf1-positive multipotent progenitor cell;a hematopoietic progenitor that has some limited self-renewal capability. cells are lin-negative, kit-positive, cd34-positive, and slamf1-positive.
independent continuant;migratory neural crest cell;a cell derived from the specialized ectoderm flanking each side of the embryonic neural plate, which after the closure of the neural tube, forms masses of cells that migrate out from the dorsal aspect of the neural tube to spread throughout the body.
independent continuant;macrophage derived foam cell;a type of foam cell derived from a macrophage containing lipids in small vacuoles and typically seen in atherolosclerotic lesions, as well as other conditions.
independent continuant;neuromast mantle cell;neuromast mantle cell is a non-sensory cell. neuromast mantle cells surround the neuromast support cells and neuromast hair cells, separating the neuromast from the epidermis, and secrete cupula in which the ciliary bundles of all the hair cells are embedded.
independent continuant;anucleate cell;a cell that lacks a nucleus.
independent continuant;plasmablast;an activated mature (naive or memory) b cell that is secreting immunoglobulin, typified by being cd27-positive, cd38-positive, cd138-negative.
independent continuant;fibro/adipogenic progenitor cell;a progenitor cell that is a tissue-resident mesenchymal cell, important for skeletal muscle regeneration, and able to differentiate into both adipocytes or fibroblasts.
independent continuant;egg cell;a female gamete where meiosis has progressed to metaphase ii and is able to participate in fertilization.
independent continuant;periarticular chondrocyte;a round chondrocyte that first differentiates in the late embryonic growth plate of bone.
independent continuant;neurecto-epithelial cell;epithelial cells derived from neural plate and neural crest.
independent continuant;smooth muscle cell of small intestine;a smooth muscle cell that is part of the small intestine.
independent continuant;immature nk t cell stage ii;a cd24-low, cd44-negative, nk1.1-negative nk t cell.
independent continuant;epithelial cell of tracheobronchial tree;an epithelial cell of the tracheobronchial tree.
independent continuant;cortical thymic epithelial cell;an epithelial cell of the cortical portion of the thymus. epithelial cells in this region are required for positive selection of cd8-positive t cells.
independent continuant;cd8-alpha-alpha-positive, alpha-beta intraepithelial t cell;an alpha-beta intraepithelial t cell with the phenotype cd8-alpha-alpha-positive located in the columnar epithelium of the gastrointestinal tract. these cells have a memory phenotype of cd2-negative and cd5-negative.
independent continuant;immature single positive thymocyte;a thymocyte that has the phenotype cd4-negative, cd8-positive, cd44-negative, cd25-negative, and pre-tcr-positive.
independent continuant;kisspeptin neuron;a neuron that expresses kisspeptin. these neurons are predominantly located in the hypothalamus, but also found in other parts of the brain including the hippocampal dentate gyrus.
independent continuant;acinar cell;a secretory cell that is grouped together with other cells of the same type to form grape shaped clusters known as acini (singular acinus).
independent continuant;secondary oocyte;a secondary oocyte is an oocyte that has not completed meiosis ii.
independent continuant;retinal ganglion cell c outer;a retinal ganglion cell c that has post-synaptic terminals in s2.
independent continuant;medial ganglionic eminence derived gabaergic cortical interneuron;a gabaergic cortical interneuron that develops from the medial ganglionic eminence and has migrated to the cerebral cortex.
independent continuant;smooth muscle cell of taenia coli;a(n) smooth muscle cell that is part of a(n) taenia coli.
independent continuant;multi-ciliated epithelial cell;a ciliated epithelial cell with many cilia.
independent continuant;transitional myocyte of internodal tract;a transitional myocyte that is part of the internodal tract.
independent continuant;betz upper motor neuron;a betz cell that synapses with lower motor neurons directly.
independent continuant;cerebellar granule cell;granule cell that is part of the cerebellum.
