independent continuant;hsc0127 cell;a immortal human b cell line cell that has the characteristics: human b lymphocytes transformed by epstein-barr virus. this b cell lines derived from mongoloid minority groups in south america.
independent continuant;immortal cattle thoracic aorta-derived smooth muscle cell line cell;an immortal thoracic aorta-derived smooth muscle cell line cell that derives from cattle.
independent continuant;immortal ecto-epithelial cell line cell;a immortal epithelial cell line that is derived from ecto-epithelial cell
independent continuant;hsc0145 cell;a immortal human b cell line cell that has the characteristics: human b lymphocytes transformed by epstein-barr virus. this b cell lines derived from mongoloid minority groups in south america.
independent continuant;immortal human axilla-derived fibroblast cell line cell;an immortal axilla-derived fibroblast cell line cell that derives from human.
independent continuant;immortal peripheral neuron cell line cell;a immortal neuron cell line cell that is derived from peripheral neuron
independent continuant;rcb1101 cell;a immortal mouse embryo-derived cell line cell that has the characteristics: producer of momlv-derived retrovirus including human tnf-alpha cdna.
independent continuant;immortal mus musculus x rattus norvegicus area x-derived cell line cell;an immortal area x-derived cell line cell that derives from mus musculus x rattus norvegicus.
independent continuant;immortal adrenal gland-derived cell line cell;an immortal cell line cell that derives from adrenal gland.
independent continuant;rcb1283 cell;a immortal mouse skin-derived cell line cell that has the characteristics: mouse melanoma producing melanin.
independent continuant;immortal mus musculus x rattus norvegicus cell line cell;an immortal cell line cell that derives from mus musculus x rattus norvegicus.
independent continuant;immortal islet of langerhans-derived cell line cell;an immortal cell line cell that derives from islet of langerhans.
independent continuant;immortal vervet monkey pair of lungs-derived cell line cell;an immortal pair of lungs-derived cell line cell that derives from vervet monkey.
independent continuant;rcb1759 cell;a immortal chicken b cell line cell that has the characteristics: subline of dt40 cell line, lacking both of dnapk and ku70 expression.
independent continuant;rcb1682 cell;a immortal human ovary-derived fibroblast cell line cell that has the characteristics: human ovary mucinous tubular adenocarcinoma cell line. cell growth is slow.
independent continuant;rcb0869 cell;a mouse x mouse hybridoma cell line cell that has the characteristics: anti-human-myeloperoxidase moab producing.
independent continuant;immortal true toad cell line cell;an immortal cell line cell that derives from true toad.
independent continuant;immortal abdominal aorta-derived cell line cell;an immortal cell line cell that derives from abdominal aorta.
independent continuant;immortal walking catfish gill-derived cell line cell;an immortal gill-derived cell line cell that derives from walking catfish.
independent continuant;rcb1461 cell;a immortal rat cell line cell that has the characteristics: subclone of ah-66, lost transplantability in rats. possible to culture in dmem medium. see rcb0063.
independent continuant;hev0428 cell;a immortal human b cell line cell that has the characteristics: human b lymphocytes transformed by epstein-barr virus. hla a*24:02 a*26:01, b*40:02 b*52:01, c*03:04 c*12:02, drb1*08:02 drb1*15:02, dqb1*03:02 dqb1*06:01, dpb1*02:01 dpb1*09:01
independent continuant;immortal abdominal cavity-derived cell line cell;an immortal cell line cell that derives from abdominal cavity.
independent continuant;immortal european rabbit, rabbit embryo-derived cell line cell;an immortal embryo-derived cell line cell that derives from european rabbit, rabbit.
independent continuant;rcb1902 cell;a immortal human tongue-derived cell line cell that has the characteristics: human tongue squamous cell carcinoma derived cell line. tkg0489 (deposited from tohoku univ.).
independent continuant;immortal patas monkey arm-derived fibroblast cell line cell;an immortal arm-derived fibroblast cell line cell that derives from patas monkey.
independent continuant;immortal human limb/fin-derived cell line cell;an immortal limb/fin-derived cell line cell that derives from human.
independent continuant;immortal trachealis-derived smooth muscle cell line cell;an immortal smooth muscle cell line cell that derives from trachealis.
independent continuant;rcb1471 cell;a immortal chicken b cell line cell that has the characteristics: lyn deficient dt40 cells
independent continuant;immortal human gingival epithelium-derived cell line cell;an immortal gingival epithelium-derived cell line cell that derives from human.
independent continuant;immortal hypodermis-derived cell line cell;an immortal cell line cell that derives from hypodermis.
independent continuant;immortal human cervix-derived fibroblast cell line cell;an immortal cervix-derived fibroblast cell line cell that derives from human.
independent continuant;immortal leydig cell line cell;a immortal endocrine cell line that is derived from leydig cell
independent continuant;gmc0020 cell;a immortal human lymphocyte cell line cell that has the characteristics: human b cell line derived from werner syndrome (questionable) patient and transformed by epstein-barr virus. the same patient as gmc0024.
independent continuant;immortal turnip moth cell line cell;an immortal cell line cell that derives from turnip moth.
independent continuant;immortal mouse blood cell line cell;an immortal blood cell line cell that derives from mouse.
independent continuant;immortal aggregate cell line cell;a immortal vegetative cell line (sensu mycetozoa) that is derived from aggregate cell
independent continuant;rcb2362 cell;a immortal human prostate gland-derived cell line cell that has the characteristics: human cell line derived from malignant peripheral nerve sheath tumor.
independent continuant;rcb1982 cell;a immortal human blood cell line cell that has the characteristics: human cell line derived from t cell leukemia. tkg0385(deposited from tohoku univ.).
independent continuant;immortal mouse mast cell line cell;an immortal mast cell line cell that derives from mouse.
independent continuant;immortal mouse precursor b cell line cell;an immortal precursor b cell line cell that derives from mouse.
independent continuant;rcb0483 cell;a immortal human bone marrow-derived cell line cell that has the characteristics: n-myc gene amplification
independent continuant;hsc0092 cell;a immortal human b cell line cell that has the characteristics: human b lymphocytes transformed by epstein-barr virus. this b cell lines derived from mongoloid minority groups in south america.
independent continuant;rcb1450 cell;a immortal mouse cell line cell that has the characteristics: a highly metastatic cell line derived from dunn's osteosarcoma (c3h mouse origin).
independent continuant;hse-bla hela;hela cells modified with a beta-lactamase reporter under control of the heat shock response elements
independent continuant;rcb2114 cell;a immortal mouse bone marrow-derived cell line cell that has the characteristics: mouse mesenchymal cell line derived from bone marrow. c3h/he
independent continuant;immortal human colon-derived cell line cell;an immortal colon-derived cell line cell that derives from human.
independent continuant;immortal european rabbit, rabbit fetal membrane-derived cell line cell;an immortal fetal membrane-derived cell line cell that derives from european rabbit, rabbit.
