independent continuant;loment fruit;a legume fruit (po:0030100) which at maturity separates into indehiscent, one-seeded segments.
independent continuant;lower glume of sessile spikelet of tassel;a lower glume of tassel spikelet that is part of a tassel sessile spikelet.
independent continuant;synergid;cell, usually two in number, in the micropylar end of the embryo sac of angiosperms associated with the egg in the egg apparatus.
independent continuant;sorus;a collective plant organ structure (po:0025007) on the surface of a vascular leaf (po:0009025) that has as part a cluster of two or more adjacent sporangia (po:0025094).
independent continuant;stem stele;a shoot axis stele that is part of a stem.
independent continuant;aerial tuber;a shoot axis tuber (po:0004543) that develops above ground.
independent continuant;testa;that part of the seed coat that develops from the outer integument, or from the single integument when there is only one.
independent continuant;stamen;a microsporophyll bearing one or more microsporangia.
independent continuant;first order ear inflorescence axis;a first order inflorescence axis (po:0025104) that is the primary axis of an ear inflorescence (po:0020136).
independent continuant;shoot-borne root epidermis;a portion of root epidermis (po:0006036) that is part of a shoot-borne root (po:0000042).
independent continuant;ear inflorescence axillary meristem;an inflorescence axillary meristem (po:0009105) that gives rise to a higher order inflorescence axis (po:0009081) of an ear inflorescence (po:0020136).
independent continuant;leaf lamina tooth;a phyllome lamina tooth (po:0025515) that is an angular projection on a leaf margin (po:0020128) for which the corresponding leaf sinus (po:0025384) extends less than one quarter of the distance to the center of the long axis of the leaf lamina (po:0020039).
independent continuant;silica cell;cells with deposits of silica in them. one of the two types of short cells in the epidermis of grasses and bamboos. it is usually paired with epidermal cork cell.
independent continuant;sepal tip;a phyllome tip that is part of a sepal apex.
independent continuant;prophyll;a phyllome that is the first organ or one of the first two organs formed at the base of an axillary shoot, often smaller and/or in a distinctively different position from leaves formed subsequently.
independent continuant;petiole lamina;a lamina (po:0025060) that is part of a petiole (po:0020038).
independent continuant;leaf abaxial stomatal complex;a leaf stomatal complex (po:0025183) that is part of a leaf abaxial epidermis (po:0006019).
independent continuant;antipodal cell;cell, commonly three in number as in the eight-nucleate embryo sac, located at the other end of the embryo sac from the egg cell.
independent continuant;inflorescence axillary meristem;an inflorescence meristem (po:0009108) that gives rise to a higher order inflorescence axis (po:0009081).
