independent continuant;cervix glandular epithelium;a glandular epithelium that is part of a uterine cervix.
independent continuant;female organism;gonochoristic organism that can produce female gametes.
independent continuant;vibrissal follicle-sinus complex;a sensory receptor of the mammalian integument system that consist of a blood sinus plus follicle, and sometimes concentric rings of epidermal tissue.
independent continuant;interdigital region mesenchyme;mesenchyme that is part of a developing interdigital region.
independent continuant;pedal digit 1 metatarsal pre-cartilage condensation;a pedal digit metatarsal pre-cartilage condensation that is part of a pedal digit 1 mesenchyme.
independent continuant;metacarpal extensor pit;pits located on the proximodorsal part of metacarpals denoting the attachemnt sites for ligaments.
independent continuant;scleral ossicle;a bony plate around the eyes, are situated at the corneal-scleral limbus. they do not articulate with other elements of the skull. typically, the scleral ossicles overlap the rim of a cup of scleral cartilage that supports the eyeball. situated near the equator of the eye and may slightly overlap the rim of scleral cartilage.
independent continuant;crypt of lieberkuhn of jejunum;an intestinal crypt that is located in the jejunum.
independent continuant;anterodorsal lateral line nerve (adlln);sensory nerve of the anterior lateral line component. it develops from the preotic anterodorsal placode. adlln branches into two rami innervating orbital lines of neuromasts.
independent continuant;barbed keratin-coated spine;a keratin-coated spine that is tipped with a barb.
independent continuant;extrascapula;dermal canal-bearing bone placed at the dorso-posterior region of the skull roof, lying on the posterior region of the pterotic and parietals, or the pterotic and epioccipital, or on the pterotic, epioccipital and occipital bones.
independent continuant;ulnare;the postaxial bone of the proximal carpal region. found in close approximation to the ulna, often in articulation[phenoscape:ad].
independent continuant;cardiac muscle tissue;muscle tissue composed of cardiac muscle cells, forming the muscles of the heart[zfa,modified].
independent continuant;pancreas secretion;a secretion that is part of a pancreas [automatically generated definition].
independent continuant;jugal point;the jugal point is the point at the anterior end of the upper border of the zygomatic arch where the masseteric and maxillary edges meet at an angle.
independent continuant;capsule of ovary;a capsule that surrounds a female gonad.
independent continuant;inferior vagus x ganglion;the large group of sensory neuron cell bodies, anterior to the jugular vein, associated with the vagus nerve (tenth cranial nerve).
independent continuant;supraneural 5 element;supraneural element dorsal to neural spine 5.
independent continuant;efferent duct;the efferent ducts (or efferent ductules or ductuli efferentes) connect the rete testis with the initial section of the epididymis. the ductuli are unilaminar and composed of columnar ciliated and non-ciliated (absorptive) cells. the ciliated cells serve to stir the luminal fluids, possibly to help ensure homogeneous absorption of water from the fluid produced by the testis, which results in an increase in the concentration of luminal sperm. the epithelium is surrounded by a band of smooth muscle that helps to propel the sperm toward the epididymis.
independent continuant;internal female genitalia;the internal feminine genital organs, including the ovaries, uterine tubes, uterus, uterine cervix, and vagina.
independent continuant;iliofemoralis muscle;limb extensor that runs from ilium to femur.
independent continuant;parotid main excretory duct;the main excretory tubular canal that connects the parotid gland and the buccal mucosa and secretes a serous saliva into the vestibule of the oral cavity. it arises from the anterior surface of the gland, traversing the masseter muscle. the duct then pierces the buccinator muscle, moving medially, and opens out into the oral cavity near the second upper molar. saliva produced by acinar secretory cells in the glandular body flows sequentially through the intercalated ducts, striated ducts, and excretory ducts.
independent continuant;mucoid tissue;loose connective tissue, the intercellular matrix of which consists predominantly of mucoid ground substance. examples: mucoid tissue of umbilical cord, mucoid tissue of vitreous body, mucoid tissue of nucleus pulposus.
independent continuant;trochanteric crest;paired ridges on the ventral surface of the femoral shaft that run toward the femoral trochanter. the posterior crest is less developed.
independent continuant;basibranchial series;anatomical cluster that consists of the basibranchial elements within an individual.
independent continuant;prezygapophysis of thoracic vertebra;a prezygapophysis that is part of a thoracic vertebra.
independent continuant;orthokeratinized epithelium;a keratinized epithelium in which the cells of the stratum corneum become very flat, loose their nuclei and cytoplasmic organelles and are now composed of densely packed tonofilaments cemented by filaggrin.
independent continuant;pelvic fin middle radial bone;pelvic fin radial in the middle of the pelvic fin.
independent continuant;epibranchial placode;focal thickenings of the embryonic ectoderm that form immediately dorsal and caudal of the clefts between the pharyngeal arches and that produce the neuroblasts that migrate and condense to form the distal cranial ganglia.
independent continuant;corpuscle of de quatrefage;a specialised sensory organ located in the subepidermal connective tissue at the rostral end of late larval and adult amphioxus. they consist of between 1 and 4 nerve cells with axons, each with 2 cilia, surrounded by up to 7 sheath cells. the cilia extend into a protrusion of the basal lamina which surrounds each corpuscle. the axonal process contributes to the rostral nerve.
independent continuant;abductor pollicis, radioulna-prepollox;originates on the distal radioulna and inserts on the palmar prepollex.
independent continuant;elastic tissue;connective tissue composed of elastic fibers.
independent continuant;insect embryonic abdomen;abdomen of the embryo.
independent continuant;male urethra;a urethra that is part of a male reproductive system.
independent continuant;adventitia of seminal vesicle;an adventitia that is part of a seminal vesicle.
independent continuant;pharyngeal ectoderm;the external part of the developing pharynx that is made of ectoderm. during vertebrate development, pockets form in pharyngeal ectoderm between the pharyngeal arches.
independent continuant;2nd arch mesenchyme;mesenchyme that is part of a pharyngeal arch 2.
independent continuant;tract of spinal cord;an axon tract that is part of a spinal cord.
independent continuant;right lung lobar bronchus mesenchyme;the right lung lobar bronchus mesenchyme is a type of tissue made up of loosely-packed mesenchymal cells in the right lung lobar bronchus.
independent continuant;posterior cranial fossa;the infratentorial compartment that contains the cerebellum and brain stem. it is formed by the posterior third of the superior surface of the body of the sphenoid (sphenoid bone), by the occipital, the petrous, and mastoid portions of the temporal bone, and the posterior inferior angle of the parietal bone.
independent continuant;epiphysis of first metacarpal bone;an epiphysis that is part of a metacarpal bone of digit 1 [automatically generated definition].
independent continuant;hepatopancreatic ampulla;a dilation of the duodenal papilla that is the opening of the juncture of the common bile duct and the main pancreatic duct.
independent continuant;dorsal longitudinal anastomotic vessel;trunk vessel that connects to the primitive hindbrain channel and the basilar artery at the caudal end of the medulla oblongata. isogai et al. 2001.
independent continuant;pancreatic duct;a duct that collects and carries secretions of the exocrine pancreas to the intestine.
independent continuant;plantar part of pes;the sole is the bottom of the foot.
independent continuant;margo anterior of scapula;anterior margin of the scapula.
