independent continuant;evidence information from cyp450 recombinant drug metabolism identification experiment;an evidence information content entity that is about an in vitro assay that has a part of a drug or a drug metabolite, which participate in a metabolic process that has cyp 450 as a participant, as a specified input, and that has a cell line as a specified input.
independent continuant;pooled human liver microsomal fraction;a processed material that has a centrifuge pellet role resulting from high-speed centrifugation of a pool of human liver s9 fractions, which is derived from multiple donors
independent continuant;material entity participant in drug-drug interaction;a material entity that is either drug product or an ingredient thereof and that participates in a drug-drug interaction.
independent continuant;mdck transfected cell;an mdck cell that is the specified output of a transfection
independent continuant;cryopreserved human hepatocyte population;a cultured cell population that is derived from hepatocytes isolated from a human being and that has undergone cryopreservation
independent continuant;freshly isolated human hepatocyte population;a cultured cell population that is derived from hepatocytes freshly isolated from a human being
independent continuant;transgenic animal hepatocyte population;a cultured cell population that is derived from cells isolated from the liver of a transgenic organism
independent continuant;e. coli recombinant protein production host cell;a cultured cell of the species escherichia coli that bears a recombinant protein production host role
independent continuant;evidence information from cyp450 recombinant drug metabolism identification experiment using chemical inhibitors;an evidence information content entity that is about an in vitro assay that has a part of a drug or a drug metabolite, which participate in a metabolic process that has cyp 450 as a participant, as a specified input, and that has human tissue specimen as a specified input, and that has chemical inhibitors as a specified input.
independent continuant;evidence information from cyp450 metabolic enzyme inhibition experiment;an evidence information content entity that is about an in vitro assay and that has parts of a drug or drug metabolites, which participate in a negative regulation of a metabolic process that also involves cyp 450, as it's specified input.
independent continuant;evidence information from cyp450 recombinant drug metabolism inhibition experiment;an evidence information content entity that is about an in vitro assay and that has parts of a drug or drug metabolites, which participate in a negative regulation of a metabolic process that also involves cyp 450, as it's specified input, and that has cell lines as a specified input.
independent continuant;cho transfected cell;a cho cell that is a specified output of a transfection
independent continuant;individual human intestinal microsomal fraction;a processed material that has a centrifuge pellet role resulting from high-speed centrifugation of a human intestine s9 fraction, which is derived from a single donor
independent continuant;293 transfected cell;a 293-derived cell that is a specified output of a transfection
independent continuant;fa2n-4 cell;an immortal human liver-derived cell line cell that is part of the fa2n-4 cell line
independent continuant;sirna knockout caco-2 cell;a caco-2 cell that is a specified output of a gene knockout that has specified input sirna
independent continuant;evidence information from cyp450 human microsome drug metabolism identification experiment;an evidence information content entity that is about an in vitro assay that has a part of a drug or a drug metabolite, which participate in a metabolic process that has cyp 450 as a participant, as a specified input, and that has human tissue specimen as a specified input.
independent continuant;evidence information from cyp450 human microsome drug metabolism identification experiment using chemical inhibitors;an evidence information content entity that is about an in vitro assay that has a part of a drug or a drug metabolite, which participate in a metabolic process that has cyp 450 as a participant, as a specified input, and that has human tissue specimen as a specified input, and that has chemical inhibitors as a specified input.
independent continuant;hep g2 transfected cell;a hep g2 cell that has a target of material addition role and is a specified input of a transfection
independent continuant;evidence information from cyp450 human microsome drug metabolism inhibition experiment;an evidence information content entity that is about an in vitro assay and that has parts of a drug or drug metabolites, which participate in a negative regulation of a metabolic process that also involves cyp 450, as it's specified input, and that has human tissue specimens as a specified input.
independent continuant;sandwich cultured hepatocyte population;a cultured cell population derived from hepatocytes, in which, during the culturing process, the cells occupy a region bound by two parallel plates made of gelled collagen
independent continuant;hep g2 cell;an immortal human liver-derived cell line cell that is part of the hep g2 cell line
independent continuant;evidence information from cyp450 drug metabolism identification experiment;an evidence information content entity that is about an in vitro assay that has a part of a drug or a drug metabolite, which participate in a metabolic process that has cyp 450 as a participant, as a specified input.
independent continuant;evidence information from drug metabolism inhibition experiment;an evidence information content entity that is about an in vitro assay and that has parts of a drug or drug metabolites, which participate in a negative regulation of a metabolic process, as it's specified input.
independent continuant;human liver s9 fraction;a processed material that has a supernatant role resulting from medium-speed centrifugation of a human liver homogenate
independent continuant;hbg bc2 cell;an immortal human liver-derived cell line cell that is part of the hbg bc2 cell line
independent continuant;human liver cytosolic fraction;a processed material that has a supernatant role resulting from high-speed centrifugation of a human liver s9 fraction
independent continuant;evidence information from cyp450 human microsome drug metabolism identification experiment using antibody inhibitors;an evidence information content entity that is about an in vitro assay that has a part of a drug or a drug metabolite, which participate in a metabolic process that has cyp 450 as a participant, as a specified input, and that has human tissue specimen as a specified input, and that has antibody inhibitors as a specified input.
independent continuant;human intestine s9 fraction;a processed material that has a supernatant role resulting from medium-speed centrifugation of a human intestine homogenate
independent continuant;human intestine cytosolic fraction;a processed material that has a supernatant role resulting from high-speed centrifugation of a human intestine s9 fraction
independent continuant;pooled human intestinal microsomal fraction;a processed material that has a centrifuge pellet role resulting from high-speed centrifugation of a pool of human intestine s9 fractions, which is derived from multiple donors
independent continuant;baculovirus-insect recombinant protein production host cell;a cultured cell that is part of a culture derived from an insect and has a recombinant protein production host role
independent continuant;human intestinal epithelial cell population;a cultured cell population derived from cells isolated from human intestinal epithelium
independent continuant;individual human liver microsomal fraction;a processed material that has a centrifuge pellet role resulting from high-speed centrifugation of a human liver s9 fraction, which is derived from a single donor
independent continuant;evidence information from cyp450 recombinant drug metabolism identification experiment using antibody inhibitors;an evidence information content entity that is about an in vitro assay that has a part of a drug or a drug metabolite, which participate in a metabolic process that has cyp 450 as a participant, as a specified input, and that has human tissue specimen as a specified input, and that has antibody inhibitors as a specified input.
independent continuant;heparg cell;an immortal human liver-derived cell line cell that is part of the heparg cell line
specifically dependent continuant;evidence information from drug metabolism inhibition experiment;an evidence information content entity that is about an in vitro assay and that has parts of a drug or drug metabolites, which participate in a negative regulation of a metabolic process, as it's specified input.
specifically dependent continuant;evidence information from cyp450 metabolic enzyme inhibition experiment;an evidence information content entity that is about an in vitro assay and that has parts of a drug or drug metabolites, which participate in a negative regulation of a metabolic process that also involves cyp 450, as it's specified input.
