process;s-ribosylation;formation of a covalent bond between a sulfur atom in a substrate and a ribosyl group.
process;deglutamoylation;breaking of a covalent bond between a substrate and a glutamoyl group.
process;c-beta-aspartylation;formation of a covalent bond between a carbon atom in a substrate and a beta-aspartyl group.
process;polyprenylation;formation of a covalent bond between a substrate and a polyprenyl group.
process;n-d-alpha-glutamylation;formation of a covalent bond between a nitrogen atom in a substrate and a d-alpha-glutamyl group.
process;o-stannylation;formation of a covalent bond between an oxygen atom in a substrate and a stannyl group.
process;o-fluorosylation;formation of a covalent bond between an oxygen atom in a substrate and a fluorosyl group.
process;montanoylation;formation of a covalent bond between a substrate and a montanoyl group.
process;sulfinylation;formation of a covalent bond between a substrate and a sulfinyl group.
process;n-retinoylation;formation of a covalent bond between a nitrogen atom in a substrate and a retinoyl group.
process;s-boranetriylation;formation of a covalent bond between a sulfur atom in a substrate and a boranetriyl group.
process;c-trans,trans-hepta-2,4,6-trienoylation;formation of a covalent bond between a carbon atom in a substrate and a trans,trans-hepta-2,4,6-trienoyl group.
process;naphthylation;formation of a covalent bond between a substrate and a naphthyl group.
process;o-acetylation;formation of a covalent bond between an oxygen atom in a substrate and an acetyl group.
process;de-n-acetyl-beta-d-glucosaminyl-1,4-(n-acetyl-d-glucosaminyl-1,2)-alpha-d-mannosyl-1,3-(beta-n-acetyl-d-glucosaminyl-1,2-alpha-d-mannosyl-1,6)-beta-d-mannosylation;breaking of a covalent bond between a substrate and an n-acetyl-beta-d-glucosaminyl-1,4-(n-acetyl-d-glucosaminyl-1,2)-alpha-d-mannosyl-1,3-(beta-n-acetyl-d-glucosaminyl-1,2-alpha-d-mannosyl-1,6)-beta-d-mannosyl group.
process;c-anthracen-2-ylation;formation of a covalent bond between a carbon atom in a substrate and an anthracen-2-yl group.
process;n-n-acetyl-beta-d-glucosaminyl-1,6-(n-acetyl-beta-d-glucosaminyl-1,2)-beta-d-mannosylation;formation of a covalent bond between a nitrogen atom in a substrate and an n-acetyl-beta-d-glucosaminyl-1,6-(n-acetyl-beta-d-glucosaminyl-1,2)-beta-d-mannosyl group.
process;o-d-selenocysteinylation;formation of a covalent bond between an oxygen atom in a substrate and a d-selenocysteinyl group.
process;s-stiborylation;formation of a covalent bond between a sulfur atom in a substrate and a stiboryl group.
process;lignocerylation;formation of a covalent bond between a substrate and a lignoceryl group.
process;delignocerylation;breaking of a covalent bond between a substrate and a lignoceryl group.
process;o-aspartoylation;formation of a covalent bond between an oxygen atom in a substrate and an aspartoyl group.
process;c-sialoylation;formation of a covalent bond between a carbon atom in a substrate and a sialoyl group.
process;n-nonanoylation;formation of a covalent bond between a nitrogen atom in a substrate and a nonanoyl group.
process;radical formation;a molecular process in which a molecular entity possessing an unpaired electron is formed.
process;c-lignocerylation;formation of a covalent bond between a carbon atom in a substrate and a lignoceryl group.
process;o-3-furylation;formation of a covalent bond between an oxygen atom in a substrate and a 3-furyl group.
process;c-carbamimidoylation;formation of a covalent bond between a carbon atom in a substrate and a carbamimidoyl group.
process;c-azonoylation;formation of a covalent bond between a carbon atom in a substrate and an azonoyl group.
process;tetrasulfanediylation;formation of a covalent bond between a substrate and a tetrasulfanediyl group.
process;n-nosylation;formation of a covalent bond between a nitrogen atom in a substrate and a nosyl group.
process;o-beta-muramylation;formation of a covalent bond between an oxygen atom in a substrate and a beta-muramyl group.
process;dehexanedioylation;breaking of a covalent bond between a substrate and a hexanedioyl group.
process;o-carbamoylcarbamoylation;formation of a covalent bond between an oxygen atom in a substrate and a carbamoylcarbamoyl group.
process;formation of covalent bond with carbon centre;formation of a covalent bond with a group where the free valence is on a carbon centre.
process;c-behenylation;formation of a covalent bond between a carbon atom in a substrate and a behenyl group.
process;palmitoleoylation;formation of a covalent bond between a substrate and a palmitoleoyl group.
process;desulfonylation;breaking of a covalent bond between a substrate and a sulfonyl group.
process;s-azaniumylation;formation of a covalent bond between a sulfur atom in a substrate and an azaniumyl group.
process;n-pentan-2-ylation;formation of a covalent bond between a nitrogen atom in a substrate and a pentan-2-yl group.
process;ring-opening copolymerisation;a ring-opening polymerisation where the product is a copolymer.
process;tellanylation;formation of a covalent bond between a substrate and a tellanyl group.
process;butanolysis;an alcoholysis reaction where the solvent alcohol is a butanol.
process;c-undecylation;formation of a covalent bond between a carbon atom in a substrate and an undecyl group.
process;1/5/elimination reaction;an elimination reaction where the groups are lost from atoms that are 1,5- to each other.
process;s-2-aminoethylation;formation of a covalent bond between a sulfur atom in a substrate and a 2-aminoethyl group.
process;n-butyrylation;formation of a covalent bond between a nitrogen atom in a substrate and a butyryl group.
process;n-oxalylation;formation of a covalent bond between a nitrogen atom in a substrate and an oxalyl group.
process;benzoylation;formation of a covalent bond between a substrate and a benzoyl group.
process;s-montanoylation;formation of a covalent bond between a sulfur atom in a substrate and a montanoyl group.
process;de-l-alpha-glutamylation;breaking of a covalent bond between a substrate and an l-alpha-glutamyl group.
process;deorganic heterocyclylation;breaking of a covalent bond between a substrate and an organic heterocyclyl group.
process;dealanylation;breaking of a covalent bond between a substrate and an alanyl group.
process;stannanetriylation;formation of a covalent bond between a substrate and a stannanetriyl group.
process;detrioxidanylation;breaking of a covalent bond between a substrate and a trioxidanyl group.
process;heteroarylation;formation of a covalent bond between a substrate and a heteroaryl group.
process;de-2-(aminomethylidene)hydrazinylation;breaking of a covalent bond between a substrate and a 2-(aminomethylidene)hydrazinyl group.
process;n-acetyl-beta-d-glucosaminyl-1,6-beta-d-galactosyl-1,4-n-acetyl-d-glucosaminylation;formation of a covalent bond between a substrate and an n-acetyl-beta-d-glucosaminyl-1,6-beta-d-galactosyl-1,4-n-acetyl-d-glucosaminyl group.
process;s-glycosylation;formation of a covalent bond between a sulfur atom in a substrate and a glycosyl group.
process;n-hexanoylation;formation of a covalent bond between a nitrogen atom in a substrate and a hexanoyl group.
process;glutamoylation;formation of a covalent bond between a substrate and a glutamoyl group.
process;phosphoramidochloridoylation;formation of a covalent bond between a substrate and a phosphoramidochloridoyl group.
process;univalent carboacylation;formation of a covalent bond between a substrate and an univalent carboacyl group.
process;o-hexanoylation;formation of a covalent bond between an oxygen atom in a substrate and a hexanoyl group.
process;s-n-acetyl-d-glucosaminylation;formation of a covalent bond between a sulfur atom in a substrate and an n-acetyl-d-glucosaminyl group.
process;dedeoxyhypusinylation;breaking of a covalent bond between a substrate and a deoxyhypusinyl group.
process;o-propionylation;formation of a covalent bond between an oxygen atom in a substrate and a propionyl group.
process;tellanediylation;formation of a covalent bond between a substrate and a tellanediyl group.
process;de-l-threonin-o(3)-ylation;breaking of a covalent bond between a substrate and an l-threonin-o(3)-yl group.
process;s-allylation;formation of a covalent bond between a sulfur atom in a substrate and an allyl group.
process;n-iodosylation;formation of a covalent bond between a nitrogen atom in a substrate and an iodosyl group.
process;o-nervonoylation;formation of a covalent bond between an oxygen atom in a substrate and a nervonoyl group.
process;endothermic reaction;a reaction for which the overall standard enthalpy change is positive.
process;3-exo-trig cyclization;an exocyclization where a three-membered ring is formed with bond formation at a trigonal centre.
process;de-n-hydroxyacetimidoylation;breaking of a covalent bond between a substrate and an n-hydroxyacetimidoyl group.
process;o-alkylamination;formation of a covalent bond between an oxygen atom in a substrate and an alkylamino group.
process;c-threonin-o(3)-ylation;formation of a covalent bond between a carbon atom in a substrate and a threonin-o(3)-yl group.
process;s-arsanetriylation;formation of a covalent bond between a sulfur atom in a substrate and an arsanetriyl group.
process;c-d-glucuronoylation;formation of a covalent bond between a carbon atom in a substrate and a d-glucuronoyl group.
process;octylation;formation of a covalent bond between a substrate and an octyl group.
process;oxidation;the complete, net removal of one or mole electrons from a molecular entity, corresponding to an increase in the oxidation number of any atom within any substrate.
process;c-arylation;formation of a covalent bond between a carbon atom in a substrate and an aryl group.
process;c-tellaniumylation;formation of a covalent bond between a carbon atom in a substrate and a tellaniumyl group.
process;(s)-lipoylation;formation of a covalent bond between a substrate and an (s)-lipoyl group.
process;tertiary alkene oxidation to carboxylic acid and ketone;an alkene oxidation where the reactant is a tertiary alkene and the products are the corresponding carboxylic acid and ketone. this can be achieved with a warm, acidic solution of potassium permanganate.
process;n-halogenation;formation of a covalent bond between a nitrogen atom in a substrate and a halo group.
process;o-adamantan-2-ylation;formation of a covalent bond between an oxygen atom in a substrate and an adamantan-2-yl group.
process;n-parinaroylation;formation of a covalent bond between a nitrogen atom in a substrate and a parinaroyl group.
process;s-benzylation;formation of a covalent bond between a sulfur atom in a substrate and a benzyl group.
process;o-glycosaminylation;formation of a covalent bond between an oxygen atom in a substrate and a glycosaminyl group.
process;n-silanetetraylation;formation of a covalent bond between a nitrogen atom in a substrate and a silanetetrayl group.
process;o-3-carboxyprop-2-enoylation;formation of a covalent bond between an oxygen atom in a substrate and a 3-carboxyprop-2-enoyl group.
process;d-alpha-aspartylation;formation of a covalent bond between a substrate and a d-alpha-aspartyl group.
process;devalylation;breaking of a covalent bond between a substrate and a valyl group.
process;alkenylation;formation of a covalent bond between a substrate and an alkenyl group.
process;s-silylation;formation of a covalent bond between a sulfur atom in a substrate and a silyl group.
process;c-cerylation;formation of a covalent bond between a carbon atom in a substrate and a ceryl group.
process;o-l-aspartoylation;formation of a covalent bond between an oxygen atom in a substrate and an l-aspartoyl group.
process;s-l-prolylation;formation of a covalent bond between a sulfur atom in a substrate and an l-prolyl group.
process;s-phosphoramidochloridoylation;formation of a covalent bond between a sulfur atom in a substrate and a phosphoramidochloridoyl group.
process;c-glycidylation;formation of a covalent bond between a carbon atom in a substrate and a glycidyl group.
process;c-alanylation;formation of a covalent bond between a carbon atom in a substrate and an alanyl group.
process;3-exo-tet cyclization;an exocyclization where a three-membered ring is formed with bond formation at a tetragonal centre.
process;n-l-alanylation;formation of a covalent bond between a nitrogen atom in a substrate and an l-alanyl group.
process;de-l-serylation;breaking of a covalent bond between a substrate and an l-seryl group.
process;s-isopropylation;formation of a covalent bond between a sulfur atom in a substrate and an isopropyl group.
process;deaspartoylation;breaking of a covalent bond between a substrate and an aspartoyl group.
process;formation of covalent bond with bromine centre;formation of a covalent bond with a group where the free valence is on a bromine centre.
process;depentan-3-ylation;breaking of a covalent bond between a substrate and a pentan-3-yl group.
process;c-1-naphthylation;formation of a covalent bond between a carbon atom in a substrate and a 1-naphthyl group.
process;c-d-galactosyl-1,4beta-d-glucosylation;formation of a covalent bond between a carbon atom in a substrate and a d-galactosyl-1,4beta-d-glucosyl group.
process;c-thiocarbonylation;formation of a covalent bond between a carbon atom in a substrate and a thiocarbonyl group.
process;n-tert-butyldimethylsilylation;formation of a covalent bond between a nitrogen atom in a substrate and a tert-butyldimethylsilyl group.
process;n-univalent carbothioacylation;formation of a covalent bond between a nitrogen atom in a substrate and an univalent carbothioacyl group.
process;n-d-galactosyl-(1->4)-beta-d-glucosylation;formation of a covalent bond between a nitrogen atom in a substrate and a d-galactosyl-(1->4)-beta-d-glucosyl group.
process;o-propylation;formation of a covalent bond between an oxygen atom in a substrate and a propyl group.
process;n-glutamoylation;formation of a covalent bond between a nitrogen atom in a substrate and a glutamoyl group.
process;graft polymerisation;a polymerisation in which a graft polymer is formed.
process;n-ditellanylation;formation of a covalent bond between a nitrogen atom in a substrate and a ditellanyl group.
process;decyclopropylation;breaking of a covalent bond between a substrate and a cyclopropyl group.
process;n-aspartoylation;formation of a covalent bond between a nitrogen atom in a substrate and an aspartoyl group.
process;c-n-acetyl-beta-d-glucosaminyl-1,2-(n-acetyl-beta-d-glucosaminyl-1,6)-1,2-alpha-d-mannosyl-1,3(6)-(n-acetyl-beta-d-glucosaminyl-1,2-alpha-d-mannosyl-1,6(3))-beta-d-mannosyl-1,4-n-acetyl-beta-d-glucosaminylation;formation of a covalent bond between a carbon atom in a substrate and an n-acetyl-beta-d-glucosaminyl-1,2-(n-acetyl-beta-d-glucosaminyl-1,6)-1,2-alpha-d-mannosyl-1,3(6)-(n-acetyl-beta-d-glucosaminyl-1,2-alpha-d-mannosyl-1,6(3))-beta-d-mannosyl-1,4-n-acetyl-beta-d-glucosaminyl group.
process;de-2-naphthylation;breaking of a covalent bond between a substrate and a 2-naphthyl group.
process;5'-inosinylation;formation of a covalent bond between a substrate and a 5'-inosinyl group.
process;o-dihydrolipoylation;formation of a covalent bond between an oxygen atom in a substrate and a dihydrolipoyl group.
process;s-l-alpha-glutamylation;formation of a covalent bond between a sulfur atom in a substrate and an l-alpha-glutamyl group.
process;n-d-methionylation;formation of a covalent bond between a nitrogen atom in a substrate and a d-methionyl group.
process;s-plumbylation;formation of a covalent bond between a sulfur atom in a substrate and a plumbyl group.
process;n-sulfonodithioylation;formation of a covalent bond between a nitrogen atom in a substrate and a sulfonodithioyl group.
process;acid catalysis;catalysis of a reaction where the catalyst either donates a hydron or accepts an electron pair.
process;n-disiloxane-1,3-diylation;formation of a covalent bond between a nitrogen atom in a substrate and a disiloxane-1,3-diyl group.
process;c-gondoylation;formation of a covalent bond between a carbon atom in a substrate and a gondoyl group.
process;d-arginylation;formation of a covalent bond between a substrate and a d-arginyl group.
process;o-polyprenylation;formation of a covalent bond between an oxygen atom in a substrate and a polyprenyl group.
process;depentadecylation;breaking of a covalent bond between a substrate and a pentadecyl group.
process;o-azanediylation;formation of a covalent bond between an oxygen atom in a substrate and an azanediyl group.
process;s-mevalonoylation;formation of a covalent bond between a sulfur atom in a substrate and a mevalonoyl group.
process;cis-vaccenoylation;formation of a covalent bond between a substrate and a cis-vaccenoyl group.
process;secondary terminal alkene oxidation to ketone and carbon dioxide;an alkene oxidation process where the reactant is a secondary terminal alkene and the products are carbon dioxide and the corresponding ketone. this can be achieved by warm, acidic potassium permanganate solution.
process;c-octadec-9-enoylation;formation of a covalent bond between a carbon atom in a substrate and an octadec-9-enoyl group.
process;o-alpha-glucosylation;formation of a covalent bond between an oxygen atom in a substrate and an alpha-glucosyl group.
process;o-alpha-linolenoylation;formation of a covalent bond between an oxygen atom in a substrate and an alpha-linolenoyl group.
process;formation of covalent bond with tin centre;formation of a covalent bond with a group where the free valence is on a tin centre.
process;lewis acid catalysis;catalysis where the catalyst is a lewis acid.
process;desulfanediylation;breaking of a covalent bond between a substrate and a sulfanediyl group.
process;defluorosylation;breaking of a covalent bond between a substrate and a fluorosyl group.
process;deazonoylation;breaking of a covalent bond between a substrate and an azonoyl group.
process;o-sec-butylation;formation of a covalent bond between an oxygen atom in a substrate and a sec-butyl group.
process;7-exo-dig cyclization;an exocyclization where a seven-membered ring is formed with bond formation at a digonal centre.
process;mevalonoylation;formation of a covalent bond between a substrate and a mevalonoyl group.
process;decystein-s-ylation;breaking of a covalent bond between a substrate and a cystein-s-yl group.
process;n-l-alpha-glutamylation;formation of a covalent bond between a nitrogen atom in a substrate and an l-alpha-glutamyl group.
process;de-beta-d-galactosyl-(1,4)-n-acetyl-d-glucosaminylation;breaking of a covalent bond between a substrate and a beta-d-galactosyl-(1,4)-n-acetyl-d-glucosaminyl group.
process;c-selenonation;formation of a covalent bond between a carbon atom in a substrate and a selenono group.
process;c-aminosulfanylation;formation of a covalent bond between a carbon atom in a substrate and an aminosulfanyl group.
process;de-l-tyrosylation;breaking of a covalent bond between a substrate and an l-tyrosyl group.
process;o-arsanediylation;formation of a covalent bond between an oxygen atom in a substrate and an arsanediyl group.
process;s-indiganylation;formation of a covalent bond between a sulfur atom in a substrate and an indiganyl group.
process;demyristoylation;breaking of a covalent bond between a substrate and a myristoyl group.
process;c-cycloalkylation;formation of a covalent bond between a carbon atom in a substrate and a cycloalkyl group.
process;c-n-acetyl-beta-d-glucosaminyl-1,6-(n-acetyl-beta-d-glucosaminyl-1,2)-(n-acetyl-beta-d-glucosaminyl-1,4)-d-mannosylation;formation of a covalent bond between a carbon atom in a substrate and an n-acetyl-beta-d-glucosaminyl-1,6-(n-acetyl-beta-d-glucosaminyl-1,2)-(n-acetyl-beta-d-glucosaminyl-1,4)-d-mannosyl group.
process;palmitylation;formation of a covalent bond between a substrate and a palmityl group.
process;5-exo-trig cyclization;an exocyclization where a five-membered ring is formed with bond formation at a trigonal centre.
process;behenylation;formation of a covalent bond between a substrate and a behenyl group.
process;s-4-hydroxybenzylation;formation of a covalent bond between a sulfur atom in a substrate and a 4-hydroxybenzyl group.
process;o-histidylation;formation of a covalent bond between an oxygen atom in a substrate and a histidyl group.
process;transmetallation;transfer of a metal atom from one substrate to another.
process;s-valylation;formation of a covalent bond between a sulfur atom in a substrate and a valyl group.
process;s-phosphaniumylation;formation of a covalent bond between a sulfur atom in a substrate and a phosphaniumyl group.
process;de-n-oxindolylation;breaking of a covalent bond between a substrate and an n-oxindolyl group.
process;n-guanosylation;formation of a covalent bond between a nitrogen atom in a substrate and a guanosyl group.
process;c-d-galactosyl-1,3-beta-d-galactosyl-1,4-beta-d-glucosylation;formation of a covalent bond between a carbon atom in a substrate and a d-galactosyl-1,3-beta-d-galactosyl-1,4-beta-d-glucosyl group.
process;n-3-carboxyprop-2-enoylation;formation of a covalent bond between a nitrogen atom in a substrate and a 3-carboxyprop-2-enoyl group.
process;de-beta-d-galactosyl-1,3-n-acetyl-d-galactosaminylation;breaking of a covalent bond between a substrate and a beta-d-galactosyl-1,3-n-acetyl-d-galactosaminyl group.
process;o-alpha-aminoacylation;formation of a covalent bond between an oxygen atom in a substrate and an alpha-aminoacyl group.
process;o-tert-pentylation;formation of a covalent bond between an oxygen atom in a substrate and a tert-pentyl group.
process;c-trans-parinaroylation;formation of a covalent bond between a carbon atom in a substrate and a trans-parinaroyl group.
process;o-divalent carbothioacylation;formation of a covalent bond between an oxygen atom in a substrate and a divalent carbothioacyl group.
process;s-l-valylation;formation of a covalent bond between a sulfur atom in a substrate and an l-valyl group.
process;lewis base catalysis;catalysis where the catalyst is a lewis base.
process;c-acetoacetylation;formation of a covalent bond between a carbon atom in a substrate and an acetoacetyl group.
process;o-methylsulfanylation;formation of a covalent bond between an oxygen atom in a substrate and a methylsulfanyl group.
process;c-glycosaminylation;formation of a covalent bond between a carbon atom in a substrate and a glycosaminyl group.
process;decetoleoylation;breaking of a covalent bond between a substrate and a cetoleoyl group.
process;s-phosphanylation;formation of a covalent bond between a sulfur atom in a substrate and a phosphanyl group.
process;n-vinylation;formation of a covalent bond between a nitrogen atom in a substrate and a vinyl group.
process;n-l-prolylation;formation of a covalent bond between a nitrogen atom in a substrate and an l-prolyl group.
process;s-s-aminosulfonodiimidoylation;formation of a covalent bond between a sulfur atom in a substrate and a s-aminosulfonodiimidoyl group.
process;de-d-threonylation;breaking of a covalent bond between a substrate and a d-threonyl group.
process;s-organylation;formation of a covalent bond between a sulfur atom in a substrate and an organyl group.
process;c-iodosylation;formation of a covalent bond between a carbon atom in a substrate and an iodosyl group.
process;n-5'-ribothymidylylation;formation of a covalent bond between a nitrogen atom in a substrate and a 5'-ribothymidylyl group.
process;phenylsulfanylation;formation of a covalent bond between a substrate and a phenylsulfanyl group.
process;de-d-cysteinylation;breaking of a covalent bond between a substrate and a d-cysteinyl group.
process;c-5'-uridylylation;formation of a covalent bond between a carbon atom in a substrate and a 5'-uridylyl group.
process;formation of covalent bond with gallium centre;formation of a covalent bond with a group where the free valence is on a gallium centre.
process;alkynylation;formation of a covalent bond with an alkynyl group.
process;o-phosphonothioylation;formation of a covalent bond between an oxygen atom in a substrate and a phosphonothioyl group.
process;(z)-3-carboxyprop-2-enoylation;formation of a covalent bond between a substrate and a (z)-3-carboxyprop-2-enoyl group.
process;s-cerylation;formation of a covalent bond between a sulfur atom in a substrate and a ceryl group.
process;c-dodecylation;formation of a covalent bond between a carbon atom in a substrate and a dodecyl group.
process;o-s-aminosulfinimidoylation;formation of a covalent bond between an oxygen atom in a substrate and a s-aminosulfinimidoyl group.
process;alpha-muramylation;formation of a covalent bond between a substrate and an alpha-muramyl group.
process;c-myristylation;formation of a covalent bond between a carbon atom in a substrate and a myristyl group.
process;n-heptatrienoylation;formation of a covalent bond between a nitrogen atom in a substrate and a heptatrienoyl group.
