independent continuant;condensor;a device used to condense vapors into liquid by cooling.
independent continuant;vigreux column;a fractionating column made of a wide glass tube with multiple internal glass "fingers" that point downwards so that the vapor that enters from the lower opening condenses on the fingers and drips down from them.
independent continuant;environmental control device;a device for controlling the environment of a particular space
independent continuant;isomorphic desolvate;an anhydrous crystalline phase formed experimentally by removing the solvent from a solvate
independent continuant;anhydrous phase;a crystalline phase without solvent in the unit cell
independent continuant;heating mantle;an environmental control device used to apply heat directly to containers.
independent continuant;fractionating column;a device to separate vaporized mixtures of liquid compounds with close volatility.
independent continuant;hydrate;a hydrate is a solvate that has water as the solvent adduct.
independent continuant;concomitant polymorphs;a heterogeneous solid solution consisting of two or more polymorphs of the same chemical entity
independent continuant;eutectic;a heterogeneous ensemble of individual components whose crystal structures are like discontinuous solid solutions (phase separated).
independent continuant;graham condensor;a condensor with a coolant-jacketed spiral coil running the length of the condenser serving as the vapor condensate path, providing more surface area for cooling.
independent continuant;product stream;a portion of material to be further processed that has an ingredient a material with the role of product.
independent continuant;widmer column;a fractionating column consisting of four concentric glass tubes and a central glass rod, with a thinner glass rod coiled around it to increase the surface area.
independent continuant;chemical impurity;chemical substance that is inside a confined amount of liquid, gas, or solid, and differs from the chemical composition of the material or compound. impurities are either naturally occurring or added during synthesis of a chemical or commercial product. during production, impurities may be purposely, accidentally, inevitably, or incidentally added into the substance.
independent continuant;flask;flasks are narrow-necked glass containers, typically conical or spherical, used in a laboratory to hold reagents or samples.
independent continuant;thermodynamic phase;a portion of material within a a region of space in a system throughout which all physical properties of the material are essentially uniform.
independent continuant;solvate;a solvate is a crystalline material that has solvent molecules incorporated into the crystal lattice in a stoichiometric amount. [allotrope]
independent continuant;evaporation device;a device that evaporates
independent continuant;dimroth condenser;a condensor with an internal double spiral through which coolant flows such that the coolant inlet and outlet are both at the top
independent continuant;davies condenser;a condensor with three concentric glass tubes where coolant circulates in both the outer jacket and the central tube to increase the cooling surface,
independent continuant;triclinic unit cell;a unit cell in which all axes are of different length and no angle is perpendicular nor equal to any other angles.
independent continuant;crucible;a crucible is a ceramic or metal container in which metals or other substances may be melted or subjected to very high temperatures. [wikipedia]
independent continuant;bunsen burner;a heating device (environmental control device) that utilizes an open flame for heating.
independent continuant;molecular complex;an object aggregate of two or more molecular entities that does not include covalent or ionic interactions
independent continuant;tetragonal unit cell;a unit cell that has three perpendicular axes, two of equal length
independent continuant;solid solution;a solid in solid solution is a solution where the continuous phase is a solid and the dispersed phase is a solid. [allotrope]
independent continuant;cold finger;a condensor consisting of a vertical rod that is flow-cooled from the inside that is to be immersed in the vapor to provide a condensing surface. this condensor is also used for sublimation.
independent continuant;snyder column;a fractionating column divided into sections (usually 3 to 6) by horizontal glass partitions or constrictions each of which seats a hollow glass bead with an inverted "teardrop" shape acting as check valves, closing and opening with vapor flow, and enhancing vapor-condensate mixing.
independent continuant;orthorhombic unit cell;a unit cell that has three perpendicular axes, all of different lengths
independent continuant;monoclinic unit cell;a unit cell that has three axes of unequal length, two of which are perpendicular
independent continuant;allihn condenser;a condensor consisting of a jacketed long glass tube with a series of bulbs on the tube to increase the surface area upon which the vapor constituents may condense.
independent continuant;syringe pump;a syringe which has the function of pumping material into an experiment.
independent continuant;round bottom flask;a round-bottom flask is a flask with a spherical body and one or more necks with ground glass joints.
independent continuant;intermediate material for synthesis;a chemical entity that is the product of a chemical reaction but not the last step in a synthesis.
independent continuant;ionic salt;a chemical substance composed of ions held together by electrostatic forces termed ionic bonding.
independent continuant;unit cell;the smallest, regularly repeating material portion of a crystalline lattice
independent continuant;chemical product;a chemical entity that is the end point product generated from a synthetic chemical process.
independent continuant;trigonal unit cell;a unit cell of three equal lateral axes intersecting at the same angle but not perpendicularly
independent continuant;crystalline solid;a solid with at least one crystalline phase
independent continuant;co-crystal;a co-crystal is a solid solution and a molecular complex with two or more non-solvent molecules incorporated into the unit cell in a stoichiometric amount.
independent continuant;solid dispersion;a heterogenous mixture in which one or more components is dispersed in a solid matrix
independent continuant;liebig condenser;a condensor consisting of a simple tube surrounded by a jacket of cooling water
independent continuant;frederichs condensor;a condensor consisting of a large water-cooled finger tightly fitted inside a wide cylindrical housing. the finger has a helical ridge along its length, so as to leave a narrow helical path for the vapor.
independent continuant;crystalline solid thermodynamic phase;a crystalline phase is a single solid crystalline thermodynamic phase
independent continuant;waste stream;a portion of material with a debris role that is a material output of a process.
independent continuant;polymer;a substance or material consisting of very large molecules, or macromolecules, composed of many repeating subunits.
independent continuant;volumetric flask;a flask for preparing liquids with volumes of high precision. it is a flask with an approximately pear-shaped body and a long neck with a circumferential fill line.
independent continuant;gmp starting material;a raw material, intermediate, or an ap chemical entity that is used in the production of an api and that is incorporated as a significant structural fragment into the structure of the api.
independent continuant;beaker;a beaker is a simple container for stirring, mixing and heating liquids commonly used in many laboratories. beakers are generally cylindrical in shape, with a flat bottom. most also have a small spout (or "beak") to aid pouring.
independent continuant;hexagonal unit cell;a unit cell of three equal lateral axes intersecting at angles of 60 degrees and a vertical axis of variable length at right angles
independent continuant;slurry;a suspension (afm 0000442) that is a mix of solids in a liquid
independent continuant;coil condenser;a condensor consisting of a straight tube containing an internal spiral coil through which coolant flows.
independent continuant;starting material for synthesis;a chemcial entity with the role starting material in a synthesis.
independent continuant;cubic unit cell;a unit cell that has three perpendicular axes of equal lengths. equivalent to enm:9000035
independent continuant;erlenmeyer flask;an erlenmeyer flask or conical flask is a type of laboratory flask which features a flat bottom, a conical body, and a cylindrical neck.
independent continuant;commercial chemical product;a chemical product that is used for commercial purpose.
specifically dependent continuant;unit cell z value;a unit cell quality indicating the number of formula units (molecules) in the unit cell
specifically dependent continuant;ditetragonal-dipyramidal;16-faced form tetragonal crystal form with centrosymmetric point symmetry
specifically dependent continuant;non-centrosymmetric point symmetry;a point symmetry of a structure that is not identical to any inversion of that structure created by reflecting all of its points through a single point.
specifically dependent continuant;seed role;the role of a crystalline solid material input in a crystallization to promote nucleation or crystal growth.
specifically dependent continuant;residual solvent impurity;residual solvents in pharmaceuticals are defined here as organic volatile chemicals that are used or produced in the manufacture of drug substances or excipients, or in the preparation of drug products. the solvents are not completely removed by practical manufacturing techniques.
specifically dependent continuant;polar point symmetry;a point symmetry that contains a polar axis.
specifically dependent continuant;tetragonal-scalenohedral;8-faced (tetragonal) or 12-faced (hexagonal) closed tetragonal form with non-centrosymmetric point symmetry
specifically dependent continuant;flocculant;a synthesis role used to remove suspended solids from liquids by inducing flocculation (the solids begin to aggregate forming flakes, which either precipitate to the bottom or float to the surface of the liquid, and then they can be removed or collected). flocculants, or flocculating agents (also known as flocking agents), are chemicals that promote flocculation by causing colloids and other suspended particles in liquids to aggregate, forming a floc.
specifically dependent continuant;tetragonal-pyramidal;4-faced tetragonal form with polar point and enantiomorphic point symmetry.
specifically dependent continuant;dihexagonal-pyramidal;12-faced hexagonal crystal where all faces are related by a 6-fold axis. it has polar point symmetry
specifically dependent continuant;dihexagonal-dipyramidal;24-faced form with faces related by a 6-fold axis with a perpendicular mirror plane and centrosymmetric point symmetry
specifically dependent continuant;sphenoidal;a monoclinic crystal class with two nonparallel faces symmetrical to a 2- or 4-fold axis of symmetry that has enantiomorphic and polar point symmetry.
specifically dependent continuant;molecular formula;a molecular entity quality which identifies each constituent element by its chemical symbol and indicates the number of atoms of each element found in each discrete molecular entity of that compound.
