generically dependent continuant;molecular skeleton insertion objective;a molecular skeleton joining objective that is satisfied by a reaction in which one or more atoms are added to the middle of a chain.
generically dependent continuant;molecular rearrangement objective;a molecular transformation specification that specifies that the number of rings and number of skeletal atoms should be preserved and that one or more atoms or groups of atoms move from one atom to another.
generically dependent continuant;molecular skeleton elimination objective;a functional modification objective that is satisfied by a reaction in which two or more groups of atoms are removed from the molecule, resulting in a change of skeletal bond order.
generically dependent continuant;functional reduction objective;a functional group modification objective that is satisfied by a reaction in which a functional group is reduced.
generically dependent continuant;fused-ring-system formation objective;a molecular transformation objective that is satisfied by a reaction in which a fused ring system is present in a product that was not present in any of the reactants.
generically dependent continuant;end-of-chain chain shortening objective;a molecular skeleton transformation objective that is satisfied by a reaction in which a single skeletal atom is removed from the end of a chain.
generically dependent continuant;functional group modification objective;a molecular skeleton transformation objective that is satisfied by a reaction in which a functional group undergoes a change that does not affect the number of atoms in (or connectivity of) the skeleton of the molecule.
generically dependent continuant;addition objective;a functional modification objective that is satisfied by a reaction in which two or more groups of atoms are added to the molecule, resulting in a change of skeletal bond order.
generically dependent continuant;molecular chain lengthening objective;a molecular skeleton joining adjective that is satisfied by a chain part of a molecular skeleton being lengthened.
generically dependent continuant;molecular ring expansion objective;a molecular transformation objective that is satisfied by a reaction in which an existing skeletal ring is increased in size.
generically dependent continuant;molecular ring rearrangement objective;a molecular transformation objective that is satisfied by a reaction in which the number of skeletal rings in a molecule stays the same but the connectivity of the atoms in at least one ring changes.
generically dependent continuant;molecular fragmentation objective;a molecular transformation objective that is satisfied by a reaction in which the parent molecule breaks up into three or more products.
generically dependent continuant;molecular ring contraction objective;a molecular skeleton transformation objective that is satisfied by a reaction where an existing ring is reduced in size.
generically dependent continuant;molecular ring formation objective;a molecular transformation specification that specifies that the product should contain a ring that was not in any of the reactants.
generically dependent continuant;joining with rearrangement objective;a molecular skeleton joining objective that is satisfied by a reaction in which one or more atoms are added to the molecular skeleton and a skeletal rearrangement occurs.
generically dependent continuant;polymerisation objective;a molecular transformation objective that is satisfied by a reaction in which a large number of monomers react together to product a polymer consisting of repeating units.
generically dependent continuant;molecular extrusion objective;a molecular transformation objective that is satisfied by a cleaving reaction in which a skeletal atom or group of atoms is removed from the middle of a molecule.
generically dependent continuant;protection objective;a functional modification objective that is satisfied by protecting some functional group.
generically dependent continuant;functional oxidation objective;a functional group modification objective that is satisfied by a reaction in which a functional group is oxidised.
generically dependent continuant;molecular skeleton cleaving objective;a molecular transformation specification that specifies that atoms should be lost from the molecular skeleton.
generically dependent continuant;molecular skeleton joining objective;a molecular transformation specification that specifies that atoms should be added to the molecular skeleton.
generically dependent continuant;functional group addition objective;a functional modification objective that is satisfied by a reaction in which a covalent bond is formed between the molecular skeleton and a functional group and where the skeletal bond order is unchanged.
generically dependent continuant;functional modification objective;a molecular transformation specification that specifies that the substituents of a molecule should be changed but the number of atoms in the skeleton and their connectivity, but not necessarily the bond orders, should remain the same.
generically dependent continuant;molecular transformation objective;an objective specification that describes how a molecule's skeleton and substituents are to be transformed by a given experiment.
generically dependent continuant;molecular substitution objective;a molecular transformation objective that is satisfied by a reaction in which one singly-bonded substituent, but not a hydrogen, is replaced by another singly-bonded substituent.
