independent continuant;xylose derived from xylan derived from hemicellulose;xylose which is derived from xylan derived from hemicellulose.
independent continuant;galactomannan derived from hemicellulose;galactomannan which is derived from hemicellulose.
independent continuant;glucose derived from sucrose;glucose which is derived from sucrose.
independent continuant;galactose derived from rhamnogalacturonan derived from pectin;galactose which is derived from rhamnogalacturonan derived from pectin.
independent continuant;xyloglucan derived from hemicellulose;xyloglucan which is derived from hemicellulose.
independent continuant;glucose derived from maltose;glucose which is derived from maltose.
independent continuant;galactose derived from stachyose derived from raffinose family oligosaccharide;galactose which is derived from stachyose derived from raffinose family oligosaccharide.
independent continuant;fructose derived from raffinose derived from raffinose family oligosaccharide;fructose which is derived from raffinose derived from raffinose family oligosaccharide.
independent continuant;galactan derived from hemicellulose;galactan which is derived from hemicellulose.
independent continuant;dietary copper;copper ingested by an organism that contributes to the survival, growth, development, or other biological function of itself, its bionts, or its holobionts
independent continuant;glucomannan derived from hemicellulose;glucomannan which is derived from hemicellulose.
independent continuant;macro element;a mineral nutrient that represents a major proportion of the minerals required in the diet
independent continuant;dietary phosphorus;phosphorus ingested by an organism that contributes to the survival, growth, development, or other biological function of itself, its bionts, or its holobionts
independent continuant;inulin derived from fructan;inulin which is derived from fructan.
independent continuant;dietary fibre;a carbohydrate that resists enzymatic digestion in the digestive systems of humans and other monogastric species.
independent continuant;glucose derived from xylan derived from hemicellulose;glucose which is derived from xylan derived from hemicellulose.
independent continuant;arabinan derived from hemicellulose;arabinan which is derived from hemicellulose.
independent continuant;soluble dietary fibre;dietary fibre which dissolves in water and is primarily fermented in the colon of monogastric animals by gut bacteria
independent continuant;dietary manganese;manganese ingested by an organism that contributes to the survival, growth, development, or other biological function of itself, its bionts, or its holobionts
independent continuant;dietary sodium;sodium ingested by an organism that contributes to the survival, growth, development, or other biological function of itself, its bionts, or its holobionts
independent continuant;galactose derived from verbascose derived from raffinose family oligosaccharide;galactose which is derived from verbascose derived from raffinose family oligosaccharide.
independent continuant;dietary chemical component;a material entity that is ingested and contributes to survival, growth and development
independent continuant;dietary potassium;potassium ingested by an organism that contributes to the survival, growth, development, or other biological function of itself, its bionts, or its holobionts
independent continuant;vitamin (molecular entity);an organic molecule that has a vitamin(role)
independent continuant;fructose derived from stachyose derived from raffinose family oligosaccharide;fructose which is derived from stachyose derived from raffinose family oligosaccharide.
independent continuant;glucose derived from amorphous cellulose;glucose which is derived from amorphous cellulose.
independent continuant;amylopectin derived from starch;amylopectin which is derived from starch.
independent continuant;fructose derived from sucrose;fructose which is derived from sucrose.
independent continuant;xylan derived from hemicellulose;xylan which is derived from hemicellulose.
independent continuant;arabinose derived from arabinoxylan derived from hemicellulose;arabinose which is derived from arabinoxylan derived from hemicellulose.
independent continuant;fructan derived from hemicellulose;fructan which is derived from hemicellulose.
independent continuant;dietary sulfur;sulfur ingested by an organism that contributes to the survival, growth, development, or other biological function of itself, its bionts, or its holobionts
independent continuant;galactose derived from raffinose derived from raffinose family oligosaccharide;galactose which is derived from raffinose derived from raffinose family oligosaccharide.
independent continuant;xylose derived from rhamnogalacturonan derived from pectin;xylose which is derived from rhamnogalacturonan derived from pectin.
independent continuant;resistant starch;a portion of starch that cannot be digested by amylases in the small intestine
independent continuant;glucose derived from amylose derived from starch;glucose which is derived from amylose derived from starch.
independent continuant;dietary calcium;calcium ingested by an organism that contributes to the survival, growth, development, or other biological function of itself, its bionts, or its holobionts
independent continuant;glucose derived from stachyose derived from raffinose family oligosaccharidee;glucose which is derived from stachyose derived from raffinose family oligosaccharide.
independent continuant;glucose derived from glucomannan derived from hemicellulose;glucose which is derived from glucomannan derived from hemicellulose.
independent continuant;dietary fluorine;fluorine ingested by an organism that contributes to the survival, growth, development, or other biological function of itself, its bionts, or its holobionts
independent continuant;xylose derived from xyloglucan derived from hemicellulose;xylose which is derived from xyloglucan derived from hemicellulose.
independent continuant;glucose derived from verbascose derived from raffinose family oligosaccharide;glucose which is derived from verbascose derived from raffinose family oligosaccharide.
independent continuant;glucose derived from raffinose derived from raffinose family oligosaccharide;glucose which is derived from raffinose derived from raffinose family oligosaccharide.
independent continuant;dietary iodine;iodine ingested by an organism that contributes to the survival, growth, development, or other biological function of itself, its bionts, or its holobionts
independent continuant;dietary iron;iron ingested by an organism that contributes to the survival, growth, development, or other biological function of itself, its bionts, or its holobionts
independent continuant;dietary zinc;zinc ingested by an organism that contributes to the survival, growth, development, or other biological function of itself, its bionts, or its holobionts
independent continuant;d-apiose derived from rhamnogalacturonan derived from pectin;d-apiose which is derived from rhamnogalacturonan derived from pectin.
independent continuant;glucose derived from xyloglucan derived from hemicellulose;glucose which is derived from xyloglucan derived from hemicellulose.
independent continuant;dry plant matter;material which remains after the removal of water from plant matter.
independent continuant;fucose derived from rhamnogalacturonan derived from pectin;fucose which is derived from rhamnogalacturonan derived from pectin.
independent continuant;stachyose derived from raffinose family oligosaccharide;stachyose which is derived from raffinose family oligosaccharide.
independent continuant;fructose derived from verbascose derived from raffinose family oligosaccharide;fructose which is derived from verbascose derived from raffinose family oligosaccharide.
independent continuant;galacturonic acid derived from galacturonan derived from pectin;galacturonic acid which is derived from galacturonan derived from pectin.
independent continuant;amylose derived from starch;amylose which is derived from starch.
independent continuant;mannan derived from hemicellulose;mannan which is derived from hemicellulose.
independent continuant;available carbohydrate;carbohydrates that are absorbed in the small intestine and provide carbohydrate for metabolism in monogastric animals.
independent continuant;seed storage protein;a protein that accumulates in developing seeds or grains.
independent continuant;arabinose derived from rhamnogalacturonan derived from pectin;arabinose which is derived from rhamnogalacturonan derived from pectin.
independent continuant;mannose derived from glucomannan derived from hemicellulose;mannose which is derived from glucomannan derived from hemicellulose.
independent continuant;dietary chromium;chromium ingested by an organism that contributes to the survival, growth, development, or other biological function of itself, its bionts, or its holobionts
independent continuant;dietary magnesium;magnesium ingested by an organism that contributes to the survival, growth, development, or other biological function of itself, its bionts, or its holobionts
independent continuant;amino acid derived from protein;amino acid which is derived from protein.
independent continuant;verbascose derived from raffinose family oligosaccharide;verbascose which is derived from raffinose family oligosaccharide.
independent continuant;trace element;mineral nutrient that is present in a very low concentration within the diet
independent continuant;fructose derived from inulin derived from fructan;fructose which is derived from inulin derived from fructan.
independent continuant;rhamnose derived from rhamnogalacturonan derived from pectin;rhamnose which is derived from rhamnogalacturonan derived from pectin.
independent continuant;arabinoxylan derived from hemicellulose;arabinoxylan which is derived from hemicellulose.
independent continuant;dietary selenium;selenium ingested by an organism that contributes to the survival, growth, development, or other biological function of itself, its bionts, or its holobionts
independent continuant;raffinose derived from raffinose family oligosaccharide;raffinose which is derived from raffinose family oligosaccharide.
independent continuant;galacturonan derived from pectin;galacturonan which is derived from pectin.
independent continuant;dietary chlorine;chlorine ingested by an organism that contributes to the survival, growth, development, or other biological function of itself, its bionts, or its holobionts
independent continuant;gum;a complex carbohydrate with various rheological properties that result in viscoelastic behavior
independent continuant;free sugar;available carbohydrate in monosaccharide and disaccharide form
independent continuant;plant secondary metabolite;a plant metabolite that is not essential for growth or division of plant cells.
independent continuant;mannose derived from mannan derived from hemicellulose;mannose which is derived from mannan derived from hemicellulose.
independent continuant;xylose derived from arabinoxylan derived from hemicellulose;xylose which is derived from arabinoxylan derived from hemicellulose.
independent continuant;dietary molybdenum ;molybdenum ingested by an organism that contributes to the survival, growth, development, or other biological function of itself, its bionts, or its holobionts
independent continuant;insoluble dietary fibre;dietary fibre which does not dissolve in water and is inert to digestive enzymes in the upper gastrointestinal tract of monogastric animals.
independent continuant;galacturonic acid derived from rhamnogalacturonan derived from pectin;galacturonic acid which is derived from rhamnogalacturonan derived from pectin.
independent continuant;rhamnogalacturonan derived from pectin;rhamnogalacturonan which is derived from pectin.
independent continuant;glucose derived from amylopectin derived from starch;glucose which is derived from amylopectin derived from starch.
specifically dependent continuant;concentration of pentadecanoic acid in material entity;the concentration of pentadecanoic acid when measured in some material entity.
specifically dependent continuant;concentration of amylopectin derived from starch in material entity;infoods:amyp
specifically dependent continuant;concentration of gallic acid in material entity;usda ndb:1035
specifically dependent continuant;concentration of arabinoxylan in material entity;the concentration of arabinoxylan when measured in some material entity.
specifically dependent continuant;concentration of anthocyanin chlorides in material entity;the concentration of anthocyanin chlorides when measured in some material entity.
specifically dependent continuant;concentration of thiamine hydrochloride in material entity;infoods:thiahcl
specifically dependent continuant;concentration of available carbohydrate in material entity;infoods:choavlm
specifically dependent continuant;concentration of chalcones in material entity;the concentration of chalcones when measured in some material entity.
