independent continuant;java apple (whole);a berry fruit from a java apple tree (syzygium samarangense)
independent continuant;soup (eurofir);a liquid food made by simmering meat, poultry, seafood or vegetables, being clear or thickened to the consistency of a thin puree or having milk or cream added, and often containing pieces of solid food such as meat, shellfish, pasta or vegetables. soup takes precedence over other food products. examples are egg and lemon soup, oxtail soup, fish soup, rice soup, lentil soup, minestrone, cherry soup.
independent continuant;fruit sherbet (liquid);subset siren:f2935
independent continuant;butter bread (artificially colored);subset siren:f2347
independent continuant;strawberry-flavored candy roll;subset siren:f7767
independent continuant;hamburger pattie (precooked, in a roll, frozen);subset siren:f5567
independent continuant;konyakboon (food product);subset siren:f15351
independent continuant;thickener (ec);substance that increases the viscosity of a foodstuff.
independent continuant;shrimp (raw);subset siren:f1837
independent continuant;garlic and onion puree;subset siren:f6896
independent continuant;berry juice;subset siren:f5746
independent continuant;wheat germ (honey-coated);subset siren:f5527
independent continuant;cooking oil;subset siren:f2653
independent continuant;spaghetti in tomato and cheese sauce;subset siren:f4267
independent continuant;10006309 - squab/pigeon - prepared/processed (gs1 gpc);includes products from animals of the species columba livia that have been subjected to one or more further manufacturing processes such as being cooked, dried, cured, ground, or reformed. excludes squab/pigeon unprepared/unprocessed.
independent continuant;cream (raw);subset siren:f10908
independent continuant;candy cane;subset siren:f3749
independent continuant;linden plant;plants:tilia
independent continuant;imitation smoked salmon made from pollock;subset siren:f9641
independent continuant;45200 - enzymes for fortification (efsa foodex2);the group includes enzymes with biological roles, used in fortified foods and dietary supplements. the part consumed/analysed is by default the whole or a portion of it representing the observed heterogeneity.
independent continuant;black currant (whole, raw);subset siren:f11604
independent continuant;inland pigface plant;apni:112789
independent continuant;garlic powder;a seasoning made from dried garlic flake that has been ground into a powder.
independent continuant;yellow cake mix;subset siren:f2835
independent continuant;haddock (raw);subset siren:f8024
independent continuant;beef gravy mix;subset siren:f3557
independent continuant;creme-filled cookie;subset siren:f3162
independent continuant;tomato (whole, unpeeled, uncored, canned);subset siren:f7841
independent continuant;oca plant;grin:26219
independent continuant;fruit preserve or jam food product;a fruit product that has been prepared and canned or bottled for long term storage. the preparation of fruit preserves traditionally involves the use of pectin as a gelling agent, although sugar or honey may be used as well.
independent continuant;amanatto (dry candied bean);subset siren:f16992
independent continuant;japanese red salmon (raw);subset siren:f8209
independent continuant;meat and vegetable patty;subset siren:f17289
independent continuant;12370 - other minor oilseeds (efsa foodex2);the group includes any type of other minor oilseeds. the part consumed/analysed is by default unspecified. when relevant, information on the part consumed/analysed has to be reported with additional facet descriptors.
independent continuant;cheese enchilada (frozen);subset siren:f7355
independent continuant;nonalcoholic beverage (us cfr);beverage containing no more than 0.5% alcohol. it may be flavored, sweetened or carbonated. includes soft drinks and steeped beverages. excludes milk in all forms, fruit juices, diluted fruit juices and vegetable juices.
independent continuant;bullhead (raw);subset siren:f9520
independent continuant;humectant (ec);substance that prevents foodstuffs from drying out by counteracting the effect of an atmosphere having a low degree of humidity, or promote the dissolution of a powder in an aqueous medium.
independent continuant;mafurra press cake;subset siren:f10346
independent continuant;fruit juice concentrate;subset siren:f5321
independent continuant;chicken pie;subset siren:f7577
independent continuant;olive oil (extra-virgin);extra virgin olive oil is a virgin olive oil which has a free acidity, expressed as oleic acid, of not more than 0.8 grams per 100 grams.
independent continuant;illawara plum plant;grin:29109
independent continuant;crab (deviled);subset siren:f4215
independent continuant;dessert (instant);subset siren:f16555
independent continuant;onions in vinegar;subset siren:f16176
independent continuant;fish product (fresh);subset siren:f15529
independent continuant;lemon and lime drink;subset siren:f5177
independent continuant;fruit juice (raw, unsweetened);subset siren:f17013
independent continuant;bakery product, unsweetened (us cfr);includes breads, crackers, pie or pizza crusts and pretzels. excludes glazed, filled or frosted bakery products, which fall under *bakery product, sweetened* and unsweetened filled products that fall under *prepared food product with bakery base or enclosure, unsweetened* or the appropriate narrower term. see 21 cfr for description of some subgroups.
independent continuant;devonshire cream;subset siren:f5401
independent continuant;pale ale;a top-fermented beer made with predominantly pale malt.
independent continuant;mushroom mycelium;subset siren:f1393
independent continuant;pizzle stick;an easily-digestible dog chew made from the pizzle (or penis) of a bull.
