independent continuant;obligate aerobe;an aerobe that requires oxygen to grow
independent continuant;herbivorous browser;an herbivore that primarily consumes twigs, leaves, and bark of trees and shrubs.
independent continuant;leaf miner;a folivore that lives in and eats the leaf tissue of plants
independent continuant;deposit feeder;organism that acquires nutrition by consuming particles of organic matter that have settled to the bottom of a body of water.
independent continuant;photolithoheterotroph;a photoheterotroph which is capable of using an abiogenic organic compound as an electron donor.
independent continuant;decomposer;heterotroph that obtains nutrition by breaking down dead or decaying organisms or other organic matter
independent continuant;auxotroph;an organism that is unable to synthesize a particular organic compound required for its growth
independent continuant;cyanobacteria;bacteria that are able to obtain their energy through photosynthesis
independent continuant;detritivore;a decomposer which obtains nutrition by consuming detritus.
independent continuant;filter feeder;a suspension feeder that acquires nutrition by consuming particles using a filtering apparatus.
independent continuant;folivore;an herbivore that primarily consumes leaves
independent continuant;surface deposit feeder;organism that acquires nutrition by consuming particles of organic matter that have settled to the bottom of a body of water. the organism lives on or in the bottom sediment and uses a part of its body to retrieve the food particles directly from the surface.
independent continuant;photolithoautotroph;a photoautotroph which is capable of using an abiogenic organic compound as an electron donor.
independent continuant;insectivore;a predator that primarily eats insects
independent continuant;quaternary consumer;a predator that eats tertiary consumers
independent continuant;herbivorous grazer;an herbivore that primarily consumes grasses, leaves, and other soft plant material
independent continuant;tertiary consumer;a predator that eats secondary consumers
independent continuant;chemolithoautotroph;a chemoautotroph which is capable of using an abiogenic organic compound as an electron donor.
independent continuant;food chain;a system in which a series of living entities consume living, dead, or non-living entities in successively higher trophic levels.
independent continuant;chemoorganoheterotroph;a chemoheterotroph which is capable of using a biogenic organic compound as an electron donor.
independent continuant;lecithotrophic larva;anatomical entity that comprises the organism in a distinct juvenile form that is provided with a source of nutrition, usually a yolk sac, to use before metamorphosing into an adult
independent continuant;prey;an organism that is consumed in whole or in part by a predator
independent continuant;bacterivore;a heterotroph that consumes bacteria
independent continuant;facultative anaerobe;an anaerobe that makes atp by aerobic respiration if oxygen is present, but is capable of switching to fermentation if oxygen is absent.
independent continuant;fungivore;a heterotroph which consumes fungi.
independent continuant;apex predator;a predator residing at the top of a food chain upon which no other creatures prey.
independent continuant;chemoautotroph;an autotroph which is capable of obtaining energy from the bonds in a chemical compound.
independent continuant;sulfur reducer;an organism that uses inorganic sulfur compounds as a terminal electron acceptor during cellular respiration
independent continuant;external parasite;a parasite that lives on the exterior surface of its host
independent continuant;food web;a system in which living entities consume living, dead, or non-living entities or are consumed by other living entities through trophic interactions.
independent continuant;osmotroph;a heterotroph that obtains dissolved organic compounds by osmosis for nutrition. an osmotroph is not directly involved in breaking down organic material to create the organic compounds it uses.
independent continuant;ambush predator;a predator that captures or traps prey by stealth or strategy, rather than by speed or strength.
independent continuant;aerotolerant anaerobe;an anaerobe that can tolerate low levels of oxygen
independent continuant;food cycle;a food web in which the outputs of a trophic interaction are consumed by organisms acting in a lower trophic level relative to the initial interaction.
independent continuant;sanguivore;a carnivore that consumes blood, during a brief, temporary interaction.
independent continuant;planktivore;a suspension feeder that acquires nutrition by consuming planktonic organisms.
independent continuant;palynivore;an herbivore that primarily consumes pollen
independent continuant;parasite;a symbiotroph that reduces the fitness, survival, or growth of its symbiont, often called a host
independent continuant;anaerobe;an organism that does not require oxygen for growth
independent continuant;piscivore;a predator that primarily eats fish
independent continuant;herbivore;a heterotroph which consumes plants or macroalgae via ingestion through a type of "mouth". plant or algal matter is broken down through an internal digestion process.
independent continuant;rhizovore;an herbivore that primarily consumes roots
independent continuant;secondary consumer;a predator that eats primary consumers or herbivores
independent continuant;algae;a polyphyletic group of diverse photosynthetic organisms that excludes vascular plants and mosses and includes cyanobacteria, seaweed, and some single-celled organisms.
independent continuant;subsurface deposit feeder;organism that acquires nutrition by consuming particles of organic matter that have settled to the bottom of a body of water. the organism lives beneath the surface of the bottom sediment and retrieves food particles without coming into direct contact with the sediment surface.
independent continuant;heterotroph;an organism that obtains carbon for growth and development by metabolizing biogenic organic compounds derived from living or dead material.
independent continuant;photoheterotroph;a heterotroph which is capable of transforming light into chemical energy.
independent continuant;litter transformer;a detritivore that consumes leaf litter
independent continuant;suspension feeder;a heterotroph that acquires nutrition by consuming particles suspended in water or air.
independent continuant;alternate prey;prey that is consumed only if the preferred prey are unavailable.
independent continuant;preferred prey;prey that is successfully captured and consumed at a higher frequency than other types of prey. the predator may be specially adapted for capturing or consuming its preferred prey or have special nutritional requirements that are only met by the preferred prey.
independent continuant;species range;an environmental zone that encompasses the geographical area in which most members of a species as collection of organisms can be found.
independent continuant;carnivore;a heterotroph that consumes animals in whole or in part via ingestion through a type of "mouth". animal matter is broken down through an internal digestion process.
independent continuant;microcarnivore;a carnivore that primarily eats organisms less than 1 cm in their longest dimension
independent continuant;granivore;an herbivore that primarily consumes seeds
independent continuant;obligate anaerobe;an anaerobe that cannot grow in the presence of oxygen
independent continuant;nectarivore;an herbivore that primarily consumes nectar
independent continuant;scavenger;a carnivore that feeds on dead and decaying animal matter
independent continuant;microaerophile;an aerobe that can grow at oxygen levels lower than what is present in the atmosphere
independent continuant;internal parasite;a parasite that lives entirely within the body of its host
independent continuant;microphytobenthos;a community of microscopic, unicellular eukaryotic algae and the prokaryotic cyanobacteria which live on sediment surfaces
independent continuant;chemoheterotroph;a heterotroph which is capable of obtaining energy from the bonds in a chemical compound.
independent continuant;extremophile;an organism that thrives in physically or geochemically extreme conditions that are detrimental to most life on earth
independent continuant;endophyte;an organism bearing a symbiont role and capable of living within a plant for at least part of its life cycle without causing apparent disease
independent continuant;symbiotroph;heterotroph that acquires nutrition from a symbiont
independent continuant;parasitoid;a heterotroph with a temporary parasitic association with another organism that leads to the death of the host. after which, the parasitoid can continue without the host or can move on to a new host. these organisms are considered partly parasites and partly predators.
independent continuant;saprotroph;a decomposer that obtains nutrition through extracellular digestion of decaying organic matter
independent continuant;aerobe;an organism that can survive and grow in an oxygenated environment
independent continuant;gumnivore;an herbivore that primarily consumes plant exudates - gums, saps, and resins
independent continuant;mixotroph;an organism which is capable of heterotrophic and autotrophic trophic processes.
independent continuant;photoorganoheterotroph;a photoheterotroph which is capable of using a biogenic organic compound as an electron donor.
independent continuant;graminivore;an herbivore that primarily consumes grasses.
independent continuant;predator;a carnivore that actively captures and consumes other animals, causing their immediate or immenent death
independent continuant;chemolithoheterotroph;a chemoheterotroph which is capable of using an abiogenic organic compound as an electron donor.
independent continuant;frugivore;an herbivore that primarily consumes fruits or fruit-like vegetables
independent continuant;coprophage;a decomposer which obtains nutrition by consuming feces
independent continuant;photoorganoautotroph;a photoautotroph which is capable of using a biogenic organic compound as an electron donor.
independent continuant;mesoparasite;a parasite that enters the body of the host, but remains partially outside
independent continuant;algivore;an herbivore that primarily consumes algae
independent continuant;xylophage;an herbivore that primarily consumes wood
independent continuant;prototroph;an organism capable of producing all amino acids required for its growth
independent continuant;autotroph;an organism which is capable of incorporating abiogenic (inorganic) carbon into its biomass.
independent continuant;photoautotroph;an autotroph which is capable of transforming light into chemical energy.
independent continuant;chemoorganoautotroph;a chemoautotroph which is capable of using a biogenic organic compound as an electron donor.
specifically dependent continuant;polygynous;one male has an exclusive mating relationship with two or more females
specifically dependent continuant;histrotrophic viviparity;a reproductive quality inhering in a bearer by virtue of the bearer's ability to produce zygotes that develop in the female's oviducts, but find their nutriments from other tissues, whether skin or glandular tissue
specifically dependent continuant;ovoviviparous;a reproductive quality inhering in a bearer by virtue of the bearer's ability to produce offspring that are born live after retaining the eggs inside the body of the female
specifically dependent continuant;anecic;an organismal quality inhering in a bearer by virtue of the bearer's ability to burrow more than 20 cm deep into the soil and make permanent, vertical burrows.
specifically dependent continuant;endemic;the ecological state of a species being unique to a defined geographic location, such as an island, nation, or other defined zone or habitat type.
specifically dependent continuant;oviparous;a reproductive quality inhering in a bearer by virtue of the bearer's ability to produce offspring that develop inside a shelled egg, with a large food supply in yolk, after internal fertilization
specifically dependent continuant;hemotrophic viviparity;a reproductive quality inhering in a bearer by virtue of the bearer's ability to produce offspring that receive nutriments from the female during prenatal development via a specialized structure, such as a placenta
specifically dependent continuant;broadcast spawn;a reproductive quality inhering in a bearer by virtue of the bearer's ability to produce offspring via external fertilisation, the oocytes being scattered into the environment and fertilised outside the female's body by the male.
specifically dependent continuant;polygynandrous;two or more males have an exclusive mating relationship with two or more females
specifically dependent continuant;mixotrophic function;a function which inheres in a living entity by virtue of that entity being able to realize autotrophic and heterotrophic functions.
