independent continuant;peatland;ftt:281
independent continuant;cirque glacier;a small glacier contained within a cirque basin.
independent continuant;land-tied island;geonames:t.islt
independent continuant;hot tub;a manufactured product which may hold a volume of heated water suitable for one or more humans to bathe in, usually for the purposes of hydrotherapy or pleasure.
independent continuant;drainage basin;sweetrealm:drainagebasin
independent continuant;building;lter:76
independent continuant;neonatal unit facility;a hospital unit facility which is used to provide neonatal medical services.
independent continuant;mid-ocean ridge;tgn:23151
independent continuant;cliff;tgn:21488
independent continuant;spruce forest soil;soil which is part of a forest whose communites of arborescent plants are dominated the genus picea.
independent continuant;wetland ecosystem;tgn:21304
independent continuant;beach;tgn:21482
independent continuant;poultry hatchery;a hatchery in which the eggs of poultry are hatched under artificial conditions.
independent continuant;alluvial fan;geonames:t.fan
independent continuant;isthmus;tgn:21473
independent continuant;barium dust;dust which is primarily composed of barium particles.
independent continuant;hanging valley;ftt:784
independent continuant;tornado;a tornado is an aeroform consisting of at least one rapidly rotating column of air that is in contact with both the surface of an astronomical body and pendant from within or beneath a cumulonimbus or cumulus cloud.
independent continuant;iucn protected area with sustainable use of natural resources;an iucn protected area within which 1) natural ecosystems and their resources are either conserved or used through non-industrial human activities, 2) usage activites contribute to conservation goals, ensuring inter-generational security for local communities' livelihoods, and 3) the majority of benefits derived from the use of ecosystems are received by communities living near or in the area.
independent continuant;subtropical broadleaf forest biome;a subtropical broadleaf forest in which dominant ecological communities have reached their climax successional state.
independent continuant;marine mucilage;a gelatinous material primarily composed of exopolymeric compounds with colloidal properties, formed through the aggregation of marine snow particles, often found in large sheets, flocs, and clouds.
independent continuant;saline water aquarium;a saline water aquarium is an aquarium which contains saline water as its primary ecological medium.
independent continuant;channel of a watercourse;ftt:461
independent continuant;research station;a building or collection of co-located buildings constructed for the purpose of undertaking scientific research.
independent continuant;pond;ftt:904
independent continuant;flood control reservoir;ftt:217
independent continuant;preprocessing plant;a factory where raw or preprocessed materials are transformed into finished parts or products.
independent continuant;eutrophic water;water with a high nutrient level.
independent continuant;marine basaltic hydrothermal vent biome;a marine basaltic hydrothermal vent biome comprises regions of the marine hydrothermal vent biome hosted on basaltic rocks. basalt generally has a composition of 45 to 55 wt % sio2, 2 to 6 wt % total alkalis, 0.5 to 2.0 wt % tio2, 5 to 14 wt % feo and 14 wt % or more al2o3. contents of cao are commonly near 10 wt %, those of mgo commonly in the range 5 to 12 wt %.
independent continuant;anabranch;a section of a river or stream that diverts from the main course and rejoins later.
independent continuant;shore;tgn:21481
independent continuant;slightly saline water;sweetrealm:saltwater
independent continuant;brackish estuary;an estuary which is composed primarily of brackish water.
independent continuant;automated teller machine;an electronic telecommunications device that enables the customers of a financial institution to perform financial transactions, particularly cash withdrawal, without the need for a human cashier, clerk or bank teller.
independent continuant;river bank;tgn:21155
independent continuant;temperate deciduous broadleaf forest;a deciduous broadleaf forest which is subject to temperate climate patterns.
independent continuant;levee;ftt:921
independent continuant;dune slack;geonames:t.trgd
independent continuant;bodily fluid material;an organic material which is primarily composed of some natural bodily fluid or secretion such as blood, semen, saliva, blood plasma, intracellular and interstitial fluids.
independent continuant;drainage canal;artificial watercourse with no flow or a controlled flow used drainage.
independent continuant;eutrophic pond;a pond which has nutrient-rich water.
independent continuant;bayou;ftt:1206
independent continuant;mass of environmental material;an object which is composed primarily of an environmental material
independent continuant;marine pelagic zone;sweetrealm:pelagiczone
independent continuant;building;a permanent walled and roofed construction.
independent continuant;blood plasma material;a bodily fluid material which is composed primarily of blood plasma, a bodily fluid that comprises the liquid component of blood, in which the blood cells are suspended. it makes up about 55% of total blood volume.
independent continuant;road;ftt:646
independent continuant;seamount;geonames:u.mtu
independent continuant;refractory astrogeological material;a material which is composed primarily of chemical elements and compounds which have equilibrium condensation temperatures above approximately 1300 kelvin and which are part of the crust or atmosphere of a moon or planet.
independent continuant;mudflat;a wetland that forms when mud is deposited by the tides, rivers, sea or oceans.
independent continuant;megaplastic particle;a piece of plastic which is greater than 1 metre in its longest dimension.
independent continuant;calanque;a deep valley with steep sides, typically of limestone, in part submerged by the sea.
independent continuant;fossil fuel power plant;a power station which burns a fossil fuel such as coal, natural gas, or petroleum to produce electricity.
independent continuant;slush ice;a slurry of frazil, snow, and liquid water.
independent continuant;flower-rich field margin strip;a flower strip which is present at the margins of cultivated fields.
independent continuant;agricultural field;sweetrealm:field
independent continuant;food truck;a truck which is equipped to cook and sell food.
independent continuant;planosol;planosols are soils with a light-coloured, surface horizon that shows signs of periodic water stagnation and abruptly overlies a dense, slowly permeable subsoil with significantly more clay than the surface horizon.
independent continuant;crater;ftt:219
independent continuant;butte;ftt:376
independent continuant;university campus;an area of land on which a college or university and related institutional buildings are situated.
independent continuant;fishing gear;a manufactured product which is used for fishing.
independent continuant;moor;a wetland found in upland areas, characterised by acidic soils.
independent continuant;mountain range;ecolexicon:mountain range
independent continuant;river bed;ecolexicon:river bed structure
independent continuant;bedding-plane cave;a cavity developed along a bedding-plane and elongate in cross-section as a result.
independent continuant;phaeozem;phaeozems accommodate soils of relatively wet grassland and forest regions in moderately continental climates. phaeozems are much like chernozems and kastanozems but are leached more intensively. consequently, they have dark, humus rich surface horizons that, in comparison with chernozems and kastanozems, are less rich in bases. phaeozems may or may not have secondary carbonates but have a high base saturation in the upper metre of the soil.
independent continuant;clay soil;soil which is primarily composed of clay.
independent continuant;continental slope;ftt:536
independent continuant;bay;ftt:190
independent continuant;thermoplastic material;an environmental material which is capable of, repeatedly, becoming plastic when heated and hardening again when cooled.
independent continuant;exchangeable potassium;a potassium ion which is capable of ion exchange.
independent continuant;gold mine drainage;mine drainage which is formed as a result of the mining of gold.
independent continuant;ice wedge;a geological fracture which is formed during winter months by a narrow or thin piece of ice.
independent continuant;acidic soil;soil which has increased levels of molecules or ions capable of donating a hydron (proton or hydrogen ion) to other chemical entities, or, alternatively, capable of forming covalent bonds with other chemicals via the acceptance of an electron pair, resulting in a bulk ph measurement of less than 7.
independent continuant;animal waste material;sweetrealm:animalwaste
independent continuant;grassland ecosystem;ftt:259
independent continuant;active layer in a cryosphere;a layer of environmental material which is subject to freeze-thaw cycles.
independent continuant;branched valley glacier;a valley glacier which has one or more tributary glaciers as parts.
independent continuant;terrace;ftt:247
independent continuant;anaesthetics unit facility;a hospital unit facility which is used for anaesthetic service provision.
independent continuant;gynaecology unit facility;a hospital unit facility which is used to provide gynaecologic medical services.
independent continuant;depressed landform;ftt:175
independent continuant;pond;a body of water, usually of smaller size than a lake.
independent continuant;saprolite;rock which is derived from bedrock through chemical weathering
independent continuant;marine pelagic zone;ecolexicon:pelagic zone
independent continuant;cirrocumulus castellanus cloud;a cirrocumulus cloud which 1) has linearly arranged cumuliform protuberances which resemble crenellated turrets or towers, some of which are taller than they are wide in some portion of their upper parts, 2) possess a lower region or base which connects these protuberances.
independent continuant;estuarine coastal pycnocline;a pycnocline which is part of an estuarine water body, spanning from the shore to a fiat boundary where the estuary bed below the water column reaches a depth of 4 meters.
independent continuant;sea;ftt:233
independent continuant;histosol;histosols comprise soils formed in organic material. these vary from soils developed in predominantly moss peat in boreal, arctic and subarctic regions, via moss peat, reeds/ sedge peat (fen) and forest peat in temperate regions to mangrove peat and swamp forest peat in the humid tropics. histosols are found at all altitudes, but the vast majority occurs in lowlands.
independent continuant;seamount;tgn:23133
independent continuant;national geopolitical entity;ftt:424
independent continuant;mouth;ecolexicon:outlet
independent continuant;wadi;ftt:159
independent continuant;calyptra habitat;a habitat which supports the persistence and growth of a population of calyptra moths and which overlaps mesic meadows and edges and clearings in vegetated areas.
independent continuant;rice field;ftt:70
independent continuant;wind farm;a power plant which is a group of wind turbines in the same location used to produce electricity.
independent continuant;solid astronomical body part;tgn:21400
independent continuant;alluvial deposit;a rock which is formed as a result of the lithification of alluvium.
independent continuant;mudflat;ecolexicon:mud flat
independent continuant;rift valley;sweetrealm:riftvalley
independent continuant;elevated landform;lter:177
independent continuant;aquifer;ecolexicon:aquifer
independent continuant;brasserie;a type of restaurant which is of french cultural origin and which provides more service or food variety than a bistro.
independent continuant;tidal creek;a tidal water channel. creeks may often dry to a muddy channel with little or no flow at low tide, but often with significant depth of water at high tide.
independent continuant;ocean floor;ftt:1020
independent continuant;primary atmosphere;a planetary atmosphere which is formed as a result of the accretion of gaseous matter from the accretion disc of the planet's star.
independent continuant;levee;ftt:252
independent continuant;karst;a surface landform which is formed by the dissolution of a soluble layer or layers of bedrock.
independent continuant;canal;sweetrealm:canal
independent continuant;bar;tgn:21531
independent continuant;train car;a vehicle which is used for carrying cargo or passengers on a rail transport system.
independent continuant;hydrothermal vent;ftt:834
independent continuant;lime plaster;lime plaster is a plaster which is primarily composed of calcium hydroxide and an inert filler (such as sand). coversion of the calcium hydroxide to calcium carbonate through a reaction with carbon dioxide in the air causes the plaster to set.
independent continuant;intrusion;a mass of environmental material which has been formed as the result of its transport into an existing mass of another material.
independent continuant;informal settlement;a settlement which is not associated with or directed by official planning processes and which typically lacks municipal services and infrastructure such as sanitation, water services, and waste management services.
independent continuant;pond;tgn:21119
independent continuant;subtropical broadleaf forest;a broadleaf forest which is subject to subtropical climate conditions.
independent continuant;liquid water;lter:617
independent continuant;sand pit quarry;a quarry from which sand is extracted.
independent continuant;escarpment;geonames:t.cuet
independent continuant;slightly saline water;sweetrealm:salinewater
independent continuant;trough;tgn:21512
independent continuant;shower fixture;a plumbing fixture within which a human or other animal may bathe under a spray of water.
independent continuant;chaparral area;a shrubland area found primarily in regions with a mediterranean climate (mid, wet winters and hot dry summers) often shaped by wildfires.
independent continuant;irrigation canal;ftt:405
independent continuant;graben;ftt:682
independent continuant;bajada;ftt:188
independent continuant;undersea feature;geonames:u.glyu
independent continuant;hanging valley;a tributary valley with the floor at a higher relief than the main channel into which it flows. they are most commonly associated with u-shaped valleys when a tributary glacier flows into a glacier of larger volume.
independent continuant;dam;sweetrealm:dam
independent continuant;coniferous forest biome;a coniferous forest biome is a forest biome which contains densely packed populations or communities of coniferous trees, strongly limiting light penetration to the forest floor.
independent continuant;sediment;lter:493
independent continuant;mediterranean grassland biome;a subtropical grassland biome which includes communities adapted to hot to warm, dry summers, mild to cold, rainy winters, and the influence of large, usually marine, bodies of water.
independent continuant;landfill;ftt:621
independent continuant;wetland ecosystem;tgn:21305
independent continuant;asphalt lake;ecolexicon:tar pit
independent continuant;sediment environment;an environmental system which has its properties and dynamics determined by sediment.
independent continuant;medial moraine;a moriane formed when the inside lateral moraines of two glaciers merge together. they form a ridge down the center of the combined glaciers.
independent continuant;reservoir;ftt:588
independent continuant;cell culture;a cell culture is a growth of cells in vitro in an artificial medium for experimental research.
independent continuant;marine upwelling biome;a marine biome which contains communities adapted to living in an environment determined by an upwelling process.
independent continuant;drawbridge;a bridge which is hinged and can be raised.
independent continuant;sapropelic kerogen;kerogen which cotains alginite, amorphous organic matter, cyanobacteria, freshwater algae, and land plant resins, thus having a hydrogen to carbon ratio above 1.25, and oxygen to carbon ratio below 0.15, readily produces liquid hydrocarbons, has reduced concentrations of aromatic structures, and primarily derived from proteins and lipids.
independent continuant;depressed landform;tgn:21497
independent continuant;mock community culture;a cell culture which is composed of a microbial community of known composition.
independent continuant;arable or pasturable land;land which either hosts plant communities upon which animals may graze has been manipulated by tilling, ploughing, or other human activity for the purposes of seed sowing or planting crops.
independent continuant;sludge;the residual semi-solid material left from domestic or industrial processes, or wastewater treatment processes.
independent continuant;breast screening unit facility;a hospital unit facility which is used for breast cancer screening.
independent continuant;guyot;ftt:777
independent continuant;calcareous ooze;calcareous ooze is a marine sediment composed primarily of the shells--also known as tests--of foraminifera, coccolithophores, and pteropods. this is the most common pelagic sediment by area, covering 48% of the world ocean's floor. this type of ooze is limited to depths above the carbonate compensation depth at time of burial. it accumulates more rapidly than any other pelagic sediment type, with a rate that varies from 0.3 - 5 cm / 1000 yr.
independent continuant;trophosome;a specialised organ found in deep-sea tube worms populating hydrothermal vent environments that is colonised by chemosynthetic bacteria which supply the host worm with organic compounds. the term may be applied to similar organs in other worms.
independent continuant;ditch;a small, human-made channel which has been dug for draining or irrigating the land.
independent continuant;suspension bridge;a bridge which has its deck hung on vertical suspenders via suspension cables.
independent continuant;woodland area;tgn:21632
independent continuant;alluvial fan;ftt:95
independent continuant;wadi;ftt:158
independent continuant;public transport hub;a transport hub which is part of public infrastructure.
independent continuant;peatland;ftt:1061
independent continuant;populated place;place or area with clustered or scattered buildings and a permanent human population.
independent continuant;area of tundra;geonames:v.tund
independent continuant;elevated landform;sweetrealm:elevation
independent continuant;abyssal plain;tgn:23302
independent continuant;gypsum;a soft sulfate mineral composed of calcium sulfate dihydrate.
independent continuant;woodland clearing;ftt:488
independent continuant;ramsar site;a wetland protected by the terms of the ramsar convention (the convention on wetlands of international importance, especially as waterfowl habitat).
independent continuant;oceanic zone;ecolexicon:oceanic zone
independent continuant;volcanic rock;an igneous rock that results from magma reaching the surface either as lava or fragmental ejecta.
independent continuant;isthmus;sweetrealm:isthmus
independent continuant;water surface;the surface layer of a volume of water.
independent continuant;gravel pit;ftt:772
independent continuant;atmospheric isobaric surface;an isobaric surface that is part of an atmosphere.
independent continuant;ridge;ecolexicon:crest
independent continuant;bridge;a built structure erected over a depression or obstacle to carry traffic or some facility such as a pipeline.
independent continuant;area of dwarf scrub;an area of a planet's surface which is partly covered by shrubs with ground-hugging stems or low growth habit, in contact with an atmospheric column extending from the planetary boundary layer to the planet's exosphere with little to no physical obstruction.
independent continuant;flood plain;tgn:21460
independent continuant;droplet;a droplet is a small column of liquid, bounded completely or almost completely by free surfaces which maintains its shape due to the surface tension of the liquid.
independent continuant;agricultural ecosystem;tgn:55001
independent continuant;scoria;scoria is a highly vesicular, dark colored volcanic rock that may or may not contain crystals.
independent continuant;seamount;geonames:u.knsu
independent continuant;sea cave;a cave in present-day or emerged sea cliffs, formed by wave attack or solution.
independent continuant;lake;a body of water or other liquid of considerable size contained in a depression on a landmass.
independent continuant;endorheic basin;a drainage basin from which there is no outflow of water, either on the surface as rivers, or underground by flow or diffusion through rock or permeable material.
independent continuant;meteorite;a natural object originating in outer space that survives an impact with a planetary surface without being destroyed.
independent continuant;eastern boundary current;a cold water, broad marine surface current flowing from high latitudes to the equator at speeds between 3 and 7 kilometers per day.
independent continuant;resin;a solid or highly viscous plant or synthetic based substance that is typically convertible into polymers.
independent continuant;ice cap;a dome-shaped ice mass that covers less than 50,000 km2 of land area (usually covering a highland area).
independent continuant;ecozone;ecozones delineate large areas of a planetary surface within which organisms have been evolving in relative isolation over long periods of time, separated from one another by geographic features, such as oceans, broad deserts, or high mountain ranges, that constitute barriers to migration.
independent continuant;mount;ftt:460
independent continuant;carbon dioxide-reducing sediment;sediment hosting and characterised by active carbon dioxide reducing microbial communities.
independent continuant;atoll;ecolexicon:atoll
independent continuant;tidewater glacier;a glacier which terminates in a lake or the sea, with terminus either floating or grounded
independent continuant;archipelago;ecolexicon:archipelago
independent continuant;flattened elevation;an elevation which is flattened across its highest surface.
independent continuant;bicycle;a bicycle is a human-powered, pedal-driven, single-track vehicle, having two wheels attached to a frame, one behind the other.
independent continuant;track;sweetrealm:path
independent continuant;seamount;geonames:u.smsu
independent continuant;nunatak;ftt:80
independent continuant;navigation canal;ecolexicon:navigation channel
independent continuant;bare soil surface layer;a soil surface which is exposed to the troposphere, with no appreciable cover from vegetation or other material.
independent continuant;undersea feature;tgn:23212
independent continuant;rincon;an incised meander on a river.
independent continuant;lava flow;a lava flow is a moving outpouring of lava, which is created during a non-explosive effusive eruption.
independent continuant;undersea feature;tgn:23550
independent continuant;desalinated water;saline water from which minerals have been removed to produce fresh water suitable for human consumption or irrigation.
independent continuant;undersea feature;ftt:1193
independent continuant;humus;sweetrealm:humus
independent continuant;flush toilet fixture;a toilet fixture which uses water to flush liquid and solid excreta into a sewage containment or processing facility through a drainpipe.
independent continuant;marine algal bloom;ecolexicon:red tide
independent continuant;field soil;soil which is part of an agricultural field.
independent continuant;building;ftt:42
independent continuant;piece of rock;geonames:t.rk
independent continuant;neritic mussel bed;a mussel bed which is located in benthic regions that are part of a continental shelf.
independent continuant;field hospital;a healthcare facility which is a temporary hospital or mobile medical unit that takes care of casualties on-site before they can be safely transported to more permanent facilities.
independent continuant;cliff;ftt:269
independent continuant;alas;a steep-sided depression formed by the melting of permafrost. it may contain a lake.
independent continuant;pour-flush pit latrine;a pit latrine which includes a water seal (u-trap or siphon) used over one or two offset pits instead of a plain hole or seat. water is manually poured through the trap to flush excreta into the latrine pit.
independent continuant;alluvial soil;soil which has been eroded and influenced by flowing water and redeposited in a non-marine setting.
independent continuant;tundra biome;a terrestrial biome which comprises a tundra ecosystem that has reached its climax community.
independent continuant;mineral horizon;a soil horizon which is primarily composed of mineral material.
independent continuant;ozone layer;the ozone layer is a layer of gases in the stratosphere which contains high concentrations of ozone gas relative to other parts of the atmosphere.
independent continuant;primary microplastic particle;a microplastic particle which is the direct output of a manufacturing process.
independent continuant;cave;ftt:1071
independent continuant;intertidal ecosystem;spire:intertidal
independent continuant;natural environment;an environmental system in which minimal to no anthropisation has occurred and non-human agents are the primary determinants of the system's dynamics and composition.
independent continuant;valley;ftt:811
independent continuant;ridge;a long and narrow elevation with steep sides.
independent continuant;crevasse;ftt:594
independent continuant;peninsula;a body of land jutting out into and nearly surrounded by water.
independent continuant;stormwater;water which accumulates on a solid surface during precipitation events and snow/ice melt.
independent continuant;mine;geonames:l.mna
independent continuant;marine tidal flow zone;an environmental zone in which varying gravitational forces from astronomical bodies, combined with the rotation of the astronomical body containing the zone, cause marine waters to undergo periodic depth oscillations (tides).
independent continuant;petroleum;a naturally occurring flammable liquid consisting of a complex mixture of hydrocarbons of various molecular weights and other liquid organic compounds, that are found in geologic formations beneath the planetary surfaces.
independent continuant;spring;sweetrealm:spring
independent continuant;coastal plain;ecolexicon:coastal zone
independent continuant;lacquer;a category of hard and potentially shiny (clear or colored) finishes which can be applied to materials including wood or metal.
independent continuant;marine sub-littoral zone;the marine sublittoral zone is part of the marine littoral zone which is permanently covered by seawater. in physical oceanography, the sublittoral zone refers to coastal regions with significant tidal flows and energy dissipation, including non-linear flows, internal waves, river outflows and oceanic fronts. in practice, this typically extends to the edge of the continental shelf, with depths around 200 meters. in marine biology, the sublittoral refers to the areas where sunlight reaches the ocean floor, that is, where the water is never so deep as to take it out of the photic zone.
independent continuant;mass of solid material;an mass of environmental material which is composed primarily of a solid environmental material
independent continuant;acidic hot spring;an acidic spring through which groundwater, heated by geothermal energy, flows.
independent continuant;smokeless tobacco;processed tobacco which has been treated for use by placing it between the gum and cheek or lip, chewed, or sniffed, but not smoked.
independent continuant;deep ocean current;a marine current that generally occurs below the permanent thermocline (where it occurs) or below 400 m depth and that is driven by density and temperature gradients.
independent continuant;ice decumulation zone;a material decumulation zone in which the rates of ice formation processes are below those of ice decumulation processes, leading to a net decrease in some mass of ice.
independent continuant;recreational cruise ship;a boat which provides short-term residential and entertainment facilities to passengers.
independent continuant;along-front current;a marine surface current that flows along an oceanic front.
independent continuant;surface soil;a soil consisting of the upper layer of soil on the surface consisting of loose material capable of supporting life composed of a mixture of mineral and organic matter.
independent continuant;karst cave;a cave which is part of a karst formation.
independent continuant;ultrafine respirable suspended particulate matter;a portion of fine respirable suspended particulate matter is a form of particulate matter composed primarily of solid particles each with a diameter of 100 nanometers or less.
independent continuant;vivarium;a vivarium is an enclosure for keeping and raising organisms for observation or research. often, a portion of the ecosystem for a particular species is simulated on a smaller scale, with controls for environmental conditions.
independent continuant;mountain pass;geonames:t.gap
independent continuant;toilet fixture;a fixture which is used primarily for the collection and, in some cases, disposal of human urine and feces.
independent continuant;sabkha;ftt:705
independent continuant;meander;a bend in a stream. a stream flowing through a wide valley or flat plain will tend to form a meanders as it alternatively erodes and deposits sediments along its course.
independent continuant;alum spring;a spring through which water with elevated concentrations of hydrated double sulfate aluminium salts flows.
independent continuant;cave wall;a solid surface layer which 1) forms part of the boundary between the cavity of a cave and its solid container and 2) is roughtly perpendicular to the cave floor.
independent continuant;pinnacle;ecolexicon:crag
independent continuant;sisal plantation;ftt:73
independent continuant;forested area;tgn:21642
independent continuant;escarpment;ftt:490
independent continuant;aquaculture farm;an agricultural aquatic ecosystem in which fish, crustaceans, mollusks, aquatic plants and algae are cultivated.
independent continuant;freshwater wetland ecosystem;a wetland which is inundated with water that contains low concentrations of salts.
independent continuant;undersea feature;tgn:23195
independent continuant;nuclear power plant;a nuclear power plant is a power plant which uses heat generated by a radioactive decay in a nuclear reactor to convert water into steam in order to drive turbines in electrical generators through pressure.
independent continuant;leather dye;pigments carried by solvents or water which are applied to leather to be absorbed into the pores of the leather to deposit coloration.
independent continuant;glacier;geonames:h.glcr
independent continuant;temple;a building reserved in which religious or spiritual rituals and activities such as prayer and sacrifice are performed.
independent continuant;subtropical shrubland biome;a shrubland biome which is subject to subtropical climate patterns.
independent continuant;baseboard;a building part consisting of a board covering the joint between the lowest part of an interior wall surface and the floor.
independent continuant;planetary landmass;a landmass which is part of a planet.
independent continuant;glacier snout;an ice mass which constitutes that part of a glacier which has the lowest elevation.
independent continuant;meadow ecosystem;ftt:259
independent continuant;sparsely populated settlement;a settlement with a low density of buildings and inhabitants.
independent continuant;continental margin;ecolexicon:continental margin
independent continuant;ballast tank;a ballast tank is a compartment within a boat, ship or other floating structure that holds water, which is used as ballast to provide stability for a vessel.
independent continuant;natural nuclear fission reactor;a uranium deposit where self-sustaining nuclear chain reactions have occurred.
independent continuant;tunnel;sweetrealm:tunnel
independent continuant;wetland ecosystem;ecolexicon:wetland
independent continuant;runoff;liquid water which 1) flows over land and 2) is not absorbed or retained by the materials if flows over or through.
independent continuant;aerosolised solids;sweetrealm:aerosol
independent continuant;plastisphere;a part of an astronomical body which includes, as parts, all the entities which are composed primarily of plastic and which are within the gravitational sphere of influence of that body.
independent continuant;bed frame;a bed frame is a piece of furniture which is used to position a mattress and bed base and may include a means of supporting a canopy.
independent continuant;blue ice;water ice containing little to no air bubbles resulting in a reduction of internal light scattering and, given sufficient volume, a blue appearance.
independent continuant;desert scrubland;a scrubland which is located in a desert.
independent continuant;asphalt concrete;asphaltic concrete is a concrete which uses refined asphalt as a cement.
independent continuant;undersea feature;geonames:u.rdgu
independent continuant;alkaline environment;an alkaline environment is an environment in which entities are exposed to high ph, typically greater than a ph of 9.
independent continuant;rock;ecolexicon:rock
independent continuant;india ink;a black or colored ink which is 1) used for writing, printing, and drawing and 2) made from fine soot (lampblack) and water.
independent continuant;conveyor belt component;a manufactured product which is 1) an endless belt of flexible material stretched between two drums. 2) conveys material between drum locations.
independent continuant;anthracite;a hard, compact variety of coal that has a submetallic luster. it has the highest carbon content, the fewest impurities, and the highest energy density of all types of coal and is the highest ranking of coal.
independent continuant;tephra;tephra is fragmental material produced by a volcanic eruption regardless of composition, fragment size or emplacement mechanism.
independent continuant;drinking water treatment plant;an industrial building in which water undergoes a purification process to make it fit for human consumption.
independent continuant;acrylic paint;a water soluble, fast-drying paint made of pigment suspended in acrylic polymer emulsion.
independent continuant;lentic water body;a lentic water body is a water body in which the accumulated water, in its totality, has very little to no directed flow.
independent continuant;ice tongue;tgn:21143
independent continuant;dam;geonames:s.dam
independent continuant;vadose cave;a cave which is within a vadose zone.
independent continuant;cow shed;an animal house which is used to shelter cows.
independent continuant;sea surface layer;a surface layer which is part of an ocean or sea.
independent continuant;interface layer;a layer which separates two portions of environmental material which possess 1) differing compositions, 2) a discontinuity of some property, or 3) some derivative of some property in a direction normal to the interface.
independent continuant;body of liquid;a liquid astronomical body part which is continuous and is delimited by physical discontinuities or non-liquid boundaries.
independent continuant;woodland ecosystem;an ecosystem which is determined by communities of plants with a tree growth form and in which members of those communities are spaced sufficiently far apart to allow sunlight to illuminate the understory.
independent continuant;quarry;ftt:974
independent continuant;headwater;ftt:1221
independent continuant;planetary mantle;a planetary mantle is a planetary layer which is an interior part of a terrestrial planet or other rocky body large enough to have differentiation by density.
independent continuant;polar front;a weather front which separates air masses of tropical and polar origin.
independent continuant;plantation;an intentional planting of a crop, on a large scale, usually for uses other than cereal production or pasture. the term is currently most often used for plantings of trees and shrubs. the term tends also to be used for plantings maintained on economic bases other than that of subsistence farming.
independent continuant;cultivated environment;ftt:55
independent continuant;low tide zone;the tidal zone that is mostly submerged, only being exposed at the point of low tide and for a longer period of time during extremely low tides.
independent continuant;administrative region;ftt:22
independent continuant;stream valley;tgn:21427
independent continuant;intermittent saline evaporation pond;geonames:h.pndni
independent continuant;cold desert;a cold desert is a desert which has hot summers and cold, dry winters with temperatures below 0 degrees celsius
independent continuant;continental island;ecolexicon:continental island
independent continuant;ocean current;ecolexicon:ocean current
independent continuant;frozen compost soil;compost soil which is frozen.
independent continuant;amictic lake;a lake which is permanently covered by ice, does not mix, and exhibit inverse cold water stratification whereby water temperature increases with depth below the ice surface.
independent continuant;drainage ditch;ftt:402
independent continuant;saline wedge estuary;an estuary in which river output greatly exceeds marine input, resulting in little mixing and thus a sharp contrast between fresh surface water and saline bottom water.
independent continuant;terrestrial planet;a planet that is composed primarily of silicate rocks or metals.
independent continuant;administrative region;ftt:15
independent continuant;soil;lter:535
independent continuant;stony desert;a desert plain characterized by a surface veneer of gravel or stones.
independent continuant;volcano;tgn:21406
independent continuant;interfluve;ftt:874
independent continuant;passenger train;a train which is capable of and used for passenger transport.
independent continuant;oil palm plantation;geonames:v.grvp
independent continuant;hydrographic feature;ftt:826
independent continuant;marine terrace;geonames:bncu
independent continuant;ocean basin;ecolexicon:ocean basin
independent continuant;micobiology unit facility;a hospital unit facility which is used to provide medical microbiology services.
independent continuant;moor;ftt:1191
independent continuant;solar rainbow;a solar rainbow is a rainbow produced by the refraction of light. which has been emitted by a star, by water droplets in the atmosphere of an astronomical body.
independent continuant;desert area;a region rendered barren or partially barren by environmental extremes, especially by low rainfall.
independent continuant;apron;ecolexicon:apron
independent continuant;constructed pavement;a construction which comprises a durable surface layer overlying a solid surface intended to sustain vehicular or foot traffic.
independent continuant;farm;ftt:45
independent continuant;hydrographic feature;ftt:824
independent continuant;marine anoxic zone;marine anoxic zones are areas of marine water that are depleted of dissolved oxygen. this condition is generally found in areas that have restricted water exchange. in most cases, oxygen is prevented from reaching the deeper levels by a physical barrier (sill) as well as by a pronounced density stratification. anoxic conditions will occur if the rate of oxidation of organic matter by bacteria is greater than the supply of dissolved oxygen.
independent continuant;coast;a coast is the area where land meets the sea, ocean, or lake.
independent continuant;undersea feature;tgn:23196
independent continuant;nitrobenzene enriched sediment;organically enriched sediment which has increased levels of nitrobenzene.
independent continuant;tea plantation;ftt:45
independent continuant;oxbow lake;ftt:221
independent continuant;bedclothing;bedclothing is a textile covering used on a bed as a sheet, blanket, or pillowcase.
independent continuant;warm polymictic lake;a warm polymictic lake is a polymictic lake which is not covered by ice at any point during the year.
independent continuant;eucalyptus forest soil;soil which is part of a forest whose communites of arborescent plants are dominated the genus eucalyptus.
independent continuant;acetamide enriched soil;a portion of acetamide enriched soil is a portion of soil with elevated levels of acetamide.
independent continuant;guyot;ftt:1197
independent continuant;canyon;relatively narrow, deep depression with steep sides, the bottom of which generally has a continuous slope.
independent continuant;ice cap;ftt:841
