independent continuant;spacecraft;vehicles, crewed or uncrewed, which are designed to orbit about the earth or another celestial body or be placed into a trajectory to another celestial body or location in space.
independent continuant;space station;a spacecraft capable of supporting a human crew in orbit for an extended period of time. it lacks major propulsion or landing systems. stations must have docking ports to allow other spacecraft to dock to transfer crew and supplies.
independent continuant;earth surface;that part of the earth exposed to the earth atmosphere.
independent continuant;nuclear reactor;a device in which nuclear fission may be initiated and controlled in a self-sustaining chain reaction to generate energy or produce useful radiation.
independent continuant;beyond low earth orbit;that part of outer space beyond the earth's radiation belts.
independent continuant;earth atmosphere;the region between the earth's surface and an altitude of approximately 100 km
independent continuant;tissue equivalent material;material presenting, when irradiated, interaction properties similar to those of soft tissue.
independent continuant;mars orbit;a region of space defined by a regular, repeating path of a specified object about mars
independent continuant;particle accelerator;a device used to impart kinetic energy to subatomic particles by means of electric and magnetic fields
independent continuant;neon-20 nucleus;an atomic nucleus with 10 protons and 10 neutrons 
independent continuant;cis-mars space;the region of space between the earth and mars
independent continuant;radiation dosimeter device;ncit:c150121
independent continuant;high-altitude balloon;high-altitude balloons are crewed or uncrewed balloons, usually filled with helium or hydrogen, that are released into the stratosphere, generally attaining between 18 and 37 km (11 and 23 mi. 59,000 and 121,000 ft) above sea level.
independent continuant;particle accelerator beamline;the path leading from a particle accelerator to an experimental station used in experiments in particle physics, materials science, chemistry, and molecular biology, or in irradiation tests or to produce isotopes.
independent continuant;radionuclide;isotopes that exhibit radioactivity and undergo radioactive decay. (from grant & hackh's chemical dictionary, 5th ed & mcgraw-hill dictionary of scientific and technical terms, 4th ed)
independent continuant;interplanetary space;the region of space in the solar system between planets
independent continuant;active dosimeter;a radiation measuring device which records dose at the time of detection, with data available in real time
independent continuant;neptunium;a radioactive element of the actinide metals family. it has the atomic symbol np, and atomic number 93.
independent continuant;radiation dosimeter device;a device that is used to measure the amount of ionizing radiation exposure or absorption.
independent continuant;microbeam;a microbeam is a narrow beam of radiation, of micrometer or sub-micrometer dimensions. together with integrated imaging techniques, microbeams allow precisely defined quantities of damage to be introduced at precisely defined locations.
independent continuant;nitrogen-14 nucleus;an atomic nucleus with 7 protons and 7 neutrons 
independent continuant;krypton-84 nucleus;an atomic nucleus with 36 protons and 48 neutrons 
independent continuant;actinium;a trivalent radioactive element and the prototypical member of the actinide family. it has the atomic symbol ac, and atomic number 89. its principal isotope is 227 and it decays primarily by beta-emission.
independent continuant;gold-197 nucleus;an atomic nucleus with 79 protons and 118 neutrons 
independent continuant;actinide;a series of radioactive elements from actinium, atomic number 89, to and including lawrencium, atomic number 103
independent continuant;spacecraft module;a self-contained unit of a spacecraft
independent continuant;lunar orbit;a region of space defined by a regular, repeating path of a specified object about earth's moon
independent continuant;iron-56 nucleus;an atomic nucleus with 26 protons and 30 neutrons 
