independent continuant;total tau;a protein that is regarded as a general marker of neurodegeneration for evaluation in future population-based studies and represents the total tau concentration in a given sample.
independent continuant;phosphorylated tau;a protein that is phosphorylated through post-translational modification. its accumulation reflects the formation of neurofibrillary tangles, synaptic impairment, and neuronal dysfunction.
specifically dependent continuant;dementia due to alzheimer's disease;a disease of which the patient at this stage suffer from memory loss, impaired ability to think, or making decisions that interferes with doing everyday activities.
specifically dependent continuant;preservation of independence in functional abilities;a symptom that entails mild problems performing complex functional tasks which they used to perform previously, such as paying bills, preparing a meal, or shopping. the person requires more time, is less efficient, and makes more errors at performing such activities than in the past. nevertheless, the person generally maintains their independence of function in daily life.
specifically dependent continuant;inability to recognize oneself or family;a cognitive symptom of failure to recognize oneself's or family member's identity
specifically dependent continuant;traumatic brain injury;traumatic brain injury usually results from a violent blow or jolt to the head or body. an object that goes through brain tissue, such as a bullet or shattered piece of skull, also can cause traumatic brain injury.
specifically dependent continuant;mild cognitive impairment due to alzheimer's disease;a stage of alzheimer's disease where symptoms appear such as concern regarding a change in cognition (raised either by the patient himself/herself or by an informant who knows the patient well), impairment in one or more cognitive domains, preservation of independence in functional abilities and other non-demented symptoms.
specifically dependent continuant;episodic memory impairment;a mental impairment in the ability to learn and retain new information, or recall information about a specific event that has occurred at a specific time and place.
specifically dependent continuant;non-demented cognitive impairment;a symptom that is sufficiently mild that there is no evidence of a significant impairment in social or occupational functioning.
specifically dependent continuant;amnestic symptom;a symptom including impairment in learning and recalling of recently learned information, loss of memory, disorientation with time and space, lack of insight to their memory loss and being aware of their memory loss but not being able to understand why.
specifically dependent continuant;preclinical stage of alzheimer's disease;a disease stage of alzheimer's disease that begins long before any symptoms become apparent. the symptoms go unnoticed by the patients and people around them and this stage can last for years, possibly even decades.
specifically dependent continuant;cognitive symptom;cognitive symptoms involve problems with concentration and memory and can be just as disabling as the other types of symptoms. the onset of cognitive symptoms is usually realised in the same way as negative symptoms in that they only begin to be noticeable after the dominance of psychotic episodes or positive symptoms have either been controlled with medication or diminished with age.
specifically dependent continuant;inability to communicate;a symptom of failure to communicate with others.
specifically dependent continuant;possible alzheimer dementia;a type of alzheimer dementia whic meets core clinical criteria for possible alzheimer dementia
