independent continuant;target population;an organism population that is the target for a disease control strategy.
independent continuant;biotic ecosystem;the biotic ecosystem is the sum total of all organism populations in a particular geographical region.
independent continuant;immune organism that acts like it is immune;an immune organism that acts as if it is immune (i.e., it does not seek vaccination or avoid contact with infectious organisms).
independent continuant;contacted organism;an organism that is the bearer of a potentially infectious contact role during a potentially infectious contact process.
independent continuant;immune organism;an organism that is the bearer of an immune resistance disposition.
independent continuant;host;an organism of a particular biological taxon that is the site of reproduction of an organism of a different taxon.
independent continuant;resistant organism;an organism that is the bearer of resistance to infection
independent continuant;abiotic ecosystem element;a material entity that is part of an abiotic ecosystem.
independent continuant;contaminated abiotic thing;an abiotic ecosystem element that is participant in some biological contamination process.
independent continuant;abiotic ecosystem;the abiotic ecosystem is the sum total of all continuants in a geographical region that are not organisms, parts of organisms, or dependent continuants that inhere in organisms.
independent continuant;exposed population;a population of host organisms undergoing infection and that are not infectious.
independent continuant;immune population acting like immune;an immune population that acts as the members know they are immune (do not seek vaccination/antiviral treatment, etc.).
independent continuant;infected organism;an infectious agent host who is not able to transmit the infection to another organism of the same species.
independent continuant;seed site;a site that is the bearer of a role that is realized by the release of artificially-infected vectors for the purpose of infecting the local vector population with a certain pathogen.
independent continuant;school student population;the collection of students administrated by exaclty one school organization.
independent continuant;contaminated thing;an independent continuant that is the localization of a pathogen, but is not undergoing an infection.
independent continuant;wolbachia release site;a seed site for a wolbachia control measure.
independent continuant;atmosphere;a fiat object part that is in gaseous phase and that is the outer layer of an object in space and is held to the object by gravitational force
independent continuant;susceptible population;a population of organisms that are all susceptible.
independent continuant;susceptible organism;an organism that is the bearer of a susceptibility disposition.
independent continuant;parasite;an organism participating in an ectosymbiotic or endosymbiotic parasitism as the organism that benefits.
independent continuant;pathogen;an organism of a particular biological taxon that is the bearer of an infectious dispositions towards an organism of a different particular biological taxon.
independent continuant;immune organism that acts like it is not immune;an immune organism that acts as if it is not immune (i.e., it seeks vaccination and/or avoids contact with infectious organisms).
independent continuant;community;two or more distinct populations that are part of the same biotic ecosystem.
independent continuant;infected population;a population of only infected members of one species.
independent continuant;location of sampling process;a geographic region that contains a sampling process.
independent continuant;ecosystem;the sum of all biotic and abiotic entities in a geographical region. 
independent continuant;immune population;a population of organisms that are all immune.
independent continuant;recovered organism;an organism that is the bearer of a naturally-acquired, active immune resistance to infection.
independent continuant;contagious organism;a host who is able to transmit some infection to another organism.
independent continuant;parasitoid;an organism participating in an ectosymbiotic or endosymbiotic parasitoidism as the organism that benefits.
independent continuant;host population;a population of organisms some of which were susceptible to infection with a particular pathogen at some point in their lives.
independent continuant;immune population acting like not immune;an immune population that acts as the members assume they are not immune (e.g. seek vaccination/antiviral treatment).
independent continuant;contagious population;a population of host organisms undergoing infection that are contagious.
specifically dependent continuant;resistance to infection;the dispostion of an organism of a particular biological taxon a that is realized by inhibiting the establishment of an infection by an organism of another particular biological taxon that bears an infectious disposition towards members of a
specifically dependent continuant;infectious disease treatment efficacy;the disposition of one or more portions of material entity, when administered to a susceptible organism by a certain route and according to a certain schedule, to produce a structural change in an organism of a specific species, whereby this structural change serves as the physical basis of a protective resistance disposition.
specifically dependent continuant;chemical resistance to infection;a resistance to infection that is conferred by the presence, in sufficient quantity, of a particular molecular entity that is not normally present in the organism.
specifically dependent continuant;treatment contraindication;a contraindication that increases the risk of a treatment.
specifically dependent continuant;disease surveillance capability;a disposition of a disease surveillance infrastructure to detect the outbreak of one particular disease in the geographical region the infrastructure aims to cover.
specifically dependent continuant;immune resistance to infection;resistance to infection that is conferred by immune system/immune mechansisms.
specifically dependent continuant;susceptibility;the ability to participate in infection acquisition as a host.
specifically dependent continuant;infectious disease;a disease that inheres in a host and, when realized, is realized as a disease course that is causally preceded by an infection.
specifically dependent continuant;acute respiratory illness;a clinical phenotype that is causally preceded by some infection or some adverse drug reaction. and that is accompanied by a fever greater than or equal to 37.8 degrees celsius, and a cough or sore throat.
specifically dependent continuant;resistance to malaria infection;a resistance to infection by p. vivax, p. ovale, p. malariae, and/or p. falciparum.
specifically dependent continuant;potentially infectious contact role;a role borne by an organism that is realized in a potentially infectious contact process.
specifically dependent continuant;human monkeypox;a monkeypox disease inhering in a human being.
specifically dependent continuant;deprecated homeostasis;a disposition of the whole organism (or of some causally relatively isolated part of the organism, such as a single cell) to regulate its bodily processes in such a way as (1) to maintain bodily qualities within a certain range or profile and (2) to respond successfully to departures from this range caused by internal influences or environmental influences such as poisoning.
specifically dependent continuant;treatment surveillance capability;a disposition of a treatment surveillance infrastructure to detect individuals who have received treatment in the geographical region the infrastructure aims to cover.
specifically dependent continuant;antiviral treatment efficacy;the infectious disease treatment efficacy of an antiviral drug.
specifically dependent continuant;mechanical flight function;a function inhering in some device that is realized by some movement process in the atmosphere in which the device is participant in.
specifically dependent continuant;vaccination efficacy;the infectious disease treatment efficacy of a vaccine.
specifically dependent continuant;facultative role;a role borne by an organism in virtue of the fact that it is in intimate association with one or more organisms of different species, and is realized by bodily benefit to that organism as an occurrent part of a symbiosis with the other organisms. this bodily benefit takes the place of the organism or some relatively isolated part of the organism realizing some normal homeostasis disposition itself.
specifically dependent continuant;efficacy;a disposition of an organism to (i) undergo some bodily benefit that (ii) is triggered by a planned process.
specifically dependent continuant;drug treatment efficacy;the efficacy measured for some instance(s) of drug treatment for preventing or ameliorating some disease outcome.
specifically dependent continuant;infectiousness;a disposition inhering in an organism of a particular biological taxon that is realized only by the organism participating in an infection as the reproducing organism inside another organism of a different particular biological taxon.
specifically dependent continuant;naturally-acquired active immune resistance;an immune resistance to infection that is causally preceded by an infection and an immune response to that infection with the production of antibodies to antigens from the pathogen population participating in the infection.
generically dependent continuant;data format validator;a software application that takes a data set as input and outputs a determination of whether the dataset is in compliance with one or more given data format specifications.
generically dependent continuant;infectious disease forecaster;a simulation software application that has as output one or more predicted count data items that are about a host population and that predict how many infections will occur at or will have occurred at some temporal region relative to when the data items are created.
