specifically dependent continuant;bilateral breast cancer;a breast carcinoma that is characterized by an individual having breast cancer in both breasts, either simultaneously or at different times.
specifically dependent continuant;paget's disease of bone;a bone formation disease that has material basis in hyperactive osteoclast which results in abnormal osteoblast bone formation located in skull, located in pelvis, located in vertebral column, located in set of limbs.
specifically dependent continuant;lung small cell carcinoma;a lung carcinoma that has material basis in primitive-appearing cells that are smaller than normal cells and is located in the lung.
specifically dependent continuant;lung combined type small cell carcinoma;a lung small cell carcinoma that is characterized as a multiphasic lung cancer comprised of a mixture of small cell and non-small cell lung carcinoma cells.
specifically dependent continuant;internal auditory canal lipoma;an auditory system benign neoplasm that derives from adipose tissue and is located in the internal auditory canal.
specifically dependent continuant;primary ovarian insufficiency;an ovarian disease where ovaries do not produce estrogen despite high levels of circulating gonadotropins in women under 40.
specifically dependent continuant;chest wall lymphoma;a thoracic cancer that is located in the chest wall.
specifically dependent continuant;bone lymphoma;a bone cancer and lymphoma by site that results in lymphoma starting in the bone.
specifically dependent continuant;ovarian hyperstimulation syndrome;an ovarian disease that is characterized by cystic enlargement of the ovaries and a fluid shift from the intravascular to the third space and has symptom abdominal pain, has symptom nausea and has symptom vomiting. this disease is an iatrogenic complication of assisted reproduction technology.
specifically dependent continuant;diaphragm disease;a muscular disease that is located in the diaphragm.
specifically dependent continuant;schizophrenia;a psychotic disorder that is characterized by a disintegration of thought processes and of emotional responsiveness.
specifically dependent continuant;schizoaffective disorder;a psychotic disorder that is characterized by recurring episodes of mood fluctuations and a loss of contact with reality.
specifically dependent continuant;hirschsprung's disease;a megacolon that is characterized by a blockage of the large intestine due to improper muscle movement in the bowel.
specifically dependent continuant;littre gland carcinoma;a male reproductive organ cancer that has material basis in abnormally proliferating cells derives from epithelial cells and is located in the littre glands.
specifically dependent continuant;spinal stenosis;a bone deterioration disease that has material basis in bony spurs, disc degeneration, or thickened ligaments which results in narrowing located in spinal cord.
specifically dependent continuant;fibrillary astrocytoma;a malignant astrocytoma that is characterized as a low grade astrocytoma and has material basis in neoplastic astrocytes.
specifically dependent continuant;intrahepatic bile duct cystadenoma;a bile duct cystadenoma located in an intrahepatic bile duct.
specifically dependent continuant;vaginal adenoma;a vaginal benign neoplasm that has material basis in epithelial tissue of glandular origin.
specifically dependent continuant;water-clear cell adenoma;an adenoma that derives from epithelial cells which have clear cytoplasm.
specifically dependent continuant;microcystic adenoma;a pancreatic cystadenoma that is characterized by innumerable small cysts lined by bland clear cells.
specifically dependent continuant;anterior spinal artery syndrome;a syndrome that is characterized by loss of function of the anterior two-thirds of the spinal cord that results from ischemia of the anterior spinal artery.
specifically dependent continuant;cerebrovascular disease;an vascular disease that is characterized by dysfunction of the blood vessels supplying the brain.
specifically dependent continuant;hereditary spastic paraplegia 16;a hereditary spastic paraplegia that has material basis in variation in the chromosome region xq11.2.
specifically dependent continuant;hereditary spastic paraplegia 14;a hereditary spastic paraplegia that has material basis in variation in the chromosome region 3q27-q28.
