independent continuant;specimen by origin;s specimen categorization which described the type of entity from which the specimen was collected
independent continuant;matrix from organism;a specimen collected from an organism.
specifically dependent continuant;product oriented farming type;classification of livstock farming systems based on the type of commodity produced. sub-classes are not mutually exclusive.
specifically dependent continuant;endemic;the state of a disease, infection or other condition being maintained in a population without the need of external outputs. the population involved and their geographical location should be specified when defining an endemic state. present in a community or common among a group of people. said of a disease prevailing continually in a region
specifically dependent continuant;livestock farming system;a role given to a specific herd of domesticated animals, specifying that they are raised in an agricultural setting with a specific purpose.
specifically dependent continuant;status of hazard presence in a geographical region;a quality that specifies the known status of a hazard occurrence in a given geograhial region.
specifically dependent continuant;sporadic travel-related cases;single cases without a specific temporal pattern, but also without geographical pattern or other associations and where import to location is related to travel.
generically dependent continuant;surveillance context;a directive information that describes the context for data collection in support to a specificsurveillance objective.
generically dependent continuant;reporting protocol;a reporting protocol, generally used within a surveillance activity, detailing what are the reporting obligations associated with a specific surveillance target in a specific area, the reporting chain (who is obliged to report and how is the information flow from reporting), and any eventual incentives for reporting.
generically dependent continuant;sentinel surveillance;a surveillance context in which data are repeated collected from the same selected sites or groups of animals to identify changes in the health status of a specified population over time.
generically dependent continuant;syndromic surveillance;a surveillance context in which health-related information (clinical signs or other data) that might precede or substitute for formal diagnosis are used as indicators of spatio-temporal trends in hazard occurrence.
generically dependent continuant;food-borne outbreak investigation;a type of outbreak investigation that focus specifically on foodborne agents/vehicles
generically dependent continuant;sampling strategy;a directive information that describes how population units will be chosen for sample/data collection in a surveillance activity.
generically dependent continuant;diagnostic protocol;a protocol to be used within a surveillance activity to classify epidemiological units according to a specific outcome.
generically dependent continuant;reporting obligations;a directive information that described the manadatory actions that follow on specific agents upon suspicion or confirmation of specific hazards under surveillance.
generically dependent continuant;surveillance objective;a directive information that described those goal(s) that when met will result in the collection and analysis of data in order to achieve the purpose of the system
generically dependent continuant;sampling design protocol;a sampling scheme design to meet a specific surveillance objective and/or purpose of a surveillance activity.
generically dependent continuant;legislative specification;a directive information that details the legislative body that supports a specific surveillance activity, or the specific obligations prescried in these legislation.
generically dependent continuant;simple random sampling;a sampling strategy in which population units are selected such that each possible unit has a fixed and known or equal probability of selection.
generically dependent continuant;surveillance methods specification;an action specification for specific actions to be taken as part of a health surveillance activity.
generically dependent continuant;specimen collection protocol;a protocol detailing how specimens will be collected as part of the data gathering phase of a surveillance activity.
generically dependent continuant;case detection;a surveillance objective to search for any animals affected, clinically or not, by the hazard under surveillance.
generically dependent continuant;continuous data collection;a surveillance context in which sampling in done continuously, triggered by the existing of cases of interest, for instance reporting of confirmed cases or collection of samples from every slaughter batch.
generically dependent continuant;demonstration of disease freedom;a surveillance objective to gather evidence that can demonstrate, with a given confidence level, that a specific hazard is not present in a given population.
generically dependent continuant;specimen from organism type;a specimen datum used, in conjunction with information about the target sampled anatomical location, in order to specify how the anatomical entity was sampled
generically dependent continuant;assay datum;information about an assay which can be used to find of qualify/classify assays.
generically dependent continuant;notifiable upon diagnosis;a directive information used to identify diseases which, by law, must be reported to public health authorities upon diagnosis.
generically dependent continuant;early detection;a surveillance objective to detect any hazard cases as soon as possible.
generically dependent continuant;targeted sampling;a surveillance sampling strategy in which an aspired outcome is explicity stated.
generically dependent continuant;diagnostic test type;a test category used to group diagnostic tests based on generla characteristics, such as the target for detection (antigen or antibody).
generically dependent continuant;surveillance executor type;a directive information used to describe the type of agent who carries out the data collection in a surveillance activity
generically dependent continuant;surveillance purpose;a directive information that describes why surveillance is necessary and what it will accomplish.
generically dependent continuant;prevalence estimation;a surveillance objective focusedon gathering data to estimate the true or apparent prevalence of a hazard in a given population.
generically dependent continuant;participatory surveillance;a surveillance context which explores traditional information networks by using participatory rural appraisal methods.
generically dependent continuant;outbreak investigation;a surveillance context in which activities are specifically triggered by the detection of an outbreak
generically dependent continuant;indicator based surveillance;a surveillance context in which data are generated through the identification of cases based on agreed-upon definitions.
generically dependent continuant;outbreak investigation datum;a directive information that described specific detailsgathered during an outbreak investigation.
generically dependent continuant;surveillance protocol;a collection of all directive information associated with a surveillance activity, such as the surveillance objectives, the action specifications and legislative specification. everything about a surveillance activity that is related to its planning and methodology.
generically dependent continuant;matrix type;a directive information that qualifies/classifies specimens.
generically dependent continuant;sampling unit;a sampling unit is one of the units into which an aggregate is divided for the purpose of sampling, each unit being regarded as individual and indivisible when the selection is made.
generically dependent continuant;diagnostic protocol;a protocol that describes which diagnostic test or tests will be used to identify animals (or another epidemiological unit) infected with a specific pathogen, possibly in more than one round of screening.
generically dependent continuant;notifiable upon suspicion;a directive information used to identify diseases which, by law, must be reported to public health authorities upon suspicion
process;travel-associated surveillance;a priority surveillance strategy in which population units are selected if they have a travel history outside of the reporting region within a specified number of days before onset of symptoms.
process;re-infection surveillance;a priority surveillance strategy in which a population that previously tested positive for a disease of interest, and since confirmed to have recovered via a negative test, are monitored for positive test indication of re-infection with the disease of interest within a defined period of time.
process;targeted surveillance;a surveillance sampling strategy in which an aspired outcome is explicity stated.
process;intra-jurisdictional outbreak investigation;an outbreak investigation sampling strategy in which population units are chosen for investigation into a disease outbreak that only has connections within a single jurisdiction.
process;cluster/outbreak investigation;a sampling strategy in which population units are chosen for investigation into a disease cluster or outbreak.
process;surveillance of international border crossing by air travel;an international travel-associated surveillance strategy in which population units are selected if they have a travel history of crossing an international border via air travel.
process;multi-jurisdictional outbreak investigation;an outbreak investigation sampling strategy in which population units are chosen for investigation into a disease outbreak that has connections to two or more jurisdictions.
