independent continuant;neurotoxin;a molecular entity with a toxin disposition, the realization of which damages or interferes with the function of nerve tissue.
independent continuant;susceptible population;an organism population whose members are not infected with an infectious agent and who lack immunity to the infectious agent.
independent continuant;virulence factor;a biological macromolecule produced by a pathogen and that has a virulence factor disposition.
independent continuant;community-acquired infection;an infection resulting from a transmission process that did not unfold in a health care facility.
independent continuant;local infection;an infection for which the infectious agents that are part of the infection are limited to a relatively small area of the host's body.
independent continuant;immunodeficient organism;an organism that has an immunodeficiency.
independent continuant;infectious agent vector;an organism bearing an infectious agent vector role.
independent continuant;viremia;an infection that has as part virus particles located in the blood.
independent continuant;infectious disorder;an infection that is clinically abnormal.
independent continuant;chronic infection;an infection that persists for an extended period of time.
independent continuant;infectious agent;an organism that has an infectious disposition.
independent continuant;infection;a part of an extended organism that itself has as part a population of one or more infectious agents and that (1) exists as a result of processes initiated by members of the infectious agent population and is (2) clinically abnormal in virtue of the presence of this infectious agent population, or (3) has a disposition to bring clinical abnormality to immunocompetent organisms of the same species as the host (the organism corresponding to the extended organism) through transmission of a member or offspring of a member of the infectious agent population.
independent continuant;leptospirosis;an infection that has as part organisms of the genus leptospira.
independent continuant;acute infection;an infectious disorder that is the physical basis for an unfolding acute infectious disease course.
independent continuant;infectious agent carrier;an organism bearing the infectious agent carrier role.
independent continuant;primary immunodeficiency;an immunodeficiency that exists in an organism because of a genetic predisposition.
independent continuant;bacteremia;an infection that has as part bacteria located in the blood.
independent continuant;exotoxin;a molecular entity bearing an exotoxin disposition.
independent continuant;microbicide;a material entity with an antimicrobial disposition that is realized in a process of killing microorganisms.
independent continuant;antiviral;a material entity bearing an antiviral disposition.
independent continuant;intermediate host;a organism bearing an intermediate host role.
independent continuant;toxin;a molecular entity that has a toxin disposition.
independent continuant;mutualist;an organism bearing a mutualist role.
independent continuant;parasite;a organism bearing a parasite role.
independent continuant;antimicrobial;a material entity with an antimicrobial disposition.
independent continuant;symptomatic host of infectious agent;an organism who is host to an infectious agent and has symptoms of the infectious disease associated with the infectious agent
independent continuant;paratenic host;an organism bearing a paratenic host role.
independent continuant;acquired immunodeficiency;an immunodeficiency that is not caused by a genetic predisposition.
independent continuant;subclinical infection;an infection that is part of an asymptomatic host.
independent continuant;immunosuppressed organism experiencing hiv-based immunosuppression;a pathologically immunosuppressed organism that is experiencing hiv-based immunosuppression.
independent continuant;infectious agent colony;a colony whose members are infectious agents.
independent continuant;shigellosis;an infection located in the bowel and that has as part organisms of the genus shigella.
independent continuant;fomite;a material entity bearing a fomite role.
independent continuant;resistant entity;a material entity that has a resistance disposition.
independent continuant;organism population;an aggregate of organisms of the same species.
independent continuant;symbiont;an organism bearing a symbiont role.
independent continuant;immune population;an organism population whose members have acquired immunity to an infectious agent.
independent continuant;co-infected organism;an organism that has two infections with distinct species of infectious agents.
independent continuant;microbistatic;a material entity with an antimicrobial disposition that is realized in a process of inhibiting the growth of microorganisms.
independent continuant;pathologically immunosuppressed organism;an immunosuppressed organism that is experiencing pathologic immunosuppression.
independent continuant;infectious human pathogen;an infectious agent with a capability to infect human hosts.
independent continuant;antiseptic;a material entity bearing an antiseptic role.
independent continuant;colonized host;an organism that contains a colony in or on its extended organism.
independent continuant;immunosuppressed organism experiencing drug-based immunosuppression;a pathologically immunosuppressed organism that is experiencing drug-based immunosuppression.
independent continuant;infectious agent host;an organism bearing an infectious agent host role.
independent continuant;infectious agent portal of exit;an anatomical entity bearing an infectious agent portal of exit role.
independent continuant;colony;an organism population persisting in a site it has colonized.
independent continuant;immunosuppressed organism;an organism that is experiencing pregnancy-induced or pathologic immunosuppression.
independent continuant;chronic carrier of infectious agent;an organism who has been bearer of the infectious agent carrier role for an extended period of time.
independent continuant;primary pathogen;an infectious agent with a primary infectious disposition.
independent continuant;re-emerging pathogen;an infectious agent whose infection incidence is increasing in a host population as a result of changes in the biology of the host or pathogen, or changes in their interactions.
independent continuant;immunodeficiency;a disorder of an immune system component that results in defective functioning of the immune system.
independent continuant;virion;a virus that is in its assembled state consisting of genomic material (dna or rna) surrounded by coating molecules.
independent continuant;secondary infection;an infection bearing the secondary infection role.
independent continuant;trichomoniasis;an infection that has as part organisms of the species trichomonas vaginalis.
independent continuant;metatstatic infection;an infection established as a result of spread from another infection in a non-adjacent location in the extended organism of the host.
independent continuant;systemic infection;an infection for which the infectious agents that are part of the infection are distributed throughout the host.
independent continuant;infectious agent reservoir;a material entity bearing an infectious agent reservoir role.
independent continuant;endotoxin;a molecular entity with a toxin disposition and that is a structural component of a pathogen and is released from the pathogen only upon cytolysis.
independent continuant;infected population;an organism population whose members have an infection.
independent continuant;primary infection;an infection bearing the primary infection role.
independent continuant;diseased population;an organism population in whose members an infectious disease is being realized.
independent continuant;vehicle of infectious agent;a material entity bearing an infectious agent vehicle role.
independent continuant;dead-end host;an organism bearing a dead-end host role.
independent continuant;amebiasis;an infection located in the colon and that has as part organisms of the species entamoeba histolytica
independent continuant;emerging pathogen;an infectious agent whose infection incidence is increasing following its first introduction into a new host species.
independent continuant;cytotoxin;a molecular entity with a toxin disposition, the realization of which damages host cells.
independent continuant;infected organism;an organism that has an infection in or on its extended organism.
independent continuant;source of infection;a material entity bearing a source of infection role.
independent continuant;host;an organism bearing a host role.
independent continuant;intracellular infection;an infection for which the infectious agents that are part of the infection persist inside host cells.
independent continuant;nursing-home acquired infection;an infection resulting from a transmission process that unfolds in a nursing home.
independent continuant;immunocompetent organism;an organism that has immunocompetence.
independent continuant;hospital-acquired infection;an infection resulting from a transmission process that unfolds in a hospital.
independent continuant;infectious agent portal of entry;an anatomical entity bearing an infectious agent portal of entry role.
independent continuant;invasion factor;a biological macromolecule that has an invasion disposition.
independent continuant;immunosuppressed organism experiencing infection-based immunosuppression;a pathologically immunosuppressed organism that is experiencing infection-based immunosuppression.
independent continuant;simple infection;an infection comprised of infectious organisms all of the same species.
independent continuant;disinfectant;a material entity bearing a disinfectant role.
independent continuant;immunosuppressed organism experiencing chronic systemic steroid use-based immunosuppression;a pathologically immunosuppressed organism that is experiencing chronic systemic steroid use-based immunosuppression.
independent continuant;long-term non-progressor;an organism experiencing a long-term non-progressing infectious disease course.
independent continuant;extracellular infection;an infection for which the infectious agents that are part of the infection persist in the extracellular space of the host.
independent continuant;biological vector of infectious agent;an infectious agent vector bearing a biological vector of infectious agent role.
independent continuant;antiparasitic;a material entity bearing an antiparasitic disposition.
independent continuant;pathogen;a material entity with a pathogenic disposition.
independent continuant;immunosuppressed human experiencing drug-based immunosuppression due to organ transplant;a pathologically immunosuppressed organism that is a human experiencing drug-based immunosuppression.
independent continuant;obligatory symbiont;an organism that can only reach developmental maturity, replicate, or persist in symbiosis.
independent continuant;focal infection;a local infection for which symptoms are observed in parts of the host's extended organism that are distant from the infection.
independent continuant;commensal;an organism bearing a commensal role.
independent continuant;opportunistic pathogen;an infectious agent with an opportunistic infectious disposition.
