process;prenatal vitamin supplementation;ncit:c92860
process;biopsy of chordate pharynx;removal of tissue from the chordate pharynx.
process;skin swab collection;collection biological material from within the zone of skin with a cotton swab for use in clinical tests.
process;medium-chain fatty acid supplementation;addition of medium-chain fatty acid to a diet for complete nutrition support.
process;biopsy of hypothalamus;removal of tissue from the hypothalamus.
process;serum hcg measurement;a quantitative measurement of the amount of human chorionic gonadotropin present in a sample of serum.
process;5'-nucleotidase measurement;ncit:c79437
process;breast ultrasonography;the use of ultrasound to produce images of structures in the breast.
process;microangiography;imaging of small blood or lymphatic vessels less than 200 micrometers in diameter.
process;screening for small intestinal polyps;the use of any device, marker, or other means for the purpose of detecting the presence small intestinal polyp, usually in asymptomatic individuals.
process;mri of the muscle organ;a medical examination performed using of magnetic resonance imaging to image the muscle organ.
process;cholecystectomy;the surgical removal (cutting out) of part or all of gallbladder.
process;biopsy of nasopharynx;removal of tissue from the nasopharynx.
process;transabdominal ultrasonography;a method of ultrasound imaging in which the ultrasound probe is pressed against the skin of the abdomen in order to create an image of the abdominal organs.
process;chest examination;a systemic evaluation of the chest using visual inspection, palpation, and percussion. the purpose is to determine the presence or absence of physical signs of disease or abnormality for an individual's health assessment.
process;palatorrhaphy;a medically necessary surgery performed to restore function and conventional appearance of secondary palate. the surgery can correct deformities created by birth defects, trauma or medical conditions and is performed by a plastic surgeon.
process;scrotal ultrasonography;the use of ultrasound to produce images of structures in the scrotum.
process;surgical repair of cardiovascular system;a surgery that fixes or mends cardiovascular system.
process;spine radiography;use of an imaging test that uses small amounts of radiation to produce pictures of vertebral column.
process;glossectomy;the surgical removal (cutting out) of part or all of tongue.
process;duodenectomy;the surgical removal (cutting out) of part or all of duodenum.
process;biopsy of medulla oblongata;removal of tissue from the medulla oblongata.
process;biopsy of perianal skin;removal of tissue from the perianal skin.
process;clitoridectomy;the surgical removal (cutting out) of part or all of clitoris.
process;biopsy of large intestine;removal of tissue from the large intestine.
process;thyroid ultrasonography;the use of ultrasound to produce images of structures in the thyroid gland.
process;biopsy of kidney;removal of tissue from the kidney.
process;surgical repair of endocrine gland;a surgery that fixes or mends endocrine gland.
process;omega-3 fatty acid supplementation;addition of omega-3 fatty acid to the diet for complete nutrition.
process;head ct;the use of computed tomography to produce images of structures of the head.
process;whole lung transplantation;ncit:c15274
process;biopsy of endocrine pancreas;removal of tissue from the endocrine pancreas.
process;whole body examination;a systemic evaluation of the multicellular organism using visual inspection, palpation, and percussion. the purpose is to determine the presence or absence of physical signs of disease or abnormality for an individual's health assessment.
process;vitamin c measurement;the determination of the amount of vitamin c present in the sample.
process;venous thrombosis;the surgical removal (cutting out) of part or all of venous thrombosis.
process;digestive tract diverticulectomy;the surgical removal (cutting out) of part or all of digestive tract diverticulum.
process;auriculectomy;the surgical removal (cutting out) of part or all of ear.
process;thrombosis;the surgical removal (cutting out) of part or all of abnormal thrombosis.
process;bone marrow aspiration;removal of a small amount of liquid bone marrow through a needle.
process;chemical measurement;the determination of the amount of chemical entity present in the sample.
process;coenzyme q10 supplementation;addition of coenzyme q10 to a diet for complete nutrition support.
process;thymectomy;the surgical removal (cutting out) of part or all of thymus.
process;cervical examination;a systemic evaluation of the uterine cervix using visual inspection, palpation, and percussion. the purpose is to determine the presence or absence of physical signs of disease or abnormality for an individual's health assessment.
process;vitamin b1 measurement;the determination of the amount of vitamin b1 present in the sample.
process;lumpectomy;the surgical removal (cutting out) of part or all of neoplasm of the breast.
process;lactate dehydrogenase measurement for liver assessment;the determination of the amount of lactate dehydrogenase present in the sample to assess liver function.
process;oropharyngeal swab collection;collection biological material from within the oropharynx with a cotton swab for use in clinical tests.
process;biopsy of lower urinary tract;removal of tissue from the lower urinary tract.
process;meckel's diverticulectomy;surgical removal of an abnormal pouch of the lining of the small intestine (bowel).
process;bronchoplasty;a medically necessary surgery performed to restore function and conventional appearance of bronchus. the surgery can correct deformities created by birth defects, trauma or medical conditions and is performed by a plastic surgeon.
process;biopsy of endometrium;removal of tissue from the endometrium.
process;serum protein measurement;the determination of the amount of protein present in blood serum.
process;mri of the limb;a medical examination performed using of magnetic resonance imaging to image the limb.
