independent continuant;human being;an extended organism that is a member of the species homo sapiens.
independent continuant;mental functioning related anatomical structure;an anatomical structure in which there inheres the disposition to be the agent of a mental process.
specifically dependent continuant;bodily quality;a bodily quality is a quality that inheres in some extended organism.
specifically dependent continuant;representation;a dependent continuant which is about a portion of reality.
specifically dependent continuant;intentional modality;a structural capacity that shapes how an object of intentionality is represented for the subject.
specifically dependent continuant;personality trait;a personality trait is an individual disposition or predisposition that forms part of an overall personality and is realized in repeated occurrences of a specific mental process type or behavioural profile. 
specifically dependent continuant;capability to play violin;a musical capability that is realised in the production of music using a violin.
specifically dependent continuant;mental quality;a mental quality is a bodily quality that inheres in those structures of the extended organism that are essential for mental functioning.
specifically dependent continuant;intelligence;a mental capability realised in processes involving understanding complex ideas, adapting effectively to the environment, learning from experience, engaging in various forms of reasoning, and overcome obstacles through the outcome of thinking processes.
specifically dependent continuant;capability to speak;a linguistic capability that is realised in processes in which well-formed vocal expressions in a given language are produced.
specifically dependent continuant;protention;the partial structure of time consciousness that relates to linking and projecting the content of immediate moments to future moments (e.g. how the path of a moving object is intuitively projected).
specifically dependent continuant;cognitive representation;a representation which specifically depends on an anatomical structure in the cognitive system of an organism.
specifically dependent continuant;agreeableness;a personality trait manifesting itself in individual behavioral characteristics that are perceived as kind, sympathetic, cooperative, warm, and considerate.
specifically dependent continuant;retention;the partial structure of time consciousness that relates to retaining past events in memory and linking them to present events (e.g. how the individual tones in a melody is intuitively linked together to form a whole).
specifically dependent continuant;intentionality;intentionality is the fundamental quality of conscious mental processes of always having content, of being directed towards, or about something.
specifically dependent continuant;linguistic capability;a mental capability that is realised in processes of communication involving language or in expressions of language.
specifically dependent continuant;capability to read music;a musical capability that is the ability to interpret the musical instructions represented in a musical score.
specifically dependent continuant;capability to read;a linguistic capability that is realised by processes in which textual concretisations of linguistic expressions are processed and understood.
specifically dependent continuant;openness to experience;a personality trait manifesting itself in individual behavioral characteristics that are perceived as revealing, curiosity, an appreciation of novelty and variety of experiences and ideas, invention, and unpredictability.
specifically dependent continuant;belief;a mental disposition to represent a proposition to be true.
specifically dependent continuant;extraversion;a personality trait manifesting itself in individual behavioral characteristics that are perceived as positive, assertive, social, and outgoing.
specifically dependent continuant;mental capability;a personal capability that includes mental processes in its realisation.
specifically dependent continuant;conscientiousness;a personality trait manifesting itself in individual behavioral characteristics that are perceived as careful, self-disciplined, dependable, vigilant, dutiful, and goal-oriented.
specifically dependent continuant;capability to play piano;a musical capability that is realised in the production of music using a piano.
specifically dependent continuant;neuroticism;a personality trait manifesting itself in individual behavioral characteristics that are perceived as angry, anxious, depressed, unstable, and vulnerable.
specifically dependent continuant;affective representation;a cognitive representation sustained by an organsim about its own emotions.
specifically dependent continuant;capability;a bodily disposition whose realization ordinarily brings benefits to an organism or group of organisms, where "ordinarily" means within a typical range or context.
specifically dependent continuant;musical capability;a capability that is realised in an activity of producing or interpreting music.
specifically dependent continuant;irascibility;a mental disposition to frequent or easily incited outbursts of anger. 
specifically dependent continuant;bodily disposition;a bodily disposition is a disposition that inheres in some extended organism. examples are: my disposition to catch a cold when exposed to a virus, my ability to speak the english language.
specifically dependent continuant;a memory;a memory is a mental disposition that is realized in a process of remembering, i.e. a memory of x is a disposition realized in the process of remembering x.
specifically dependent continuant;mental disposition;a mental disposition is a bodily disposition that is realized in a mental process. 
specifically dependent continuant;capability to understand language;a linguistic capability that is realised in processes in which well-formed expressions in a given language are understood.
specifically dependent continuant;time intentional modality;the intentional structural capacity to experience lived time.
specifically dependent continuant;personality;a personality is a complex sum of dispositions and predispositions towards mental processes and behaviour. it inheres in a person.
process;non-linguistic communication;a communication process in which information is transmitted without being encoded in the meaning units of any language.
process;intersubjectivity;the subjective experience of other beings as self-aware entities.
process;interpersonal process;a process in which at least two human beings are agents.
