specifically dependent continuant;appraisal as desirable consequences;an appraisal that represents an evaluation that the expected consequences of an event are desirable. 
specifically dependent continuant;appraisal of familiarity;an appraisal that represents an evaluation of how familiar an object or event is. 
specifically dependent continuant;emotional action tendency;a bodily disposition to behaviour that inheres in an organism by virtue of the physical changes brought about by an emotion process.
specifically dependent continuant;appraisal as not expected;an appraisal that represents an evaluation that an event was not expected.
specifically dependent continuant;hate;a strong, negatively valenced emotion directed against a whole person for who or what they are. often directed at whole groups based on religion, ethnicity, or race. [source: oceas]
specifically dependent continuant;appraisal as dangerous;an appraisal that represents an evaluation that an object or situation presents a threat to the person.
specifically dependent continuant;appraisal of goal importance;an appraisal that represents an evaluation of whether an event or object is important to the person's goals or needs. 
specifically dependent continuant;appraisal as being disliked;an appraisal that represents a judgement that one is being disliked
specifically dependent continuant;appraisal as caused supernaturally;an appraisal that represents an evaluation that an event was caused by a supernatural agent (god, the ancestors, ghosts...).
specifically dependent continuant;appraisal as deliberate;an appraisal that represents an evaluation that an event was deliberately (intentionally) caused. 
specifically dependent continuant;appraisal of urgency of response;an appraisal that represents an evaluation of the urgency of responding to an event. 
specifically dependent continuant;appraisal as urgent response;an appraisal that represents an evaluation that an event requires an urgent (immediate) response. 
specifically dependent continuant;appraisal as unintended;an appraisal that represents an evaluation that an event was caused unintentionally.
specifically dependent continuant;passionate love;a powerful longing for union with the beloved, characterised by a confusion of feelings -- elation and pain, tenderness and sexuality, altruism and jealousy.
specifically dependent continuant;appraisal as expected;an appraisal that represents an evaluation that an event was expected. 
specifically dependent continuant;appraisal of dangerousness;an appraisal which represents an evaluation of how threatening an object or situation is.
specifically dependent continuant;appraisal as pleasant;an appraisal that represents an evaluation that an object or event is pleasant.
specifically dependent continuant;appraisal;a cognitive representation of the emotional relevance of an object or event to the organism.
specifically dependent continuant;appraisal of justice of treatment;appraisal which represents an evaluation of whether the person was treated justly or unjustly by another person. 
specifically dependent continuant;companionate love;less intense, longer-lasting love which is characterised by affection, commitment, intimacy and a concern for the welfare of the loved one. [source: oceas]
specifically dependent continuant;appraisal of suddenness;an appraisal which represents an evaluation of how suddenly an event occurred. 
specifically dependent continuant;appraisal as unpleasant;an appraisal that represents an evaluation that an object or event is unpleasant.
specifically dependent continuant;evaluation as important to goals;an appraisal that represents an evaluation that the event or object is important to the person's goals or needs. 
specifically dependent continuant;appraisal as not being at the centre of attention;an appraisal that represents a judgement that a person is not at the centre of the surrounding social attention. 
specifically dependent continuant;appraisal as not sudden;an appraisal that represents an evaluation that an event did not occur suddenly. 
specifically dependent continuant;appraisal as sudden;an appraisal that represents an evaluation that an event occurred suddenly. 
specifically dependent continuant;appraisal as congruent with ideals;an appraisal which represents a judgement that an event is consistent with the person's standards or ideals.
specifically dependent continuant;appraisal as not urgent response;an appraisal that represents an evaluation that an event does not require an urgent response. 
specifically dependent continuant;emotion disposition;an emotion disposition is a disposition to repeated emotion process individuated by being of the same type and about the same object.
specifically dependent continuant;appraisal as caused by an other;an appraisal that represents an evaluation that an event was caused by another person.
specifically dependent continuant;appraisal of desirability of consequences;an appraisal that represents an evaluation of the desirability of the expected consequences of an event. 
specifically dependent continuant;appraisal of pleasantness;an appraisal that represents an evaluation of the pleasantness of an object or event. 
specifically dependent continuant;appraisal as not congruent with ideals;an appraisal that represents a judgement that an event is inconsistent with a person's standards or ideals. 
specifically dependent continuant;appraisal of social attention;an appraisal which represents a judgement about the direction and nature of the social attention surrounding an event. 
specifically dependent continuant;appraisal as familiar;an appraisal that represents an evaluation that an object or event is familiar. 
specifically dependent continuant;appraisal of causal intent;an appraisal that represents an evaluation of the causal intent of the person who (is evaluated to have) caused an event.
specifically dependent continuant;appraisal as avoidable consequences;an appraisal that represents a judgement that the expected consequences of an event are in principle avoidable or modfiable. 
specifically dependent continuant;appraisal of expectedness;an appraisal that represents an evaluation of whether an event was expected to occur. 
specifically dependent continuant;appraisal as being liked;an appraisal that represents a judgement that one is being liked
specifically dependent continuant;evaluation as not important to goals;an appraisal that represents an evaluation that the event or object is not important to the person's goals or needs. 
specifically dependent continuant;appraisal of avoidability of consequences;an appraisal which represents a judgement about how avoidable the expected consequences of an event will be. 
