specifically dependent continuant;manifestation of a mental disease;a bodily feature of an organism that is (a) a deviation from clinical normality that is the realization of a mental disease and is (b) observable. 
specifically dependent continuant;mental disease;a disease which is a disposition to undergo pathological mental processes.
generically dependent continuant;diagnosis of mental disease;a diagnosis asserting the presence of an instance of a mental disease in a given organsim. 
process;binge eating;consists of episodes of uncontrollable eating.
process;displacement;directing an emotion, such as hostility or anxiety, toward a substitute target. "understanding abnormal behavior". david sue, derald wing sue, stanley sue.
process;psychosis;symptom or feature of mental illness typically characterized by radical changes in personality, impaired functioning, and a distorted or nonexistent sense of objective reality.
process;derealization; an alteration in the perception or experience of the external world so that it seems strange or unreal (e.g., people may seem unfamiliar or mechanical). dsm-iv-tr (american psychiatric association) 
process;psychotic disorder due to a general medical condition;in this disorder the psychotic symptoms are judged to be a direct physiological consequence of a general medical condition. dsm-iv-tr (american psychiatric association)
process;enuresis; the habitual voiding of urine during the day or night into one's clothes, bed, or floor. the behaviour is generally involuntary, but in rare situations it may be intentional. "understanding abnormal behavior". david sue, derald wing sue, stanley sue. 
process;catatonic behaviour; marked motor abnormalities including motoric immobility (i.e., catalepsy or stupor), certain types of excessive motor activity (apparently purposeless agitation not influenced by external stimuli), extreme negativism (apparent motiveless resistance to instructions or attempts to be moved) or mutism, posturing or stereotyped movements, and echolalia or echopraxia. dsm-iv-tr (american psychiatric association)
process;regression;a retreat to an earlier developmental level that demands less mature responses and aspirations. "understanding abnormal behavior". david sue, derald wing sue, stanley sue. 
process;occupational dysfunction;the dysfunction in the pursuit of and engagement in meaningful occupation. occupational dysfunction and eating disorders: theory and approach to treatment (roann barris, edd, otr)
process;mental disorder;a disease that involves a psychological or behavioral pattern generally associated with subjective distress or disability that occurs in an individual, and which are not a part of normal development or culture.
process;mass madness;group hysteria, in which large numbers of people exhibits similar symptoms that have no apparent cause. "understanding abnormal behavior". david sue, derald wing sue, stanley sue
process;mental disorder;icd9cm:290-319.99
process;premenstrual syndrome;premenstrual syndrome (pms) is a generic term which includes a broad group of emotional, behavioral and physical symptoms that occur for several days to several weeks before menses and subside following the menstrual period. premenstrual syndrome and premenstrual dysphoric disorder: definitions and diagnosis. ( ellen w freeman) 
process;encopresis; involves repeated defecating onto one's clothes, the floor or other inappropriate places. "understanding abnormal behavior". david sue, derald wing sue, stanley sue.
process;pathological anxiety; the apprehensive anticipation of future danger or misfortune accompanied by a feeling of dysphoria or somatic symptoms of tension. dsm-iv-tr (american psychiatric association)
process;caffeine intoxication;the essential feature of caffeine intoxication is recent consumption of caffeine and five or more symptoms that develop during, or shortly after caffeine use. dsm-iv-tr 
process;mental disorder;clinically significant behavioural and/or cognitive pathology.
process;process addiction; an addiction to a process, which might be a behaviour, such as gambling, or procrastination. 
process;mental disorder;umls cui:c0004936
process;shopping addiction; a process addiction in which the person compulsively performs shopping activities. 
process;mental disorder;snomedct 2010 1 31:154980002
process;gambling addiction; a process addiction in which the patient compulsively gambles. 
process;mental disorder;snomedct 2010 1 31:154843007
process;anorgasmia;persistent inability to achieve orgasm despite responding to sexual stimulation.
process;undoing;a symbolic attempt, often ritualistic or repetitive, to right a wrong or negate some disapproved thought, impulse or act. "understanding abnormal behavior". david sue, derald wing sue, stanley sue.
process;addiction to use of a sunbed; a process addiction in which the subject compulsively makes use of a sunbed.
process;dissociation; a disruption in the usually integrated functions of consciousness, memory, identity, or perception of the environment. the disturbance may be sudden or gradual, transient or chronic. dsm-iv-tr (american psychiatric association)
process;mental disorder;snomedct 2010 1 31:154972009
process;primary sleep disorder: parasomnia;disorders characterised by abnormal behavioural or physiological events occurring in association with sleep, specific sleep stages, or sleep-wake transitions. dsm-iv-tr (american psychiatric association) 
process;incoherence;the unability to think or express one's thoughts in a clear or orderly manner. 
process;hyperarousal;state of increased psychological and physiological tension marked by such effects as reduced pain tolerance, anxiety, exaggeration of startle responses, insomnia, fatigue and accentuation of personality traits. dorland's medical dictionary for health consumers. 
process;hallucination; sensory perception that has the compelling sense of reality of a true perception but that occurs without external stimulation of the relevant sensory organ. dsm-iv-tr (american psychiatric association)
process;projection;ridding oneself of threatening desires or thoughts by attributing them to others. "understanding abnormal behavior". david sue, derald wing sue, stanley sue. 
process;flight of ideas; a nearly continuous flow of accelerated speech with abrupt changes from topic to topic that are usually based on understandable associations, distracting stimuli, or plays on words. when severe, speech may be disorganised and incoherent. dsm-iv-tr (american psychiatric association)
process;mental disorder;msh:d001523
process;social dysfunction;the inability to perform in the interaction with other people. 
process;mental disorder;snomedct 2010 1 31:74732009
process;flat affect;little or no emotion in situations where strong reactions are expected. "understanding abnormal behavior". david sue, derald wing sue, stanley sue
process;apprehension; anxiety or fear that something bad or unpleasant will happen. 
process;thought disorder (td);refers to disorganized thinking as evidenced by disorganized speech.
process;nightmare;dream that can cause a strong emotional response from the mind, typically fear or horror, but also despair, anxiety and great sadness. the dream may contain situations of danger, discomfort, psychological or physical terror. 
process;hypomanic episode; is defined as a distinct period during which there is an abnormally and persistently elevated, expansive, or irritable mood that last at least 4 days.
process;dissociative fugue;is a confusion over personal identity (or even the assumption of a new identity), accompanied by unexpected travel away from home. understanding abnormal behavior.david sue, derald wing sue, stanley sue.dsm-iv-tr (american psychiatric association)
process;sexual arousal disorder;this disorders are problems that occur during the excitement phase and that relate to difficulties with feelings of sexual pleasure or with the physiological changes associated with sexual excitement. "understanding abnormal behavior". david sue, derald wing sue, stanley sue.
process;stupor;a state of unresponsiveness with immobility and mutism. dsm-iv-tr (american psychiatric association)
process;obsession; an intrusive and repetitive thought or image that produce anxiety. "understanding abnormal behavior". david sue, derald wing sue, stanley sue.
process;shared psychotic disorder;is characterised by the presence of a delusion in an individual who is influenced by someone else who has a longer-standing delusion with similar content. dsm-iv-tr (american psychiatric association)
