independent continuant;digital ulcer ae;this is an ae which is common in patients with systemic sclerosis, affecting over half of patients during the course of their disease.
independent continuant;mucosal ulceration ae;this is an ae which is an ulcer that occurs on the mucous membrane of the oral cavity.
independent continuant;patient;an organism that has the role of 'patient role'.
independent continuant;anastomotic ulcer ae;this is an ae which ulceration of the anastomosis occurs in 1 16% of patients.
independent continuant;palatal ulcer ae;this is an ae which is a common presentation and can be conveniently divided into developmental and acquired causes, the latter of which is subdivided into acute and chronic causes.
independent continuant;stress ulcer ae;this is an ae which is a single or multiple mucosal defect which can become complicated by upper gastrointestinal bleeding or physiologic stress.
independent continuant;ulcer;a disorder material entity that forms an open sore on the skin or a mucous membrane, accompanied by the disintegration of tissue.
independent continuant;aphthous ulcer ae;this is an ae which is a common condition characterized by the repeated formation of benign and non-contagious mouth ulcers (aphthae) in otherwise healthy individuals.
independent continuant;incision site;a medical intervention site that is used for incision for a surgery.
independent continuant;medical intervention site;a site that is used for a medical intervention
specifically dependent continuant;blood glucose increased;a physical quality that has an increased level of glucose in the blood
specifically dependent continuant;ae severity g5;a severity of ae that results in death.
specifically dependent continuant;ae severity g0;a severity of ae that shows sign and symptom within normal limits.
specifically dependent continuant;not related ae causality based on cdisc system;an ae causality based on cdisc system that has the scale "not related".
specifically dependent continuant;blood chloride decreased;a physical quality that has an decreased level of chloride ion in the blood, excessive loss may be due to sweating, vomiting and adrenal gland/kidney disease
specifically dependent continuant;highly probable causality based on dips score;a causality based on dips score that is "highly probable". it occurs when the sore is >8.
specifically dependent continuant;definite naranjo adr probability;a naranjo adr probability scale that shows definite causality result. it happens when the score is >=9.
specifically dependent continuant;blood phosphorus increased;a physical quality that has an increased level of phosphate in the blood
specifically dependent continuant;extrinsic factor of adverse event;a role that is extrinsic to a patient and is associated with an adverse event. no causal effect between this factor and the adverse event is assumed. examples include environment, diet, smoking, alcohol use, herbal product, drug-drug interaction.
specifically dependent continuant;ae severity g2;a severity of ae for which only minimal, local, or noninvasive intervention (e.g. packing, cautery) is indicated, or that limits instrumental activities of daily living (adls, e.g., shopping, laundry, transportation, or ability to conduct finances).
specifically dependent continuant;contraindication;a contraindication is a disposition that increases the risk of harm involved in using a particular drug, carrying out a medical procedure, or engaging in a particular activity such that the risk of harm exceeds a threshold. an contraindication serves as a reason to withhold a certain medical treatment.
specifically dependent continuant;adverse drug effect;an adverse effect that occurs after a drug administration: an appreciably harmful or unpleasant reaction resulting from an intervention related to the use of a medicinal product
specifically dependent continuant;blood magnesium increased;a physical quality that has an increased level of magnesium in the blood
specifically dependent continuant;contraindication to medical treatment ae;this is an ae which is a condition that serves as a reason not to take a certain medical treatment due to the harm that it would cause the patient.
specifically dependent continuant;ae causality based on cdisc system;a causality of ae that is based on the clinical data interchange consortium (cdisc) system
specifically dependent continuant;blood calcium increased;a physical quality that has an increased level of calcium in the blood
specifically dependent continuant;extrinsic factor of causal adverse event;an extrinsic factor of adverse event that is a determinant factor for the outcome of a causal adverse event.
specifically dependent continuant;blood potassium decreased;a physical quality where the blood potassium level is decreased.
specifically dependent continuant;drug resistance;a quality that represents resistance of a patient to a drug.
specifically dependent continuant;blood magnesium decreased;a physical quality that has an decreased level of magnesium, a mineral involved in nerve signaling and bone health. deficiency can cause spasms, and muscular cramps.
specifically dependent continuant;pregnancy test positive;a physical quality of a process that shows a positive result of a pregnancy test.
specifically dependent continuant;possible naranjo adr probability;a naranjo adr probability scale that shows possible causality result. it happens when the score is 1-4.
specifically dependent continuant;unlikely related ae causality based on cdisc system;an ae causality based on cdisc system that has the scale "unlikely related".
specifically dependent continuant;probably related ae causality based on cdisc system;an ae causality based on cdisc system that has the scale "probably related".
specifically dependent continuant;severity of adverse event;a process quality that represents the level of severity of an adverse event.
