independent continuant;hospital organization;an organization that is the bearer of a hospital role.
independent continuant;currency;a material entity that is the bearer of a concretization of money and is created by some governmental organization or on behalf of some governmental organization that has authorized its creation.
independent continuant;hospital facility;a health care facility that bears the function to provide acute and intensive healthcare services and that is run by a hospital organization and is the bearer of a hospital function.
independent continuant;hospice facility;a health care facility that bears a function to provide healthcare to the sick or terminally ill
independent continuant;outpatient clinic facility;a health care facility that bears a function to provide low intensity healthcare services to patients on a short-term basis, with patients leaving on the same date as arriving (i.e., without them staying overnight)
independent continuant;aggregate of organizations;an object aggregate that is not itself an organization and whose members are only organizations that have some feature in common
independent continuant;facility;an architectural structure that bears some function.
independent continuant;aggregate of objectual organisms;an object aggregate of objectual organisms.
independent continuant;rehabilitation facility;a facility to assist in physical or addiction recovery
independent continuant;emergency department facility;a health care facility that bears a function to provide emergency healthcare services and the acute care of patients who present without prior appointment, having arrived either by their own means or by ambulance
independent continuant;residential facility;a facility that has at least one housing unit as part in which a person or persons live
independent continuant;assisted living facility;a facility that is run by an assisted living facility organization and is the bearer of an assisted living facility function.
independent continuant;collection of humans;an object aggregate all of whose components are human beings.
independent continuant;nursing home facility;a facility that is run by a nursing home organization and is the bearer of a nursing home function.
independent continuant;school organization;an organization that is the bearer of a school role.
independent continuant;insurance company;an organization that secures a group of people against pecuniary loss by payment of a sum of money if a a specified event occurs.
independent continuant;residential health care facility;a community living health care facility that provides health care services in a home-like setting
independent continuant;housing unit;a material entity that has as parts one or more sites large enough to contain humans, has as part one or more material entities that separates it from other sites, and bears a residence function.
independent continuant;adult foster home facility;a facility that is run by an adult foster home organization and is the bearer of an adult foster home organization
independent continuant;architectural structure;a material entity that is a human made strcuture with firm connection between its foundation and the ground.
independent continuant;linguistic community;a maximal aggregate of material entities such that each member bears a linguistic competence for the same language.
independent continuant;community living health care facility;a health care facility that also bears a residence function and thus one in which the patients are also residents of the facility
independent continuant;household;a human or collection of humans that occupies a housing unit by storing their possessions there and habitually sleeping there thereby participating in the realization of that housing unit's residence function.
independent continuant;school facility;a facility that is run by a school organization and is the bearer of a school function.
specifically dependent continuant;organization social role;a role in human social processes that inheres in an organization.
specifically dependent continuant;legal person role;a role borne by a human individual or by a collection of humans regarded as possessing rights and duties enforeable at law.
specifically dependent continuant;hospital role;a healthcare provider role that inheres in an organization and is realized by providing inpatient care.
specifically dependent continuant;student role;a human social role that, if realized, is realized by the process of formal education that the bearer undergoes.
specifically dependent continuant;smoker role;a role that inheres in an organism and is realized by habitually smoking tobacco products.
specifically dependent continuant;language;a disposition that (i) is an aggregate of linguistic competences, considered as forming a distinct group on the basis of perceived common characteristics, such as mutual intelligibility among their bearers, in addition to historical or cultural factors. (ii) if realized, is realized in any and all realizations of those linguistic competences. and (iii) inheres in a linguistic community.
specifically dependent continuant;physician role;a health care role borne by a human being and realized by promoting, maintaining or restoring human health through the study, diagnosis, and treatment of disease, injury and other physical and mental impairments.
specifically dependent continuant;trauma patient role;a patient role that inheres in an organism with some non-superficial traumatic injury. the role is realized by admision to a hospital, transfer from one hospital to another for the purpose of trauma care, or has death as a result of the traumatic injury.
specifically dependent continuant;human patient role;a patient role that inheres in a human being.
specifically dependent continuant;physiatrist role;a physician role that is created by training and certification in rehabilitation/physical medicine and that is realized by the provision of or supervising of the provision of rehabilitation or physical therapy to a patient.
specifically dependent continuant;anesthesiologist role;a physician role that inheres a human being and, if it is realized, is realized either by administering medication for the temporary general or local suppression of sensory or motor nerve function during some health care encounter or by making decisions independently of a supervising physician regarding the adminstration of such medication.
specifically dependent continuant;neurosurgeon role;a surgeon role realized by its bearer using performing neurosurgery.
specifically dependent continuant;organization health care role;an organization social role that, if realized, is realized by either a health care process or an ancillary health care process
