independent continuant;influvac;influvac is an influenza virus vaccine that is manufactured by solvay pharma.
independent continuant;pmma vaccine adjuvant;a synthetic vaccine adjuvant made from the emulsion polymerization of methyl methacrylate.
independent continuant;as01b vaccine adjuvant;3-o-desacyl-4 -monophosphoryl lipid a (mpl) from salmonella minnesota and a saponin molecule (qs-21) purified from plant extract quillaja saponaria molina, combined in a liposomal formulation consisting of dioleoyl phosphatidylcholine (dopc) and cholesterol in phosphate-buffered saline solution.
independent continuant;eolarix;a measles-rubella vaccine that is live attenuated and manufactured by glaxosmithkline biologicals.
independent continuant;vaccine;a vaccine is a processed material with the function that when administered, it prevents or ameliorates a disorder in a target organism by inducing or modifying adaptive immune responses specific to the antigens in the vaccine.
independent continuant;transmissible gastroenteritis virus vaccine;viral vaccine that is used to protect against transmissible gastroenteritis virus infection
independent continuant;coviran barakat;a sars-cov-2 inactivated vaccine by shifa pharmed
independent continuant;vibrio cholerae gene;a bacterial gene that is from vibrio cholerae.
independent continuant;subtenon route;a route of administration that is through the membrane covering the muscles and nerves at the back of the eyeball
independent continuant;corvax12;a sars-cov-2 dna vaccine developed by providence health & services.
independent continuant;fowl pox vaccine;a viral vaccine that is used to protect against fowl pox virus infection
independent continuant;acmnpv vector;an adenovirus vaccine vector that contains a deletion of the gp64 gene. as a result of the deletion, this vector is unable to propagate infection from cell to cell, and this defect results from both a severe reduction in the production of budded virions and the absence of gp64 on virions. 
independent continuant;staphylococcus aureus phage lysate vaccine;a s. aureus vaccine that uses the bacterial phage lysate as the protective antigen. 
independent continuant;authorized covid-19 vaccine;a covid-19 vaccine that is authorized for emergent use, which is typically authorized based on an emergency use authorization (eua).
independent continuant;hepatitis b vaccine foreign to usa;a hepatitis b vaccine manufactured outside of the u.s.
independent continuant;t-vant vaccine adjuvant;t-vant is a vaccine adjuant that is derived from salmonella enterica serovar typhimurium and is able to induce th1/th2/th17 immune responses through the mechanism of action of tlr4, inflammasome, and dc activation.
independent continuant;fluzone high-dose;an influenza vaccine that is similar to fluzone but has high dose. 
independent continuant;qazvac;a sars-cov-2 inactivated vaccine manufactured by the research institute for biological safety problems (republic of kazakhstan)
independent continuant;autogenous bacterin vaccine;a bacterial vaccine that uses bacterin from a bacterial strain isolated from a herd with a purpose to generate hard-specific vaccine. 
independent continuant;measles-mumps vaccine;a measles virus vaccine that also protects against infection with mumps virus.
independent continuant;cmv vaccine vector;a herpesvirus vaccine vector that uses a cmv virus strain
independent continuant;pgfp dna vaccine plasmid;a dna vaccine plasmid vector that has the plasmid label pgfp. this plasmid is 3300 base pairs in length and contains a lac promoter and an ampicillin resistance gene.
independent continuant;ino-4800;a dna vaccine that expresses s protein from the pgx9501 vector
independent continuant;schistosoma mansoni vaccine;a protozoan vaccine against schistosoma mansoni
independent continuant;sars tpa-s dna vaccine;a sars dna vaccine that is made from tpa-optimize800 dna with sars-cov s protein
independent continuant;nkcmvint dna vaccine plasmid;a dna vaccine plasmid vector that has the plasmid label nkcmvint.
independent continuant;yersinia pestis gene;a bacterial gene that is from yersinia pestis.
independent continuant;imovax id;a vaccine used to develop immunity to rabies.
independent continuant;piscirickettsia salmonis vaccine;bacterial vaccine that is used to protect against piscirickettsia salmonis infection
independent continuant;lipo-5;lipo-5 is a therapeutic hiv vaccine made up of lipopeptides, study names: vri02/anrs 149 light. nct01492985
independent continuant;recombinant homologous vector vaccine;a recombinant vector vaccine that uses a homologous vector, i.e., when the target species of the vaccine is a natural host for the vector.
independent continuant;vb10.2129;a sars-cov-2 dna vaccine developed by vaccibody as encoding the receptor-binding domain
independent continuant;specol vaccine adjuvant;specon is an emulsion vaccine adjuvant that is a water-in-oil emulsion that is used as an adjuvant and has immunostimulating properties similar to freund's complete adjuvant (fca).
independent continuant;subunit vaccine;a vaccine that is composed of a purified protein(s) or other antigenic determinant(s) from a disease-causing organism. a subunit vaccine does not include pathogen nucleic acids. the subunits have less risk of causing adverse reactions.
independent continuant;sars ma-exon vaccine;a sars recombinant vector vaccine that is made from of the highly attenuated modified vaccinia virus ankara (mva) containing the gene encoding full-length sars-cov s
independent continuant;osvid-19;a sars-cov-2 inactivated vaccine developed by osve pharmaceutical company.
independent continuant;sublingual route;an oral route of administration that is underneath the tongue.
independent continuant;zymosan vaccine adjuvant;polysaccharide prepared from the cell wall of saccaromyces cerevisiae (bakers' yeast)
independent continuant;pgt146-mil-12 dna vaccine plasmid;a dna vaccine plasmid vector that has the plasmid label pgt146-mil-12.
independent continuant;diphtheria-tetanus vaccine;a corynebacterium diphtheriae vaccine that also protect against infection with clostridium tetani.
independent continuant;chlamydophila psittaci vaccine;a chlamydia bacterial vaccine against chlamydophila psittaci infection
independent continuant;incomplete freunds adjuvant;a freud's adjuvant that does not contain the mycobacterial components.
independent continuant;hepatitis a virus vaccine;a viral vaccine that protects against infection with hepatitis a virus.
independent continuant;protozoan vaccine;a vaccine that protects against some protozoan disease.
independent continuant;arct-021;a sars-cov-2 investigational vaccine comprising a self-replicating (replicon) mrna that encodes for the prefusion spike protein of 2019-ncov formulated in a lipid nanoparticle
independent continuant;bacillus vaccine;a vaccine that is used against an infection by a pathogen under bacillus.
independent continuant;caprine herpesvirus 1 vaccine;a viral vaccine that protects against infection with caprine herpesvirus 1
independent continuant;phcmv1 dna vaccine plasmid;a dna vaccine plasmid vector that has the plasmid label phcmv1. this plasmid is 4200 base pairs long, has a cmv promoter, contains kanamycin and neomycin antibiotics resistance genes, and is manufactured by genlantis. 
independent continuant;bcg vaccine;bcg vaccine is a mycobacterium tuberculosis vaccine that is a live attenuated strain of mycobacterium bovis (bacillus calmette guerin. bcg).
independent continuant;t. cruzi dna vaccine encoding tsa-1;a t. cruzi dna vaccine that uses a dna plasmid expressing t. cruzi tsa-1 protein.
independent continuant;bordetella bronchiseptica vaccine;a bordetella bacterial vaccine that is used to protect against bordetella bronchiseptica infection
independent continuant;inactivated bacterial vaccine;a bacterial vaccine that uses inactivated bacterial organism. 
independent continuant;vr10551 dna vaccine plasmid;a dna vaccine plasmid vector that has the plasmid label vr10551. this plasmid contains a human cytomegalovirus immediate early 1 promoter, a kanamycin resistance gene, intron a and a modified rabbit b-globin terminator.
independent continuant;toxoid;is a bacterial toxin (usually an exotoxin) whose toxicity has been weakened or suppressed either by chemical (formalin) or heat treatment, while other properties, typically immunogenicity, are maintained.
independent continuant;covigenix vax-001;a prophylactic plasmid dna vaccine for sars cov-2 by entos pharmaceuticals
independent continuant;dna and ad5/35 vector expressing hiv gp160 protein;a vaccine combination that includes a dna vaccine and a replication-defective chimeric ad5 vector with the ad35 fiber (ad5/35) that express the same codon-optimized siv gag gene. the dna vaccine is used for priming, and the ad5/35 vaccine is used for boosting. pmid: 16079886.
independent continuant;spfn;a sars-cov-2 protein subunit vaccine manufactured by walter reed army institute of research
independent continuant;crl1005 vaccine adjuvant;a synthetic vaccine adjuvant that is a copolymer (crl1005), based on a 12 kda polyoxypropylene (pop) core with 5% poe.
independent continuant;bay r1005 vaccine adjuvant;a synthetic vaccine adjuvant that is bay r1005 (n-(2-deoxy-2-l-leucylamino -d-glucopyranosyl)-n-octadecyldodecanoylamide hydroacetate ).
independent continuant;salmonella typhimurium sl3261 vaccine vector;a bacterial vaccine vector using a live attenuated salmonella enterica strain sl3261. 
independent continuant;corynebacterium pseudotuberculosis vaccine vector;a bacterial vaccine vector that uses a corynebacterium pseudotuberculosis strain as the vaccine vector
independent continuant;sars mva/s vaccine;a sars recombinant vector vaccine made from a recombinant form of the highly attenuated modified vaccinia virus ankara (mva) containing the gene encoding full-length sars-cov s
independent continuant;b7-2 vaccine adjuvant;a cytokine vaccine adjuvant that includes b7-2.
independent continuant;therapeutic vaccine;a vaccine that is used for treatment for a disease.
independent continuant;bovine viral diarrhea virus 1 vaccine;viral vaccine that is used to protect against bovine viral diarrhea virus 1 infection
independent continuant;recombinant sars dna spike protein vaccine;a sars dna vaccine made from rdna-expressed ectodomain of the s protein.
independent continuant;staphylococcus aureus vaccine;a bacterial vaccine that protects against infection with staphylococcus aureus.
independent continuant;burkholderia pseudomallei gene;a bacterial gene that is from burkholderia pseudomallei.
independent continuant;tetracoq;an adsorbed diphtheria, tetanus, pertussis and inactivated poliomyelitis vaccine.
independent continuant;v590;a sars-cov-2 vaccine that uses a recombinant vesicular stomatitis virus (rvsv) platform, and is made by merck. development of the vaccine was discontinued on january 25, 2021.
independent continuant;viral-like-particle s-mhv sars vaccine;a sars vlp vaccine made from the sars-cov spike protein (s) and the nucleocapsid (n), envelope (e) and membrane (m) proteins from mouse hepatitis coronavirus (mhv)
independent continuant;psw3891 dna vaccine plasmid;a dna vaccine plasmid vector that has the plasmid label psw3891. this plasmid contains a cmv promoter.
independent continuant;priorix;a mmr vaccine that is manufactured by glaxosmithkline biologicals.
independent continuant;porcine respiratory and reproductive syndrome virus gene;a viral gene that is from porcine respiratory and reproductive syndrome virus.
independent continuant;aluminum vaccine adjuvant;a mineral salt vaccine adjuvant that is composed of aluminum salt.
independent continuant;chulacov19;a sars-cov-2 mrna vaccine manufactured by chulalongkorn university
independent continuant;feline herpesvirus 1 gene;a viral gene that is from feline herpesvirus 1.
independent continuant;gm-csf vaccine adjuvant;a cytokine vaccine adjuvant that includes gm-csf.
independent continuant;murid herpesvirus 1 vaccine;a viral vaccine that protects against infection with murine cytomegalovirus (or called murid herpesvirus 1).
independent continuant;psittacid herpesvirus 1 vaccine;viral vaccine that is used to protect against psittacid herpesvirus 1 infection
independent continuant;lymphocytic choriomeningitis virus vaccine;a viral vaccine against infection of a lymphocytic choriomeningitis virus.
independent continuant;edwardsiella vaccine;a bacterial vaccine that is used to protect against edwardsiella bacterial infection
independent continuant;e. coli dna vaccine;e. coli dna vaccine is a dna vaccine that protects against an e. coli infection.
independent continuant;clostridium botulinum vaccine;a vaccine that protects against clostridium botulinum .
independent continuant;saccharomyces cerevisiae vaccine vector;a recombinant vaccine vector that uses saccharomyces cerevisiae as the vaccine vector
independent continuant;sodc from b. abortus strain 2308;a brucella abortus gene that has the name sodc and comes from strain 2308. 
independent continuant;recombinant vaccine vector e. coli vaccine;an e. coli vaccine that uses a recombinant vaccine vector to express an e. coli antigen(s)
independent continuant;polysaccharide subunit vaccine;a subunit vaccine that uses polysaccharide as protective antigen
independent continuant;human albumin cell culture residual in vaccine;a cell culture residual in vaccine that is human albumin.
independent continuant;advax-cpg55.2;advax-cpg55.2 is a combination adjuvant that includes an inulin-based polysaccharide (advax) and a cpg oligodeoxynucleotide cpg55.2.
independent continuant;rickettsial vaccine;a bacterial vaccine that protects against diseases caused by various species of rickettsia. typhus is any of several similar diseases caused by rickettsia bacteria. so rickettsial vaccine is also called typhus vaccine. 
independent continuant;human serum albumin vaccine additive;a protein vaccine stablizer that is specifically human serum albumin.
independent continuant;cov2 sam;a sars-cov-2 rna vaccine that has a lipid nanoparticle (lnp) platform and spike protein antigen
independent continuant;cov2-ogen1;a sars-cov-2 subunit vaccine that is orally administered and manufactured by syneos health
independent continuant;mva expressing hiv gag, pol and env proteins;a recombinant modified vaccinia ankara (mva) expressing hiv gag, pol, and env proteins. pmid: 16472543.
independent continuant;intragastric injection route;a intragastric route that has a vaccine injection site located in stomach.
independent continuant;mycobacterium bovis vaccine;a vaccine that protects against infection with mycobacterium bovis
independent continuant;av-covid-19;a sars-cov-2 vaccine consisting of autologous dendritic cells previously loaded ex vivo with spike protein.
independent continuant;chadox1-mers-s vaccine;a mers recombinant vector made of chimpanzee adenovirus oxford 1 vector expressing s protein from mers-cov 
independent continuant;herpes simplex virus vaccine vector;a herpesvirus vaccine vector that uses a herpes simplex virus strain
independent continuant;mumps virus vaccine;a viral vaccine that protects against infection with mumps virus.
independent continuant;protein cochleates vaccine adjuvant;a synthetic vaccine adjuvant synthesized from stable protein phospholipid-calcium precipitates.
independent continuant;polysorbate 20 vaccine stabilizer;a vaccine stabilizer that is a polysorbate 20. it encourages the suspension of one liquid in another and has mild toxicity.
independent continuant;non-small cell lung cancer vaccine;a cancer vaccine against non-small cell lung cancer (nsclc)
independent continuant;diphtheria-tetanus-whole cell pertussis-haemophilus b vaccine;a combination vaccine that protects against diphtheria, tetanus, pertussis, and haemophilus influenzae type b.
independent continuant;as-2 vaccine adjuvant;smithkline beecham adjuvant system 2 (as-2) is a combination vaccine adjuvant and is based on the combination of monophosphoryl lipid a(mpl), qs21 (a purified fraction of saponin extracted from quillarja saponaria), and a proprietary oil in water emulsion.
independent continuant;gerbu vaccine adjuvant;gerbu adjuvant is a combination vaccine adjuvant that is comprised of a mixture of gmdp, dda, and zinc l-proline salt complex (znpro8).
independent continuant;mr-vax ii;a live virus vaccine for immunization against measles and rubella.
independent continuant;rotashield vaccine;a rotavirus vaccine against severe diarrheal disease.
independent continuant;alhydrogel vaccine adjuvant;an aluminum hydroxide vaccine adjuvant that is a gel that is made by precipitation of aluminum hydroxide al(oh)3 under alkaline conditions.
independent continuant;sars ndv-bc/s vaccine;a sars-cov recombinant vector vaccine that is made from the newcastle disease virus from the mesogenic beaudette c strainexpressing sars-cov s protein.
independent continuant;leishmania major vaccine;a vaccine that protects against leishmania major.
independent continuant;pet11d dna vaccine plasmid;a dna vaccine plasmid vector that has the plasmid label pet11d. this plasmid is 5674 base pairs in length and contains an ampicillin resistance gene.
independent continuant;mva-sars-2-s;a sars-cov-2 recombinant vector vaccine that contains a modified vaccinia virus ankara (mva) vector expressing the sars-cov-2 spike protein (s)
independent continuant;canine adenovirus type 2 vaccine;viral vaccine that is used to protect against canine adenovirus type 2 (canine adenovirus 2) infection
independent continuant;t. cruzi dna vaccine encoding g2;a t. cruzi dna vaccine that uses a dna plasmid pgfp expressing t. cruzi g2 protein.
