specifically dependent continuant;hospital unit shift rate;a rate of unit shif in a hospital. 
specifically dependent continuant;mortality rate;a rate of deaths (in general, or due to a specific cause) that in a particular population, scaled to the size of that population, per unit of time. 
specifically dependent continuant;sensitivity disposition;a disposition that inheres in a population of continuant and is realized in a test process (e.g., disease diagnosis).
specifically dependent continuant;medical test sensitivity disposition;a sensitivity disposition that is related to a medical test and inheres in a population of organism.
generically dependent continuant;global identifier of target regions software;a software that is used to identify transcription factor binding sites in a genome that have been enriched with aligned reads generated from chip-seq technology.
generically dependent continuant;negative likelihood ratio;a likelihood ratio that is calculated by dividing 1 minus sensitivity by specificity ((1-sensitivity)/specificity).
generically dependent continuant;type 2 error rate;a quantitative confidence value that refers to the probability of incorrectly concluding that there was no statistically significant difference in a dataset. this error often reflects insufficient power of the study.
generically dependent continuant;standard deviation;a quantitative confidence value that measures the variability of data around the mean.
generically dependent continuant;convergent validity;a construct validity that refers to the degree to which a measure is correlated with other measures that it is theoretically predicted to correlate with.
generically dependent continuant;random effect;a statistical effect that is associated with input variables chosen at random from a population having a large or infinite number of possible values.
generically dependent continuant;data sampling design;a plan specification that provides a detailed outline of which measurements will be taken at what times, on which material, in what manner, and by whom. sampling plans should be designed in such a way that the resulting data will contain a representative sample of the parameters of interest and allow for all questions, as stated in the goals, to be answered. 
generically dependent continuant;incidence rate;a data item that refers to the number of new events that have occurred in a specific time interval divided by the population at risk at the beginning of the time interval. the result gives the likelihood of developing an event in that time interval.
generically dependent continuant;extraction of differential gene expression software;a software that is used for the differential gene expression significance analysis of dna microarray experiments for both standard and time course experiments. the outputs consist of bothe p-values and q-values.
generically dependent continuant;accuracy;a data item that refers to the number of true positives and true negatives divided by the total number of observations.
generically dependent continuant;log-normal distribution;a continuous probability that is the distribution of a random variable x if ln(x) is normally distributed
generically dependent continuant;predictive validity;a criterion validity that refers to the degree to which the operationalization can predict (or correlate with) other measures of the same construct that are measured at some time in the future. with the selection test example, this would mean that the tests are administered to applicants, all applicants are hired, their performance is reviewed at a later time, and then their scores on the two measures are correlated.
generically dependent continuant;covariate specification;a variable specification that specifies a variable used in statistical analysis to correct, adjust, or modify the values of a dependent variable. an independent variable not manipulated by the investigator
generically dependent continuant;criterion validity;a test validity that refers to the correlation between the test and a criterion variable (or variables) taken as representative of the construct. in other words, it compares the test with other measures or outcomes (the criteria) already held to be valid. for example, employee selection tests are often validated against measures of job performance (the criterion), and iq tests are often validated against measures of academic performance (the criterion).
generically dependent continuant;chi-square distribution;a probability distribution that with k degrees of freedom is the distribution of a sum of the squares of k independent standard normal random variables.
generically dependent continuant;histogram distribution;a probability distribution that represents the probability distribution corresponding to a histogram of data values.
generically dependent continuant;prevalence rate;a data item that refers to the number of individuals with a given disease at a given point in time divided by the population at risk at a specified point in time or over a specified period of time.
generically dependent continuant;discrete probability distribution;a probability distribution that is associated with discrete variables and is characterized by a probability mass function.
generically dependent continuant;confounding variable specification;a variable specification that specifies a variable that may have a causal impact on both the independent variable and dependent variable. ignoring a confounding variable may bias empirical estimates of the causal effect of the independent variable.
generically dependent continuant;test validity;a validity that refers to the degree to which evidence and theory support the interpretations of test scores (as entailed by proposed uses of tests).
generically dependent continuant;moderator variable;a statistical variable that specifies a variable affecting the direction and/or strength of the relation between dependent and independent variables. occurs when the relationship between two variables depends on a third variable
generically dependent continuant;non-randomization sampling design;a data sampling design that does not use randomization for sample selection
generically dependent continuant;point prevalence rate;a prevalence rate that occurs at a specific point of time.
generically dependent continuant;type 2 error rate;stato 0000220
generically dependent continuant;ecological validity;an external validity that refers to the extent to which research results can be applied to real life situations outside of research settings.
generically dependent continuant;bartlett's test;a test statistic of whether k samples are from populations with equal variances.
generically dependent continuant;exponential distribution;a continuous probability distribution that describes the time between events in a poisson process, i.e. a process in which events occur continuously and independently at a constant average rate.
generically dependent continuant;discrete random variable;a random variable which may take on only a countable number of distinct values such as 0, 1, 2, 3, 4, ...
generically dependent continuant;nominal variable;a discrete variable that allows for only qualitative classification
