independent continuant;child-parents trio;a population of two parents and a child.
independent continuant;stratum population;a stratum population is a population resulting from a population stratification prior to sampling process which aims to produce homogenous subpopulations from an heterogeneous population by applying one or more stratification criteria
independent continuant;family;a domestic group, or a number of domestic groups linked through descent (demonstrated or stipulated) from a common ancestor, marriage, or adoption.
independent continuant;study group population;is a population whose individual members realize (may be expressed as) a combination of inclusion rule values specifications or resulting from a sampling process (e.g. recruitment followed by randomization to group) on which a number of measurements will be carried out, which may be used as input to statistical tests and statistical inference.
independent continuant;cohort;a cohort is a study group population where the members are human beings which meet inclusion criteria and undergo a longitudinal design
independent continuant;matched pair of subjects;a set of 2 subjects which result from a pairing process which assigns subject to a set based on a pairing rule/criteria
specifically dependent continuant;blocking variable;a blocking variable is a independent variable which is used in a blocking process part of an experiment with the purpose of maximizing the signal coming from the main variable.
specifically dependent continuant;experimental unit role;the role played by an entity part of study group as defined by an experimental design and realized in a data analysis and data interpretation
generically dependent continuant;absence of within subject difference hypothesis;is a null hypothesis stating that there are no difference observed across a series of measurements made one same subject.
generically dependent continuant;mortality;mortality is a ratio formed by the number of deaths due to a disease divided by the total population size.
generically dependent continuant;first order autoregressive moving average covariance structure;first order autoregressive moving average covariance structure is a type of covariance structure which is used in the context of time series analysis
generically dependent continuant;categorical variable;a categorical variable is a variable which that can only assume a finite number of value and cast observation in a small number of categories
generically dependent continuant;first quartile;the first quartile is a quartile which splits the lower 25 % of the data
generically dependent continuant;statistic estimator;a statistic estimator is a data item which is computed from a dataset to provide an approximated value (an estimator) for a 'statistical parameter' (a 'characteristics/parameter' of the true underlying distribution) of a real population.
generically dependent continuant;null hypothesis;a null hypothesis is a statistical hypothesis that is tested for possible rejection under the assumption that it is true (usually that observations are the result of chance). the concept was introduced by r. a. fisher. the hypothesis contrary to the null hypothesis, usually that the observations are the result of a real effect, is known as the alternative hypothesis.[wolfram alpha]
generically dependent continuant;absence of negative difference hypothesis;absence of negative difference hypothesis is a hypothesis which assumes that a difference significantly less than a threshold does not exist.
generically dependent continuant;tau squared;tau-squared is an estimate of the between-study variance in a random-effects meta-analysis. the square root of this number (i.e. tau) is the estimated standard deviation of underlying effects across studies.
generically dependent continuant;heterogeneous compound symmetry covariance structure;heterogenous compound symmetry structure is a compound symmetry covariance structure which has a different variance parameter for each diagonal element, and it uses the square roots of these parameters in the off-diagonal entries.
generically dependent continuant;count;a count is a data item denoted by an integer and represented the number of instances or occurences of an entity
generically dependent continuant;z-score;a z-score (also known as z-value, standard score, or normal score) is a measure of the divergence of an individual experimental result from the most probable result, the mean. z is expressed in terms of the number of standard deviations from the mean value.
generically dependent continuant;empirical measure;an empirical measure is a random measure arising from a particular realization of a (usually finite) sequence of random variables.
generically dependent continuant;covariance matrix;a covariance matrix is a square matrix that contains the variances and covariances associated with several variables. the diagonal elements of the matrix contain the variances of the variables and the off-diagonal elements contain the covariances between all possible pairs of variables.
generically dependent continuant;maf matrix;the maf matrix is a genomic relationship matrix which is obtained from the genotype matrix by counting the number of minor alleles at each locus
generically dependent continuant;spatial gaussian geometric anisotropic covariance structure;spatial gaussian geometric anisotropic covariance structure is a type of covariance structure characterized by its anisotropy, i.e., the variation of properties can be different in directions x and y, which is this case give gaussian features.
generically dependent continuant;cleveland dot plot;cleveland dot plot is a dot plot which plots points that each belong to one of several categories. they are an alternative to bar charts or pie charts, and look somewhat like a horizontal bar chart where the bars are replaced by a dots at the values associated with each category. compared to (vertical) bar charts and pie charts, cleveland argues that dot plots allow more accurate interpretation of the graph by readers by making the labels easier to read, reducing non-data ink (or graph clutter) and supporting table look-up.which
generically dependent continuant;chi-squared statistic;chi-squared statistic is a statistic computed from observations and used to produce a p-value in statistical test when compared to a chi-squared distribution.
generically dependent continuant;regression coefficient;a regression coefficient is a data item generated by a type of data transformation called a regression, which aims to model a response variable by expression the predictor variables as part of a function where variable terms are modified by a number. a regression coefficient is one such number.
generically dependent continuant;numerator degrees of freedom;the degree of freedom numerator is the number of degrees of freedom that the estimate of variance used in the numerator is based on. it is one of the parameters for the f-distribution used to compute probabilities in analysis of variance.
generically dependent continuant;false positive rate;a false positive rate is a data item which accounts for the proportion of incorrect rejection of a true null hypothesis.
generically dependent continuant;contrast;a contrast is the weighted sum of group means, the c j coefficients represent the assigned weights of the means (these must sum to 0 for orthogonal contrasts)
generically dependent continuant;weibull probability distribution;the weibull probability distribution is continuous probabibility distribution which is used to model time to fail, time to repair and material strength in material science. in biomedicine, the weibull probability is used to in determining 'hazard functions'. the 'location parameter' of the weibull probability distribution can be used to define a failure-free zone. if the quantity x is a "time-to-failure", the weibull distribution gives a distribution for which the failure rate is proportional to a power of time. the shape parameter, k, is that power plus one, and so this parameter can be interpreted directly as follows: a value of {\displaystyle k<1\,} {\displaystyle k<1\,} indicates that the failure rate decreases over time. this happens if there is significant "infant mortality", or defective items failing early and the failure rate decreasing over time as the defective items are weeded out of the population. in the context of the diffusion of innovations, this means negative word of mouth: the hazard function is a monotonically decreasing function of the proportion of adopters. a value of {\displaystyle k=1\,} {\displaystyle k=1\,} indicates that the failure rate is constant over time. this might suggest random external events are causing mortality, or failure. the weibull distribution reduces to an exponential distribution. a value of {\displaystyle k>1\,} {\displaystyle k>1\,} indicates that the failure rate increases with time. this happens if there is an "aging" process, or parts that are more likely to fail as time goes on. in the context of the diffusion of innovations, this means positive word of mouth: the hazard function is a monotonically increasing function of the proportion of adopters. the function is first concave, then convex with an inflexion point at {\displaystyle (e^{1/k}-1)/e^{1/k},k>1\,} {\displaystyle (e^{1/k}-1)/e^{1/k},k>1\,}.
generically dependent continuant;variable importance in projection;variable importance in projection is a measure computed as part of a partial least square regression to accumulate the importance of each variable j being reflected by w from each component.
generically dependent continuant;probability distribution;a probability distribution is a information content entity that specifies the probability of the value of a random variable. for a discrete random variable, a mathematical formula that gives the probability of each value of the variable. for a continuous random variable, a curve described by a mathematical formula which specifies, by way of areas under the curve, the probability that the variable falls within a particular interval.
generically dependent continuant;additive dominant genetic inheritance model;additive genetic model is a data item which refer to the contributions to the final phenotype from more than one gene, or from alleles of a single gene (in heterozygotes), that combine in such a way that the sum of their effects in unison is equal to the sum of their effects individually and dominance (of alleles at a single locus).
generically dependent continuant;compound symmetry covariance structure;compound symmetry covariance structure is a covariance structure which means that all the variances are equal and all the covariances are equal.
generically dependent continuant;mallows' cp;mallows' cp is a data item which compares the precision and bias of the full model to models with a subset of the predictors thus helping to choose between multiple regression models. the mallows cp is a function of the number of parameter used in the model relying on the residuals sum of squares to compute a score. the smaller cp is, the better the model fit is.
generically dependent continuant;spearman's rank correlation coefficient;spearman's rank correlation coefficient is a correlation coefficient which is a nonparametric measure of statistical dependence between two ranked variables. it assesses how well the relationship between two variables can be described using a monotonic function. if there are no repeated data values, a perfect spearman correlation of +1 or 1 occurs when each of the variables is a perfect monotone function of the other. spearman's coefficient may be used when the conditions for computing pearson's correlation are not met (e.g linearity, normality of the 2 continuous variables) but may require a ranking transformation of the variables
generically dependent continuant;skewness;skewness is a data item indicating of the degree of asymmetry of a distribution.
generically dependent continuant;mode;the mode is a data item which corresponds to the most frequently occurring number in a set of numbers.
generically dependent continuant;score;the score indicates how sensitive a likelihood function l(\theta,x) is to its parameter \theta. explicitly, the score for \theta is the gradient of the log-likelihood with respect to \theta.
generically dependent continuant;numerator relationship matrix;the numerator relationship matrix is the matrix of *expected* additive genetic relationships between individuals. this matrix was originally used by henderson (henderson, c.r. 1976. a simple method for computing the inverse of a numerator relationship matrix used in prediction of breeding values. biometrics 32:69-83.) to account for covariances between random effects, and therefore to use information from relatives in estimation of breeding value. among the properties of the nrm matrix (also known as the a matrix), it is symmetric, the diagonal value correspond to 1+ the inbreeding coefficient for an individual.
generically dependent continuant;fragments per kilobase of transcript per million fragments mapped;expected fragments per kilobase of transcript per million fragments mapped is a metric used to report transcript expression event as generated by rna-seq using paired-end library. the calculated value results from 2 types of normalization, one to take into account the difference in reads counts associated with transcript length (at equal abundance, longer transcripts will have more reads than shorter transcripts) , (hence the 'per kilobase of transcript') and the other one to take into account different sequencing depth during distinct sequencing runs (hence the 'per millions mapped fragment'. the metric is specifically produced by cufflink software.
