independent continuant;software publisher organization;an organization or legal entity (including single person) that is responsible for publishing software. publishing here includes tasks such as designing and producing physical products, technical customer support, licensing arrangements and marketing.
independent continuant;software developer organization;an organization or legal entity (including single person) that is responsible for developing software. developing includes aspects of design, coding and testing.
specifically dependent continuant;software developer role;software developer role is a role borne by an organization or individual in which they are responsible for authoring software.
specifically dependent continuant;publisher role;a publisher role is a role borne by an organization or individual in which they are responsible for making software available to a particular consumer group. such organizations or individuals do need to be involved in the development of the software.
specifically dependent continuant;plugin;this role can be borne by any software which is a plugin for another piece of software. it can be used, for example, with an axiom such as "parentsoftware 'uses software' some (pluginsoftware has role some plugin)"
generically dependent continuant;targetsearch;this packages provides a targeted pre-processing method for gc-ms data.
generically dependent continuant;snapcgh;methods for segmenting, normalising and processing acgh data. including plotting functions for visualising raw and segmented data for individual and multiple arrays.
generically dependent continuant;pcamethods;a cluster based method for missing value estimationn is included for comparison. bpca, ppca and nipalspca may be used to perform pca on incomplete data as well as for accurate missing value estimation. a set of methods for printing and plotting the results is also provided.
generically dependent continuant;usage clause;a usage clause is a license clause which states the restrictions placed on how the licensed resource may be used. the license for a resource may restrict how the licensee may use the software. if such access is allowed, usage may be restricted in a variety of ways.
generically dependent continuant;lapmix;lapmix is a software package for the identification of differentially expressed genes. a hierarchical bayesian approach is used, and the hyperparameters are estimated using empirical bayes.
generically dependent continuant;'betr';betr is a software package which implements the betr (bayesian estimation of temporal regulation) algorithm to identify differentially expressed genes in microarray time-course data.
generically dependent continuant;seqlogo;seqlogo takes the position weight matrix of a dna sequence motif and plots the corresponding sequence logo
generically dependent continuant;'affyexpress';the purpose of this package is to provide a comprehensive and easy-to-use tool for quality assessment and to identify differentially expressed genes in the affymetrix gene expression data.
generically dependent continuant;rintact;queries and data structures for protein interactions
generically dependent continuant;'biobase';functions that are needed by many other packages or which replace r functions
generically dependent continuant;rpsixml;queries, data structure and interface to visualization of interaction datasets. this package inplements the psi-mi 2.5 standard and supports up to now 8 databases. further databases supporting psi-mi 2.5 standard will be added continuously.
generically dependent continuant;dyebias;gene-specific dye-bias correction of two-color microarray data using the gassco method
generically dependent continuant;vcell;vcell is a complete model building, editing and simulation environment. includes spatial modeling capabilites, deterministic, stochastic, and hybrid algorithms. parameter sensitivity analysis and parameter optimization. desktop application and web-based environment. bio- and math-based interfaces. database and model sharing/publishing.
generically dependent continuant;ggtools;this package deals with hapmap snp reports, gwas, etc.
generically dependent continuant;'cma';this package provides a comprehensive collection of various microarray-based classification algorithms both from machine learning and statistics. variable selection, hyperparameter tuning, evaluation and comparison can be performed combined or stepwise in a user-friendly environment.
generically dependent continuant;crg psicoffee web tool;aligns distantly related proteins using homology extension (slow and accurate) by accessing the psicoffee mode of the underlying tcoffee software.
generically dependent continuant;cosmo;cosmo searches a set of unaligned dna sequences for a shared motif that may, for example, represent a common transcription factor binding site. the algorithm is similar to meme, but also allows the user to specify a set of constraints that the position weight matrix of the unknown motif must satisfy. such constraints may include bounds on the information content across certain regions of the unknown motif, for example, and can often be formulated on the basis of prior knowledge about the structure of the transcription factor in question. the unknown motif width, the distribution of motif occurrences (oops, zoops, or tcm), as well as the appropriate constraint set can be selected data-adaptively.
generically dependent continuant;hopach;the hopach clustering algorithm builds a hierarchical tree of clusters by recursively partitioning a data set, while ordering and possibly collapsing clusters at each level. the algorithm uses the mean/median split silhouette (mss) criteria to identify the level of the tree with maximally homogeneous clusters. it also runs the tree down to produce a final ordered list of the elements. the non-parametric bootstrap allows one to estimate the probability that each element belongs to each cluster (fuzzy clustering).
