independent continuant;photographic print;a photographic print is a material entity upon which a photograph generically depends.
independent continuant;material information bearer;a material entity in which a concretization of an information content entity inheres.
specifically dependent continuant;information carrier;a quality of an information bearer that imparts the information content
specifically dependent continuant;author role;a role inhering in a person or organization that is realized when the bearer participates in the work which is the basis of the document, in the writing of the document, and signs it with their name.
generically dependent continuant;data format specification;a data format specification is the information content borne by the document published defining the specification. example: the iso document specifying what encompasses an xml document. the instructions in a xsd file
generically dependent continuant;patients section;a part of a document about the patients that participated in a study.
generically dependent continuant;availability section;a part of a document about a resource described in the document, e.g. software, that describes where and/or how that resource can be obtained.
generically dependent continuant;conditional specification;a directive information entity that specifies what should happen if the trigger condition is fulfilled.
generically dependent continuant;research participants section;a document part that describes human subject(s) that participated in a study (e.g. inclusion & exclusion criteria, recruitment methods, reasons for non-participation, grouping and randomisation, methods of follow-up, etc.).
generically dependent continuant;plan specification;a directive information entity with action specifications and objective specifications as parts, and that may be concretized as a realizable entity that, if realized, is realized in a process in which the bearer tries to achieve the objectives by taking the actions specified.
generically dependent continuant;time measurement datum;a scalar measurement datum that is the result of measuring a temporal interval
generically dependent continuant;code set;an information content entity that is a collection of other information content entities that has been created to identify or annotate things in a specified domain, and where the intention of its creators is that the collection has a one-to-one correspondence with those things.
generically dependent continuant;graphical abstract;an abstract that is pictorial summary of the main findings described in the document.
generically dependent continuant;centrally registered identifier symbol;a symbol that is part of a crid and that is sufficient to look up a record from the crid's registry.
generically dependent continuant;measurement methods section;a methods section that describes details of data assessment methods (data measurement).
generically dependent continuant;citation;a textual entity intended to identify a particular publication.
generically dependent continuant;centrally registered identifier registry;a code set of crid records, each consisting of a crid symbol and additional information which was recorded in the code set through an assigning a centrally registered identifier process.
generically dependent continuant;datum label;a label is a symbol that is part of some other datum and is used to either partially define the denotation of that datum or to provide a means for identifying the datum as a member of the set of data with the same label
generically dependent continuant;three dimensional cartesian spatial coordinate datum;a cartesion spatial coordinate datum that uses three values to specify a position within a three dimensional spatial region
generically dependent continuant;acknowledgements section;part of a publication that is about the contributions of people or institutions other than the authors.
generically dependent continuant;results section;a part of a publication about an investigation that is about a study design execution
generically dependent continuant;author identification;a textual entity intended to identify a particular author
generically dependent continuant;integer numeral;a numeral that denotes an integer
generically dependent continuant;grapheme;an information content entity that is a fundamental unit in a written language.
generically dependent continuant;pre-publication history textual entity;a textual entity that expresses the pre-publication history (submission dates, reviewer comments, etc) for a document, often including a hyperlink to a web page detailing the information.
generically dependent continuant;study limitations section;a part of a document about biases or short comings related to the study design and execution.
generically dependent continuant;denotator type;a denotator type indicates how a term should be interpreted from an ontological perspective.
generically dependent continuant;study limitations textual entity;a textual entity addressing a shortcoming or bias of a study design or execution.
generically dependent continuant;algorithm;a plan specification which describes the inputs and output of mathematical functions as well as workflow of execution for achieving an predefined objective. algorithms are realized usually by means of implementation as computer programs for execution by automata.
generically dependent continuant;postal code;an identifier that denotes some postal delivery route, some aggregate of postal delivery routes or a geographical region and was created for the purpose of sorting and delivering mail.
generically dependent continuant;software method;a software method (also called subroutine, subprogram, procedure, method, function, or routine) is software designed to execute a specific task.
generically dependent continuant;abbreviations section;a part of a document where abbreviations and their long-forms used within the document are listed.
generically dependent continuant;report;a document assembled by an author for the purpose of providing information for the audience. a report is the output of a documenting process and has the objective to be consumed by a specific audience. topic of the report is on something that has completed. a report is not a single figure. examples of reports are journal article, patent application, grant progress report, case report (not patient record).
generically dependent continuant;photograph;a photograph is created by projecting an image onto a photosensitive surface such as a chemically treated plate or film, ccd receptor, etc.
generically dependent continuant;case report textual entity;a textual entity that expresses a detailed account of a portion of the medical history for a specific patient.
generically dependent continuant;programming language;a language in which source code is written that is intended to be executed/run by a software interpreter. programming languages are ways to write instructions that specify what to do, and sometimes, how to do it.
