independent continuant;negative performance gap set;a performance gap set where the mark attributes are about a comparator performance level that is better than the recipient performance level.
independent continuant;relational information display component;an information content entity that is a proper part of a relational information display and is concretized by a mark.
independent continuant;relational information display;an information content entity that displays relations between sets in a concretized collection of display components.
independent continuant;comparative element;a role inhering in a mark that is disjoint with a focal element and that has the same scale type as the focal element.
independent continuant;mark;a material information bearer that is a basic visual element of a relational information display.
independent continuant;angle;an attribute of the magnitude of the degree of divergence of two things from one another.
independent continuant;time set;a represented set where the attributes of the mark are about time.
independent continuant;position on common scale;a position where the distance between marks is on the same scale.
independent continuant;recipient element;a focal element that conveys information about identity to the recipient of the performance summary report.
independent continuant;color lightness;an attribute that is the amount of black content mixed with a pure color, or mixture of pure colors.
independent continuant;ordinal scale;a scale type with two formal properties that (1) the instances can be distinguished from each other and (2) that one instance on a scale can be judged greater than, less than, or equal to another instance on the same scale.
independent continuant;scale type;a quality that is the abstract measurement property of a concretized display component.
independent continuant;mark length;the quality of linear magnitude of any thing as measured from end to end
independent continuant;positive performance gap set;a performance gap set where the mark attributes are about a recipient performance level that is better than a comparator performance level.
independent continuant;color hue;an attribute by virtue of which some thing appears to have a 'pure' color.
independent continuant;interval scale;a scale type with three formal properties that (1) the instances can be distinguished from each other and (2) that one instance on a scale can be judged greater than, less than, or equal to another instance on the same scale and that (3) the magnitude of an instance represented by a unit on the scale is the same regardless of where on the scale the unit falls.
independent continuant;ratio scale;a scale type with four formal properties that (1) the instances can be distinguished from each other and (2) that one instance on a scale can be judged greater than, less than, or equal to another instance on the same scale, that (3) the magnitude of an instance represented by a unit on the scale is the same regardless of where on the scale the unit falls and (4) an absolute zero value can indicate that nothing at all of the property being represented exists.
independent continuant;positive performance trend set;a performance trend set where the mark attributes are about improvement.
independent continuant;negative performance trend set;a performance trend set where the mark attributes are about worsening.
independent continuant;curvature;an attribute of the degree from which a curve deviates from a straight line.
independent continuant;loss set;a represented set where the mark attributes are about a change from a positive performance gap to a negative performance gap.
independent continuant;shape;an attribute of external form or contour.
independent continuant;performer set;an ascribee set where the mark attributes are about a living system.
independent continuant;goal comparator element;a comparative element that conveys information about a desired future performance level.
independent continuant;position on unaligned scale;a position where the distance between marks is not on the same scale.
independent continuant;performance gap set;a represented set where the mark attributes are about a discrepancy between performance levels.
independent continuant;standard comparator element;a comparative element that conveys information about a predetermined performance level.
independent continuant;area;an attribute that is the quantity that expresses the extent of a two-dimensional figure or shape in a plane.
independent continuant;texture;an attribute of constitution, structure, or substance of anything with regard to its constituents or formative element.
independent continuant;nominal scale;a scale type with one formal property that (1) the instances can be distinguished from each other.
independent continuant;color saturation;an attribute that is the amount of white content mixed with a pure color, or mixture of pure colors.
independent continuant;performance trend set;a represented set where the mark attributes are about a change in performance.
independent continuant;performance summary display;a relational information display whose display components bear some combination of sets (roles): ascribee set, performance measure set, performance set, or time set.
independent continuant;mark collection;a object aggregate of marks.
independent continuant;position;an attribute of relation in which a thing stands with respect to another or others.
independent continuant;performance measure set;a represented set where the attributes of the mark are about the methods of measuring behavior.
independent continuant;focal element;a role inhering in a mark that conveys specific information to the recipient of a performance summary report realized through the acts of perception.
independent continuant;performance set;a represented set where the attributes of the mark are about measurements, decisions, aggregates, or calculations related to measured behavior.
