independent continuant;fair cookbook recipe;the fair cookbook s recipes are a combination of guidance, technical, hands-on, background and review types to cover the operation steps of fair data management, and are classified according to the audience types, to serve all those involved in the data management life cycle. the fair cookbook is for anyone working in the life sciences who needs guidance on applying the fair principles in practice.
independent continuant;learning medium;the medium through which learning has been provided. for example, through a course, slides, video presentation, online documentation, wiki pages or others.
specifically dependent continuant;data librarian;data experts who have a librarian background. data librarians often carry out curation and metadata related work. there is much overlap between data librarians, data managers, and data stewards.
specifically dependent continuant;intellectual leadership;the capacity to influence stakeholders and the direction of research activities. the ability to shape others' understanding in ways that capture interest, inform and gain support. and, the capacity to influence the actions and opinions of others.
specifically dependent continuant;principal investigator;the principal investigator (p.i.) is a researcher who has a research leadership role and is the point of contact for a project or partnership that applies the scientific method, historical method, or other research methodology for the advancement of knowledge resulting in independent, objective, high quality, traceable, and reproducible results. the p.i. has primary responsibility for the intellectual direction and integrity of the research or research-related activity, including data production, findings and results, and ensures ethical conduct in all aspects of the research process including but not limited to the treatment of human and animal subjects, conflicts of interest, data acquisition, sharing and ownership, publication practices, responsible authorship, and collaborative research and reporting. while various tasks may be delegated to team members, some of whom may have greater expertise in specific areas, the p.i. is familiar with the various technical and scientific aspects of a project and how they fit together, is able to identify and remediate gaps, and ensure communication within the team and with users of the research data and results.
specifically dependent continuant;research manager;the person who manages or coordinates resources, personnel, facilities, and operating funds-allocations in an organization conducting research, development and analysis (rda) in the natural and physical sciences. a research manager determines the nature, priority objectives and the resources committed to their achievement within and across the organizations, and evaluates program outputs in relation to organizational objectives and policies. a research manager provides scientific advice on the direction, conduct and management of these programs. a research manager does not personally conduct research development and analysis (rda), control and coordinate projects, or control and coordinate contracted rda.
specifically dependent continuant;data custodian;a data custodian is an it individual or organization responsible for the it infrastructure providing and protecting data in conformance with the policies and practices prescribed by data governance.
specifically dependent continuant;operational management;ongoing organizational activities associated with supporting functional elements, as opposed to project elements. operational management also includes support of products that the organization has created through project activity.
specifically dependent continuant;manager;program delivery managers and support function managers, at all levels in an institution who are accountable for the direct delivery and support of programs and services within their domain of business responsibility.
specifically dependent continuant;information management advisor;a person having a broad knowledge of information management disciplines and who provides guidance and support to program and staff functions on all aspects of managing the information resource.
specifically dependent continuant;information management specialist;a person who is expert in one or more of the information management disciplines that support the effective and efficient management of information.
specifically dependent continuant;data stewardship soft skill;the personal attributes necessary to perform a task.
specifically dependent continuant;data steward;data stewardship is a shared responsibility between principal investigators and data stewards. principal investigators are responsible for, and data stewards provide support for: (a) data collection, data integration, or reuse of existing data. (b) review of data quality. (c) description of scientific workflow/process. (d) provision of standards-compliant metadata. and, (e) submission of data and data.
specifically dependent continuant;information technology specialist;information systems and technology infrastructure manager, expert, or technician.
specifically dependent continuant;research scientist;a scientist who conducts activities in: (1) research, development and analysis (rda). (2) managing research. and, (3) representation and client services.
specifically dependent continuant;project manager;the person who is tasked with delivering a project within the boundaries and framework established by the program manager. the project manager is and should be delivery and execution focused and is judged on the elements of time, cost, and scope of the project. the person responsible for ensuring that the project team completes the project. the project manager develops the project plan with the team and manages the team s performance of project tasks. it is also the responsibility of the project manager to secure acceptance and approval of deliverables from the project sponsor and stakeholders. the project manager is responsible for communication, including status reporting, risk management, escalation of issues that cannot be resolved in the team, and, in general, making sure the project is delivered in budget, on schedule, and within scope.
specifically dependent continuant;creativity;the ability to have an innovative approach to research by creating new or modified current concepts, theories, approaches and/or solutions.
specifically dependent continuant;scientist;a person who is studying or has expert knowledge of one or more of the natural or physical sciences.
specifically dependent continuant;organizational leadership;organizational leadership is: (a) the ability to attract, assess, mobilize and focus energies and talent to work towards a shared purpose aligned with the mandate of the organization. (b) the ability to change culture, processes and priorities within the organization. and, (c) the ability to mentor.
specifically dependent continuant;project team member;responsible for executing tasks and producing deliverables as outlined in the project plan and directed by the project manager, at whatever level of effort or participation has been defined for them.
specifically dependent continuant;program manager;the person responsible for creating the organizational environment culture by providing clear direction and circumstances that allow people to be successful. the program manager is judged on the elements time, cost, and scope, cumulatively for all the projects and operations within the program. program management decisions are both tactical and strategic in nature. the strategy aspects of these decisions must consider multidimensional impacts beyond the near-term delivery dates of the project. in addition to delivery and execution, the program manager has to also be concerned with the overall health and effectiveness of the program over the long term.
generically dependent continuant;usable data;data that can be understood and used without additional information. usable data are delivered in a form that meets the needs of different end-user audiences, is ready for the tasks that the end-user needs to accomplish, and that has been adapted to the end-user s needs (not the other way around). usable data have been cleaned, structured, are in machine readable format, fully documented, and ready for analysis and interpretation.
generically dependent continuant;dsm-4-c2;dataset(s) content is harmonised against a designed-for-purpose semantic data model
generically dependent continuant;dynamic data;data the content of which is changing frequently and at asynchronous moments. examples include: data streams that are generated by sensors when it is unpredictable when data segments will appear in time (i.e. data streams have gaps). data streams that are generated by humans in crowdsourcing scenarios where it is not clear when which cell in a database will be filled.
generically dependent continuant;data standardization;in the context of data analysis and data mining: where v represents the value of the variable in the original datasets: transformation of data to have zero mean and unit variance. techniques used include: (a) data normalization. (b) z-score scaling. (c) dividing each value by the range: recalculates each variable as v /(max v - ...
generically dependent continuant;semantic data;data that are tagged with particular metadata that can be used to derive relationships between data.
generically dependent continuant;fairplus dsm representation and format indicator;the fairplus dsm representation and format indicators relate to how the data object & metadata object are represented and formatted.
generically dependent continuant;remote access;the ability to get access to a computer or a network from a remote distance. access may be through an internet service provider (isp) or through a dedicated line between a computer or a remote local area network and the central or main corporate local area network. a dedicated line is more expensive and less flexible but offers faster data rates.
generically dependent continuant;legacy data;data that fall into the category of dark data or at-risk data.
generically dependent continuant;fairplus dsm content-related indicator;the fairplus dsm content-related indicators relate to what is reported in the dataset (data) & the dataset descriptor (metadata).
generically dependent continuant;repository;repositories preserve, manage, and provide access to many types of digital materials in a variety of formats.
generically dependent continuant;big data;an evolving term that describes any voluminous amount of structured, semi-structured and unstructured data that have the potential to be mined for information.
generically dependent continuant;dsm-4-c4;values for key domain entities reported in the dataset(s) are standardised and assigned unique standard identifiers
generically dependent continuant;authenticity metadata;a type of metadata that conveys information needed to link a data object to its original source.
generically dependent continuant;interoperability;the capability to communicate, execute programs, or transfer data among various functional units in a useful and meaningful manner that requires the user to have little or no knowledge of the unique characteristics of those units. foundational, syntactic, and semantic interoperability are the three necessary aspects of interoperability.
generically dependent continuant;cloud computing;a large-scale distributed computing paradigm that is driven by economies of scale, in which a pool of abstracted, virtualized, dynamically- scalable, managed computing power, storage, platforms and services are delivered on demand to external customers over the internet.
generically dependent continuant;data identifier;an identifier that uniquely distinguishes one set of data from all others.
