generically dependent continuant;protein inhibition evidence used in manual assertion;a type of protein inhibition evidence that is used in a manual assertion.
generically dependent continuant;genetic transformation evidence used in automatic assertion;a type of genetic transformation evidence that is used in an automatic assertion.
generically dependent continuant;transcript expression evidence;a type of expression pattern evidence where abundance of a transcript is analyzed.
generically dependent continuant;sumoylation assay evidence used in manual assertion;a type of sumoylation assay evidence that is used in a manual assertion.
generically dependent continuant;recessive mutant phenotype evidence used in automatic assertion;a type of recessive mutant phenotype evidence that is used in an automatic assertion.
generically dependent continuant;rotary shadowing electron microscopy evidence;a type of electron microscopy evidence where a heavy metal is evaporated onto surface adsorbed molecules and macromolecular assemblies allowing high-contrast visualization of both individual macromolecules and the surface structure of macromolecular assemblies.
generically dependent continuant;pharmacological assay evidence used in automatic assertion;a type of pharmacological assay evidence that is used in an automatic assertion.
generically dependent continuant;chromatin immunoprecipitation- exonuclease evidence used in automatic assertion;a type of chromatin immunoprecipitation- exonuclease evidence that is used in an automatic assertion.
generically dependent continuant;carboxyfluorescein diacetate succinimidyl ester staining evidence used in manual assertion;a type of carboxyfluorescein diacetate succinimidyl ester staining evidence that is used in a manual assertion.
generically dependent continuant;nuclear fragmentation evidence used in manual assertion;a type of nuclear fragmentation evidence that is used in a manual assertion.
generically dependent continuant;temperature jump relaxation evidence;a type of fluorescence evidence where the rates of fast chemical reactions in a solution are measured by the intensity of light absorbed or fluoresced by allowing the reaction mixture to come to an equilibrium, and then perturbing the equilibrium by a rapid temperature rise followed by relaxation of the system to the new equilibrium.
generically dependent continuant;protein-oligonucleotide microarray binding evidence used in automatic assertion;a type of protein-oligonucleotide microarray binding evidence that is used in an automatic assertion.
generically dependent continuant;differential interference contrast microscopy evidence used in manual assertion;a type of differential interference contrast microscopy evidence that is used in a manual assertion.
generically dependent continuant;full support of intron positions by rna-sequencing alignment evidence used in manual assertion;a type of full support of intron positions by rna-sequencing alignment evidence that is used in a manual assertion.
generically dependent continuant;gel-filtration evidence;a type of chromatography evidence resulting from the exclusion of proteins based on molecular size by filtration through a porous matrix (swollen gel), from which larger molecules are excluded.
generically dependent continuant;medical imaging evidence used in automatic assertion;a type of medical imaging evidence that is used in an automatic assertion.
generically dependent continuant;over expression analysis evidence used in manual assertion;a type of experimental phenotypic evidence that is used in a manual assertion where a gene and/or gene product is investigated in a transgenic organism that has been engineered to overexpress that gene product.
generically dependent continuant;viral hemagglutination inhibition assay evidence used in automatic assertion;a type of viral hemagglutination inhibition assay evidence that is used in an automatic assertion.
generically dependent continuant;3d cell culture evidence used in automatic assertion;a type of 3d cell culture evidence that is used in an automatic assertion.
generically dependent continuant;high throughput expression pattern evidence;a type of high throughput evidence derived from the high throughput characterization of gene expression.
generically dependent continuant;epifluorescence microscopy evidence used in manual assertion;a type of epifluorescence microscopy evidence that is used in a manual assertion.
generically dependent continuant;methidiumpropyl-ethylenediaminetetraacetic acid iron (ii) footprinting evidence;a type of nucleic acid binding evidence where the synthetic molecule methidiumpropyl-edta (mpe) is used to cleave ligand-protected dna, followed by analysis of the restriction fragments to generate a footprint (i.e. size and location) of small molecule binding sites on the dna.
generically dependent continuant;cell counting evidence used in manual assertion;a type of cell counting evidence that is used in a manual assertion.
generically dependent continuant;expression pattern evidence used in automatic assertion;a type of expression pattern evidence that is used in an automatic assertion.
generically dependent continuant;nuclear magnetic resonance evidence used in manual assertion;a type of nuclear magnetic resonance evidence that is used in a manual assertion.
generically dependent continuant;physical interaction evidence;a type of experimental evidence that is based on characterization of an interaction between a gene product and another molecule.
generically dependent continuant;cross-linking evidence used in automatic assertion;a type of cross-linking evidence that is used in an automatic assertion.
generically dependent continuant;dynamic light scattering assay evidence used in automatic assertion;a type of dynamic light scattering assay evidence that is used in an automatic assertion.
