independent continuant;human population;a population of human beings.
independent continuant;residual clinical biospecimen;a material entity, collected during some health care process, that bears both a specimen role and an excess material role following some act of artifact modification.
independent continuant;pregnant woman;a woman who is pregnant.
independent continuant;patient;an agent who bears a patient role.
independent continuant;contact person for questions about research;a person who is the contact for questions about research.
independent continuant;nonprofit organization;an organization that is operated without the principal goal of making a financial profit.
independent continuant;informed consent regulatory body;an organization charged with approving clinical study protocols and ensuring that applicable governing rules and laws are upheld.
independent continuant;human subject unable to give informed consent;a human subject who is unable to give informed consent. in this case, another person is generally authorized to give consent on his behalf, e.g., parents or legal guardians of a child, though in this circumstance the child may be required to provide informed assent, and conservators for the mentally ill.
independent continuant;jurisdiction;a site within which a deontic power may be realized, where that deontic power inheres in a formally created regulatory body.
independent continuant;human subject consenter;a human subject who provides informed consent without a legal guardian.
independent continuant;agent;a material entity (either a human being or an aggregate of humans such as an organization) which is active in a process or has the relevant capabilities of intentionality.
independent continuant;consenter;an agent who, at some time, was the bearer of a consent power role, which was, in fact, realized in an act of informed consenting, and who, as a result of this act of informed consenting, now bears a consenter role.
independent continuant;assenter;an agent who has communicated their assent.
independent continuant;contact person in informed consent process;a person who can be contacted during an informed consent process.
independent continuant;contact person for questions about research subject rights;a person who is the contact for questions about research subject right.
independent continuant;institutional review board;a specially constituted organization comprised of medical, scientific and non-scientific members established and designated by an entity to ensure the protection of the rights, safety and well-being of human subjects recruited to participate in biomedical or behavioral research according to the requirements outlined in title 38, part 16 (same as title 45, part 46 and title 21, part 56) of the u.s. code of federal regulations. irb responsibility include but not limited to the reviewing, approving, and providing continuing review of trial protocol and amendments and of the methods and material to be used in obtaining and documenting informed consent of the trial. other equivalent committees with the same or similar functions are also considered to be irbs.
independent continuant;repository of documents;a site where documents are preserved.
independent continuant;research-related injury;a physical injury or illness that is a direct result of the treatment, or procedures required by the protocol, to which the subject would not have been exposed had they not participated in the study.
independent continuant;profit organization;an organization which has the principle goal of earning financial profit.
specifically dependent continuant;competency to consent;a capability to consent that is sufficiently robust as to pass the legal requirements of some jurisdiction.
specifically dependent continuant;vulnerable individual role;a role that inheres in an agent or group of agents that is the output of a process during which the agent or group of agents is designated as belonging to a vulnerable group.
specifically dependent continuant;data recipient role;a role which is realized in processes of data disclosure.
specifically dependent continuant;candidate ineligible for study role;a role inhering in a participant who does not meet all eligibility criteria defined within the study protocol.
specifically dependent continuant;human subject-specified contact person role;a contact person role that is the output of either a human subject or patient assigning that person as their point of contact.
specifically dependent continuant;covered entity role;a role based on the health insurance portability and accountability act that inheres in individuals, organizations, and agencies that are also health care providers, health plans, or health care clearinghouse.
specifically dependent continuant;regulatory oversight role;a role that inheres in a regulatory body that, if realized, is realized in some act of regulatory supervision.
specifically dependent continuant;consenter role;a role that inheres in a patient or the legal guadian when he/she participates the consenting process.
specifically dependent continuant;risk;a risk is a disposition or the potential future harm that may arise from some present action. it is often combined or confused with the probability of an event which is seen as undesirable.
specifically dependent continuant;permission role;a deontic role that inheres in an agent and which permits certain actions.
specifically dependent continuant;assenter role;a role that inheres in a human subject who participates in an assending process.
specifically dependent continuant;investigator role;a role borne by an agent that, if realized, is realized in an investigation.
specifically dependent continuant;capability to consent;a cognitive capability inhering in some agent, which may be realized in an act of consent.
specifically dependent continuant;educational vulnerability;a vulnerability due to exposure to a harsh learning environment.
specifically dependent continuant;eligibility of candidate participation;a role that represents the eligibility of a candidate according to a study protocol.
specifically dependent continuant;consent power role;a deontic power role that may be realized in an act of consent that is a process part of an informed consent process.
specifically dependent continuant;deontic power role;a deontic role that, if realized, is realized in the creation, modification, or revoking of other deontic roles.
specifically dependent continuant;legally effective consented participant role;a role that inheres in a human being who participates in a consenting process and eventually becomes legally effectively consented.
specifically dependent continuant;excess material role;a role inhering in some material entity that is realized in an act of artifact modification where the material entity is separated from another portion of material.
specifically dependent continuant;minor role;a role inhering in a homo sapiens that, if realized, is realized within the organizational context of a legal jurisdiction, when the bearer fails to meet the legal threshold for adulthood.
specifically dependent continuant;cognitive impairment;a disposition to abnormality realized in cognitive processes that are qualitatively below those of individuals belonging to some type, to which the bearer of the disposition also belongs.
specifically dependent continuant;contact person role;a role inhering in a person who is a designated contact for some other agent.
specifically dependent continuant;research subject role;a role that inheres in human being and is an output of some participation in a research study.
specifically dependent continuant;eligibility screening role;a role that inheres in a person that, if realized, is realized in an eligibility screening process.
specifically dependent continuant;witness role;a role inhering in an agent as a result of that agent having observed some process.
specifically dependent continuant;candidate eligible for study role;a role inhering in a participant who meets all eligibility criteria defined within a study protocol.
specifically dependent continuant;minimal risk;a risk that is equal or lesser than those ordinarily encountered in daily life or during the performance of routine physical or psychological examinations or tests.
specifically dependent continuant;economic vulnerability;a vulnerability due to exposure to a depressed or impoverished economic environment.
specifically dependent continuant;data administration function;an organizational function that involves the areas of information systems and computer science. and that may be realized in planning, organizing, describing, and controlling data resources.
