independent continuant;glycerol 1 g/l;colombos:glycerol:+1g/l
independent continuant;synh medium;an artificial medium with a defined chemical composition designed to mimic afex-pretreated corn stover hydrolysate (acsh)
independent continuant;glycerol 0.1 g/l;colombos:glycerol:+0.1g/l
independent continuant;indole-3-acetic acid 0.5mm;colombos:iaa:0.5mm
independent continuant;sodium chloride 5 m;colombos:nacl:2+3m
independent continuant;lignotoxins medium;colombos:medium.lt
independent continuant;ammonia fiber expansion corn stover hydrolysate;a hydrolysate prepared from corn stover pretreated by ammonia fiber expansion
independent continuant;human urine;colombos:medium.real human
independent continuant;ethanol 15% vol/vol;colombos:ethanol:15% volume/v
independent continuant;human urine;colombos:medium.host individual
independent continuant;hydrogen peroxide 30mm;colombos:h2o2:30mm
independent continuant;enrofloxacin 128 g/ml;colombos:enrofloxacine:128 g/ml
independent continuant;norfloxacin 1 g/ml;colombos:norfloxacin:1.000 g/ml
independent continuant;hydrogen peroxide 1 mm;colombos:h2o2:1mm
independent continuant;tellurite 0.05 g/ml;colombos:tellurite:0.05 g/ml
independent continuant;n,n,n',n'-tetrakis(2-pyridylmethyl)ethylenediamine 10 m;colombos:tpen:10 m
independent continuant;glyphosate 0.2 m;colombos:glyphosate:0.2m
independent continuant;minimal defined medium;a defined microbiological culture medium that provides the minimum requirements (e.g., inorganic salts, but no amino acids) needed for growth of a particular bacterium or cell.
independent continuant;ethanol 3% vol/vol;colombos:ethanol:3% volume/v
independent continuant;glucose 2 mg/ml;colombos:glucose:2 g/l
independent continuant;indole 0.5m;colombos:indole:0.5m
independent continuant;glycine betaine 1mm;colombos:glycine betaine:1mm
independent continuant;acetate 2 g/l;colombos:acetate:2 g/l
independent continuant;norfloxacin 0.05 g/ml;colombos:norfloxacin:0.050 g/ml
independent continuant;potassium cyanide 100 m;colombos:kcn:100 m
independent continuant;nalidixic acid 100 g/ml;colombos:nalidixic acid:100 g/ml
independent continuant;natural medium;a liquid or solid substance or entity that naturally exists, where microorganims are able to grow.
independent continuant;kanamycin 30 g/ml;colombos:kanamycin:30 g/ml
independent continuant;mannose 1%;colombos:manose:1%
independent continuant;iron(2+) sulfate (anhydrous) 50 m;colombos:feso4:50um
independent continuant;hydrogen peroxide 0.01 mm;colombos:h2o2:0.01mm
independent continuant;glycerol 0.68 g/l;colombos:glycerol:0.68g/l
independent continuant;hydrogen peroxide 10mm;colombos:h2o2:10mm
independent continuant;sodium chloride 1.37 m;colombos:nacl:1.37m
independent continuant;sodium chloride 10 m;colombos:nacl:10m
independent continuant;sodium chloride 0.55 m;colombos:nacl:0.55m
independent continuant;nitrate 0.01 m;colombos:nitrate:0.01m
independent continuant;nalidixic acid 10 g/ml;colombos:nalidixic acid:10 g/ml
independent continuant;sodium chloride 2 m;colombos:nacl:2m
independent continuant;osmoprotectants medium;colombos:medium.osmoprotectants
independent continuant;norfloxacin 2.5 g/ml;colombos:norfloxacin:2.5 g/ml
independent continuant;mitomycin c 0.3 m;colombos:mmc:0.3 g/ml
independent continuant;gentamycin 5 g/ml;colombos:gentamicin:5 g/ml
independent continuant;mops rich medium;colombos:medium.mops rich
independent continuant;penassay broth;colombos:medium.penassay
independent continuant;formate 0.02 m;colombos:formate:0.02m
independent continuant;nitrate 0.02 m;colombos:nitrate:0.02m
independent continuant;titanium dioxide nanoparticle 100 mg/l;colombos:nanoparticles.tio2:100mg/l
independent continuant;mevalonate 0.01 m;colombos:mevalonate:0.01m
independent continuant;alanine 2 g/l;colombos:alanine:2 g/l
independent continuant;nalidixic acid 2 g/ml;colombos:nalidixic acid:2 g/ml
independent continuant;sodium chloride 3.5 m;colombos:nacl:2+1.5m
independent continuant;sodium chloride 0.3 m;colombos:nacl:0.3m
independent continuant;ethanol 4% vol/vol;colombos:ethanol:4% volume/v
independent continuant;rich medium;nutrient media contain all the elements that most bacteria need for growth and are non-selective, so they are used for the general cultivation and maintenance of bacteria kept in laboratory culture collections
independent continuant;artificial medium;a culture medium made specifically for the grow, storage, isolation, identification or transportation of microorganisms.
independent continuant;serine hydroxamate 0.5mg/ml;colombos:shx:0.5mg/ml
independent continuant;sodium benzoate 0.5% vol/vol;colombos:sodium benzoate:0+0.5% vol/vol
independent continuant;glycerol 0.001 g/l;colombos:glycerol:0.001g/l
independent continuant;hydrogen peroxide 5.88mm;colombos:h2o2:5.88mm
independent continuant;mevalonate 0.02 m;colombos:mevalonate:0.02m
independent continuant;bicozamycin 100 mcg/ml;colombos:bicyclomycin:100mcg/ml
independent continuant;kanamycin 5 g/ml;colombos:kanamycin:5 g/ml
independent continuant;ammonia fiber expansion corn stover hydrolysate;colombos:medium.acsh:+1
independent continuant;erythromycin 0.075 g/l;colombos:erythromycin:0.075 g/l
independent continuant;cefotaxime 0.13 g/ml;colombos:cefotaxime:0.13 g/ml
independent continuant;cefsulodin 60 g/ml;colombos:cefsulodin:60 g/ml
independent continuant;ethanol 2% vol/vol;colombos:ethanol:2% volume/v
independent continuant;tellurite 16 gml;colombos:tellurite:0.5 g/ml
independent continuant;tetracycline 0.25 g/ml;colombos:tetracycline:0.25 g/ml
independent continuant;amoxicillin 1 g/ml;colombos:amoxicillin:1 g/ml
independent continuant;bicozamycin 10 mcg/ml;colombos:bicyclomycin:10mcg/ml
independent continuant;pyruvate 2 g/l;colombos:pyruvate:2g/l
independent continuant;pantothenic acid 1mg/l;colombos:pantothenic acid:1mg/l
independent continuant;corm 3 100 m;colombos:corm-3:100um
independent continuant;octanoic acid 10 mm;colombos:octanoic acid:10mm
independent continuant;butan-1-ol 0.8% vol/vol;colombos:butanol:0.8volume %
independent continuant;biological entity;a biological entity is a heterogeneous substance that contains genomic material or is the product of a biological process.
independent continuant;ethanol 1.5% vol/vol;colombos:ethanol:1.5% volume/v
independent continuant;enrofloxacin 0.125 g/ml;colombos:enrofloxacine:0.125 g/ml
independent continuant;human urine;colombos:medium.human urine
independent continuant;mecillinam 0.3 g/ml;colombos:mecillinam:0.3 g/ml
independent continuant;sodium chloride 1 m;colombos:nacl:1m
independent continuant;hydrogen peroxide 1 mm;colombos:h2o2:+1mm
independent continuant;tetracycline 16 g/ml;colombos:tetracycline:16 g/ml
independent continuant;cccp 800 m;colombos:cccp:800 m
independent continuant;norfloxacin 0.075 g/ml;colombos:norfloxacin:0.075 g/ml
independent continuant;mannose 1%;colombos:manose:+1%
independent continuant;sodium chloride 4.5 m;colombos:nacl:2+2.5m
independent continuant;indole 1 mm;colombos:indole:0.1mm
independent continuant;butan-1-ol 0.9% vol/vol;colombos:butanol:0.9volume %
independent continuant;carbon dioxide 5% vol;colombos:co2:5%vol
independent continuant;glucose 8.8 g/l;colombos:glucose:8.8 g/l
independent continuant;sucrose 1250 mm;colombos:sucrose:1250mm
independent continuant;sodium chloride 5.5 m;colombos:nacl:2+3.5m
independent continuant;lactose 0.15%;colombos:lactose:0.15%
independent continuant;isopentenol 0.2% vol/vol;colombos:isopentenol:0.2vol%
independent continuant;norfloxacin 0.025 g/ml;colombos:norfloxacin:0.025 g/ml
independent continuant;cisplatin 150 m;colombos:cisplatin:150um
independent continuant;cefsulodin 10 g/ml;colombos:cefsulodin:10 g/ml
independent continuant;azlocillin 10 g/ml;colombos:azlocillin:10 g/ml
independent continuant;isopropyl beta-d-thiogalactopyranoside 2 mm;colombos:iptg:2mm
independent continuant;hydrogen peroxide 20mm;colombos:h2o2:20mm
independent continuant;bicozamycin 25 mcg/ml;colombos:bicyclomycin:25mcg/ml
independent continuant;glycerol 0.4 g/l;colombos:glycerol:4g/l
independent continuant;hydrogen peroxide 0.3mm;colombos:h2o2:0.3mm
independent continuant;synh medium;colombos:medium.synh
independent continuant;benzalconium chloride 50 ppm;colombos:benzalkonium chloride:50ppm
independent continuant;mecillinam 0.03 g/ml;colombos:mecillinam:0.03 g/ml
independent continuant;le392 conditioned medium;conditioned medium containing biologically active components obtained from e. coli strain le392
independent continuant;lignotoxins medium;an artificial medium made up of inhibitory compounds that are lignin derivatives resulting from pretreatment and enzymatic hydrolysis of lignocellulose (lignotoxins)
independent continuant;ampicillin 5 g/ml;colombos:ampicilin:5 g/ml
independent continuant;ampicillin 20 g/ml;colombos:ampicilin:20 g/ml
independent continuant;glycerol 0.4 g/l;colombos:glycerol:0.4g/l
independent continuant;isopropyl beta-d-thiogalactopyranoside 1 mm;colombos:iptg:1mm
independent continuant;sodium chloride 4 m;colombos:nacl:4m
independent continuant;manganese(ii) chloride 0.00001 m;colombos:mncl2:0.00001m
independent continuant;butan-1-ol 1% vol/vol;colombos:butanol:1volume %
independent continuant;indole 1 mm;colombos:indole:1mm
independent continuant;galactose 4 g/l;colombos:galactose:4g/l
independent continuant;hydrogen peroxide 2mm;colombos:h2o2:2mm
independent continuant;glycerol 0.4 g/l;colombos:glycerol:+4 g/lg/l
independent continuant;ethanol 20% vol/vol;colombos:ethanol:20% volume/v
independent continuant;autoinducer-2 0.1 mm;colombos:auto inducer 2:0.1mm
independent continuant;peroxynitrite 300 m;colombos:peroxynitrite:300 m
independent continuant;ammonia fiber expansion corn stover hydrolysate;colombos:medium.acsh
independent continuant;poor medium;minimal salts plus glycerol and fumarate
independent continuant;glycerol 2 g/l;colombos:glycerol:2g/l
independent continuant;isobutanol 0.5% vol/vol;colombos:isobutanol:0.5%volume/vo
independent continuant;isobutanol 1% vol/vol;colombos:isobutanol:1%volume/vo
specifically dependent continuant;ldra overexpression mutant;colombos:ldra b4419.overexpression
specifically dependent continuant;ldha knockout mutant;colombos:ldha.deletion
specifically dependent continuant;ygiw knockout mutant;colombos:ygiw b3024.deletion
specifically dependent continuant;d82g variant of gyra;colombos:gyra b2231.d82g variant
specifically dependent continuant;ihfa knockout mutant;colombos:ihfa b1712.deletion
specifically dependent continuant;nusa knockout mutant;colombos:nusa b3169.deletion
specifically dependent continuant;trpr knockout mutant;colombos:trpr b4393.deletion
specifically dependent continuant;od550;colombos:od550
specifically dependent continuant;lsrr knockout mutant;colombos:lsrr b1512.deletion
specifically dependent continuant;narx knockout mutant;colombos:narx b1222.deletion
specifically dependent continuant;rraa overexpression mutant;colombos:rraa b3929.overexpression
specifically dependent continuant;hha24e9 variant of hha;colombos:hha b0460.24e9 variant
specifically dependent continuant;qor knockout mutant;colombos:qor b4051.deletion
specifically dependent continuant;ygin knockout mutant;colombos:ygin b3029.deletion
specifically dependent continuant;cysq knockout mutant;colombos:cysq b4214.deletion
specifically dependent continuant;mqsa overexpression mutant;colombos:mqsa b3021.overexpression
specifically dependent continuant;spef knockout mutant;colombos:spef b0693.deletion
specifically dependent continuant;rimi overexpression mutant;colombos:rimi b4373.overexpression
specifically dependent continuant;ph 8.5;colombos:ph:7+1.5
specifically dependent continuant;dpia overexpression mutant;colombos:dpia b0620.overexpression
specifically dependent continuant;phoq knockout mutant;colombos:phoq b1129.deletion
specifically dependent continuant;cadb knockout mutant;colombos:cadb b4132.deletion
specifically dependent continuant;od600 of 0.15;colombos:od600:0.15
specifically dependent continuant;od600 of 4.8;colombos:od600:0.5+4.3
specifically dependent continuant;nrdb overexpression mutant;colombos:nrdb b2235.overexpression
specifically dependent continuant;od600 of 1.1;colombos:od600:1.1
specifically dependent continuant;dnaj knockout mutant;colombos:dnaj b0015.deletion
specifically dependent continuant;appy knockout mutant;colombos:appy b0564.deletion
specifically dependent continuant;ycfr knockout mutant;colombos:ycfr b1112.deletion
specifically dependent continuant;lrp knockout mutant;colombos:lrp b0889.deletion
specifically dependent continuant;growth rate of 0.3 h-1;colombos:growth rate:+0.3h-1
specifically dependent continuant;ph 5.5;colombos:ph:7-1.5
