independent continuant;target enrichment kit;an assay kit used for the technique of target enrichment
independent continuant;specimen collection kit;an assay kit processed material comprises a sterile device for collecting a sample, a collection and dispersing device for depositing and holding the sample, a device for transferring the sample, and a container for storing the sample to be tested. there may also be a labeling system for identifying the sample and for diluting the sample
independent continuant;insulated shipping container;a container which used to ship temperature sensitive products such as foods, pharmaceuticals, organs, blood, biologic materials, and chemicals. they are used as part of a cold chain to help maintain product freshness and efficacy.
independent continuant;specimen with potentially infectious materials;a specimen that derives from an organism and might contain infectious materials.
independent continuant;unstained fixed tissue slide;a fixed tissue slide specimen that is contain unstained tissue section(s)
independent continuant;remnant specimen;a specimen which represent remaining portion of a specimen obtained for clinical purposes that is no longer needed for its original purpose and that would otherwise be discarded
independent continuant;dna extraction assay kit;an assay kit used for the technique of isolating dna in a biological sample
independent continuant;aliquot;a specimen that is divided into separate parts which are typically stored in separate containers as individual samples
independent continuant;dna library;a process material which contains dna fragments that represent the entire genome of an organism.
independent continuant;specimen derivative;a specimen which is a recognizable part or product taken from specimen
independent continuant;assay kit;a processed material which contain a set of articles or equipment needed for a specific purpose.
independent continuant;dna processed specimen;a processed specimen which is the output of preparing a dna sample for further analysis.
independent continuant;library construction kit;an assay kit processed material that include a set of articles or equipment needed for library construction
specifically dependent continuant;specimen shipping temperature;a temperature which represent specimen temperature during shipment.
specifically dependent continuant;refrigerated specimen temperature;a specimen shipping tempruture which represent a refrigerated temperature (2 to 8 c) - wet ice or gel packs (conditioned at 15 c, designed for refrigerated temperatures, or phase change material rated for refrigerated transport).
specifically dependent continuant;name of specimen donor;a personal name that designates the human being donated specimen
specifically dependent continuant;name of data generation assay executor;a personal name that designates the person who executed the sequencing run.
specifically dependent continuant;name of bioinformatics analysis executor;a personal name that designates the person who executed the bioinformatics analysis.
generically dependent continuant;ligation objective;an objective specification to determine attaching synthetic oligonucleotides with known sequences to both or either ends of complementary dna (cdna) fragments
generically dependent continuant;data transfer protocol;a protocol plan specification which describes the process of data transfer between two entities
generically dependent continuant;availability of other specimen from the same donor;a data item which represent the availability of other specimen from the same donor
generically dependent continuant;compressed file;a data item that represent sort of archive that contains one or more files that have been reduced in size through file compression process
generically dependent continuant;software description;information about software includes software description.
generically dependent continuant;fasta format;a file format which represent represent a text-based format for representing either nucleotide sequences or peptide sequences, in which base pairs or amino acids are represented using single-letter codes
generically dependent continuant;gene expression profile data;a measured expression level which refers to activity (the expression) of thousands of genes at once, to create a global picture of cellular function.
generically dependent continuant;bioinformatics pipeline;a software pipeline that is composed of a wide array of software algorithms to process biological raw data.
generically dependent continuant;16s rna sequence data;rna sequence data which is about the 16s gene of one or more organisms.
generically dependent continuant;software documentation uri;information about software includes software documentation uri
generically dependent continuant;shipping and receiving of samples sop;a standard operating procedure for shipping and receiving of sample
generically dependent continuant;user information;an information content entity about user authentication information.
generically dependent continuant;training manual;a training manual is a book or booklet of instructions, designed to improve the quality of a performed task.
generically dependent continuant;axt file format;a file format which represent alignment files are produced from blastz, an alignment tool available from webb miller's lab at penn state university. the axtnet and axtchain alignments are produced by processing the alignment files with additional utilities written by jim kent at ucsc
generically dependent continuant;clinical variant interpretation;a data item representing a variant s significance in relation to a disease or phenotype.
generically dependent continuant;paraffin embedding and fixation quality check report;required quality check list for the procedure of paraffin embedding and/or fixation.
generically dependent continuant;ps3 criteria;well-established in vitro or in vivo functional studies supportive of a damaging effect on the gene or gene product
generically dependent continuant;pm1 criteria;located in a mutational hot spot and/or critical and well-established functional domain (e.g. active site of an enzyme) without benign variation
generically dependent continuant;interpretation of clinical variant protocol;a protocol that describe the process of assigning a formal classification to the detected variant
generically dependent continuant;reference genome version number;a reference genome datum which represent reference genome edition
generically dependent continuant;pm3 criteria;for recessive disorders, detected in trans with a pathogenic variant
generically dependent continuant;sequencing quality scores;sequencing quality scores measure the probability that a base is called incorrectly.
generically dependent continuant;software version number;information about software includes information on software version number.
generically dependent continuant;copy number alteration;a molecular quality that describe changes in copy number that have arisen in somatic tissues.
generically dependent continuant;secure file transfer protocol;a data transfer protocol is a network protocol that provides file access, file transfer, and file management over any reliable data stream
generically dependent continuant;storage unit identifier;each freezer, refrigerator, room temperature stor- age cabinet, or other unit appropriate to the collec- tions should have a unique identifier.
generically dependent continuant;data file url;a url at which the data file file is stored.
generically dependent continuant;sift score impact;data item which represents a normalized probability of observing the new amino acid at that position and ranges from 0 to 1.
generically dependent continuant;adapter ligation protocol;a protocol which describes the process of attaching synthetic oligonucleotides with known sequences to both or either ends of complementary dna (cdna) fragments as a prepration for sequencing
generically dependent continuant;ps2 criteria;de novo (both maternity and paternity confirmed) in a patient with the disease and no family history
generically dependent continuant;input data file;a data file which contain the input for data transformation process
generically dependent continuant;amino acid substitution;a data item which represents the substitution of one or more amino acids.
generically dependent continuant;measurement datum availability statement;a data item which indicates availability of specimen associated data
generically dependent continuant;microarray cnv genotypes data;a measured expression level measurement datum which represent copy number variation (cnv) obtained by microarray
generically dependent continuant;result acceptance or rejection protocol;protocol for acceptence or rejcetion must be based on metrics and quality control parameters established during test optimization and utilized during validation
generically dependent continuant;pm2 criteria;absent from controls (or at extremely low frequency if recessive) in exome sequencing project, 1000 genomes or exac
generically dependent continuant;whole transcriptome sequence data;rna sequence data which represent the complete complement of transcripts in a sample, at a given time
generically dependent continuant;acmg moderate classification criteria;acmg guidelines for classification of variants of moderate classification
generically dependent continuant;hugo gene nomenclature committee gene name;a biological database that contains genes nomenclature created by the hugo gene nomenclature committee (hgnc) that sets the standards for human gene nomenclature.
generically dependent continuant;standard operating procedure version number;a version number denotes standard operating procedure
generically dependent continuant;bioinformatics software parameter name;information about software includes information on software parameter name.
generically dependent continuant;output data file;a data file which contain the output of data transformation process
generically dependent continuant;bed format;a file format which represent represent format provides a flexible way to define the data lines that are displayed in an annotation track
generically dependent continuant;ps4 criteria;the prevalence of the variant in affected individuals is significantly increased compared to the prevalence in controls
generically dependent continuant;information about local data storage;information about data storage location information content entity which represent any physical hardware such as external hard drives, flash drives, and cd
generically dependent continuant;expression quantitative trait loci data;a data item that describe expression quantitative trait loci.
generically dependent continuant;metagenomics sequence data;dna sequence data which represent genomic dna obtained from environmental samples
generically dependent continuant;reference genome datum;a data item which represent datum related to reference genome used as a standard for comparison in basic research and clinical settings
