independent continuant;surgical gown;a medical gown which is subjected to a sterilization process and which is intended to be worn by a medical professional during surgical procedures.
independent continuant;sysmex ca-6000 coagulation analyzer;the sysmex ca-6000 automated coagulation analyzer is a random access instrument that is capable of performing 20 clot-based and chromogenic assays
independent continuant;berichrom(r) antithrombin iii (a) kit;for the chromogenic determination of antithrombin iii. autoanalyzer method for undiluted samples. for the quantitative chromogenic determination of the functional activity of antithrombin iii in plasma on autoanalyzers for the diagnosis of diminished at iii synthesis, increased consumption, and for monitoring substitution therapy. berichrom(r) antithrombin iii (a) is used for the rapid determination of the physiologically active antithrombin iii and permits the diagnosis of congenital and acquired antithrombin iii deficiency, a condition frequently associated with an increased risk of thrombosis. acquired antithrombin iii deficiencies frequently occur due to consumption following major operations or due to disseminated intravascular coagulation (dic) in cases of septicaemia, nephroses, liver parenchymal damage (hepatitis, drug intoxication, alcoholism) and estrogen-containing contraceptives. the test permits early detection of patients at increased risk for thrombosis. kit contains: 6 x for 5.0 ml thrombin (bovine), 3 x for 3.0 ml substrate reagent, 1 x 30.0 ml buffer solution
independent continuant;preparative autosampler;for preparative lc with injection of sample volumes ranging from l to ml ranges.
independent continuant;fluid pressure regulator;part of the fluidic subsystem. the fluid pressure regulator maintains constant pressure within the sheath and or sample lines by filling the lines with enough gas to push the fluid at the desired rate. the gas is usually air, and less frequently nitrogen. in the sheath line, the gas is pushed into the sheath tank. in the sample line the gas is pushed into the collection tube. fluid pressure regulators maintain great enough pressure to push sample fluid out of the tube and sheath fluid out of the sheath tank.
independent continuant;elisa microplate reader;a microplate reader that is used for enzyme-linked immunosorbent assays (elisa).
independent continuant;urinary bladder specimen;a specimen that is derived from urinary bladder.
independent continuant;population;a population is a collection of individuals from the same taxonomic class living, counted or sampled at a particular site or in a particular area
independent continuant;lyophilized specimen;a specimen that is output of a lyophilization storage process in which specimen is lyophilized for storage.
independent continuant;nasopharyngeal aspirate specimen;a speciemn which derives from nasopharyngeal mucosa after aspiration.
independent continuant;liquid chromatography autosampler;designed to perform capillary lc with injection of sample volumes ranging from nl to l.
independent continuant;human specimen set;a specimen set that is collected from one person during a time period which for the purpose of the study can be considered to be taken at the same sampling time.
independent continuant;cyflow ml;a cyflow ml is a flow cytometer analyser manufactured by partec. it is a digital machine which uses 4 light sources: triple laser configurations including new powerful 200mw@488nm blue solid state laser + 100w uv lamp for highest resolution dna analysis, and can collect 16 optical parameters: fsc1, fsc2, ssc, fl1-fl13. ultracompact high end desktop multilaser flow cytometer for all applications in cell analysis and absolute counting.
independent continuant;cultured cd3- t cell population;a t cell population characterized by not expressing the cd3 molecule on its surface.
independent continuant;uterus specimen;a specimen that is derived from uterus.
independent continuant;splenocyte specimen;a cell specimen comprised of a mixed cell population obtained by processing whole spleen into individual cells, typically performed using a sieve or blender. this population includes t cells, b cells, macrophages, and other cell types.
independent continuant;electron paramagnetic resonance spectrometer;an spectrophotometer that is used to investigate chemical species that have one or more unpaired electrons, such as organic and inorganic free radicals or inorganic complexes possessing a transition metal ion.
independent continuant;lsr2;a lsr2 is a sorter manufactured by becton dickinson. it features digital electronics, a solid state 488 nm blue laser and optionally can also have any combination of solid state uv (355 nm) and violet (405 nm) lasers and the a hene (633 nm) ion laser. the lsr2 has the filters and pmts to work with 13 fluorescent parameters. the lsr ii is one of the most common sorters in use.
independent continuant;bead array reader;a device that is used to acquire and image bead array data.
independent continuant;diffractometer;a measurement device for analyzing the structure of a material from the scattering pattern produced when a beam of radiation or particles (e.g. x rays or neutrons) interacts with it.
independent continuant;freeze substitution system;a device or system for dehydrating and then chemically fixing electron microscopy samples at low temperatures in preparation for various treatments including embedding in resins.
independent continuant;y-column connector;a column connector that connects one column on one side with two columns at the other side, hence building a y shaped structure.
independent continuant;c1r cell line;a cell line derived from human b cells. this cell line was created by ebv transformation (b-lymphoblastoid cell-line (blcl)).
independent continuant;piezo electric crystal;apparatus in the fluidic subsystem of sorters that vibrates to break up the stream coming out of the flow chamber into droplets for sorting. the peizo electric crystal vibrates in a manner that breaks off droplets at regular intervals. not all droplets contain a cell.
independent continuant;bruker ultrastabilized nmr magnet;an nmr magnet manufactured by bruker for ultra-high field nmr, available from 750 mhz to 900 mhz, which provides reliable operation at reduced temperature and ambient pressure via being rigidly mounted and stabilized.
independent continuant;multichannel electronic pipette;a multichannel pipette that can be programmed by the user to aspirate a volume of liquid reagent or sample and dispense the aspirated volume or a series of aliquots in successive dispensing operations.
independent continuant;prostate gland specimen;a specimen that is derived from prostate gland.
independent continuant;neodymium-yag laser;a neodymium-yag (yttrium aluminum garnet) laser is a solid state laser in which the lasing medium is a solid rod of crystalline material pumped by a flash lamp or a diode laser. typical output wavelengths are 355, 532, and 1064 nm. a neodymium-yag laser can by used to irradiate cells in a flow cytometer.
independent continuant;cloning vector;a cloning vector is an engineered material that is used as an input material for a recombinant vector cloning process to carry inserted nucleic acids. it contains an origin of replication for a specific destination host organism, encodes for a selectable gene product and contains a cloning site.
independent continuant;organism;a material entity that is an individual living system, such as animal, plant, bacteria or virus, that is capable of replicating or reproducing, growth and maintenance in the right environment. an organism may be unicellular or made up, like humans, of many billions of cells divided into specialized tissues and organs.
independent continuant;pacbio rs ii;a dna sequencer which is manufactured by the pacific biosciences corporation. built upon single molecule real-time sequencing technology, the machine is optimized for generation with long reads and high consensus accuracy.
independent continuant;affymetrix mouse gene 2.1 st array;a dna microarray manufactured by affymetrix, which is a whole-transcript array that includes probes to measure both messenger (mrna) and long intergenic non-coding rna transcripts (lincrna).to supplement the lincrna data contained in refseq, we used sequence and transcript data from lncrna db.
independent continuant;suprapubic skin specimen;a specimen that is derived from suprapubic skin.
independent continuant;environmental control device;an environmental control device is a device which has the function to control some aspect of the environment such as temperature, or humidity.
independent continuant;heart specimen;a specimen that is derived from heart.
independent continuant;bone marrow specimen;a specimen that is derived from bone marrow.
independent continuant;molecular analysis facility organization;an organization that provides molecular analysis service.
independent continuant;environmental swab specimen;a specimen that is collected with a swab from the surface of an environmenal material.
independent continuant;bruker 1mm microprobe;over the past few years there has been a significantly growing demand for miniaturization in all areas ofmodern research and development. evoked by many exciting applications, there is a need for analytical methods which require less amounts of sample. bruker biospin meets this challenge with a revolutionary nmr probe design: the 1mm microprobe. it operates with disposable 1mm capillary sample tubes and the sample volume of 5 microliters enables the use of lowest amounts of sample to run all high resolution nmr experiments with outstanding sensitivity and up to 16 times faster measurements. due to the txi-type probe design, the z-gradient coil and the automatic matching and tuning accessory, the 1mm microprobe can be used for a wide variety of nmr experiments. the key advantages of this probe include:n up to 4 times higher mass sensitivity than 5mm conventional probes (with respect to the same sample amount)n excellent solvent suppression propertiesn virtually no salt effectn discrete samples in tubes that can be sealed and storedn automation accessory for sample preparation and handling available.
independent continuant;mosquito magnet liberty plus trap;an arthropod trap that is designed to emit a combination of carbon dioxide, heat, water, and oct-1-en-3-ol attractants while simultaneously using suction to trap arthropods. this trap has the same design as the mosquito magnet pro trap but is smaller, is more lightweight, and uses a main line electricity supply instead of propane to power itself. both use propane to produce the arthropod attractor.
independent continuant;l cell line;a cell line derived from mouse fibroblasts.
independent continuant;medical glove;a personal protective glove which is disposable and is used during medical examinations and procedures to help prevent cross-contamination between caregivers and patients.
independent continuant;bruker b-acs system;the bruker automatic sample changer (b-acs 60/120), used in conjunction with bruker disnmr, uxnmr or xwin-nmr software, provides dialog-guided facilities which allow the user to easily and effectively perform automatic (continuous) experiments. features include a 60 or 120 sample capacity, random accessing of samples, positive sample identification with the optional bar code reader, and temperature control of individual samples with the optional sample heater unit.
independent continuant;esophagogastric junction specimen;a specimen that is derived from the esophagogastric junction.
independent continuant;processed material;is a material entity that is created or changed during material processing.
independent continuant;eluate;a eluate is a material entity which results from an elution, e.g. from a chromatography column. it has as part a material entity with role mobile phase
independent continuant;spin column;a spin column is a chromatography column which is suitable for putting it into a centrifuge. a spin column enforces separation through increased g-forces while spinning the column in a centrifuge. it is often used in dna gel extraction kits.
independent continuant;tissue embedding station;a device that is used to perform paraffin embedding of tissue specimens.
independent continuant;solid state laser;a solid-state laser is a laser that uses a lasing medium that is a solid, rather than a liquid such as dye lasers or a gas such as gas lasers. semiconductor-based diode lasers are also in the solid state, but are generally considered separately from solid-state lasers. the first laser developed was an optical pumped ruby crystal solid state laser.
independent continuant;confocal microscope;a microscope that is used to increase micrograph contrast and/or reconstruct three-dimensional images by using a spatial pinhole to eliminate out-of-focus light in specimens that are thicker than the focal plane.
independent continuant;normal phase column;a normal phase column is a chromatography column in which the stationary phase is more polar than the mobile phase. its counterpart is the reversed phase column.
independent continuant;sirv rna spike-in;a processed material that consists of transcript isoforms of 7 spike-in rna variant (sirv) genes and possibly the 92 external rna controls consortium (ercc) rna spike-in genes.
independent continuant;plasmid;plasmid = dna and has quality circular and has function (is realized as some gene expression) go:0010467
independent continuant;chorionic villus specimen;a specimen that is derived from some chorionic villus 
independent continuant;jeol nmr instrument;an nmr instrument that is manufactured by jeol.
independent continuant;material to be added;a material that is added to another one in a material combination process
independent continuant;analytical balance;a balance with weighing pan(s) inside a transparent enclosure that is used to measure mass to a very high degree of precision and accuracy.
independent continuant;precipitate;a precipitate is a material entity which is output of a precipitation process
independent continuant;laser capture microdissection microscope;a microscope that uses low-energy laser beams and special transfer film to lift single cells from a tissue.
independent continuant;gamma counter;a processed material which measures gamma radiation
independent continuant;bruker match tube holder system;the bruker multiple adjustable tube clamp holder match system is a holder for 100 mm long nmr sample tubes with diameters ranging from micro tubes up to 5 mm nmr tubes. the match insert fits into a standard 10 mm bruker spinner and is suitable for all non-spinning applications.n the match system provides an easy and cost efficient means of optimizing the signal-to-noise ratio of each sample. by matching the nmr tube diameter to the size of the sample, most of the sample can be placed in the active column of the nmr coil. this leads to an enhanced signal detection compared to diluting the same sample quantity in a larger tube.
independent continuant;abi 377 automated sequencer;is a dna sequencer which is manufactured by applied biosystems corporation (formerly perkin-elmer). it allows automated chain termination dna sequencing. it has part polyacrylamide gel electrophoresis system and a laser -based detection system to detect fluorescence intensity emitted by the dyes attached to the dideoxyterminator nucleotides or to the primers.
independent continuant;solvent mixer;a liquid chromatography device that mixes different solvents, e.g. under high pressure and in differrent volumes ranging from 5 ml to 5 l capacity. powerful magnetic mixers provide vigorous agitation required for high pressure reaction chemistry.
independent continuant;avance ii spectrometer;a spectrometer suitable for metabolomics and in vivo nmr studies but structural analysis of small molecules and low molecular weight proteins can also be performed. to accomplish these studies there are six probe-heads available. a successor, the avance iii came out recently.
independent continuant;centers for disease control and prevention gravid trap;a gravid trap that consists of a pan holding a hay infusion, motorized fan, and collection bag. this trap is designed to attract gravid female arthropods to the infused material, which would serve as an oviposition medium, and then draw them into the bag with the current generated by the fan.
independent continuant;enzyme-linked antibody;a processed material that is comprised of an antibody that is covalently linked to an enzyme through bioconjugation. the enzyme can be used as a detection method when the enzyme's reaction produces a detectable signal, for example a color change when the substrate is added.
independent continuant;specimen collection device;a container used to collect a specimen.
independent continuant;sample from organism;a material obtained from an organism in order to be a representative of the whole
independent continuant;nextseq 550;a dna sequencer manufactured by the illumina corporation, which provides the increased flexibility of microarray scanning in addition to sequencing.
independent continuant;semen specimen;a specimen that is derived from some semen
independent continuant;microtiter plate;a microtiter plate is a flat plate with multiple wells used as small test tubes.
independent continuant;saliva specimen;a specimen that is derived from saliva.
independent continuant;material sample;a material entity that has the material sample role
independent continuant;glass column;a glass column is a chromatography column made out of glass that is usually used for larger scale and preparative liquid chromatography separations.
independent continuant;medical mask;a face mask manufactured according to a recognized medical equipment standard.
independent continuant;chromatography consumable;a chromatography consumable is a consumable that is used in a chromatography experiment.
independent continuant;pcr instrument;a device that is used to amplify a single or few copies of a piece of dna across several orders of magnitude, generating thousands to millions of copies of a particular dna sequence.
independent continuant;sheath tank;part of the fluidics system. the sheath tank is the vessel that holds the sheath fluid at a constant pressure, allowing for it to be pushed into the flow chamber at a constant rate. the sheath tank holds the pressurized sheath fluid.
independent continuant;perturbation device;a perturbation device is a device which is designed to perform a perturb function
independent continuant;shannon trap;an arthropod trap that is made of cloth and netting and is designed to be suspended from above (e.g. from a tree). it is also designed so that the arthropod enters the trap from beneath, being attracted to some bait, and is prevented from escaping upward by the suspended cloth, which allows them to be collected from the upper interior of the trap.
