independent continuant;tobacco;a eukaryota that is within the genus nicotiana of the solanaceae (nightshade) family.
independent continuant;collection packet with empty container;a collection packet which contains an empty container that will be used for holding a specimen.
independent continuant;fixed tissue block specimen;a fixed tissue specimen that is in block form.
independent continuant;human biobank;a human biobank is a collections of samples of human body substances (e.g. tissue, blood, dna) which are linked to personal data and socio deographic information about the donors of the material. they have a dual nature as collections of samples and data."
independent continuant;smoking pipe;a device made to allow the user to inhale or taste smoke or vapor derived from the burning or vaporization of some substance.
independent continuant;pipe tobacco;a processed material which is made from tobacco for smoking tobacco using a pipe.
independent continuant;blood specimen on blood spot card;a blood specimen that is located on a blood spot card.
independent continuant;in-house manufacturer;a manufacturer that produces materials internally for the internal needs of the organization.
independent continuant;department of biobank contact;a department that has a contact person for a biobank as an organizational member.
independent continuant;specimen meeting specification;all specimens that meet the set parameters to be procured on.
independent continuant;nicotine e-cigarette;a processed material that vaporizes a liquid solution containing nicotine and simulates tobacco smoking by producing an aerosol that resembles smoke.
independent continuant;pathology research center;a laboratory that performs a rigorous review of images of tissue specimens by a group of senior pathologists not involved in the specimen collection typically to evaluate and characterize the tissue (e.g., % necrosis).
independent continuant;medication material;a material entity that is bearer of a medication role.
independent continuant;street;a street is a thoroughfare in a built environment.
independent continuant;freezer rack;a device that is part of a freezer for keeping material in the freezer in a defined position and prevents movement.
independent continuant;fixed tissue specimen;a processed specimen that is the output of a fixation process.
independent continuant;neutral buffered formalin;a processed material that is a mixture of formalin (formaldehyde), phosphates, and water used as a standard fixative for diagnostic preparations.
independent continuant;blood spot card box;a device that is designed to contain blood spot cards.
independent continuant;collection packet with specimen;a collection packet which contains a container with a specimen.
independent continuant;fresh tissue specimen;a fresh specimen that is in a tissue form.
independent continuant;cryovial;a test tube that designed to store materials at very low temperatures.
independent continuant;vacutainer;a test tube which is either a sterile glass or plastic tube with a closure that is evacuated to create a vacuum inside the tube facilitating the draw of a predetermined volume of liquid. most commonly used to draw a blood sample directly from the vein, these also are used to collect urine samples. vacutainer tube may contain additives designed to stabilize and preserve the specimen prior to analytical testing.
independent continuant;biobank;a biobank is a collections of samples of biological substances (e.g. tissue, blood, dna) which are linked to data about the samples and their donors. they have a dual nature as collections of samples and data.
independent continuant;organization conducting specimen collection from organism;an organization at which the process of collecting a specimen from an organism occurred.
independent continuant;collection packet with specimen and information material;a collection packet which contains a container with a specimen and a form filled with information about the collected specimen and specimen source.
independent continuant;biobank organization;an organization bearing legal personality that owns or adminstrates a biobank.
independent continuant;location adjacent to tissue fixation;an anatomical location that is adjacent to the site where tissue was collected and subjected to fixation.
independent continuant;specimen donor;a homo sapiens who contributes specimen.
independent continuant;collection packet with empty container and unfilled information material;a collection packet which contains a container without a specimen and an unfilled form that will be used to fill in information about specimen to be collected.
independent continuant;tobacco material;a processed material that is made from tobacco. typically, tobacco material is meant to be used as a source of nicotine as tobacco contains a higher concentration of nicotine than most other plants.
independent continuant;buffy coat specimen;a processed specimen which is the output of a density gradient centrifugation of an anticoagulated blood specimen that contains most of the white blood cells and platelets.
independent continuant;nicotine gum or lozenge;a processed material contains nicotine in a form of a chewing gum or a candy-like tablet. it delivers nicotine to the body via absorption by the tissues of the mouth. it is commonly used as an aid in nicotine replacement therapy (nrt), a process for smoking cessation.
independent continuant;blood spot card;a device that is designed to collect, ship and store blood specimens in an easy and inexpensive way.
independent continuant;flash frozen specimen;a frozen specimen that has been instantly/quickly frozen by subjecting the specimen to cryogenic temperatures, or in direct contact with liquid nitrogen at -320.8f 0r -196c.
