independent continuant;older adult human subject;a human subject classified as adult, which is defined by nih as an individual 65 years of age or older. for the purposes of the nih policy and guidelines on the inclusion of individuals across the lifespan as participants in research involving human subjects, an older adult is defined as an individual 65 years of age or older.
independent continuant;disease biomarker;a biomarker that is indicative of a disease
independent continuant;predictive biomarker;a biomarker that can predict clincal outcome.
independent continuant;imaging disease biomarker;a biomarker that is indicative of a disease and achieved through imaging.
independent continuant;principal investigator;an investigator who is designated as responsible party by the sponsor
independent continuant;investigator;a person who performs an investigation task and takes the role of an investigator role.
independent continuant;protein biomarker;a molecular biomarker at the protein level
independent continuant;viroid;an non-organism infectious agent that is composed solely of a short strand of circular, single-stranded rna and has no protein coating.
independent continuant;viroid;
independent continuant;overall study official;a person who is responsible for the overall scientific leadership of the protocol, including study principal investigator
independent continuant;self;the self is an individual person as the object of his or her own reflective consciousness.
independent continuant;child human subject;a human subject classified as adult, which is defined by nih as an individual under the age of 18 years. for the purposes of the nih policy and guidelines on the inclusion of individuals across the lifespan as participants in research involving human subjects, a child is defined as an individual under the age of 18 years.
independent continuant;biomarker;a material entity that has a measurable quality or process profile(s), which can be used as an indicator of an underlying biological state or identity.
independent continuant;home;a site that is used as a permanent or semi-permanent residence for one or many humans.
independent continuant;human subject;a livinging individual who is or becomes a participant in research, either as a recipient of a test article or as a control. a subject may be either a healthy human or a patient. based on the nih definition, a living individual about whom an investigator (whether professional or student) conducting the following research: (1) obtains information or biospecimens through intervention or interaction with the individual, and uses, studies, or analyzes the information or biospecimens. or (2) obtains, uses, studies, analyzes, or generates identifiable private information or identifiable biospecimens.
independent continuant;diagnostic biomarker;a biomarker that can serve a role in narrowing down diagnosis, which can lead to diagnosis that is significantly more specific to individual patients.
independent continuant;cellular biomarker;cellular biomarkers are marked cells that can be isolated, sorted, quantified and characterized by their morphology and physiology, and used in both clinical and laboratory settings for different biomarker applications. an example of a cellular biomarker sorting technique is fluorescent-activated cell sorting.
independent continuant;dna biomarker;a molecular biomarker at the dna gene level
independent continuant;facility contact;a contact person for each facility participating in a study.
independent continuant;prognostic biomarker;a biomarker that provides information about the patient's overall outcome, regardless of therapy.
independent continuant;dna biomarker;oliver he, yingtong liu
independent continuant;rna biomarker;oliver he, yingtong liu
independent continuant;acellular self-replicating organic structure;a self-replicating organic structure that does not have the unit of cell but it may use the cells to replicate.
independent continuant;clinical study participant candidate;a human being who is a candidate to participant in a clinical study
independent continuant;central contact person of study;a person to whom questions concerning enrollment at any location of the study can be addressed.
independent continuant;secondary sponsor;an additional individual, organization or another legal person, if any, that has agreed with the primary sponsor to take on responsibilities of sponsorship.
independent continuant;central contact backup of study;a person to contact if central contact is not available.
independent continuant;sponsor investigator;an investigator role taken by an individual who both initiates and conducts the study
independent continuant;rna biomarker;a molecular biomarker at the rna level
independent continuant;protein biomarker;oliver he, yingtong liu
independent continuant;contact person;a person who serves as a contact role and has disclosed specified information to be reached. usually the contact information, such as email and phone number, is provided.,
independent continuant;facility contact backup;person to contact if facility contact is not available (that is, a second contact person).
independent continuant;human cohort;a collection of humans who share a defining characteristic, typically those who are collectively experiencing a common event (e.g., a clincal trial study) in a selected period.
independent continuant;care site;a care site is a uniquely identified institutional (physical or organizational) unit where healthcare delivery is practiced, for example, office, ward, hospital, clinic, etc.
