independent continuant;icekpncrkp-i-1 iem;the integration and excision module of ice icekpncrkp-i-1
independent continuant;tn5307 am;the accessory module of ice tn5307.
independent continuant;icekpn1084-2 cm;the conjugation module of ice icekpn1084-2
independent continuant;icekpntvghcre225-2 iem for integration;the set of gene and non-gene sequence responsible for the dna integration process in the integration and excision module of ice icekpntvghcre225-2
independent continuant;icekpned23-1 iem for integration;the set of gene and non-gene sequence responsible for the dna integration process in the integration and excision module of ice icekpned23-1
independent continuant;icekpnnh34-1 iem;the integration and excision module of ice icekpnnh34-1
independent continuant;phn island rm;the regulation module of ice phn island.
independent continuant;iceea1 iem;the integration and excision module of ice iceea1.
independent continuant;icekpnar_0047-1 iem for excision;the set of gene and non-gene sequence responsible for the dna excision process in the integration and excision module of ice icekpnar 0047-1
independent continuant;tngbs1 rm;the regulation module of ice tngbs1.
independent continuant;icekpnar_0148-1 iem;the integration and excision module of ice icekpnar 0148-1
independent continuant;icekpnu25-1 cm;the conjugation module of ice icekpnu25-1
independent continuant;icevchmoz4 cm;the conjugation module of ice icevchmoz4.
independent continuant;icekpncr-hvkp1-1 am;the accessory module of ice icekpncr-hvkp1-1
independent continuant;prs01 rm;the regulation module of ice prs01.
independent continuant;tn6194-like rm;the regulation module of ice tn6194-like.
independent continuant;icekpnkp38731-1 iem for integration;the set of gene and non-gene sequence responsible for the dna integration process in the integration and excision module of ice icekpnkp38731-1
independent continuant;icepmichn1 am;the accessory module of ice icepmichn1.
independent continuant;icevpachn1 rm;the regulation module of ice icevpachn1.
independent continuant;icekpnf132-1 cm;the conjugation module of ice icekpnf132-1
independent continuant;icevspspa1 cm;the conjugation module of ice icevspspa1.
independent continuant;icekpnkp19-2029-1 rm;the regulation module of ice icekpnkp19-2029-1
independent continuant;icekpnkp_goe_62629-1 iem for integration;the set of gene and non-gene sequence responsible for the dna integration process in the integration and excision module of ice icekpnkp goe 62629-1
independent continuant;icekpn2n3-1 am;the accessory module of ice icekpn2n3-1
independent continuant;icekpnrja166-2 iem;the integration and excision module of ice icekpnrja166-2
independent continuant;type iv secretion system protein component;a protein component of t4ss
independent continuant;slp1 am;the accessory module of ice slp1.
independent continuant;pklc102 cm;the conjugation module of ice pklc102.
independent continuant;icekpninf059-1 cm;the conjugation module of ice icekpninf059-1
independent continuant;icekpnkp65-1 iem for excision;the set of gene and non-gene sequence responsible for the dna excision process in the integration and excision module of ice icekpnkp65-1
independent continuant;ice_sagnem316_tngbs1_1 iem;the integration and excision module of ice ice sagnem316 tngbs1 1.
independent continuant;icekpnxj-k1-1 iem for excision;the set of gene and non-gene sequence responsible for the dna excision process in the integration and excision module of ice icekpnxj-k1-1
independent continuant;icekpnar_0120-1 rm;the regulation module of ice icekpnar 0120-1
independent continuant;icekpnkp_norm_bld_2014_104014-1 cm;the conjugation module of ice icekpnkp norm bld 2014 104014-1
independent continuant;icekpnkp17-16-1 iem for excision;the set of gene and non-gene sequence responsible for the dna excision process in the integration and excision module of ice icekpnkp17-16-1
independent continuant;icekpnwchkp020098-1 iem;the integration and excision module of ice icekpnwchkp020098-1
independent continuant;pcm32 rm;the regulation module of ice pcm32.
independent continuant;icekpnnh54-1 am;the accessory module of ice icekpnnh54-1
independent continuant;ice-gi6 am;the accessory module of ice ice-gi6.
independent continuant;trb-1 am;the accessory module of ice trb-1.
independent continuant;icekpnbr-1 rm;the regulation module of ice icekpnbr-1
independent continuant;icekpnjunp254-1 cm;the conjugation module of ice icekpnjunp254-1
independent continuant;icevchmoz8 iem;the integration and excision module of ice icevchmoz8.
independent continuant;icekpnkp_goe_821588-2 iem for excision;the set of gene and non-gene sequence responsible for the dna excision process in the integration and excision module of ice icekpnkp goe 821588-2
independent continuant;icekpnsc-7-1 iem for excision;the set of gene and non-gene sequence responsible for the dna excision process in the integration and excision module of ice icekpnsc-7-1
independent continuant;icekpnl491-1 iem;the integration and excision module of ice icekpnl491-1
independent continuant;icekpnkpr0928-1 iem for integration;the set of gene and non-gene sequence responsible for the dna integration process in the integration and excision module of ice icekpnkpr0928-1
independent continuant;icekpnk2606-1 iem;the integration and excision module of ice icekpnk2606-1
independent continuant;icesa2603 iem;the integration and excision module of ice icesa2603.
independent continuant;icekpnkuh-kpnhvl1-2 am;the accessory module of ice icekpnkuh-kpnhvl1-2
independent continuant;ice-gi6 rm;the regulation module of ice ice-gi6.
independent continuant;icevchind3 am;the accessory module of ice icevchind3.
independent continuant;icekpnl201-1 rm;the regulation module of ice icekpnl201-1
independent continuant;icespnj93183 cm;the conjugation module of ice icespnj93183.
independent continuant;icepmiusa1 iem;the integration and excision module of ice icepmiusa1.
independent continuant;icesau7413093 am;the accessory module of ice icesau7413093.
independent continuant;icekpnxj-k2-1 iem for integration;the set of gene and non-gene sequence responsible for the dna integration process in the integration and excision module of ice icekpnxj-k2-1
independent continuant;icekpncav1596-1 iem;the integration and excision module of ice icekpncav1596-1
independent continuant;icekpnntuh-k2044-1 cm;the conjugation module of ice icekpnntuh-k2044-1
independent continuant;icekpndmc1097-1 am;the accessory module of ice icekpndmc1097-1
independent continuant;icekpnkp-8788-1 rm;the regulation module of ice icekpnkp-8788-1
