independent continuant;district of india;a second-order administrative region of india.
independent continuant;community;a geographic location that is either a city or an area containing settlements where the inhabitants share a common trait
independent continuant;region of mali;a first-order administrative region of mali.
independent continuant;zone of ethiopia;a second-order administrative region of ethiopia.
independent continuant;external wall material;a wall material used to build an exterior wall
independent continuant;kebele of ethiopia;a fourth-order administrative region of ethiopia.
independent continuant;region of uganda;a first-order administrative region of uganda.
independent continuant;environment associated with human dwelling;environmental system associated with the dwelling used by humans.
independent continuant;subdistrict of thailand;a third-order administrative region of thailand.
independent continuant;alfalfa infusion;an infusion material extracted from alfalfa.
independent continuant;floor material;a building material used in the construction of a floor
independent continuant;infused material;a processed material that results from the suspension of plant material in a solvent for enough time to allow compounds to be extracted from the plant material into the solvent.
independent continuant;lurex attractor;an arthropod attractor that is manufactured by the american biophysics corporation and has (s)-lactic acid as its active ingredient in order to mimic the scent of human skin.
independent continuant;building material;a material entity used to build a dwelling or part of a dwelling.
independent continuant;drinking water from pipe into yard;drinking water obtained through a plumbing fixture located in the yard of a human dwelling
independent continuant;water piped into dwelling;water accessed through a plumbing fixture located inside a human dwelling
independent continuant;union council of bangladesh;a fourth-order administrative region of bangladesh.
independent continuant;water container;container used by humans to drink water.
independent continuant;drinking water derived from rainwater;drinking water that is derived from rainwater
independent continuant;study group;a population that is the bearer of a study group role
independent continuant;peripheral blood mononuclear cell specimen;a processed specimen that is extracted from whole blood using gradient centrifugation that separates the blood into a layer of peripheral blood mononuclear cell under the top layer of plasma. it contains lymphocytes, monocytes or macrophages that are critical components in the immune system.
independent continuant;location of specimen collection;the site where specimen collection taken place.
independent continuant;hay infusion;an infusion material extracted from hay.
independent continuant;participant under investigation;an organism that is the bearer of a partipant under investigation role
independent continuant;charcoal cooking fuel;charcoal as a cooking fuel
independent continuant;woreda of ethiopia;a third-order administrative region of ethiopia.
independent continuant;host organism;an organism that has host role
independent continuant;domesticated animal in a human dwelling;an organism that raised by people and lives in a human dwelling.
independent continuant;location where gps coordinates were taken;a site in which a global positioning system receiver produces a data item specifying the location of the site
independent continuant;wall material;a building material used in the construction of a wall.
independent continuant;malaria medication;a medication material intended to prevent or treat malaria.
independent continuant;location of death;site where a human life process ended.
independent continuant;internal wall material;a wall material used to build a wall between rooms
independent continuant;ward of tanzania;a fourth-order administrative region of tanzania.
independent continuant;parish of uganda;a fifth-order administrative region of uganda.
independent continuant;visited village name;a village name denote a geographic location that a person has visited.
independent continuant;taluk of india;a third-order administrative region of india.
independent continuant;district of thailand;a second-order administrative region of thailand.
independent continuant;subcounty of uganda;a fourth-order administrative region of uganda.
independent continuant;air brick;a brick with holes which is embedded in a wall to allow ventilation through it.
independent continuant;drinking water from pipe into dwelling;drinking water accessed through a plumbing fixture located inside a human dwelling
independent continuant;arthropod attractor;a material entity that has an arthropod attractor role.
independent continuant;drinking water derived from bore hole water;drinking water that is derived from bore hole water
independent continuant;stream water;water derived from water that is part of either a stream or a river
independent continuant;actellic-300cs insecticide;a manufactured product that is a 3rd generation indoor residual spraying (3girs) micro-encapsulated formulation of an existing organophosphate insecticide, pirimiphos-methyl, co-developed through a partnership between syngenta and ivcc.
independent continuant;non-malaria medication;a medication material intended to prevent or treat a disease other than malaria.
independent continuant;location of hand washing;site where humans wash their hands.
independent continuant;state of india;a first-order administrative region of india.
independent continuant;personal mosquito repellent;a material entity that a person uses to deter mosquitoes from approaching or settling.
independent continuant;province of thailand;a first-order administrative region of thailand.
independent continuant;parasite strain;a parasite that is bred to have some uniform behavioral, morphological, physiological, or genetic characteristics with similarly bred parasite organisms
independent continuant;roof material;a building material used in the construction of a roof.
independent continuant;bg-lure;a chemical substance manufactured by biogents that is designed to attract mosquitoes by mimicking the scent of human skin.
independent continuant;haplogroup;a population of people who share a common ancestor on the patrilineal or matrilineal line.
independent continuant;fungal strain;a fungus that is bred to have some uniform behavioral, morphological, physiological, or genetic characteristics with similarly bred fungus
independent continuant;lab host;an organism that realizes host role in laboratory.
independent continuant;specimen used for dna pcr;a specimen that is used for dna extraction and following pcr assay.
independent continuant;icemr organization;a research organization that is located in an area where malaria is endemic and is one of many centers established by the national institute of allergy and infectious diseases with the following aims: to design and conduct multidisciplinary research on the epidemiology, transmission, and pathogenesis of malaria in its specific region, to design and conduct special projects to capitalize on new opportunities and emerging public health needs, and to build clinical research capacity and improve malaria control and prevention
independent continuant;human participant under investigation;a human being who bears a participant under investigation role
independent continuant;antibiotics;a medication material that is used in the treatment and prevention of bacterial infections. it may either kill or inhibit the growth of bacteria.
independent continuant;livestock animal;a domesticated animal that is raised in an agricultural setting to produce labor and commodities
independent continuant;district of uganda;a second-order administrative region of uganda.
independent continuant;bed net material;a material entity that is used to make bed net.
independent continuant;cooking fuel material;a material entity that consists of fuel mainly used for cooking.
specifically dependent continuant;subjective fever;a phenotypic abnormality of a subjective fever as reported by the study participant or their parent/guardian
specifically dependent continuant;roof material role;a building material role that inheres in a material entity that is realized in a building process in which the material entity will become part of a roof.
