independent continuant;fungal microbiome of lung;a fungal microbiome that is located in a lung of a host organism
independent continuant;microbiome in human lung;a human microbiome that is located in a human respiratory system
independent continuant;mouse microbiome;a microbiome located in a mouse body
independent continuant;fungal microbiome of skin;a fungal microbiome that is located in the skin of a host organism
independent continuant;microbiota;a collection of microbial organisms that reside in a particular environment.
independent continuant;microbial genome;a genome from a microbe
independent continuant;microbe;an organism or virus or viron that is too small to be viewed by the unaided eye.
independent continuant;microbiome in human gastrointestinal system;a human microbiome that is located in a human gastrointestinal system
independent continuant;microbiome in human cutaneous system;a human microbiome that is located in a human cutaneous system
independent continuant;bacterial microbiome;a microbiome that includes a collective population of bacterial organisms.
independent continuant;microbiome;a biome that consists of a collection of microorganisms (i.e., microbiota) and the surrounding environment where the microorganisms reside.
independent continuant;differentially enriched microbial marker for disease;a microbe that is differentially enriched in a microbiome host and can serve as a marker for a disease
independent continuant;human gut microbiome;a microbiome located in a human gut.
independent continuant;microbiome in human oral;a human microbiome that is located in a human oral system
independent continuant;dmard;a drug product that has its ability to alter the progression of a rheumatic disease.
independent continuant;fungal microbiome of mucosal site;a fungal microbiome that is located in a mucosal site of a host organism (e.g., urogenital tract, oral cavity, and gastrointestinal tract)
independent continuant;differentially enriched microbial marker for dysbiosis;a microbe that is differentially enriched in a microbiome host and can serve as a marker for a dysbiosis
independent continuant;viral microbiome;a microbiome that includes a collective population of virus
independent continuant;microbiome in human urogenital system;a human microbiome that is located in a human urogenital system
independent continuant;microbiome in human respiratory system;a human microbiome that is located in a human lung
independent continuant;human microbiome;a microbiome located in a human body
independent continuant;host;an organism that has 'host role', i.e., a role played by an organism and realized by providing nourishment, shelter or a means of reproduction to another organism.
independent continuant;fungal microbiome;a microbiome that includes a collective population of fungal microorganisms.
specifically dependent continuant;relative species abundance;a quality of ecological community that refers to how common or rare a species is relative to other species in a defined location or community
specifically dependent continuant;decreased organism quantity in acute disease patient compared with chronic disease control;a quality with a depleted quantity of a type of organism (e.g., bacteria inside human gut) in a patient with an acute disease compared with a patient control with the same disease but at a chronic stage.
specifically dependent continuant;decreased organism quantity compared with healthy controls;a quality with a depleted quantity of a type of organism (e.g., bacteria inside human gut) compared with control.
specifically dependent continuant;decreased organism quantity compared with fibromyalgia patients;a quality with a depleted quantity of a type of organism (e.g., bacteria inside human gut) compared with a patient control with the fibromyalgia (fm) disease.
specifically dependent continuant;increased organism quantity compared with healthy control;a quality with an increased quantity of a type of organism (e.g., bacteria inside human gut) compared with control.
specifically dependent continuant;beta diversity;the ratio between regional and local species diversity
specifically dependent continuant;alpha diversity;the mean species diversity in sites or habitats at a local scale
specifically dependent continuant;gamma diversity;the total species diversity in a landscape
specifically dependent continuant;relative abundance of microbe in host;a relative species abundance that refers to the microbial species abundance in a host ecosystem
specifically dependent continuant;descreased microbiome organism diversity;a quality with an decreased microbiome organism dirversity in a host microbiome environment (e.g., gut).
specifically dependent continuant;invisible to unaided eye;a physical object quality that is inhered in a material entity that is too small to be viewed by the unaided eye.
generically dependent continuant;ph value;a measurement datum that is a logarithmic scale used to specify the acidity or basicity of an aqueous solution. it is the negative of the base 10 logarithm of the activity of the hydrogen ion. at 25 c, solutions with a ph less than 7 are acidic and solutions with a ph greater than 7 are basic.
process;expansion of leptotrichia sp. in ra human oral cavity;a ra human oral cavity microbiome interaction that shows an expansion of leptotrichia sp. in patients with ra compared with healthy controls.
process;expansion of escherichia coli epec 32/73 in gout human gut;a gout human-gut microbiome interaction that shows an expansion of escherichia coli epec32/73 in patients with gout compared with healthy controls.
process;depletion of pseudobutyrivibrio in psa human gut;a psa human-gut microbiome interaction that shows an decrease of pseudobutyrivibrio in patients with psa compared with healthy controls.
process;depletion of malassezia sympodialis in psa human skin;a psa human skin microbiome interaction that shows an decrease of malassezia sympodialis in patients with psa compared with healthy controls.
process;expansion of lachnospiraceae in as human gut;an as human-gut microbiome interaction that shows an expansion of lachnospiraceae in patients with as compared with healthy controls.
process;expansion of klebsiella pneumoniae in as human oral cavity;an as human oral cavity microbiome interaction that shows an expansion of klebsiella pneumoniae in patients with as compared with healthy controls.
process;human gut microbiome interaction in crohn's disease;a human-gut microbiome interaction that is associated with crohn's disease.
process;expansion of ruminococcus lactaris in ra human gut;a ra human-gut microbiome interaction that shows an expansion of ruminococcus lactaris in patients with chronic ra compared with healthy controls.
process;expansion of enterobacteriaceae in colorectal cancer human gut;a colorectal cancer human-gut microbiome interaction where enterobacteriaceae is increased.
process;sle mouse-gut microbiome interaction;a musculus gut-microbiome interaction that is associated with system lupus erythematosus(sle).
process;human-urine microbiome interaction;an interaction between human and urine microbiome.
process;akkermansia muciniphila depletion in as rat gut;an association of rattus gut microbiota with ankylosing spondylitis(as) that shows a depleted quantity of akkermansia muciniphila in rattus with as compared with healty controls.
process;depletion of photobacterium in gout human gut;a gout human-gut microbiome interaction that shows an decrease of photobacterium in patients with gout compared with healthy controls.
process;depletion of bacteroides fragilis in ra human gut compared to fibromyalgia patients;a ra human-gut microbiome interaction that shows an decrease of bacteroides fragilis in patients with ra compared with fibromyalgia patients.
process;depletion of parabacteroides in psa human gut;a psa human-gut microbiome interaction that shows an decrease of parabacteroides in patients with psa compared with healthy controls.
process;expansion of bacteroidales in colorectal cancer human gut;a colorectal cancer human-gut microbiome interaction where bacteroidales is increased.
process;expansion of c. portiera in colorectal cancer human gut;a colorectal cancer human-gut microbiome interaction where candidatus portiera is increased.
process;expansion of d. paucivorans in colorectal cancer human gut;a colorectal cancer human-gut microbiome interaction where dolosicoccus paucivorans is increased.
process;expansion of lactobacillus casei in arthritis rat gut;an association of rattus gut microbiota with arthritis that shows an expansion of lactobacillus casei in rattus with arthritis compared with healthy controls.
process;expansion of pasteurellaceae in colorectal cancer human gut;a colorectal cancer human-gut microbiome interaction where pasteurellaceae is increased.
process;depletion of bacteroides in ra human gut;a ra human-gut microbiome interaction that shows an decrease of bacteroides in patients with ra compared with healthy controls.
process;expansion of mogibacterium in colorectal cancer human gut;a colorectal cancer human-gut microbiome interaction where mogibacterium is increased.
process;expansion of clostridiales in sle mouse gut;an association of musculus gut microbiota with system lupus erythematosus(sle) that shows an expansion of clostridiales in musculus with sle compared with healthy controls.
process;expansion of phascolarctobacterium in colorectal cancer human gut;a colorectal cancer human-gut microbiome interaction where phascolarctobacterium is increased.
process;expansion of selenomonadales in gout human gut;a gout human-gut microbiome interaction that shows an expansion of selenomonadales in patients with gout compared with healthy controls.
process;expansion of salmonella in colorectal cancer human gut;a colorectal cancer human-gut microbiome interaction where salmonella is increased.
process;expansion of c.hylemonae in colorectal cancer human gut;a colorectal cancer human-gut microbiome interaction where [clostridium] hylemonae is increased.
process;expansion of bacteroides fragilis in ra human gut;a ra human-gut microbiome interaction that shows an decrease of bacteroides fragilis in patients with ra compared with healthy controls. bacteroides fragilis is a rare cause of septic arthritis.
process;expansion of bacteroides in era human gut;an era human-gut microbiome interaction that shows an expansion of bacteroides in patients with era compared with healthy controls.
process;expansion of micrococcus in ra human respiratory airway;ra human respiratory airway microbiome interaction that shows an expansion of micrococcus in patients with ra compared with healthy controls.
process;segregation of prevotella or bacteroides dominance in ra human gut;a ra human-gut microbiome interaction that shows high prevotella or high bacteroides relative abundance, but rarely a high relative abundance of both.
process;expansion of anaerolineaceae in gout human gut;a gout human-gut microbiome interaction that shows an expansion of anaerolineaceae in patients with gout compared with healthy controls.
process;arthritis mouse-gut microbiome interaction;a musculus gut-microbiome interaction that is associated with arthritis
process;expansion of fusobacterium in sle human oral cavity;a sle human oral cavity microbiome interaction that shows an expansion of fusobacterium in patients with sle compared with healthy controls.
process;expansion of clostridiaceae in colorectal cancer human gut;a colorectal cancer human-gut microbiome interaction where clostridiaceae is increased.
process;human gut microbiome interaction in bowel syndrome;a human-gut microbiome interaction that is associated with bowel syndrome.
process;depletion of cronobacter in colorectal cancer human gut;a colorectal cancer human-gut microbiome interaction where cronobacter is decreased.
process;depletion of prevotella in ra human gut compared to fibromyalgia patients;a ra human-gut microbiome interaction that shows an decrease of prevotella in patients with ra compared to fibromyalgia patients
process;as rat-gut microbiome interaction;a rattus gut-microbiome interaction that is associated with ankylosing spondylitis (as).
process;depletion of propionibacterium in psa human skin;a psa human skin microbiome interaction that shows an decrease of propionibacterium in patients with psa compared with healthy controls.
process;expansion of campylobacter jejuni in colorectal cancer human gut;a colorectal cancer human-gut microbiome interaction where campylobacter jejuni is increased.
process;expansion of fusobacteria in colorectal cancer human gut;a colorectal cancer human-gut microbiome interaction where fusobacteria is increased.
process;expansion of escherichia in colorectal cancer human gut;a colorectal cancer human-gut microbiome interaction where escherichia is increased.
process;expansion of yersinia in era human gut;an era human-gut microbiome interaction that shows an expansion of yersinia in patients with era compared with healthy controls.
process;expansion of helicobacter in colorectal cancer human gut;a colorectal cancer human-gut microbiome interaction where helicobacter is increased.
process;depletion of prevotella in ra human respiratory airway;ra human respiratory airway microbiome interaction that shows an decrease of prevotella in patients with ra compared with healthy controls.
process;expansion of fretibacterium fastidiosum in sle human oral cavity;a sle human oral cavity microbiome interaction that shows an expansion of fretibacterium fastidiosum in patients with sle compared with healthy controls.
process;expansion of selenomonas in sle human oral cavity;a sle human oral cavity microbiome interaction that shows an expansion of selenomonas in patients with sle compared with healthy controls.
process;expansion of bacteroidetes in sle human gut;a sle human-gut microbiome interaction that shows an expansion of bacteroidetes in patients with sle compared with healthy controls.
process;expansion of mycobacterium in colorectal cancer human gut;a colorectal cancer human-gut microbiome interaction where mycobacterium is increased.
process;expansion of paraprevotella in as rat gut;an association of rattus gut microbiota with ankylosing spondylitis(as) that shows an expansion of paraprevotella in rattus with as compared with healthy controls.
process;expansion of e. coli b in colorectal cancer human gut;a colorectal cancer human-gut microbiome interaction where escherichia coli b is increased.
process;expansion of cryptobacterium curtum in ra human oral cavity;a ra human oral cavity microbiome interaction that shows an increase of cryptobacterium curtum in patients with ra compared with healthy controls.
process;depletion of capnocytophaga gingivalis in sle human oral cavity;a sle human oral cavity microbiome interaction that shows an decrease of capnocytophaga gingivalis in patients with sle compared with healthy controls.
process;arthritis rat-gut microbiome interaction;a rattus gut-microbiome interaction that is associated with arthritis.
process;expansion of campylobacter in colorectal cancer human gut;a colorectal cancer human-gut microbiome interaction where campylobacter is increased.
process;restoring human gut microbiome resistance to c. difficile infection by fecal microbiota transplantation;a human-gut microbiome interaction where a fecal microbiota transplantation is used to restore a human gut microbiome to a state resistant to clostridium difficile infection.
process;depletion of b. uniformis in colorectal cancer human gut;a colorectal cancer human-gut microbiome interaction where bacteroides uniformis is decreased.
process;expansion of treponema denticola in as human oral cavity;an as human oral cavity microbiome interaction that shows an expansion of rare taxa,treponema denticola in patients with as compared with healthy controls.
process;expansion of anaerolineae in gout human gut;a gout human-gut microbiome interaction that shows an expansion of anaerolineae in patients with gout compared with healthy controls.
