independent continuant;schistosoma haematobium egg;a schistosoma haematobium in an egg form that is laid by the female adult worm and released into the host gut where they leave the host in the faeces.
independent continuant;oncomelania hepatopancreas;hepatopancreas that is a part of or originated from a oncomelania snail.
independent continuant;homo sapiens cerebrospinal fluid;fma:20935
independent continuant;schistosoma japonicum 3 day schistosomulum;a schistosoma japonicum schistosomulum in a migratory larval form that is found within blood vessels of the mammal, as definitive host, 3 days post-infection.
independent continuant;plasmodium falciparum ookinete;a plasmodium falciparum that is a 'banana-shaped' form and originates from the round zygote. the ookinete is found in the midgut of a mosquito vector and traverses the midgut wall of a mosquito vector.
independent continuant;homo sapiens lung;fma:7195
independent continuant;plasmodium falciparum microgamete;a plasmodium falciparum gamete that is a matured form of exflagellated microgametocyte and found in the midgut of a mosquito vector. the microgamete fertilizes the macrogamete, forming the zygote.
independent continuant;schistosoma japonicum mother sporocyst;a schistosoma japonicum sporocyst that produces more sporocysts.
independent continuant;plasmodium falciparum erythrocytic merozoite;a plasmodium falciparum merozoite that is produced in an erythrocytic schizont and released into the bloodstream of a human host. these forms invade erythrocytes.
independent continuant;homo sapiens macrophage;a macrophage that is a part of or originated from a human (homo sapiens).
independent continuant;plasmodium falciparum trophozoite;a plasmodium falciparum is a feeding form. the trophozoite stage has only 1 nucleus. depending on its location, it is either called hepatic or erythrocytic trophozoite.
independent continuant;leishmania major procyclic promastigote;a leishmania major promastigote that is found in the alimentary tract of an insect vector. it is non-infective to its mammalian host.
independent continuant;plasmodium zygote;a plasmodium that is formed after fertilization of the macrogamete by a microgamete in the midgut of the mosquito vector. this round form is the only diploid stage in the plasmodium life cycle.
independent continuant;plasmodium schizont;a plasmodium that is a form divides through schizogony. depending on its location, it is either called hepatic or erythrocytic schizont. the schizont is a dividing stage with 2 or more nuclei.
independent continuant;trypanosoma brucei epimastigote;a trypanosoma brucei that is found in the salivary glands of tse-tse fly. in this form the kinetoplast is anterior to the nucleus with a short undulating membrane running about half the length of the body.
independent continuant;plasmodium falciparum gametocyte;a plasmodium falciparum that is located either in the bloodstream of the human host or midgut of mosquito vector. gametocytes are the precursor cells of the macro- or micro-gametes.
independent continuant;schistosoma japonicum cercaria;a schistosoma japonicum in a parasitic larval form that develops in a freshwater snail and is released into the water.
independent continuant;plasmodium trophozoite;a plasmodium that is a feeding form which has a single nucleus during the trophozoite stage. depending on its location, it is either called hepatic or erythrocytic trophozoite.
independent continuant;schistosoma haematobium 7 week worm;a schistosoma haematobium worm is the mature form of schistosoma haematobium and capable of sexual reproduction, which is found in the pelvic blood vessels of the vesicle plexis of the mammal host 7 weeks after infection of the mammal host.
independent continuant;trypanosoma brucei procyclic trypomastigote;a trypanosoma brucei trypomastigote that is a dividing form of trypanosoma brucei found in the midgut of an insect vector.
independent continuant;plasmodium erythrocytic schizont;a plasmodium schizont that is found in infected erythrocytes of a vertebrate host.
independent continuant;schistosoma mansoni adult worm;a schistosoma mansoni worm is the fully developed mature form of schistosoma mansoni and capable of sexual reproduction, which lives in the small inferior mesenteric blood vessels surrounding the large intestine of the mammal host.
independent continuant;schistosoma haematobium 3 day schistosomulum;a schistosoma haematobium schistosomulum in a migratory larval form that is found within blood vessels of mammal, as definitive host, 3 days post-infection.
independent continuant;schistosoma haematobium adult female worm;a schistosoma haematobium adult worm is a fully developed mature female form of schistosoma haematobium and capable of sexual reproduction, which lives within the gynacophoric canal of the adult male worm in the pelvic blood vessels of the vesicle plexis of the mammal host.
independent continuant;plasmodium falciparum hepatic schizont;a plasmodium falciparum schizont that is found in infected hepatocytes (i.e., liver cells) of a human host.
independent continuant;mammalia blood;blood that is part of or originated from a mammalia.
independent continuant;plasmodium salivary gland-derived sporozoite;a plasmodium sporozoite that is found in the salivary glands of the mosquito vector.
independent continuant;schistosoma mansoni miracidium;a schistosoma mansoni in a free-living motile form that is covered with cilia and develops in the snail intermediate host.
independent continuant;triatominae hindgut;a hindgut that is a part of or originated from a triatominae bug.
independent continuant;schistosoma mansoni 7 week worm;a schistosoma mansoni worm is the mature form of schistosoma mansoni and capable of sexual reproduction, which is found in the small inferior mesenteric blood vessels surrounding the large intestine of the mammal host 7 weeks after infection of the mammalian host.
independent continuant;homo sapiens cerebrospinal fluid;cerebrospinal fluid that is a part of or originated from a human (homo sapiens).
independent continuant;homo sapiens urinary bladder;a urinary bladder that is a part of or originated from a human (homo sapiens).
independent continuant;mammalia mesenteric vein;a mesenteric vein that is a part of or originated from a mammal (mammalia).
independent continuant;plasmodium falciparum microgametocyte;a plasmodium falciparum gametocyte that is a male gametocyte and found in either bloodstream of a human host or midgut of a mosquito vector. the microgametocyte is a precursor cell of the microgamete.
independent continuant;schistosoma mansoni cercaria;a schistosoma mansoni in a parasitic larval form that develops in a freshwater snail and is released into the water.
independent continuant;vesical venus plexus;the vesical plexus envelops the lower part of the bladder and the base of the prostate and communicates with the pudendal and prostatic plexuses.
independent continuant;leishmania major amastigote;a leishmania major that is the intracellular, non-motile form of the parasite found in the mammalian host.
independent continuant;plasmodium erythrocytic merozoite;a plasmodium merozoite that is produced in an erythrocytic schizont and released into the bloodstream of a vertebrate host. these forms invade erythrocytes.
