old catholic church;catholic churches that broke away from the roman catholic church in the 18th century
poste restante;a part of the post office that handles mail for persons who call for it
revolutionary group;a political unit organized to promote revolution
ifc;a united nations agency that invest directly in companies and guarantees loans to private investors. affiliated with the world bank
shivaism;a hindu sect worshiping shiva
planning board;a board appointed to advise the chief administrator
grey;any organization or party whose uniforms or badges are gray. 'the confederate army was a vast gray'
company;small military unit. usually two or three platoons
chorus;a company of actors who comment (by speaking or singing in unison) on the action in a classical greek play
reserves;civilians trained as soldiers but not part of the regular army
acquirer;a credit card processing bank. merchants receive credit for credit card receipts less a processing fee
sunni;one of the two main branches of orthodox islam
fnma;a federally chartered corporation that purchases mortgages
business school;a graduate school offering study leading to a masters of business administration
economic commission for asia and the far east;the commission of the economic and social council of the united nations that is concerned with economic development of countries in asia and the far east
line;a commercial organization serving as a common carrier
border patrol;a group of officers who patrol the borders of a country
tobacco industry;an industry that manufactures and sells products containing tobacco
sales finance company;a finance company that buys (at a discount) the installment sales contracts of retail merchants
herakles;in classical mythology a hero noted for his strength. performed 12 immense labors to gain immortality
admiralty;the department in charge of the navy (as in great britain)
infantry;an army unit consisting of soldiers who fight on foot. 'there came ten thousand horsemen and as many fully-armed foot'
quakers;a protestant sect. commonly called quakers
school of dentistry;a graduate school offering study leading to degrees in dentistry
corporation;a business whose articles of incorporation have been approved in some state
cell;a small unit serving as the nucleus of a larger political movement
labour;a political party formed in great britain in 1900. characterized by the promotion of labor's interests and the socialization of key industries
privy council;an advisory council to a ruler (especially to the british crown)
clinic;a medical establishment run by a group of medical specialists
oil company;a company that sells oil
detail;a temporary military unit. 'the peace-keeping force includes one british contingent'
fannie mae;a federally chartered corporation that purchases mortgages
theater company;a company that produces plays
bastion;a group that defends a principle. 'a bastion against corruption'. 'the last bastion of communism'
advertising division;the division of a business that is responsible for advertising
orchestra;instrumentalists including string players
privately held corporation;a corporation owned by a few people. shares have no public market
law school;a graduate school offering study leading to a law degree
baptist church;any of various evangelical protestant churches that believe in the baptism of voluntary believers
credit bureau;a private firm that maintains consumer credit data files and provides credit information to authorized users for a fee
air force;an organization of military air forces
computer business;a business that manufactures and sells computers
gilgamish;(sumerian) legendary king of sumeria and hero of sumerian and babylonian epics
maffia;a crime syndicate in the united states. organized in families. believed to have important relations to the sicilian mafia
organization of petroleum exporting countries;an organization of countries formed in 1961 to agree on a common policy for the sale of petroleum
wire service;an agency to collects news reports for newspapers and distributes it electronically
day school;a private school taking day students only
commonwealth;a politically organized body of people under a single government. 'the state has elected a new president'
tribe;a federation (as of american indians)
particular baptist;group of baptist congregations believing the teachings of the french theologian john calvin who believed in strict predetermination
religious society of friends;a protestant sect. commonly called quakers
furies;(classical mythology) the hideous snake-haired monsters (usually three in number) who pursued unpunished criminals
church of christ scientist;founded by mary baker eddy in 1866
bus service;a public utility providing local transportation
bookclub;a club that people join in order to buy selected books at reduced prices
world health organization;a united nations agency to coordinate international health activities and to help governments improve health services
centaur;(classical mythology) a mythical being that is half man and half horse
international civil aviation organization;the united nations agency concerned with civil aviation
copartnership;a partnership in which employees get a share of the profits in addition to their wages
housing industry;a building of housing
vigilance committee;a volunteer committee to maintain order where an efficient legal system does not exist
comprehensive school;a large british or canadian secondary school for children of all abilities
senior high;a public secondary school usually including grades 9 through 12. 'he goes to the neighborhood highschool'
varsity;a team representing a college or university
academy;a school for special training
shipbuilder;a business that builds and repairs ships
school board;a board in charge of local public schools
census bureau;the bureau of the commerce department responsible for taking the census
shua;any branch of shinto other than kokka
grim reaper;death personified as an old man or a skeleton with a scythe
wivern;a fire-breathing dragon used in medieval heraldry. had the head of a dragon and the tail of a snake and a body with wings and two legs
private foundation;a charity that does not receive a major part of its support from the public
guard;a group of men who escort and protect some important person
alignment;an organization of people (or countries) involved in a pact or treaty
marine corps;an amphibious division of the us navy
committee;a self-constituted organization to promote something
helen;(greek mythology) the beautiful daughter of zeus and leda who was abducted by paris. the greek army sailed to troy to get her back which resulted in the trojan war
department of psychology;the academic department responsible for teaching and research in psychology
post office department;the federal government department responsible for mail delivery (and sometimes telecommunications)
minstrel show;a troupe of performers in blackface typically giving a comic program of negro songs and jokes
council on environmental policy;the executive agency that advises the president on protecting the environment
progressive party;a former political party in the us. founded by theodore roosevelt during the presidential campaign of 1912. its emblem was a picture of a bull moose
child welfare service;an agency responsible for social work concerned with the welfare and vocational training of children
yacht club;club that promotes and supports yachting and boating
manpower;the force of workers available
falstaff;a dissolute character in shakespeare's plays
anthropology department;the academic department responsible for teaching and research in anthropology
redevelopment authority;a public agency given responsibility for the renovation of blighted urban areas
linguistics department;the academic department responsible for teaching and research in linguistics
faust;an alchemist of german legend who sol his soul to the devil in exchange for knowledge
brotherhood;an organization of employees formed to bargain with the employer. 'you have to join the union in order to get a job'
government;the organization that is the governing authority of a political unit. 'the government reduced taxes'. 'the matter was referred to higher authorities'
brigade;army unit smaller than a division
hockey league;a league of hockey teams
construction industry;a building of housing
aeneas;a mythical greek warrior who was a leader on the trojan side of the trojan war. hero of virgil's aeneid
trust corporation;an organization (usually with a commercial bank) that is engaged as a trustee or fiduciary or agent in handling trust funds or estates of custodial arrangements or stock transfers or related services
monster;an imaginary creature usually having various human and animal parts
state department;the federal department that sets and maintains foreign policies. 'the department of state was created in 1789'
sales force;the division of a business that is responsible for selling
zoning commission;a commission delegated to supervise the zoning of areas for residential or commercial use
nuclear family;a family consisting of parents and their children and grandparents of a marital partner
pam american union;the administrative agency of the organization of american states
world council;a council with representatives from different nations
squadron;a naval unit that is detached from the fleet for a particular task
constabulary;the force of policemen and officers. 'the law came looking for him'
valkyrie;(norse mythology) one of the maidens of odin who chose heroes to be slain in battle and conducted them to valhalla
general delivery;a part of the post office that handles mail for persons who call for it
pool;an organization of people or resources that can be shared. 'a car pool'. 'a secretarial pool'. 'when he was first hired he was assigned to the pool'
raider;a corporate investor who intends to take over a company by buying a controlling interest in its stock and installing new management
chute the chute;a railway in an amusement park (usually with sharp curves and steep inclines)
body politic;a politically organized body of people under a single government. 'the state has elected a new president'
vestry;in the protestant episcopal church: a committee elected by the congregation to work with the churchwardens in managing the temporal affairs of the church
gray;any organization or party whose uniforms or badges are gray. 'the confederate army was a vast gray'
hinayana;a major school of buddhism teaching personal salvation through one's own efforts
police academy;an academy for training police officers
member;an organization that is a member of another organization (especially a state that belongs to a group of nations). 'the library was a member of the interlibrary loan association'. 'canada is a member of the united nations'
tc;a permanent council of the united nations that commissions a country (or countries) to undertake the administration of a territory
management personnel;personnel having overall planning and direction responsibilities
tarzan of the apes;a man raised by apes who was the hero of a series of novels by edgar rice burroughs
food and agriculture organization of the united nations;the united nations agency concerned with the international organization of food and agriculture
alma mater;your alma mater is a school you graduated from
captive finance company;a finance company owned by a manufacturer to finance dealers' inventories or to make loans to consumers buying the company's products
company;crew of a ship including the officers. the whole force or personnel of a ship
post office;the federal government department responsible for mail delivery (and sometimes telecommunications)
housing and urban development;the federal department that administers federal program dealing with better housing and urban renewal. created in 1965
high school;a public secondary school usually including grades 9 through 12. 'he goes to the neighborhood highschool'
department of education;the federal department that administers all federal programs dealing with education (including federal aid to educational institutions and students). created 1979
squadron;a cavalry unit consisting of two or more troops and headquarters and supporting arms
establishment;an organization founded and united for a specific purpose
industry;the people engaged in a particular kind of commercial enterprise. 'each industry has its own trade publications'
charity;an institution set up to provide help to the needy
cavalry;a highly mobile army unit
public service corporation;a company that performs a public service. subject to government regulation
phoenix;a legendary arabian bird said to periodically burn itself to death and emerge from the ashes as a new phoenix. according to most versions only one phoenix lived at a time and it renewed itself every 500 years
musical organization;an organization of musicians who perform together
elevated railway;an electric elevated railway
hedge fund;a flexible investment company for a small number of large investors (usually the minimum investment is 1 million). can use high-risk techniques (not allowed for mutual funds) such a short-selling and heavy leveraging
publishing company;a firm in the publishing business
free soil party;a former political party in the us. formed in 1848 to oppose the extension of slavery into the territories. merged with the liberty party in 1848
white knight;a company that is a friendly acquirer in a takeover
selective service;a federal agency that administers compulsory military service
british commonwealth;an association of nations consisting of the united kingdom and its dependencies and many former british colonies that are now sovereign states but owe allegiance to the british crown
lunatic fringe;a political unit with extreme and fanatical views
veterans of foreign wars;an organization of u.s. war veterans
dealer;a firm engaged in trading
collective farm;a farm operated collectively
el;an electric elevated railway
standing army;a permanent army of paid soldiers
royal canadian mounted police;the federal police force of canada
office staff;professional or clerical workers in an office. 'the whole office was late the morning of the blizzard'
syndicate;a loose affiliation of gangsters in charge of organized criminal activities
big dipper;a railway in an amusement park (usually with sharp curves and steep inclines)
bull market;a market characterized by rising prices for securities
entente;an informal alliance between countries
legation;a permanent diplomatic mission headed by a minister
amphisbaena;(classical mythology) a serpent with a head at each end of its body
confederation;a union of political organizations
department of energy;the federal department responsible for maintaining a national energy policy. created in 1977
bogeyman;an imaginary monster used to frighten children
service club;a club of professional or business people organized for their coordination and active in public services
sign industry;an industry that produces signs
small loan company;a finance company that makes loans to people who have trouble getting a bank loan
hospital;a medical institution where sick or injured people are given medical or surgical care
marriage brokerage;a business that arranges marriage contracts
subway;an electric underground railway
delegation;a group of representatives or delegates
holmes;a fictitious detective in stories by a. conan doyle
echelon;a body of troops arranged in a line
graduate school;a school in a university offering study leading to degrees beyond the bachelor's degree
dancing school;a school in which students learn to dance
flight;a unit of the us air force smaller than a squadron
church of jesus christ of latter day saints;church founded by joseph smith in 1830 with headquarters in salt lake city utah
mohammedanism;muslims collectively and their civilization. based on a monotheistic religion believing that mohammed was the last and major prophet of god. 'the term mohammedanism is offensive to muslims'
holding company;a company with controlling shares in other companies
giantess;a female giant
academy;a secondary school (usually private)
day shift;workers who work during the day (as 8 a.m. to 4 p.m.)
department of the interior;the federal department charged with conservation and the development of natural resources. created in 1849
crew;an organized group of workmen
