alum;a white crystalline double sulfate of aluminum: the ammonium double sulfate of aluminum
creosote;a colorless or yellowish oily liquid obtained by distillation of wood tar. used as an antiseptic
turpentine;obtained from conifers (especially pines)
methyl alcohol;a light volatile flammable poisonous liquid alcohol. used as an antifreeze and solvent and fuel and as a denaturant for ethyl alcohol
alcoholic beverage;a liquor or brew containing alcohol as the active agent. 'alcohol (or drink) ruined him'
base;any of various water-soluble compounds capable of turning litmus blue and reacting with an acid to form a salt and water. 'bases include oxides and hydroxides of metals and ammonia'
red wine;wine having a red color derived from skins of dark-colored grapes
eutectoid steel;a steel that contains 0.9% carbon (the eutectic point in the iron-carbon system). a carbon steel with 0.9% carbon is pure pearlite
benzoin;gum resin used especially in treating skin irritation
polyester fiber;a quick-drying resilient synthetic fiber consisting primarily of polyester
buffer;an ionic compound that resists changes in its ph
atomic number;a white trivalent metallic element. sometimes classified in the rare earth group. occurs in the scandinavian mineral thortveitite
bitter lemon;tart lemon-flavored carbonated drink
endorphin;a neurochemical occurring naturally in the brain and having analgesic properties
mutton tallow;tallow from the body of a mature sheep
boron;a trivalent metalloid element. occurs both in a hard black crystal and in the form of a yellow or brown powder
sweet cicely;aromatic resin used in perfume and incense
charcoal;a carbonaceous material obtained by heating wood or other organic matter in the absence of air
liquid nitrogen;nitrogen in a liquid state
radium;an intensely radioactive metallic element that occurs in minute amounts in uranium ores
japan wax;a yellow wax obtained from sumac berries. used in polishes
human gamma globulin;a protein fraction of human blood plasma containing numerous antibodies
potassium cyanide;a poisonous salt (kcn) used in electroplating and in photography
colza oil;edible light yellow to brown oil from rapeseed used also as a lubricant or illuminant
virgin mary;bloody_mary without alcohol
cementite;the iron carbide constituent of steel and cast iron. very hard and brittle
rum;distilled from fermented molasses
rock salt;as white crystalline solid consisting mainly of sodium chloride
kauri;resin of the kauri trees of n zealand. found usually as a fossil. also collected for making varnishes and linoleum
iodinated protein;a protein that contains iodine
