hypertext markup language;a set of tags and rules (conforming to sgml) for using them in developing hypertext documents
hierarchical classification system;a classification system where entries are arranged based on some hierarchical structure
stratified sample;the population is divided into strata and a random sample is taken from each stratum
organization;"an organized structure for arranging or classifying. 'he changed the arrangement of the topics'. 'the facts were familiar but it was in the organization of them that he was original'. 'he tried to understand their system of classification'"
speed trap;a trap arranged on a roadway for catching speeders
scoring system;a system of classifying according to quality or merit or amount
lunisolar calendar;a calendar based on both lunar and solar cycles
space time continuum;the 4-dimensional coordinate system (3 dimensions of space and 1 of time) in which physical events are located
organisation;"an organized structure for arranging or classifying. 'he changed the arrangement of the topics'. 'the facts were familiar but it was in the organization of them that he was original'. 'he tried to understand their system of classification'"
filing system;a system of classifying into files (usually arranged alphabetically)
solar calendar;a calendar based on solar cycles
proportional sample;the population is divided into strata and a random sample is taken from each stratum
plan;an arrangement scheme. 'the awkward design of the keyboard made operation difficult'. 'it was an excellent design for living'. 'a plan for seating guests'
gregorian calendar;the solar calendar now in general use, introduced by pope gregory xiii in 1582 ad to correct an error in the julian calendar by suppressing 10 days, making oct 5 be called oct 15, and providing that only centenary years divisible by 400 should be leap years. it was adopted by great britain and the american colonies in 1752
html;a set of tags and rules (conforming to sgml) for using them in developing hypertext documents
muhammadan calendar;the lunar calendar used by moslems. dates from 622 ad (the year of the hegira). the beginning of the moslem year retrogresses through the solar year completing the cycle every 32 years
system;"an organized structure for arranging or classifying. 'he changed the arrangement of the topics'. 'the facts were familiar but it was in the organization of them that he was original'. 'he tried to understand their system of classification'"
grouping;a system for classifying things into groups
standard generalized markup language;(computer science) a standardized language for the descriptive markup of documents. a set of rules for using whatever markup vocabulary is adopted
roman calendar;the lunar calender in use in ancient rome. replaced by the julian calendar in 46 bc
gaussian distribution;a theoretical distribution with finite mean and variance
old style;the solar calendar introduced in rome in 46 b.c. by julius caesar and slightly modified by augustus, establishing the 12-month year of 365 days with each 4th year having 366 days and the months having 31 or 30 days except for february
new style;the solar calendar now in general use, introduced by pope gregory xiii in 1582 ad to correct an error in the julian calendar by suppressing 10 days, making oct 5 be called oct 15, and providing that only centenary years divisible by 400 should be leap years. it was adopted by great britain and the american colonies in 1752
american plan;a hotel plan that includes mealsa hotel plan that includes meals
crystal lattice;a 3-dimensional geometric arrangement of the atoms or molecules or ions composing a crystal
inertial frame;a coordinate system in which newton's first law of motion is valid
moslem calendar;the lunar calendar used by moslems. dates from 622 ad (the year of the hegira). the beginning of the moslem year retrogresses through the solar year completing the cycle every 32 years
arrangement;"an organized structure for arranging or classifying. 'he changed the arrangement of the topics'. 'the facts were familiar but it was in the organization of them that he was original'. 'he tried to understand their system of classification'"
inertial reference frame;a coordinate system in which newton's first law of motion is valid
reference system;a system that uses coordinates to establish position
sgml;(computer science) a standardized language for the descriptive markup of documents. a set of rules for using whatever markup vocabulary is adopted
