pachytene;the third stage of the prophase of meiosis
atavism;a reappearance of an earlier characteristic
fall;a sudden drop from an upright position. 'he had a nasty spill on the ice'
advent;(christian theology) the reappearance of jesus as judge for the last judgment
finish;the absolute defeat and death of persons on one side of a conflict. 'it was a fight to the finish'. 'he will be the finish of me'
resonance;a vibration of large amplitude produced by a relatively small vibration near the same frequency of vibration as the natural frequency of the resonating system
rarefaction;a decrease in the density of something. 'a sound wave causes periodic rarefactions in its medium'
conversion;an event that results in a transformation
heartbeat;the rhythmic contraction and expansion of the arteries with each beat of the heart. 'he could feel the beat of her heart'
convergence;"the occurrence of two or more things coming together"
apogee;a final climactic stage. 'their achievements stand as a culmination of centuries of development'
bane;something causes misery or death. 'the bane of my life'
phenomenon;a remarkable development
portent;a sign of something about to happen. 'he looked for an omen before going into battle'
injury;a casualty to military personnel resulting from combat
mischance;an instance of misfortune
sequence;several repetitions of a melodic phrase in different keys
tragedy;an event resulting in great loss and misfortune. 'the whole city was affected by the irremediable calamity'. 'the earthquake was a disaster'
happy event;(informal) the live birth of a child
manifestation;a clear appearance. 'a manifestation of great emotion'
pulsation;the rhythmic contraction and expansion of the arteries with each beat of the heart. 'he could feel the beat of her heart'
death;the event of dying or departure from life: 'her death came as a terrible shock'. 'upon your decease the capital will pass to your grandchildren'
eclipse;one celestial body obscures another
static;a crackling or hissing noise cause by electrical interference
play;a weak and tremulous light. 'the shimmer of colors on iridescent feathers'. 'the play of light on the water'
stand;an interruption of normal activity
warpath;a course leading to warfare or battle
close;the ending of a contest (as a race). 'it was an exciting finish'. 'i didn't stay for the close of the tournament'
scourge;something causes misery or death. 'the bane of my life'
flap;the motion made by flapping up and down
mutation;the process or event of mutating
difference;a variation that deviates from the standard or norm. 'the deviation from the mean'
preliminary;"something that serves as a preceding event or introduces what follows. 'training is a necessary preliminary to employment'. 'drinks were the overture to dinner'"
discomfit;a defeat in battle
short circuit;electrical circuit is overloaded
shear;(physics) a deformation of an object in which parallel planes remain parallel but are shifted in a direction parallel to themselves. 'the shear changed the quadrilateral into a parallelogram'
embolism;occlusion of a blood vessel by an embolus (a loose clot or air bubble or other particle)
migration;the periodic passage from one region to another for feeding or breeding
split decision;a boxing decision in which the judges are not unanimous
wave shape;the shape of a wave illustrated graphically by plotting the values of the period quantity against time
algorithmic program;a precise rule (or set of rules) specifying how to solve some problem
pulsing;(electronics) a sharp transient wave in the normal electrical state (or a series of such transients). 'the pulsations seemed to be coming from a star'
destruction;an event that destroys something
hiatus;an interruption in the intensity or amount of something
ravage;(usually plural) a destructive action. 'the ravages of time'
background signal;extraneous signals that can be confused with the phenomenon to be observed or measured. 'they got a bad connection and could hardly hear one another over the background signals'
slack tide;the occurrence of relatively still water at the turn of the (low) tide
menstrual cycle;a recurring cycle (beginning at menarche and ending at menopause) in which the endometrial lining of the uterus prepares for pregnancy. if pregnancy does not occur the lining is shed at menstruation. 'the average menstrual cycle is 28 days'
training;the result of good upbringing (especially knowledge of correct social behavior). 'a woman of breeding and refinement'
fate;"an event (or course of events) that will inevitably happen in the future"
rebirth;the revival of learning and culture
slack water;the occurrence of relatively still water at the turn of the (low) tide
end;the concluding part of an event or occurrence: 'the end was exciting'. 'i had to miss the last of the movie'
redundancy;repetition of an act needlessly
thrashing;a sound defeat
flesh wound;a wound that does not damage important internal organs or shatter any bones
wrack;the destruction or collapse of something. 'wrack and ruin'
debacle;a sudden and violent collapse
nonevent;"an anticipated event that turns out to be far less significant than was expected"
grand slam;winning all of the tricks in a hand of bridge
air embolism;obstruction of the circulatory system caused by an air bubble as e.g. accidentally during surgery or hypodermic injection or as a complication from scuba diving
metarule;a rule that describes how other rules should be used (as in ai)
stroke;a sudden loss of consciousness resulting when the rupture or occlusion of a blood vessel leads to oxygen lack in the brain
runaway;an easy victory
preservation;an occurrence of improvement by virtue of preventing loss or injury or other change
standing wave;a wave (as a sound wave in a chamber or an electromagnetic wave in a transmission line) in which the ratio of its instantaneous amplitude at one point to that at any other point does not vary with time
boom;"a sudden happening that brings very good fortune"
conjunction;(astronomy) apparent meeting or passing of two or more celestial bodies in the same degree of the zodiac
embarrassment;some event that causes someone to be embarrassed. 'the outcome of the vote was an embarrassment for the liberals'
disturbance;electrical or acoustic activity that can disturb communication
landslide;an overwhelming electoral victory. 'roosevelt defeated hoover in a landslide'
heuristic rule;a commonsense rule (or set of rules) intended to increase the probability of solving some problem
malfunction;a failure to function normally
equipment casualty;loss of military equipment
mishap;an instance of misfortune
leptotene;the first stage of the prophase of meiosis
transition;an event that results in a transformation
suspension;an interruption in the intensity or amount of something
gravitation wave;(physics) a wave that is hypothesized to propagate gravity and to travel at the speed of light
release;euphemistic expressions for death. 'thousands mourned his passing'
disruption;an event that results in a displacement or discontinuity
expense;a detriment or sacrifice. 'at the expense of'
pileup;multiple collisions of vehicles
visitation;an annoying or frustrating event. 'his mother-in-law's visits were a great trial for him'. 'life is full of tribulations'. 'a visitation of the plague'
materialization;an appearance in bodily form (as of a ghost)
even chance;an unpredictable phenomenon. 'it's a toss-up whether he will win or lose'
cerebral thrombosis;a blood clot in a cerebral artery or vein
operational damage;loss of military equipment in field operations
atmospherics;a crackling or hissing noise cause by electrical interference
low water;the lowest (farthest) ebb of the tide
stage;"any distinct time period in a sequence of events. 'we are in a transitional stage in which many former ideas must be revised or rejected'"
hell;a cause of difficulty and suffering. 'war is hell'. 'go to blazes'
force majeure;a natural and unavoidable catastrophe that interrupts the expected course of events. 'he discovered that his house was not insured against acts of god'
deformation;alteration in the shape or dimensions of an object as a result of the application of stress to it
turn of events;an unforeseen development. 'events suddenly took an awkward turn'
crash;(computer science) an event that causes a computer system to become inoperative. 'the crash occurred during a thunderstorm and the system has been down ever since'
enfeeblement;serious weakening and loss of energy
heart attack;a sudden severe instance of abnormal heart function
mishap;an unpredictable outcome that is unfortunate. 'if i didn't have bad luck i wouldn't have any luck at all'
alteration;"an event that occurs when something passes from one state or phase to another: 'the change was intended to increase sales'. 'this storm is certainly a change for the worse'"
switch;an event in which one thing is substituted for another
just deserts;an outcome in which virtue triumphs over vice (often ironically)
goldmine;"a sudden happening that brings very good fortune"
variance;an event that departs from expectations
surcease;a stopping. 'a cessation of the thunder'
blessed event;(informal) the live birth of a child
telophase;the final stage of mitosis
deal;the type of treatment received (especially as the result of an agreement). 'he got a good deal on his car'
foregone conclusion;an inevitable event
wonder;"something that causes feelings of wonder. 'the wonders of modern science'"
chapter;a distinct period in history or in a person's life. 'the industrial revolution opened a new chapter in british history'. 'the divorce was an ugly chapter in their relationship'
path;a course of conduct. 'the path of virtue'. 'we went our separate ways'. 'our paths in life led us apart'. 'genius usually follows a revolutionary path'
ramification;a development that complicates a situation. 'the court's decision had many unforeseen ramifications'
chance event;"anything that happens by chance without an apparent cause"
adversity;a stroke of ill fortune. a calamitous event: 'a period marked by adversities'
separation;coming apart
rule;"(mathematics) a standard procedure for solving a class of problems. 'he determined the upper bound with descartes' rule of signs'. 'he gave us a general formula for attacking polynomials'"
loosening;an occurrence of control or strength weakening. 'the relaxation of requirements': 'the loosening of his grip'. 'the slackening of the wind'
thrombosis;the formation or presence of a thrombus (a clot of coagulated blood attached at the site of its formation)
epidemic;a widespread outbreak of an infectious disease. many people are infected at the same time
wages;a recompense for worthy acts or retribution for wrongdoing. 'the wages of sin is death'. 'virtue is its own reward'
break;an unexpected piece of good luck. 'he finally got his big break'
curse;something causes misery or death. 'the bane of my life'
missfire;a failure to hit (or meet or find etc)
destiny;"an event (or course of events) that will inevitably happen in the future"
shift;a qualitative change
strain;(physics) deformation of a physical body under the action of applied forces
mimicry;the resemblance of an animal species to another species or to natural objects. provides concealment and protection from predators
modification;"an event that occurs when something passes from one state or phase to another: 'the change was intended to increase sales'. 'this storm is certainly a change for the worse'"
business cycle;recurring fluctuations in economic activity consisting of recession and recovery and growth and decline
leap;an abrupt transition. 'a successful leap from college to the major leagues'
waveform;the shape of a wave illustrated graphically by plotting the values of the period quantity against time
trouble;"an event causing distress or pain. 'what is the trouble?'. 'heart trouble'"
trial;an annoying or frustrating event. 'his mother-in-law's visits were a great trial for him'. 'life is full of tribulations'. 'a visitation of the plague'
anticlimax;a disappointing decline after ad previous rise: 'the anticlimax of a brilliant career'
taste;a brief experience of something. 'he got a taste of life on the wild side'. 'she enjoyed her brief taste of independence'
blighty wound;a wound that would cause an english soldier to be sent home from service abroad
rupture;a personal or social separation (as between opposing factions). 'they hoped to avoid a break in relations'
miscreation;something abnormal or anomalous
violent death;an event that causes someone to die
vicissitude;a variation in circumstances or fortune at different times in your life or in the development of something. 'the project was subject to the usual vicissitudes of exploratory research'
background radiation;radiation coming from sources other than those being observed
transmigration;the passing of a soul into another body after death
background;a person's social heritage: previous experience or training. 'he is a lawyer with a sports background'
heuristic;a commonsense rule (or set of rules) intended to increase the probability of solving some problem
warp;a moral or mental distortion
outbreak;"a sudden violent spontaneous occurrence of an undesirable condition"
meeting;a casual or unexpected convergence. 'he still remembers their meeting in paris'. 'there was a brief encounter in the hallway'
implosion;a sudden inward collapse. 'the implosion of a light bulb'
might have been;"an event that could have occurred but never did"
miracle;"a marvellous event manifesting a supernatural act of god"
whipping;a sound defeat
reduplication;an act of duplicating
closing curtain;the concluding part of any performance
decision;the outcome of a game or contest: 'the team dropped three decisions in a row'
rearing;the properties acquired as a consequence of the way you were treated as a child
omen;a sign of something about to happen. 'he looked for an omen before going into battle'
leap;a sudden and decisive increase. 'a jump in attendance'
aeroembolism;obstruction of the circulatory system caused by an air bubble as e.g. accidentally during surgery or hypodermic injection or as a complication from scuba diving
revivification;the coming again into activity and prominence
concomitant;"an event or situation that happens at the same time as or in connection with another"
annular eclipse;only a thin outer disk of the sun can be seen
culmination;a final climactic stage. 'their achievements stand as a culmination of centuries of development'
way;a course of conduct. 'the path of virtue'. 'we went our separate ways'. 'our paths in life led us apart'. 'genius usually follows a revolutionary path'
payoff;a recompense for worthy acts or retribution for wrongdoing. 'the wages of sin is death'. 'virtue is its own reward'
rack;the destruction or collapse of something. 'wrack and ruin'
warping;a moral or mental distortion
atrophy;any weakening or degeneration (especially through lack of use)
rematch;something (especially a game) that is played again
pity;an unfortunate development. 'it's a pity he couldn't do it'
sublimation;(chemistry) a change directly from the solid to the gaseous state without becoming liquid
onslaught;a sudden and severe onset of trouble
deviation;a variation that deviates from the standard or norm. 'the deviation from the mean'
faint;a spontaneous loss of consciousness caused by insufficient blood to the brain
sine wave;a wave whose waveform resembles a sine curve
spill;a sudden drop from an upright position. 'he had a nasty spill on the ice'
milk leg;painful thrombosis of the femoral vein in the leg following childbirth
prelude;"something that serves as a preceding event or introduces what follows. 'training is a necessary preliminary to employment'. 'drinks were the overture to dinner'"
ruin;an event that results in destruction
corollary;a practical consequence that follows naturally. 'blind jealousy is a frequent corollary of passionate love'
salvo;an outburst resembling the discharge of firearms or the release of bombs
transient;(physics) a short-lived oscillation in a system caused by a sudden change of voltage or current or load
prolongation;the act of prolonging something. 'there was an indefinite prolongation of the peace talks'
concretion;an increase in the density of something
opening night;the first performance (as of a theatrical production). 'the opening received good critical reviews'
copying;an act of copying
overstrain;too much strain
fluctuation;a wave motion. 'the fluctuations of the sea'
departure;euphemistic expressions for death. 'thousands mourned his passing'
dramatic event;an episode that is turbulent or highly emotional
clonus;convulsion characterized by alternating contractions and relaxations
fall;when a wrestler's shoulders are forced to the mat
decease;the event of dying or departure from life: 'her death came as a terrible shock'. 'upon your decease the capital will pass to your grandchildren'
low tide;the lowest (farthest) ebb of the tide
drama;an episode that is turbulent or highly emotional
nativity;the event of being born. 'they celebrated the birth of their first child'
solar eclipse;the moon interrupts light from the sun
menarche;the first occurrence of menstruation in a woman
superior conjunction;(astronomy) the alignment of the earth and a planet on the opposite side of the sun
nascency;the event of being born. 'they celebrated the birth of their first child'
downfall;a sudden decline in strength or number or importance. 'the fall of the house of hapsburg'
outcome;the situation that exists when something ends. 'he listened for the results on the radio'
contraction;the process or result of becoming smaller or pressed together: 'the contraction of a gas on cooling'
manna from heaven;"a sudden happening that brings very good fortune"
fluttering;the motion made by flapping up and down
sweep;winning all or all but one of the tricks in bridge
human death;a death resulting from an accident or a disaster. 'a decrease in the number of automobile fatalities'
accidental injury;an accident that results in physical damage or hurt
expiration;euphemistic expressions for death. 'thousands mourned his passing'
milestone;a significant event in your life (or in a project)
rift;a personal or social separation (as between opposing factions). 'they hoped to avoid a break in relations'
reprieve;an interruption in the intensity or amount of something
coronary;obstruction of blood flow in a coronary artery by a blood clot (thrombus)
shoo in;an easy victory
victory;a successful ending of a struggle or contest. 'the general always gets credit for his army's victory'. 'the agreement was a triumph for common sense'
luteal phase;the second half of the menstrual cycle after ovulation. the corpus luteum secretes progesterone which prepares the endometrium for the implantation of an embryo. if fertilization does not occur then menstrual flow begins
fit;a sudden uncontrollable attack. 'a paroxysm of giggling'. 'a fit of coughing'
fatal accident;an accident that causes someone to die
augury;an event that is experienced as indicating important things to come. 'he hoped it was an augury'. 'it was a sign from god'
