left wing;those trying to overthrow the established order
splinter group;a faction or sect that has broken away from its parent organization
analytical cubism;the early phase of cubism
culture;a particular civilization at a particular stage
imagism;a movement by american and english poets early in the 20th century in reaction to victorian sentimentality. used common speech in free verse with clear concrete imagery
four hundred;the exclusive social set of a city
futurism;an artistic movement in italy around 1910 that tried to express the energy and values of the machine age
nonalinement;"people (or countries) who are not aligned with other people (or countries) in a pact or treaty"
party;a band of people associated temporarily in some activity. 'they organized a party to search for food'. 'the company of cooks walked into the kitchen'
pro choice faction;those who argue that the decision to have an induced abortion should be made by the mother
surrealism;a 20th century movement in art and literature (developing out of dadaism) that used fantastic images and incongruous juxtapositions in order to represent unconscious thoughts and dreams
cultural movement;a group of people working together to advance certain cultural goals
naturalism;an artistic movement in 19th century france. artists and writers strove for detailed realistic and factual description
new wave;an art movement in french cinema in the 1960s
galere;a coterie of undesirable people
left;those trying to overthrow the established order
art deco;a style of design that was popular in the 1920s and 1930s. marked by stylized forms and geometric designs adapted to mass production
reform movement;a movement intended to bring about social and humanitarian reforms
artistic movement;a group of artists who agree on general principles
fold;"a group of people who adhere to a common faith and habitually attend a given church"
interest;"(usually plural) a social group whose members control some field of activity and who have common aims. 'the iron interests stepped up production'"
old guard;a faction that is unwilling to accept new ideas
stretcher party;a party of people with stretchers to carry an injured person
rogue s gallery;a coterie of undesirable people
dada;a nihilistic art movement (especially in painting) that flourished in europe early in the 20th century. based on irrationality and negation of the accepted laws of beauty
synthetic cubism;the late phase of cubism
procession;"a collection of things moving ahead in an orderly manner"
coterie;an exclusive circle of people with a common purpose
political movement;a group of people working together to achieve a political goal
trade unioniam;the system or principles and theory of labor unions
faithful;"a group of people who adhere to a common faith and habitually attend a given church"
lot;"an unofficial association of people or groups. 'the smart set goes there'. 'they were an angry lot'"
cohort;a band of warriors (originally a unit of a roman legion)
company;a band of people associated temporarily in some activity. 'they organized a party to search for food'. 'the company of cooks walked into the kitchen'
labor movement;an organized attempt by workers to improve their status by united action especially via labor unions (especially the leaders of this movement)
labor;an organized attempt by workers to improve their status by united action especially via labor unions (especially the leaders of this movement)
ingroup;an exclusive circle of people with a common purpose
cabal;a clique that seeks power usually through intrigue
interest group;"(usually plural) a social group whose members control some field of activity and who have common aims. 'the iron interests stepped up production'"
defence;"the defendant and his legal advisors collectively. 'the defense called for a mistrial'"
neoexpressionism;an art movement based on expressionism. developed in 1980s in europe and us. crudely drawn garish paintings
march;a procession of people walking together. 'the march went up fifth avenue'
nonalignment;"people (or countries) who are not aligned with other people (or countries) in a pact or treaty"
mafia;(informal) any tightly knit group of trusted associates
fatigue party;a group of soldiers on fatigue duty
jet set;a set of rich and fashionable people who travel widely for pleasure
pack;an exclusive circle of people with a common purpose
reformation;a religious movement of the 16th century that began as an attempt to reform the roman catholic church and resulted in the creation of protestant churches
right wing;the conservative faction of a political party
front;"a group of people with a common ideology who try together to achieve certain general goals. 'he was a charter member of the movement'. 'politicians have to respect a mass movement'. 'he led the national liberation front'"
art movement;a group of artists who agree on general principles
religious movement;a movement intended to bring about religious reforms
counter reformation;the reaction of the roman catholic church to the reformation reaffirming the veneration of saints and the authority of the pope (to which protestants objected). many leaders were jesuits
horsy set;a set of people sharing a devotion to horses and horseback riding and horse racing
defense lawyers;"the defendant and his legal advisors collectively. 'the defense called for a mistrial'"
circle;"an unofficial association of people or groups. 'the smart set goes there'. 'they were an angry lot'"
civilization;a society in an advanced state of development
unionism;the system or principles and theory of labor unions
van;artists or writers whose ideas are ahead of their time
