unconscious;that part of the mind wherein psychic activity takes place of which the person is unaware
mind;"that which is responsible for one's thoughts and feelings. the seat of the faculty of reason. 'his mind wandered'. 'i couldn't get his words out of my head'"
brain;"that which is responsible for one's thoughts and feelings. the seat of the faculty of reason. 'his mind wandered'. 'i couldn't get his words out of my head'"
subconscious;psychic activity just below the level of awareness
unconscious mind;that part of the mind wherein psychic activity takes place of which the person is unaware
psyche;"that which is responsible for one's thoughts and feelings. the seat of the faculty of reason. 'his mind wandered'. 'i couldn't get his words out of my head'"
tabula rasa;a young mind not yet affected by experience (according to john locke)
knowledge;the psychological result of perception and learning and reasoning
cognition;the psychological result of perception and learning and reasoning
noddle;(british) 'use your noddle'
nous;"that which is responsible for one's thoughts and feelings. the seat of the faculty of reason. 'his mind wandered'. 'i couldn't get his words out of my head'"
subconscious mind;psychic activity just below the level of awareness
psychological feature;a feature of the mental life of a living organism
head;"that which is responsible for one's thoughts and feelings. the seat of the faculty of reason. 'his mind wandered'. 'i couldn't get his words out of my head'"
ego;(psychoanalysis) the conscious mind
