antitrust law;legislation intended to promote free competition in the market place by outlawing monopolies
profile;a side view representation of an object (especially a human face)
letters;scholarly attainment. 'he is a man of letters'
moral principle;the principles of right and wrong that are accepted by an individual or a social group. 'the puritan ethic'. 'a person with old-fashioned values'
ecumenicism;the doctrine of the ecumenical movement promoting cooperation and better understanding among different religious denominations. aimed at universal christian unity
parsiism;zoroastrian sect in india
unseen;a belief that there is a realm controlled by a divine spirit
theory;a belief that can guide behavior. 'the architect has a theory that more is less'. 'they killed him on the theory that dead men tell no tales'
suspicion;an impression that something might be the case. 'he had an intuition that something had gone wrong'
boehmenism;the mystical theological doctrine of jakob boehme that influenced the quakers
foretaste;an early limited awareness of something yet to occur
dogma;a religious doctrine that is proclaimed as true without proof
abstractionism;a representation having no reference to concrete objects or specific examples
ethic;the principles of right and wrong that are accepted by an individual or a social group. 'the puritan ethic'. 'a person with old-fashioned values'
principle;a rule or standard especially of good behavior: 'a man of principle'. 'he will not violate his principles'
unidentified flying object;an (apparently) flying object whose nature is unknown. especially those considered to have extraterrestrial origins
flavour;(high energy physics) the kinds of quarks
political sympathies;the opinion you hold with respect to political questions
expectancy;something expected (as on the basis of a norm). 'each of them had their own anticipations'. 'an indicator of expectancy in development'
style of architecture;architecture as a kind of art form
osha;a law passed by us congress to prevent employees from being injured or contracting diseases in the course of their employment
reality;all of your experiences that determine how things appear to you. 'his world was shattered'. 'we live in different worlds'. 'for them demons were as much a part of reality as trees were'
hope;grounds for feeling hopeful about the future. 'there is little or no promise that he will recover'
genre;a kind of literary or artistic work
judicial doctrine;a principle underlying the formulation of jurisprudence
connotation;an idea that is implied or suggested
spook;a mental representation of some haunting experience. 'he looked like he had seen a ghost'. 'it aroused specters from his past'
paragon;an ideal instance. a perfect embodiment of a concept
puritanism;the beliefs and practices characteristic of puritans (most of whom were calvinists who wished to purify the church of england of its catholic aspects)
suggestion;an idea that is suggested. 'the picnic was her suggestion'
second adventism;any christian religion that believes the second coming of christ is imminent
nominalism;the doctrine that the various objects labeled by the same term have nothing in common but their name
prospect;the visual percept of a region. 'the most desirable feature of the park are the beautiful views'
value orientation;the principles of right and wrong that are accepted by an individual or a social group. 'the puritan ethic'. 'a person with old-fashioned values'
relativism;the philosophical doctrine that all criteria of judgment are relative to the individuals and situations involved
genus;a general kind of something. 'ignore the genus communism'
theosophy;belief based on mystical insight into the nature of god and the soul
mosaic law;the laws (beginning with the ten commandments) that god gave to the israelites through moses. it includes many rules of religious observance given in the first five books of the old testament (in judaism these books are called the torah)
illusion;something many people believe that is false. 'they have the illusion that i am very wealthy'
sorcery;the belief in magical spells that harness occult forces or evil spirits to produce unnatural effects in the world
preconception;an opinion formed without adequate evidence. 'he did not even try to confirm his preconceptions'
populism;the political doctrine that supports the rights and powers of the common people in their struggle with the privileged elite
mennonitism;system of beliefs and practices including belief in scriptural authority. plain dress. adult baptism. foot washing. restriction of marriage to members of the group
burden;the central idea that is expanded in a document or discourse
antitype;an opposite or contrasting type
theological doctrine;the doctrine of a religious group
passivism;the doctrine that all violence in unjustifiable
roman architecture;the architecture of ancient rome
figment;a contrived or fantastic idea. 'a figment of the imagination'
spiritualism;any doctrine that asserts the separate existence of god
creed;the body of teachings of a religious group that are generally accepted by that group
reaction;an idea evoked by some experience. 'his reaction to the news was to start planning what to do'
caesaropapism;the doctrine that the state is supreme over the church in ecclesiastical matters
principle;a basic generalization that is accepted as true and that can be used as a basis for reasoning or conduct. 'their principles of composition characterized all their works'
petitio;the fallacy of assuming the conclusion in the premises. begging the question
light;public awareness. 'it brought the scandal to light'
thought;the organized beliefs of a period or group or individual. '19th century thought' or 'darwinian thought'
reinterpretation;a new or different meaning
ideal;the idea of something that is perfect. something that one hopes to attain
voodooism;a religious cult practiced chiefly in caribbean countries (especially haiti). involves witchcraft and animistic deities
sentiment;a personal belief that is not founded on proof or certainty. 'my opinion differs from yours'. 'what are your thoughts on haiti?'
fancy;something many people believe that is false. 'they have the illusion that i am very wealthy'
consubstantiation;the high-church anglican doctrine that after the consecration of the eucharist the substance of the body and blood of christ coexists with the substance of the consecrated bread and wine
anglicanism;the faith and doctrine and practice of the anglican church
fatalism;a philosophical doctrine holding that all events are predetermined in advance for all time and human beings are powerless to change them
mother;a condition that is the inspiration for an activity or situation. 'necessity is the mother of invention'
rule;a basic generalization that is accepted as true and that can be used as a basis for reasoning or conduct. 'their principles of composition characterized all their works'
woodcraft;skill and experience in matters relating to the woods (as hunting or fishing or camping)
religious doctrine;the body of teachings of a religious group that are generally accepted by that group
reminder;an experience that causes you to remember something
occupational safety and health act;a law passed by us congress to prevent employees from being injured or contracting diseases in the course of their employment
sight;an instance of visual perception. 'the sight of his wife brought him back to reality'. 'the train was an unexpected sight'
afterimage;an image (usually a negative image) that persists after stimulation has ceased
screen memory;an imagined memory of a childhood experience. hides another memory of distressing significance
prejudice;an opinion that is preconceived and (usually) unfavorable
denotation;the class of objects that an expression refers to. 'the extension of 'satellite of mars' is the set containing only demos and phobos'
creed;any system of principles or beliefs
anagoge;a mystical or allegorical interpretation (especially of scripture)
magic;any art that invokes supernatural powers
the likes of;a similar kind. 'dogs, foxes, and the like', 'we don't want the likes of you around here'
laissez faire;the doctrine that government should not interfere in commercial affairs
confabulation;(psychiatry) a plausible but imagined memory that fills in gaps in what is remembered
meaning;the idea that is intended. 'what is the sense of this proverb?'
obeah;a religious belief of african origin involving witchcraft and sorcery. practiced in parts of the west indies and tropical americas
source;anything that provides inspiration for later work
purport;general meaning or tenor: 'caught the drift of the conversation'
picture;a clear and telling mental image. 'he described his mental picture of his assailant'. 'he had no clear picture of himself or his world'. 'the events left a permanent impression in his mind'
rationalism;the doctrine that knowledge is acquired by reason without resort to experience
opinion;a personal belief that is not founded on proof or certainty. 'my opinion differs from yours'. 'what are your thoughts on haiti?'
mistake;an understanding of something that is not correct. 'he wasn't going to admit his mistake'. 'make no mistake about his intentions'. 'there must be some misunderstanding--i don't have a sister'
popular opinion;a belief or sentiment shared by most people. the voice of the people. 'he asked for a poll of public opinion'
self deceit;a misconception that is favorable to the person who holds it
statute law;a law enacted by a legislative body
image;an iconic mental representation. 'her imagination forced images upon her too awful to contemplate'
deconstructionism;a philosophical theory of criticism (usually of literature or film) that seeks to expose deep-seated contradictions in a work by delving below its surface meaning
spectre;a mental representation of some haunting experience. 'he looked like he had seen a ghost'. 'it aroused specters from his past'
experience;the accumulation of knowledge or skill that results from direct participation in events or activities. 'a man of experience'. 'experience is the best teacher'
evangelicalism;stresses the importance of personal conversion and faith as the means of salvation
beauty;an outstanding example of its kind. 'his roses were beauties'. 'when i make a mistake it's a beaut'
calvinism;the theological system of john calvin and his followers emphasizing omnipotence of god and salvation by grace alone
fetishism;a belief in the magical power of fetishes (or the worship of a fetish)
predetermination;(theology) the doctrine (usually associated with calvin) that god has foreordained every event throughout eternity (including the final salvation of mankind)
parti pris;an opinion formed without adequate evidence. 'he did not even try to confirm his preconceptions'
illiteracy;ignorance resulting from not reading
sensualism;the ethical doctrine that feeling is the only criterion for what is good
afflatus;a strong creative impulse. divine inspiration
episcopalianism;the theological doctrine of church government by bishops
re experiencing;a recurrence of a prior experience. 'the reliving of a strong emotion can be therapeutic'
jainism;founded in the 6th century as a revolt against hinduism. emphasizes asceticism and immortality and transmigration of the soul. denies existence of a perfect or supreme being
misgiving;painful expectation
superstition;an irrational belief arising from ignorance or fear
gymnosophy;the doctrine of a sect of hindu philosophers who practiced nudity and asceticism and meditation
krishnaism;worship of krishna the 8th avatar of vishnu
mental lexicon;"a language user's knowledge of words"
