growth;"something grown or growing. 'a growth of hair'"
trade expense;ordinary and necessary expenses incurred in a taxpayer's business or trade
emolument;compensation received by virtue of holding an office or having employment (usually in the form of wages or fees). 'a clause in the u.s. constitution prevents sitting legislators from receiving emoluments from their own votes'
prize;something given for victory or superiority in a contest or competition. 'the prize was a free trip to europe'
crackerjack;something excellent of its kind. 'the bike was a jimdandy'
item;"a distinct part that can be specified separately in a group of things that could be enumerated on a list. 'he noticed an item in the new york times'. 'she had several items on her shopping list'. 'the main point on the agenda was taken up first'"
final payment;the final payment of a debt
complex;a conceptual whole made up of complicated and related parts
platoon;"a group of persons who are engaged in a common activity. 'platoons of tourists poured out of the busses'. 'the defensive platoon of the football team'"
double time;a doubled wage (for working overtime)
undercharge;a price that is too low
bride gift;a wedding present to the bride
price;cost of bribing someone: 'they say that every politician has a price'
hanging wall;the upper wall of an inclined fault
remains;"any object that is left unused or still extant. 'i threw out the remains of my dinner'"
tuition;a fee paid for instruction (especially for higher education). 'tuition and room and board were more than __25,000'
strike pay;money paid to strikers from union funds
admission price;the fee charged for admission
rate of payment;the amount of money paid out per unit time
patrimony;an inheritance coming by right of birth (especially by primogeniture)
pittance;an inadequate payment. 'they work all day for a mere pittance'
legal fee;a fee paid for legal service
hearth money;an annual contribution made by roman catholics to support the papal see
buy;an advantageous purchase. 'she got a bargain at the auction'. 'the stock was a real buy at that price'
travel allowance;a sum allowed for travel
theorem;"an idea accepted as a demonstrable truth"
prize;goods or money obtained illegally
song;a very small sum. 'he bought it for a song'
grant in aid;a grant to a person or school for some educational project
bounty;payment or reward (esp from a government) for acts such as catching criminals or killing predatory animals or enlisting in the military
docking fee;a fee charged for a vessel to use a dock
giveaway;(informal) a gift of public land or resources for the private gain of a limited group
incidental;(frequently plural) an expense not budgeted or not specified. 'he requested reimbursement of __7 for incidental expenses'
dowry;money or property brought by a woman to her husband at marriage
transfer payment;a public expenditure (as for unemployment compensation or veteran's benefits) that is not for goods and services
