tightfistedness;extreme stinginess
sage green;the color of sage leaves
corruptness;lack of integrity or honesty. esp susceptibility to bribery. use of a position of trust for dishonest gain
non discrimination;fairness in treating people without prejudice
absorbency;the property of being absorbent
approximation;the quality of of being similar (especially close in value)
sin;estrangement from god
sturdiness;the property of something that is strongly built
inharmoniousness;a lack of harmony
simplicity;lack of ornamentation
diverseness;noticeable heterogeneity. 'a diversity of possibilities'. 'the range and variety of his work is amazing'
violence;the property of being wild or turbulent. 'the storm's violence'
gdp;measure of the us economy adopted in 1991. the total market values of goods and services by produced by workers and capital within the us borders during a given period (usually 1 yr)
intimacy;close or warm friendship. 'the absence of fences created a mysterious intimacy in which no one knew privacy'
persistency;persistent determination
downrightness;the quality of being direct and straightforward. 'what some people take for rudeness is really straightforwardness'
impuissance;powerlessness revealed by an inability to act. 'in spite of their weakness the group remains highly active'
benignancy;the quality of being kind and gentle
similarity;the quality of being similar
strictness;conscientious attention to rules and details
power of appointment;authority given (in a will or deed) by a donor to a donee to appoint the beneficiaries of the donor's property
thoughtfulness;the trait of thinking carefully before acting
second adventism;any christian religion that believes the second coming of christ is imminent
attractiveness;a beauty that appeals to the senses
durability;permanence by virtue of the power to resist stress or force. 'they advertised the durability of their products'
ricketiness;the quality of being unstable and insecure. 'the shakiness of the present regime'
alkalinity;ph values above 7
form;an ability to perform well. 'he was at the top of his form'. 'the team was off form last night'
resolution;the trait of being resolute. firmness of purpose. 'his resoluteness carried him through the battle'. 'it was his unshakeable resolution to finish the work'
gleam;an appearance of reflected light
openness;willingness or readiness to receive esp impressions or ideas: 'their receptivity to the proposal'
unhurriedness;a rate demonstrating an absence of haste or hurry
loyalty;the quality of being loyal
doctor of osteopathy;doctor's degree in osteopathy
spareness;the property of being scanty or scattered. lacking denseness
singularity;strangeness by virtue of being remarkable or unusual
meretriciousness;tasteless showiness
shrewishness;a nature given to nagging or scolding
induction;(physics) a property of an electric circuit by which an electromotive force is induced in it by a variation of current
magnitude;the property of relative size or extent. 'they tried to predict the magnitude of the explosion'
doctor of arts;an honorary arts degree
voodooism;a religious cult practiced chiefly in caribbean countries (especially haiti). involves witchcraft and animistic deities
gaudiness;tasteless showiness
grey;a neutral achromatic color midway between while and black
unconscientiousness;the trait of not being painstaking or careful
redness;the quality or state of the chromatic color resembling the hue of blood
anglicanism;the faith and doctrine and practice of the anglican church
sanctimony;the quality of being hypocritically devout
pianissimo;(music) low loudness
laxity;the quality of being lax and neglectful
assailability;vulnerability to forceful attack
accessibility;the quality of being at hand when needed
perspicuousness;clarity as a consequence of being perspicuous
optimum;most favorable condition or greatest degree or amount possible under given circumstances
charcoal;a very dark gray color
greenishness;the property of being somewhat green
cheek;impudent aggressiveness. 'i couldn't believe her boldness'. 'he had the effrontery to question my honesty'
viciousness;the trait of extreme cruelty
yellowish brown;a medium to dark tan color
oppressiveness;unwelcome burdensome difficulty
flexibility;the trait of being easily persuaded
immotility;lacking an ability to move
frigidity;a lack of passion or enthusiasm
internationality;quality of being international in scope: 'he applauded the internationality of scientific terminology'
stoutheartedness;the trait of having a courageous spirit
form;the visual appearance of something or someone. 'the delicate cast of his features'
outlandishness;strikingly out of the ordinary
chivalry;courtesy towards women
preciseness;clarity as a consequence of precision
profusion;the property of being extremely abundant
irresponsibility;the trait of lacking a sense of responsibility
pellucidity;passing light without diffusion or distortion
imbalance;(mathematics) a lack of symmetry
impalpability;the quality of being intangible
unchangingness;the quality of being unchangeable. having a marked tendency to remain unchanged
acceptance;a disposition to tolerate or accept people or situations
fatness;excess bodily weight. 'she found fatness disgusting in herself as well as in others'
stainability;(cytology) the capacity of cells or cell parts to stain specifically with certain dyes
crabbiness;a disposition to be ill tempered
hoariness;a silvery-white color
curtness;an abrupt discourteous manner
organization;an ordered manner. orderliness by virtue of being methodical and well organized. 'his compulsive organization was not an endearing quality'. 'we can't do it unless we establish some system around here'
krishnaism;worship of krishna the 8th avatar of vishnu
vaishnavism;worship of vishnu one of the 3 chief gods of the hindu pantheon
naturalness;the quality of innocent naivete
changelessness;the property of remaining unchanged
godlessness;impiety by virtue of not being a godly person
deepness;the quality of being physically deep: 'the profundity of the mine was almost a mile'
fastness;the quality of being fixed in place
vertu;artistic quality
rigor;the quality of being logically valid
conceit;the trait of being vain and conceited
studiousness;diligent study
warning coloration;conspicuous coloration or markings of an animal serving to warn off predators: 'a skunk's aposematic coloration'
nerve;the courage to carry on: 'he kept fighting on pure spunk'. 'you haven't got the heart for baseball'
wholeheartedness;the quality of hearty sincerity
arrogance;overbearing pride evidenced by a superior manner toward inferiors
inhumaneness;the quality of lacking compassion or consideration for others
chalk;a pure flat white with little reflectance
glibness;a kind of fluent easy superficiality. 'the glibness of a high-pressure salesman'
altruism;the quality of unselfish concern for the welfare of others
exchangeability;the quality of being capable of exchange or interchange
dominance;superior development of one side of the body
meticulosity;strict attention to minute details
unattractiveness;ugliness that is not appealing
impermanence;the property of not existing for indefinitely long durations
simmer;temperature just below the boiling point: 'the stew remained at a simmer for hours'
affectedness;the quality of being false or artificial
flatness;the property of having two dimensions
archness;inappropriate playfulness
anomie;lack of moral standards in a society
fitness;the quality of being qualified
full moon;the time when the moon is fully illuminated
palatableness;the property of being acceptable to the taste
disqualification;unfitness that bars you from participation
snobbishness;the trait of condescending to those of lower social status
roughness;a texture that is not smooth but is irregular and uneven
drama;the quality of being arresting or highly emotional
continence;voluntary control over urinary and fecal discharge
anglo catholicism;a doctrine and practice within the church of england emphasizing the catholic tradition
weirdness;strikingly out of the ordinary
indisputability;the quality of being beyond question or dispute or doubt
permeability;the property of something that can be pervaded by a liquid (as by osmosis or diffusion)
hospitableness;a disposition that welcomes guests and is fond of entertaining
everlastingness;the property of lasting forever
inappositeness;in appropriateness. 'greater inaptness of expression would be hard to imagine'
sponginess;the porosity of a sponge
fitfulness;the quality of being spasmodic and irregular
smartness;elegance by virtue of being fashionable
gall;the trait of being rude and impertinent. inclined to take liberties
blitt;a bachelor's degree in literature
commonplaceness;ordinariness as a consequence of being frequent and commonplace
perverseness;deliberate unruliness
deference;a disposition or tendency to yield to the will of others
compare;qualities that are comparable. 'no comparison between the two books'. 'beyond compare'
shamefulness;unworthiness meriting public disgrace and dishonor
graciousness;the quality of being kind and gentle
bulk;the property resulting from being or relating to the greater in number of two parts. the main part. 'the majority of his customers prefer it'. 'the bulk of the work is finished'
toleration;a disposition to tolerate or accept people or situations
emotionalism;emotional nature or quality
sportiveness;lively high-spirited playfulness
tendency;a characteristic likelihood of or natural disposition toward a certain condition or character or effect: 'the alkaline inclination of the local waters'. 'fabric with a tendency to shrink'
secureness;the quality of being fixed in place
greyness;a neutral achromatic color midway between while and black
gold;a deep yellow color. 'an amber light illuminated the room'. 'he admired the gold of her hair'
coming;the temporal property of becoming nearer in time. 'the approach of winter'
substantialness;the quality of being substantial or having substance
extra large;a garment size for a very large person
positiveness;characterized by dogmatic assertiveness
spot;a blemish made by dirt. 'he had a smudge on his cheek'
austereness;extreme plainness
gain;the advantageous quality of being beneficial
unscrupulousness;the quality of unscrupulous dishonesty
toughness;the elasticity and hardness of a metal object. its ability to absorb considerable energy before cracking
sphericity;the roundness of a 3-dimensional object
magical ability;an ability to perform magic
inequity;injustice by virtue of not being equitable
oddness;eccentricity that is not easily explained
inferiority;an inferior quality
iridescence;the visual property of something having a milky brightness
spirit;a fundamental emotional and activating principle determining one's character
adventism;any christian religion that believes the second coming of christ is imminent
benevolence;an inclination to do kind or charitable acts
proportion;magnitude or extent. 'a building of vast proportions'
effectiveness;the power to be effective
paleness;unnatural lack of color in the skin (as from bruising or sickness or emotional distress)
dapple grey;gray with a mottled pattern of darker gray markings
diligence;persevering determination to perform a task. 'his diligence won him quick promotions'. 'frugality and industry are still regarded as virtues'
moodiness;temperamental and changeable
islam;the monotheistic religion of muslims based on the koran
salinity;the relative proportion of salt in a solution
absolute zero;the lowest temperature theoretically attainable
shamanism;an animistic religion of northern asia having the belief that the mediation between the visible and the spirit worlds is effected by shamans
reasonableness;moderation in expectations. 'without greater reasonableness by both parties we will never settle this matter!'
bisexuality;showing characteristics of both sexes
burnt sienna;a shade of brown with a tinge of red
injudiciousness;the trait of being injudicious
phd;an american doctorate usually based on at least 3 years graduate study and a dissertation. the highest degree awarded by a graduate school
physique;constitution of the human body
virtue;a particular moral excellence
rococo;fanciful asymmetric ornamentation
hirsutism;excessive hairiness
tensile strength;the strength of material expressed as the greatest longitudinal stress it can bear without tearing apart
bewitchery;magnetic personal charm
magnanimousness;the quality of being exalted in character or ideals or conduct
antiquity;extreme oldness
eq;the atomic weight of an element that has the same combining capacity as a given weight of another element. the standard is 8 for oxygen
self induction;property whereby an electromotive force is induced in a circuit by a variation of current in the circuit itself
inconsiderateness;the quality of failing to be considerate of others
dishonorableness;the quality of not deserving honor or respect
purity;a woman's virtue or chastity
diplomacy;subtly skillful handling of a situation
real stuff;informal usage attributing authenticity
aridity;a condition yielding nothing of value
fluency;the quality of being facile in speech and writing
throttlehold;complete power over a person or situation
orneriness;mean-spirited disagreeable contrariness
disingenuousness;the quality of being disingenuous and lacking candor
immovability;no capable of being moved or rearranged
pantheism;belief in multiple gods
fatuousness;a ludicrous folly. 'the crowd laughed at the absurdity of the clown's behavior'
motility;ability to move spontaneously and independently
exactitude;the quality of being exact. 'he demanded exactness in all details'. 'a man of great exactitude'
unneighborliness;an unneighborly disposition
throw weight;the weight of the payload of a missile (not including the weight of the rocket)
garrulousness;the quality of being wordy and talkative
reflection;a likeness in which left and right are reversed
enormousness;unusual largeness in size or extent
lemon yellow;a strong yellow color
enormity;the quality of being outrageous
ebullience;overflowing with enthusiasm
artificiality;the quality of being produced by people and not occurring naturally
understandability;the quality of comprehensible language or thought
real gnp;a version of the gnp that has been adjusted for the effects of inflation
buoyancy;irrepressible liveliness and good spirit. 'i admired his bouyancy and persistent good humor'
feasibleness;the quality of being doable
hush;(poetic) tranquil silence. 'the still of the night'
obsoleteness;the property of being out of date and not current
small;a garment size for a small person
pedigree;ancestry of a purebred animal
profoundness;the quality of being physically deep: 'the profundity of the mine was almost a mile'
spinelessness;the quality of lacking a strong character. an irresolute disposition
risibility;a disposition to laugh
sumptuousness;the quality possessed by something that is excessively expensive
commutability;exchangeability by virtue of being replaceable
insistence;urgently demanding attention. 'the insistence of their hunger'. 'he pressed his demand with considerable instancy'
sociableness;the relative tendency or disposition to be sociable or associate with one's fellows
floridness;extravagant elaborateness
canary;a moderate yellow with a greenish tinge
silence;the trait of keeping things secret
master of library science;a ,aster's degree in library science
discoloration;a soiled or discolored appearance. 'the wine left a dark stain'
isolation;preference for seclusion or isolation
unpersuasiveness;inability to persuade
maidenliness;behavior befitting a young maiden
simplicity;a lack of penetration or subtlety. 'they took advantage of her simplicity'
fragility;lack of physical strength
activeness;the trait of being active. moving or acting rapidly and energetically. 'the level of activity declines with age'
purposefulness;the quality of having a definite purpose
unchangeableness;the quality of being unchangeable. having a marked tendency to remain unchanged
dappled gray;gray with a mottled pattern of darker gray markings
abdominousness;the bodily property of a protruding belly
legality;lawfulness by virtue of conformity to a legal statute
favour;an advantage to the benefit of someone or something. 'the outcome was in his favor'
overplus;extreme excess. 'an embarrassment of riches'
injuriousness;destructiveness that causes harm or injury
tameness;the attribute of having been domesticated
bulginess;the property possessed by a rounded convexity
roughness;harsh or rough to the ear
thoughtfulness;kind and considerate regard for others. 'he showed no consideration for her feelings'
cherry red;a red the color of ripe cherries
obtrusiveness;an unwelcome conspicuousness
sneakiness;a disposition to be sly and stealthy and to do things surreptitiously
dapperness;stylishness as evidenced by a smart appearance
robustness;the property of strong in constitution
maternal quality;the tenderness and warmth and affection of or befitting a mother: 'the girl's motherliness made her invaluable in caring for the children'
carefreeness;the trait of being without worry or responsibility
mls;a ,aster's degree in library science
lycanthropy;(folklore) the magical ability of a person to assume the characteristics of a wolf
spontaneousness;the quality of being spontaneous and coming from natural feelings without constraint. 'the spontaneity of his laughter'
cacophony;loud confusing disagreeable sounds
liveness;having animal life as distinguished from plant life: 'full of life'
evasiveness;deliberate vagueness or ambiguity
unfitness;the condition of not being suitable. 'the judges agreed on his unfirness for the appointment'
civic spirit;pride in your city
dimness;the property of lacking brilliance
smuttiness;obscenity in speech or writing
directionality;the property of a microphone or antenna of being more sensitive in one direction than in another
good will;a disposition to kindness and compassion. benign good will: 'the victor's grace in treating the vanquished'
mutual induction;property whereby an electromotive force is induced in a circuit by variation of current in a neighboring circuit
pull;special advantage or influence. 'the chairman's nephew has a lot of pull'
smoothness;a texture without roughness. smooth to the touch
recourse;something or someone turned to for assistance or security: 'his only recourse was the police'. 'took refuge in lying'
powder blue;a dusty pale blue color
orangeness;any of a range of colors between red and yellow
righteousness;adhering to moral principles
indenture;the space left between the margin and the start of an indented line
pickup;the attribute of being capable of rapid acceleration. 'his car has a lot of pickup'
theism;the doctrine or belief in the existence of a god or gods
thinness;the property of having little body fat
weightlessness;the property of being comparatively small in weight. 'the lightness of balsa wood'
greed;excessive desire to acquire or possess more (esp material wealth) than one needs or deserves
kindness;the quality of being warm-hearted and considerate and humane and sympathetic
avariciousness;extreme greed for material wealth
vanishing point;the appearance of a point on the horizon at which parallel lines converge
cattiness;malevolence by virtue of being malicious or spiteful or nasty
monetary value;the property of having material worth (often indicated by the amount of money something would bring if sold): 'the fluctuating monetary value of gold and silver'. 'he puts a high price on his services'. 'he couldn't calculate the cost of the collection'
probability;a measure of how likely it is that some event will occur. 'what is the probability of rain?'. 'we have a good chance of winning'
repose;a disposition free from stress or emotion
incurability;incapability of being altered in disposition or habits: 'the incurability of his optimism'
self will;control of one's behavior
artium magister;a master's degree in arts and sciences
veto;the power or right to prohibit or reject a proposed or intended act esp the power of a chief executive to reject a bill passed by the legislature
configuration;any spatial attribute (especially as defined by outline). 'he could barely make out their shapes through the smoke'
rationalness;the quality of being consistent with or based on logic
impermanency;the property of not existing for indefinitely long durations
disk shape;the roundness of a 2-dimensional figure
coarseness;the quality of being composed of relatively large particles
indulgence;a disposition to yield to the wishes of someone. 'too much indulgence spoils a child'
fortitude;strength of mind that enables one to endure adversity with courage
ectomorphy;slender, weak, and lightweight
lovingness;a quality proceeding from feelings of affection or love
bonhomie;a disposition to be friendly and approachable (easy to talk to)
abstention;the trait of abstaining (especially from alcohol)
price;the property of having material worth (often indicated by the amount of money something would bring if sold): 'the fluctuating monetary value of gold and silver'. 'he puts a high price on his services'. 'he couldn't calculate the cost of the collection'
new phase of the moon;the time at which the moon appears as a narrow waxing crescent
smoothness;the quality of being free from errors or interruptions
practicableness;the quality of being usable
jaggedness;something irregular like a bump or crack in a smooth surface
llm;an advanced law degree
steadfastness;loyalty in the face of trouble and difficulty
praiseworthiness;the quality of being worthy of praise
fertility;the property of producing abundantly and sustaining growth. 'he praised the richness of the soil'
sociality;the tendency to associate with others and to form social groups: 'mammals as a class are not strong on sociality'
artlessness;ingenuousness by virtue of being free from artful deceit
discolouration;a soiled or discolored appearance. 'the wine left a dark stain'
dreadfulness;a quality of extreme unpleasantness
salmon pink;a shade of pink tinged with yellow
purplish red;a red with a tinge of purple
illiberality;a disposition not to be liberal (generous) with money
analyticity;the property of being analytic
abruptness;an abrupt discourteous manner
stuntedness;smallness of stature
leniency;a disposition to yield to the wishes of someone. 'too much indulgence spoils a child'
doctor of dental surgery;a doctor's degree in dental surgery
jurisdiction;(law) the right and power to interpret and apply the law: 'courts having jurisdiction in this district'
surfeit;the quality of being so overabundant that prices fall
retentiveness;the property of retaining possessions that have been acquired
unrestraint;the quality of lacking restraint
continuousness;the quality of something that continues without end or interruption
quality;"an essential and distinguishing attribute of something or someone. 'the quality of mercy is not strained'--shakespeare"
acuteness;the quality of having a sharp edge or point
good part;a place of especial strength
modus vivendi;a manner of living that reflects the person's values and attitudes
dangerousness;the quality of not being safe
strength;physical energy or intensity: 'he hit with all the force he could muster'. 'it was destroyed by the strength of the gale'. 'a government has not the vitality and forcefulness of a living man'
lukewarmness;lack of passion, force or animation
fleetness;rapidity of movement: 'fleetness of foot'
assuredness;great coolness and composure under strain. 'keep your cool'
obtuseness;the quality of lacking a sharp edge or point
propriety;correct or appropriate behavior
manginess;a lack of elegance as a consequence of wearing threadbare or dirty clothing
buxomness;the bodily property of being attractively plump and vigorous and (of women) full bosomed
abrasiveness;the roughness of a substance that causes abrasions
fraudulence;the quality of being fraudulent
steel blue;a grayish blue color
virtu;artistic quality
hardness;devoid of passion or feeling
taste property;a property appreciated via the sense of taste
cold;the absence of heat. 'the coldness made our breath visible'. 'come in out of the cold'
pink;a light shade of red
gaucheness;an impolite manner that is vulgar and lacking tact or refinement. 'the whole town was famous for its crudeness'
sense of humor;the trait of appreciating (and being able to express) the humorous. 'she didn't appreciate my humor.' 'you can't survive in the army without a sense of humor'
sullenness;a sullen moody resentful disposition
villainousness;the quality of evil by virtue of villainous behavior
shortage;the property of being an amount by which something is less than expected or required
high;a lofty level or position or degree: 'summer temperatures reached an all-time high'
backbone;(informal) fortitude. 'he didn't have the guts to try it'
unacceptableness;unsatisfactoriness by virtue of not conforming to approved standards
mfa;a master's degree in fine arts
largesse;extremely liberal generosity of spirit
nattiness;stylishness as evidenced by a smart appearance
dutch courage;courage resulting from intoxication
generousness;the trait of being willing to give your money or time
associability;the capability of being easily associated or joined or connected in thought
nerve;impudent aggressiveness. 'i couldn't believe her boldness'. 'he had the effrontery to question my honesty'
volatility;being easily excited
achilles;a seemingly small but actual mortal weakness
fearfulness;the trait of being afraid
faineance;the trait of being idle out of a reluctance to work
unit character;(genetics) a character inherited on an all-or-none basis and dependent on the presence of a single gene
companionableness;suitability to be a companion
indefiniteness;the quality of being vague and poorly defined
womanishness;the trait of being effeminate (derogatory of a man)
lethality;the quality of being deadly
nasality;a quality of the voice that is produced by nasal resonators
quiet;the absence of sound. 'he needed silence in order to sleep'. 'the street was quiet'
third dimension;the dimension whereby a solid object differs from a two-dimensional drawing of it
vigor;an exertion of force. 'he plays tennis with great energy'
loathsomeness;the quality of being disgusting to the senses or emotions
revealed religion;a religion founded primarily on the revelations of god to humankind
planeness;the property of having two dimensions
intensity;high level or degree. the property of being intense
frugalness;prudence in avoiding waste
ambitiousness;a strong drive for success
insubordination;defiance of authority
newsworthiness;the quality of being sufficiently interesting to be reported in news bulletins. 'the judge conceded the newsworthiness of the trial'. 'he is no longer news in the fashion world'
reluctivity;(physics) the resistance of a material to the establishment of a magnetic field in it
unsightliness;ugliness that is unpleasant to look at
contemporaneity;the quality of being current or of the present: 'a shopping mall would instill a spirit of modernity into this village'
obduracy;resoluteness by virtue of being unyielding and inflexible
shortness;the property of being of short spatial extent
body;the property of holding together and retaining its shape. 'when the dough has enough consistency it is ready to bake'
alternation;being regularly exchangeable
skin colour;the coloring of a person's face
incremental cost;the increase or decrease in costs as a result of one more or one less unit of output
stain;a soiled or discolored appearance. 'the wine left a dark stain'
longness;spatial extent
foresightedness;providence by virtue of planning prudently for the future
impenitence;the trait of refusing to repent
land area;an area of ground used for some particular purpose (such as building or farming). 'he wanted some acreage to build on'
selfsameness;the quality of being identical with itself
passiveness;the trait of remaining inactive. a lack of initiative
power hunger;a drive to acquire power
unobtrusiveness;the quality of not sticking out in an unwelcome way
precipitation;an unexpected acceleration or hastening: 'he is responsible for the precipitation of his own demise'
stretchiness;the capacity for being stretched
fault;the quality of being faulty or inadequate. 'they discussed the merits and demerits of her novel'
density;the amount per unit size
distinctiveness;utter dissimilarity
friendliness;a friendly disposition
isomorphism;(biology) similarity of form or shape or structure
composition;the way in which someone or something is composed
lustre;a quality that outshines the usual
address;social skill
runniness;the property of flowing easily
obsessivity;extreme compulsiveness
peevishness;a disposition to exhibit uncontrolled anger. 'his temper was well known to all his employees'
slightness;smallness of stature
excitability;being easily excited
use;what something is used for. 'the function of an auger is to bore holes'. 'ballet is beautiful but what use is it?'
the sublime;nobility in thought or feeling or style
cyclicity;the quality of recurring at intervals
profit;the advantageous quality of being beneficial
conflict;an incompatibility of dates or events. 'he noticed a conflict in the dates of the two meetings'
chill;coldness due to a cold environment
sense of purpose;the quality of having a definite purpose
adiposeness;having the property of containing fat. 'he recommended exercise to reduce my adiposity'
pessimism;a general disposition to look on the dark side and to expect the worst in all things
penuriousness;a disposition to be niggardly with money
serious mindedness;the trait of being serious. 'a lack of solemnity is not necessarily a lack of seriousness'- robert rice
roughness;an unpolished unrefined quality. 'the crudeness of frontier dwellings depressed her'
greatness;the property possessed by something or someone of outstanding importance
colour;a visual attribute of things that results from the light they emit or transmit or reflect. 'white is the coolest summer color'
squareness;the property of being shaped like a square
artium baccalaurens;a bachelor's degree in arts and sciences
incontrovertibility;the quality of being undeniable and not worth arguing about
changelessness;the quality of being unchangeable. having a marked tendency to remain unchanged
command;availability for use. 'the materials at the command of the potters grew'
recentness;a time immediately before the present
slouch;a stooping carriage in standing and walking
blot;a blemish made by dirt. 'he had a smudge on his cheek'
eightvo;the size of a book whose pages are made by folding a sheet of paper three times to form eight leaves
savageness;the trait of extreme cruelty
bounds;the greatest possible degree of something: 'what he did was beyond the bounds of acceptable behavior'. 'to the limit of his ability'
