biophysics;physics as applied to biological problems
curvilinear correlation;any correlation in which the rates of change of the variables is not constant
algebra;the mathematics of generalized arithmetical operations
allometry;study of the relative growth of a part of an organism in relation to the growth of the whole
speleology;the scientific study of caves
metallurgy;the science and technology of metals
mental hygiene;the branch of psychiatry concerned with psychological methods
paediatrics;the branch of medicine concerned with the treatment of infants and children
descriptive geometry;the geometry of properties that remain invariant under projection
allergology;the branch of medical science that studies the causes and treatment of allergies
brain science;the branch of neuroscience concerned with the brain
psychometry;any branch of psychology concerned with psychological measurements
psychophysics;the branch of psychology concerned with quantitative relations between physical stimuli and their psychological effects
palaeogeology;the study of geologic features once at the surface of the earth but now buried beneath rocks
ergonomics;the branch of engineering science in which biological science is used to study the relation between workers and their environments
paleornithology;the paleobiology of birds
veterinary medicine;the branch of medicine that deals with the diagnosis and treatment of diseases and injuries of animals (especially domestic animals)
spherical geometry;the geometry of figures on the surface of a sphere
math;a science (or group of related sciences) dealing with the logic of quantity and shape and arrangement
pediatrics;the branch of medicine concerned with the treatment of infants and children
ichthyology;the branch of zoology that studies fishes
spurious correlation;a correlation between two variables (e.g., between the number of electric motors in the home and grades at school) that does not result from any direct relation between them (buying electric motors will not raise grades) but from their relation to other variables
human ecology;the branch of sociology that studies the characteristics of human populations
cosmetic dentistry;the branch of dentistry dealing with the appearance of the teeth
underwater archaeology;the archeology of underwater sites
gestalt psychology;an approach to psychology that emphasizes the importance of configurational properties
assyriology;archeology of the ancient assyrians
finance;the branch of economics that studies the management of money and other assets
computer science;the branch of engineering science that studies (with the aid of computers) computable processes and structures
physiological psychology;the branch of psychology that is concerned with the physiological bases of psychological processes
lexicology;the branch of linguistics that studies the lexical component of language
applied psychology;any of several branches of psychology that seek to apply psychological principles to practical problems of education or industry or marketing etc.
optics;the study of the physical properties of light
galois theory;group theory applied to the solution of algebraic equations
morphology;the branch of biology that deals with the structure of animals and plants
military science;the discipline dealing with the principles of warfare
methodology;the branch of philosophy that analyzes the principles and procedures of inquiry in a particular discipline
geodesy;the branch of geology that studies the shape of the earth and the determination of the exact position of geographical points
acoustics;the study of the physical properties of sound
archeology;the branch of anthropology that studies prehistoric people and their cultures
paleontology;the branch of archeology that studies fossil organisms and related remains
orthodontia;the branch of dentistry dealing with the prevention or correction of irregularities of the teeth
calculus of variations;the calculus of maxima and minima of definite integrals
primatology;the branch of zoology that studies primates
divinity;the rational and systematic study of religion and its influences and of the nature of religious truth
subject;"a branch of knowledge. 'in what discipline is his doctorate?'. 'teachers should be well trained in their subject'. 'anthropology is the study of human beings'"
matter;"some situation or event that is thought about. 'he kept drifting off the topic'. 'he had been thinking about the subject for several years'. 'it is a matter for the police'"
hydraulics;study of the mechanics of fluids
ecology;the branch of biology concerned with the relations between organisms and their environment
cacogenics;the study of the operation of factors causing degeneration in the type of offspring produced
jurisprudence;the branch of philosophy concerned with the law
neurobiology;the branch of biology that deals with the anatomy and physiology and pathology of the nervous system
regression toward the mean;the relation between selected values of x and observed values of y (from which the most probable value of y can be predicted for any value of x)
palaeogeography;the study of the geography of ancient times or ancient epochs
sociometry;the quantitative study of social relationships
architecture;the discipline dealing with the principles of design and construction and ornamentation of fine buildings. 'architecture and eloquence are mixed arts whose end is sometimes beauty and sometimes use'
electrical engineering;the branch of engineering science that studies the uses of electricity and the equipment for power generation and distribution and the control of machines and communication
penology;the branch of criminology concerned with prison management and prisoner rehabilitation
anesthesiology;the branch of medical science that studies and applies anesthetics
regression;the relation between selected values of x and observed values of y (from which the most probable value of y can be predicted for any value of x)
palaeodendrology;the branch of paleobotany that studies fossil trees
geopolitics;the study of the effects of economic geography on the powers of the state
