opposite number;a person or thing having the same function or characteristics as another
match;something that resembles or harmonizes with. 'that tie makes a good match with your jacket'
successor;a person or thing that succeeds another
counterpart;a person or thing having the same function or characteristics as another
neighbor;"a nearby object of the same kind. 'fort worth is a neighbor of dallas'. 'what is the closest neighbor to the earth?'"
neighbour;"a nearby object of the same kind. 'fort worth is a neighbor of dallas'. 'what is the closest neighbor to the earth?'"
equivalent;"a person or thing equal to another in value or measure or force or effect or significance etc: 'send two dollars or the equivalent in stamps'"
substitute;a person or thing that takes or can take the place of another
replacement;a person or thing that takes or can take the place of another
vis a vis;a person or thing having the same function or characteristics as another
complement;either of two parts that mutually complete each other
