past tense;a verb tense that expresses actions or states in the past
person;a grammatical category of pronouns and verb forms. 'stop talking about yourself in the third person'
case;nouns or pronouns or adjectives (often marked by inflection) related in some way to other words in a sentence
subject case;the category of nouns serving as the grammatical subject of a verb
past progressive;a progressive tense used to describe on-going action in the past. 'i had been running' is an example of the past progressive'
form class;one of the traditional categories of words intended to reflect their functions in a grammatical context
participle;a non-finite form of the verb. in english it is used adjectivally and to form compound tenses
perfect;a tense of verbs used in describing action that has been completed (sometimes regarded as perfective aspect)
continuous tense;a tense of verbs used in describing action that is on-going
present progressive tense;a tense used to express action that is on-going at the time of utterance
perfective tense;a tense of verbs used in describing action that has been completed (sometimes regarded as perfective aspect)
accusative case;the category of nouns serving as the direct object of a verb
perfect participle;a participle that expresses completed action
verb;a word that serves as the predicate of a sentence
mineral kingdom;all inorganic objects. contrasts with animal and plant kingdoms
instrumental;the case indicating the instrument used in performing the action of the verb
historical present;the use of the present tense to describe past actions or states
locative;the case indicating where the action described by the verb occurred
preterite;a term formerly used to refer to the simple past tense
malacostraca;largest subclass of crustacea including most of the well-known marine, freshwater, and terrestrial crustaceans: crabs. lobsters. shrimps. sow bugs. beach flies
vocative;the case (in some inflected languages) used when the referent of the noun is being addressed
past perfect tense;a perfective tense used to express action completed in the past. 'ihad finished' is an example of the past perfect'
infinitive;the uninflected form of the verb
present progressive;a tense used to express action that is on-going at the time of utterance
oblique;any grammatical case other than the nominative
major form class;any of the parts of speech of traditional grammar
present participle;a participle expressing present action. in english is formed by adding -ing
transitive verb;a verb (or verb construction) that requires an object to be grammatical
part of speech;one of the traditional categories of words intended to reflect their functions in a grammatical context
progressive tense;a tense of verbs used in describing action that is on-going
present;a verb tense that expresses actions or states at the time of speaking
grammatical case;nouns or pronouns or adjectives (often marked by inflection) related in some way to other words in a sentence
intransitive verb form;a verb (or verb construction) that does not take an object
declension;a class of nouns having the same inflectional forms: 'the first declension in latin'
doubly transitive verb;a transitive verb that takes both a direct and an indirect object
locative case;the case indicating where the action described by the verb occurred
stamp;a type or class. 'more men of his stamp are needed'
aorist;a verb tense in some languages (classical greek. sanskrit) expressing action (especially past) without indicating its completion or continuation
kingdom;"a basic group of natural objects"
