worm genus;a genus of worms
paradisaeidae;birds of paradise
genus bauhinia;mountain_ebony, orchid_tree
aeonium;a genus of plants of the family crassulaceae
genus styphelia;australian heathlike shrubs
passer;type genus of the passeridae
melanerpes;a genus of picidae
family lygaeidae;lygaeid bugs
genus anodonta;thin-shelled freshwater mussels
myacidae;soft-shell clams
magnoliid dicot family;family of dicotyledonous flowering plants regarded as among the most primitive of extant angiosperms
genus neotoma;packrats
bemisia;sweet-potato whitefly
superclass myriapoda;used in some classifications to encompass the millipedes (diplopoda) and centipedes (chilopoda). formerly a large taxon including also the pauropoda and symphyla. the term myriapoda now usually used synonymously with diplopoda and limited to the millipedes
genus forsythia;forsythia
family calliphoridae;blowflies
genus glycyrrhiza;sticky perennial eurasian herbs
class crustacea;class of mandibulate arthropods including: lobsters. crabs. shrimps. woodlice. barnacles. decapods. water fleas
aethusa;fool's parsley
peltiphyllum;1 species
family podargidae;frogmouths
colymbiformes;grebes
family kinosternidae;mud turtles. musk turtles
zygocactus;small genus of brazilian cacti having flat fleshy usually branched joints and showy red or pink flowers followed by red fleshy fruits
family hippopotamidae;hippopotami
alsophila;geometrid moths
foraminifera;foraminifers
family megatheriidae;extinct ground sloths
pythiaceae;fungi having sporangia usually borne successively and singly at the tips of branching sporangiophores
genus melanitta;scoters
family sclerotiniaceae;a fungus family of order helotiales
genus thespesia;small genus of tropical trees: portia tree
subclass amphineura;a class of gastropoda
myaceae;clams
genus pituophis;bull snakes
subclass ostracoda;seed shrimps
camelina;annual and biennial herbs of mediterranean to central asia
embiodea;web spinners
family triopidae;a family of notostraca
araneus;a genus of orb-weaving spiders including common garden spiders and barn spiders
hylidae;tree frogs
order lepidodendrales;fossil arborescent plants arising during the lower devonian and conspicuous throughout the carboniferous
genus prunus;a genus of shrubs and trees of the family rosaceae that is widely distributed in temperate regions
family salamandridae;salamanders
order thysanoptera;thrips
alismales;an order of aquatic monocotyledonous herbaceous plants
order crocodylia;crocodiles. alligators. caimans. gavials
nymphicus;a genus of psittacidae
triatoma;conenoses
conium;small genus of highly toxic biennials: hemlock
aloeaceae;one of many families or subfamilies into which some classification systems subdivide the liliaceae but not widely accepted
budorcas;gnu goats
leptodactylidae;new world frogs. in some classifications essentially coextensive with the family bufonidae
family xantusiidae;night lizards
logania;type genus of the loganiaceae. australian and new zealand shrubs sometimes cultivated for their flowers
phylum bryozoa;marine or freshwater animals that form colonies of zooids
sphagnales;coextensive with the genus sphagnum. in some classifications isolated in a separate subclass
genus arca;type genus of the family arcidae: ark shells and blood clams
